SpMin1_Bh(p),P_VSA_LogP_4,N-072,B01[C-F],B05[O-F],B07[N-Cl],B08[N-S],F03[C-Br],F06[C-C],F06[N-N],F08[O-F],F10[C-S],Infective-80,CATS3D_14_LL,alvo
2.06619545627947,121.268295012691,0,1,1,1,1,0,25,0,0,2,0,0,6.431798275933005
2.0860263639504,88.6781496457862,1,1,0,0,0,0,18,1,0,0,1,0,6.468521082957745
2.08573258080707,88.6781496457862,1,1,0,0,0,0,18,1,0,0,1,0,5.388276691992658
2.0863418790973,88.6781496457862,1,0,0,0,0,0,18,1,0,0,1,0,5.6439741428068775
2.08594024176855,88.6781496457862,1,0,0,0,0,2,18,1,0,0,1,0,6.1249387366083
2.0870028368817,88.6781496457862,1,1,0,0,0,0,19,1,0,0,1,0,5.681936665037238
2.09330762417941,118.527726613271,2,1,0,0,0,0,29,1,3,0,0,5,5.882728704344236
2.09496805780448,118.527726613271,2,1,0,0,0,0,30,1,0,0,0,10,6.7447274948966935
2.08521245223812,83.9734997107189,2,0,0,0,0,0,15,1,0,0,1,0,5.943095148663527
2.08525417543728,83.9734997107189,2,1,1,0,0,0,15,1,0,0,1,0,6.036212172654444
2.08506564352015,83.9734997107189,2,0,0,0,0,0,15,1,0,0,1,0,5.300162274132754
2.08490830692647,83.9734997107189,2,0,0,0,0,0,15,1,0,0,1,0,5.896196279044043
2.08691350922283,88.6781496457862,1,1,0,0,0,0,18,1,0,0,1,0,5.152427340857888
2.08794321269317,88.6781496457862,1,1,0,0,0,0,20,1,0,0,0,0,5.079876673709276
2.09898601626382,85.2664451334834,3,1,0,1,0,0,28,1,0,0,0,1,5.634512015109101
2.09964145368162,89.9710950685507,2,1,0,0,0,0,31,1,0,0,0,4,4.522878745280337
2.09963830267315,89.9710950685507,2,1,0,0,0,0,32,1,3,0,0,7,4.672028376376989
2.08635950387746,88.6781496457862,1,0,0,0,0,0,18,1,0,0,1,0,6.070581074285707
2.08646359850713,88.6781496457862,1,1,0,0,0,0,18,1,0,0,1,0,5.139063379299906
2.08645048357548,88.6781496457862,1,1,1,0,0,0,18,1,0,0,1,0,6.337242168318426
2.08559786896648,88.6781496457862,1,0,0,0,0,0,18,1,0,0,1,0,6.1938200260161125
