B04[C-Cl],B04[N-S],B05[N-S],B06[N-Cl],B07[C-F],B08[C-N],B08[C-Cl],B08[O-F],B09[O-Cl],F01[C-O],F02[O-O],F02[F-F],F03[C-N],F05[C-Cl],F07[N-N],F09[C-Cl],F10[C-O],G(O..S),VvdwMG,Hypertens-50,Neoplastic-80,Infective-80,CATS3D_08_AA,CATS3D_09_AL,CATS3D_03_LL,CATS3D_10_LL,CATS3D_11_LL,CATS3D_12_LL,alvo
0,0,0,0,1,0,0,0,0,6,0,3,5,0,0,0,2,16.6049995422363,197.45008441806,0,0,0,1,1,7,1,0,0,6.027334407733889
0,1,0,0,1,1,0,0,0,8,0,1,7,0,0,0,6,23.4769992828369,199.649038723382,0,1,1,2,1,1,1,0,0,6.311580177997289
0,1,0,0,0,1,0,0,0,6,0,0,7,0,0,0,3,18.3759994506836,193.256413049398,1,1,1,1,2,3,1,0,0,6.189767482004916
0,1,0,0,1,1,0,0,0,4,0,4,8,0,0,0,1,11.451000213623,204.843472577747,0,1,0,0,2,1,1,0,0,8.853871964321762
0,1,0,0,1,1,0,0,0,6,0,3,7,0,0,0,5,18.4669990539551,196.850988508252,0,1,1,0,2,1,1,0,0,7.823908740944319
0,1,0,0,1,1,0,1,0,6,0,3,7,0,0,0,5,17.9449996948242,215.034910952563,0,1,0,1,1,1,1,0,0,7.130768280269024
0,1,0,0,1,1,0,0,0,8,0,3,7,0,0,0,9,23.0889987945557,217.832961167693,0,1,0,2,1,1,1,0,0,6.995678626217358
0,1,1,0,1,1,0,0,0,2,0,1,5,0,1,0,0,7.60200023651123,184.052121344154,1,1,1,0,2,3,4,2,0,6.404503778174426
0,1,0,0,0,1,0,0,0,4,0,0,6,0,0,0,2,14.7509994506836,195.843418114482,1,1,1,0,1,3,2,0,0,7.327902142064283
0,1,0,0,0,1,0,0,0,4,0,0,7,0,0,0,3,14.1079998016357,176.658733184467,1,1,1,0,1,3,2,0,0,6.696803942579511
1,1,0,0,0,1,1,0,1,6,0,0,7,2,0,6,3,18.3759994506836,200.329829529982,0,1,1,1,0,3,1,0,0,6.158015195409886
0,1,0,0,1,1,0,1,0,4,0,3,9,0,0,0,1,11.6099996566772,194.052938293122,0,1,1,0,3,1,1,0,0,7.958607314841775
0,1,0,0,1,1,0,1,0,4,0,4,8,0,0,0,1,11.451000213623,206.041664397365,0,0,0,0,1,1,1,0,0,8.443697499232712
0,1,0,0,1,1,0,0,0,8,0,3,7,0,0,0,7,23.265998840332,198.648276237678,0,1,1,2,1,1,1,0,0,7.017728766960432
0,1,0,0,0,1,0,0,0,2,0,0,8,0,0,0,0,7.64400005340576,201.439518544742,0,1,1,0,0,9,2,0,0,8.193820026016112
0,1,1,0,0,1,0,0,0,5,0,0,8,0,1,0,7,20.8139991760254,215.497848701052,1,1,1,0,4,3,1,0,0,6.46344155742847
1,1,0,0,1,1,1,1,0,4,0,1,7,1,0,3,3,14.1159992218018,197.790479821361,1,1,1,0,0,4,4,1,0,7.337242168318426
0,1,0,0,0,1,0,0,0,6,0,0,7,0,0,0,7,18.375,225.042535809597,0,1,1,1,2,9,1,0,0,5.102812923419847
1,1,0,1,0,1,1,0,0,6,0,0,7,1,0,3,3,18.375,191.996950057187,1,1,1,1,1,1,1,1,0,5.0
0,1,0,0,0,1,0,0,0,6,0,0,6,0,0,0,3,18.128999710083,188.048363378901,1,1,1,1,2,1,0,0,0,6.31069114087638
0,1,0,0,0,1,0,0,0,4,0,0,6,0,0,0,2,14.125,193.644463809161,1,1,1,0,1,3,2,0,0,7.638272163982407
0,1,0,0,1,1,0,1,0,6,0,3,7,0,0,0,5,18.4669990539551,198.049180327869,0,1,0,0,1,1,1,0,0,7.619788758288394
0,1,0,0,1,1,0,0,0,6,0,3,7,0,0,0,5,17.9449996948242,213.836719132945,0,1,0,1,2,1,1,0,0,7.387216143280264
0,1,0,0,1,1,0,1,0,6,0,3,7,0,0,0,5,18.1219997406006,195.850226022548,0,1,1,1,1,1,1,0,0,7.619788758288394
1,1,0,0,0,1,1,0,0,2,0,0,9,1,0,2,0,7.38500022888184,184.004465987691,0,1,1,0,1,5,8,6,0,6.97469413473523
0,1,1,0,1,1,0,0,0,2,0,1,7,0,1,0,1,7.45800018310547,212.829148739176,0,1,1,0,0,3,5,0,0,7.585026652029182
0,1,0,0,1,1,0,0,0,2,0,1,7,0,0,0,0,7.46799993515015,203.835902183977,0,1,1,0,0,3,2,0,0,8.327902142064282
1,1,0,0,1,1,1,1,0,2,0,2,7,1,0,4,0,7.59700012207031,188.797233266162,0,1,1,0,0,4,4,1,0,7.309803919971486
0,1,0,0,1,1,0,1,0,4,0,1,6,0,0,0,0,13.1879997253418,179.055116823702,1,1,1,0,1,1,0,0,0,8.221848749616356
0,1,1,0,0,1,0,0,0,4,0,0,6,0,1,0,2,14.1219997406006,202.63771036436,1,1,1,0,5,3,4,4,2,6.818156412055227
1,1,0,0,0,1,1,0,0,4,0,0,7,1,0,4,2,14.5170001983643,197.593050487447,0,1,1,1,3,4,6,2,0,8.0
