Eig07_AEA(dm),TDB07p,T(N..S),ATSC3s,F02[N-O],B02[C-O],P_VSA_i_4,alvo
2.59173387360225,3.41964258812934,17,123.896728665509,2,1,79.8962830825153,6.431798275933005
1.91344375586844,3.70301220620877,0,49.8756494225501,1,1,100.725592714014,6.468521082957745
2.02825980739553,3.87842331980753,0,64.1882529556,1,1,100.725592714014,5.388276691992658
1.86691953877055,3.61827894852494,0,28.2585943878799,1,1,85.7654794430013,5.6439741428068775
1.84058352804947,3.71254934384603,0,26.9954403782,1,1,85.7654794430013,6.1249387366083
1.84458038925767,3.50092218545241,0,56.7389387562845,1,1,130.645819256039,5.681936665037238
2.74491814008441,3.80154091654568,0,160.041868685467,2,1,160.639722280041,5.882728704344236
2.7228703491437,3.76536301490264,0,61.2151312584523,2,1,115.759382467003,6.7447274948966935
1.54759944693273,3.53662233609986,0,32.0578770123469,2,0,103.776230126032,5.943095148663527
1.8782893142899,3.51957784346521,0,69.8846726756803,2,0,133.696456668057,6.036212172654444
1.84397293331999,3.67516737001411,0,36.0283427039569,2,0,103.776230126032,5.300162274132754
1.84668991853308,3.84142743062931,0,41.2523279728457,2,0,103.776230126032,5.896196279044043
1.84544928748409,3.4167689559362,0,57.1555637562845,1,1,130.645819256039,5.152427340857888
2.34603759521345,3.45800598944518,0,135.213578418063,1,1,175.526159069076,5.079876673709276
2.42854963271141,3.79162380252387,0,79.0307412217361,3,1,116.984603601904,5.634512015109101
2.39356612523032,3.58548972946387,0,66.4274427633333,2,1,98.9738529188732,4.522878745280337
2.39618794149761,3.69924424653466,0,66.6925273633333,2,1,98.9738529188732,4.672028376376989
1.54759661424793,3.50802422365096,0,26.8473690725375,1,1,85.7654794430013,6.070581074285707
1.84470032412693,3.4868579892963,0,66.6308070689125,1,1,115.685705985026,5.139063379299906
1.85072452009025,3.48584312687041,0,70.6336309589124,1,1,115.685705985026,6.337242168318426
1.84444728776503,3.92037324265041,0,34.6589860934375,1,1,85.7654794430013,6.1938200260161125
1.91347530462653,3.83677459939808,0,34.2919997346875,1,1,85.7654794430013,5.91721462968355
1.85120306955216,3.8856183456789,0,33.4033684240625,1,1,85.7654794430013,5.531652669587842
2.28537380757596,3.5379893601409,0,31.9390029739788,2,1,54.0935131058358,4.522878745280337
2.1780702360076,3.74398831426712,0,33.6257698153605,2,1,54.0935131058358,4.522878745280337
2.19603915196123,3.38497611931993,0,38.5299673916178,2,1,54.0935131058358,5.023650020996727
2.29945982497889,3.84088351651089,0,42.7348838768,3,1,72.1042637888661,5.133122185662502
2.36816342620123,3.99387589339354,0,48.3904953211933,3,1,72.1042637888661,4.799149501908922
2.35892041565112,3.95038285117434,0,48.650085273147,3,1,72.1042637888661,5.350665141287858
2.38710162970862,3.73101726379824,0,61.8634683760405,3,1,116.984603601904,5.367542707815276
2.3865911240981,3.7276366893737,0,62.2982835108681,3,1,116.984603601904,5.521433504406157
2.62733900055961,3.65711669414976,0,130.125846117657,3,1,161.864943414941,5.681936665037238
2.11181935828006,3.66982140470877,0,56.4107203154422,2,0,118.736343397044,5.36251027048749
1.84400934764442,3.69618936341931,0,32.7510854120181,2,0,103.776230126032,5.333482019445119
