NNRS,GATS5v,GATS7i,P_VSA_LogP_4,P_VSA_s_5,Eta_betaP,Chi1_EA(dm),SM11_AEA(ri),Mor13v,B07[N-F],F05[N-F],F05[O-O],LLS_01,alvo
0.75,1.205891,0.947568,88.67815,18.010751,22.5,17.603641,4.609386,-1.068878,0,0,0,0.333333,6.086186
0.75,1.058434,0.793499,88.67815,18.010751,23,18.573924,4.609385,-1.221627,0,0,0,0.333333,6.366532
0.75,1.057162,0.930368,88.67815,18.010751,23.5,21.131908,4.609386,-1.250449,0,0,1,0.333333,5.415669
0.8,0.962532,0.77199,118.527727,36.021501,30,26.07764,4.615946,-1.464805,0,0,0,0.166667,5.966576
0.8,0.957674,0.691982,118.527727,36.021501,30.5,27.687204,4.615921,-1.387861,1,0,1,0.166667,5.823909
0.8,0.880866,0.809312,113.823077,99.986346,30.5,28.899303,4.615903,-1.615638,1,2,0,0.166667,5.425969
0.8,0.972783,0.748708,113.823077,54.032252,30.5,32.377334,4.61592,-1.616271,1,2,0,0.166667,6.356547
0.75,1.060059,0.855981,88.67815,18.010751,24,24.520528,4.609387,-1.050559,0,0,2,0.333333,5.812479
0.8,0.938543,0.645035,118.527727,36.021501,30,26.458863,4.615914,-1.434454,1,0,0,0.166667,6.251812
0.8,1.023568,0.731039,118.527727,36.021501,30,32.083158,4.615961,-1.522974,0,0,0,0.166667,5.935542
0.8,0.98773,0.749202,118.527727,36.021501,30,26.105357,4.615946,-1.533795,0,0,0,0.166667,5.943095
0.8,0.963953,0.674726,113.823077,54.032252,31,33.605675,4.615913,-1.624022,1,2,1,0.166667,6.022276
0.8,0.970274,0.746301,118.527727,36.021501,30.5,27.687204,4.615912,-1.4907,0,0,0,0.166667,6.356547
0.8,0.976431,0.726618,113.823077,54.032252,31,33.605675,4.615903,-1.663762,1,2,0,0.166667,5.421361
0.8,1.099648,0.844047,113.823077,54.032252,30.5,32.635392,4.615931,-1.509241,1,2,0,0.166667,6.920819
0.8,0.931842,0.664223,113.823077,54.032252,30.5,34.71204,4.615896,-1.533322,1,3,0,0.166667,5.850781
0.8,0.97674,0.627923,113.823077,54.032252,30.5,36.698795,4.615931,-1.605929,1,5,0,0.166667,5.712198
0.8,0.997044,0.666623,113.823077,54.032252,30.5,36.635117,4.615931,-1.44748,1,3,0,0.166667,7.522879
0.8,1.086862,0.931155,118.527727,36.021501,30,26.716921,4.615939,-1.317298,0,0,0,0.166667,5.785156
0.8,0.952635,1.012943,89.971095,36.021501,30,22.768774,4.615908,-1.43682,0,0,0,0.166667,4.522879
0.8,0.92648,0.895507,89.971095,36.021501,30,22.305156,4.615905,-1.466169,0,0,0,0.166667,5.094744
0.8,0.957083,0.892414,89.971095,36.021501,30,22.623385,4.615906,-1.422531,0,0,0,0.166667,5.134304
0.75,0.974465,0.942564,88.67815,18.010751,22.5,16.857767,4.609388,-1.262779,0,0,0,0.333333,5.563837
0.8,0.909839,0.899966,118.527727,36.021501,30,22.305156,4.615905,-1.338573,0,0,0,0.166667,5.935542
0.8,0.956693,0.766165,118.527727,36.021501,30,24.291911,4.615939,-1.413863,1,2,0,0.166667,6.346787
0.8,0.996648,0.914425,118.527727,36.021501,30,23.690178,4.616051,-1.265296,0,0,0,0.166667,4.633017
0.8,0.909144,0.785018,118.527727,36.021501,30,25.156237,4.615905,-1.535844,0,0,0,0.166667,5.739929
0.8,0.956223,0.716773,118.527727,36.021501,30,27.142992,4.61594,-1.571641,1,2,0,0.166667,5.790485
0.8,0.939553,0.787383,118.527727,36.021501,30,26.062784,4.615934,-1.447896,0,0,0,0.166667,6.180456
0.8,1.005,0.758156,118.527727,36.021501,30,26.395869,4.615966,-1.558978,0,0,0,0.166667,4.522879
0.8,0.887916,0.774575,118.527727,36.021501,30,26.501442,4.615934,-1.478921,0,0,0,0.166667,5.554396
0.8,0.877685,0.781775,118.527727,81.975595,30,25.831912,4.615911,-1.635602,0,0,0,0.166667,5.744727
0.8,0.966799,0.730882,118.527727,36.021501,30,29.309943,4.615928,-1.631307,0,0,0,0.166667,4.897223
0.8,0.867323,0.977214,89.971095,36.021501,30,22.728958,4.615905,-1.403605,0,0,0,0.166667,5.150581
0.8,0.939844,0.908222,118.527727,36.021501,30,23.211703,4.615933,-1.292568,0,0,0,0.166667,6.045757
0.8,0.982274,0.910876,118.527727,36.021501,30,24.228233,4.615939,-1.287729,0,0,0,0.166667,5.939302
0.8,0.944614,0.63268,113.823077,54.032252,30.5,32.377334,4.615906,-1.619159,1,2,0,0.166667,5.563837
0.8,1.026063,0.728247,113.823077,54.032252,30.5,38.001629,4.615952,-1.718155,1,2,0,0.166667,6.958607
0.8,0.991198,0.73536,113.823077,54.032252,30.5,32.023828,4.615937,-1.707883,1,2,0,0.166667,6.387216
0.8,0.963907,0.747752,113.823077,54.032252,30.5,31.996111,4.615937,-1.659069,1,2,0,0.166667,6.09691
0.8,0.980491,0.789218,118.527727,36.021501,30,27.079314,4.61594,-1.443407,0,0,0,0.166667,7.39794
0.8,0.962532,0.756772,118.527727,36.021501,30,26.07764,4.615934,-1.592759,0,0,0,0.166667,5.543634
0.8,0.981264,0.653649,113.823077,54.032252,30.5,35.633443,4.615925,-1.597575,1,3,0,0.166667,5.89279
0.8,0.939269,0.628904,118.527727,36.021501,30,29.309943,4.615915,-1.573819,1,0,0,0.166667,5.79588
0.8,0.851824,1.019009,89.971095,81.975595,30,22.059428,4.615904,-1.505956,0,0,0,0.166667,5.197226
0.8,0.935949,0.772914,89.971095,36.021501,30,25.53746,4.615905,-1.628181,0,0,0,0.166667,4.522879
0.8,0.910388,0.656296,89.971095,36.021501,30,25.53746,4.615904,-1.563809,1,0,0,0.166667,5.769551
0.8,0.950723,0.741711,89.971095,36.021501,30,25.183954,4.615905,-1.681293,0,0,0,0.166667,4.522879
0.8,0.92515,0.773395,89.971095,36.021501,30,25.156237,4.615905,-1.674379,0,0,0,0.166667,4.522879
0.8,0.909031,0.654709,113.823077,54.032252,30.5,36.057245,4.615925,-1.517399,1,3,0,0.166667,5.935542
0.8,0.986231,0.653912,113.823077,54.032252,30.5,38.865747,4.615919,-1.625069,1,3,0,0.166667,6.251812
0.8,0.959602,0.549732,113.823077,54.032252,30.5,38.865747,4.615906,-1.611437,1,3,0,0.166667,5.756962
0.8,1.039746,0.657581,113.823077,54.032252,30.5,44.490042,4.615952,-1.717146,1,3,0,0.166667,8
0.8,1.023699,0.712608,118.527727,36.021501,30,34.934239,4.615961,-1.710329,0,0,0,0.166667,6.259637
0.8,0.96343,0.836507,118.527727,36.021501,30,23.22656,4.615933,-1.409287,0,0,0,0.166667,6.05061
0.8,1.006802,0.840012,118.527727,36.021501,30,23.544789,4.615966,-1.399327,0,0,0,0.166667,5.88941
0.8,0.887282,0.882013,118.527727,36.021501,30,23.650362,4.615933,-1.332077,0,0,0,0.166667,6.008774
0.8,0.876931,0.899824,118.527727,81.975595,30,22.980832,4.615911,-1.433376,0,0,0,0.166667,6.309804
0.8,0.967013,0.772227,118.527727,36.021501,30,26.458863,4.615928,-1.463886,0,0,0,0.166667,5.966576
0.8,0.888905,1.01388,89.971095,36.021501,30,21.383753,4.615904,-1.449374,0,0,0,0.166667,4.522879
0.8,0.923875,0.89079,89.971095,36.021501,30,23.370508,4.615905,-1.559063,0,2,0,0.166667,5.100179
0.8,1.006011,0.650421,113.823077,54.032252,30.5,38.512241,4.615937,-1.702647,1,3,0,0.166667,7.221849
0.8,0.987716,0.718688,118.527727,36.021501,30,28.956438,4.615946,-1.668953,0,0,0,0.166667,6.337242
0.8,0.963179,0.730014,118.527727,36.021501,30,28.92872,4.615946,-1.624262,0,0,0,0.166667,5.609065
0.8,0.959079,0.665251,118.527727,36.021501,30.5,30.538284,4.615922,-1.537548,1,0,1,0.166667,5.987163
