nHBint6,SpMin7_Bhe,alvo
1.0,0.9999289222347544,4.89
1.0,0.9950903153501351,4.91
1.0,0.8202654853809254,4.95
2.0,0.9806470257372466,4.39
1.0,0.9517390721896848,4.82
1.0,0.9505478636676936,4.0
1.0,0.9505478636676936,4.38
1.0,0.8335906173554634,4.83
1.0,0.840804041509325,4.77
2.0,0.9491749743492915,4.41
1.0,0.946990622941764,4.0
1.0,0.939178238442611,4.0
1.0,0.9518402448381162,4.25
1.0,0.95242698789774,4.98
1.0,1.002287178536189,4.94
1.0,1.0005494548049192,4.92
1.0,0.8208702924594873,4.88
1.0,0.8253575392680551,4.85
1.0,0.8354362978799627,4.82
2.0,0.9907280763880482,4.33
1.0,0.9934680597911004,4.19
1.0,0.9684487834729129,4.18
1.0,1.0022805274146065,4.75
1.0,1.0033803706051403,4.93
1.0,0.9056540167263304,4.0
1.0,0.9115261444405364,4.0
1.0,0.9106836009830134,4.0
0.0,1.0243291095884794,4.47
0.0,1.028394739210951,4.72
0.0,1.058568377491784,4.0
0.0,1.0592770131324725,4.0
