Previsões,Valores reais
6.2083771889259625,6.431798275933005
6.255315146824061,6.468521082957745
5.566697128698529,5.388276691992658
5.671686157000307,5.6439741428068775
6.09582367528342,6.1249387366083
5.650506092196167,5.681936665037238
5.887016138686839,5.882728704344236
6.412145290245357,6.7447274948966935
5.811127674416258,5.943095148663527
5.804529811717503,6.036212172654444
5.459036365903838,5.300162274132754
5.727005815763835,5.896196279044043
5.25966394622133,5.152427340857888
5.245619509911297,5.079876673709276
5.6936046988164435,5.634512015109101
4.841556935514466,4.522878745280337
4.7826995169256525,4.672028376376989
6.022340715905207,6.070581074285707
5.498313050486016,5.139063379299906
6.274587183993146,6.337242168318426
5.917824798334565,6.1938200260161125
5.955654187131912,5.91721462968355
5.763261457975429,5.531652669587842
4.6709266837027705,4.522878745280337
4.673942247009022,4.522878745280337
5.01748917771277,5.023650020996727
5.212943194842405,5.133122185662502
5.005359392016468,4.799149501908922
5.2125761496833745,5.350665141287858
5.445549114312701,5.367542707815276
5.3280286337129406,5.521433504406157
5.810574328621228,5.681936665037238
5.484828015278389,5.36251027048749
5.361685558969953,5.333482019445119
5.402094432336141,5.281498311132726
5.6711636930671405,5.958607314841775
5.280541476030305,5.042871802323187
5.201319168800248,4.9503943874050265
5.618964586805546,5.568636235841013
5.4759498028528855,5.522878745280337
5.767029843294584,5.701146923590294
5.807467420476359,5.235077015350112
6.604157132569679,6.769551078621726
5.853172132431813,5.723538195826756
6.77395987631915,7.221848749616356
5.916949976783079,5.809668301829708
6.241917931249295,6.4089353929735005
5.78582171981991,5.703334809738469
5.708096879726673,5.671620396561262
5.223649054510236,4.997402019280091
5.161723043089311,4.861697301833718
5.764850065168568,5.85078088734462
5.942062353699676,6.086186147616283
6.105992999851715,6.366531544420414
5.533677848319372,5.4156687756324695
5.860339601992058,5.966576244513051
5.834396395957724,5.823908740944319
5.517149408841525,5.425968732272281
6.259536325283551,6.356547323513813
5.535450017338512,5.812479279163537
6.061842421312085,6.251811972993799
5.942295461706355,5.935542010773082
5.801253616923491,5.943095148663527
5.995002037990791,6.022276394711152
6.0749768428674304,6.356547323513813
5.800375027183609,5.421360790031928
6.634065124294441,6.920818753952375
5.9795730740389645,5.85078088734462
5.749581145699668,5.7121982700697735
7.027008359940266,7.522878745280337
5.880122247356731,5.785156151952302
4.644993807365292,4.522878745280337
5.0634027221672655,5.094743951251549
5.058043219941087,5.13430394008393
5.667821144852713,5.563837352959244
5.962069801253859,5.935542010773082
5.990427640628656,6.346787486224656
5.199908352028084,4.633017024022149
5.8143809870922505,5.739928612014925
5.834737281645301,5.790484985457369
6.07308753442317,6.180456064458132
5.0248877401469745,4.522878745280337
5.773594983936201,5.554395796726403
5.9001216650349555,5.7447274948966935
5.348473463523,4.897223385116559
5.057266659966642,5.150580586203101
5.924238149671564,6.045757490560675
6.002815180573919,5.939302159646388
5.806354770061026,5.563837352959244
6.824987929410587,6.958607314841775
6.321274595205341,6.3872161432802645
6.128238548184713,6.096910013008056
6.80470286741795,7.397940008672037
5.5844029600919525,5.543633966870957
5.948122941530191,5.892790030352131
5.685558878332588,5.795880017344075
4.966664577945371,5.197226274708024
4.7486451077051335,4.522878745280337
5.4234386254330476,5.769551078621726
4.8050135940074,4.522878745280337
4.68254329799006,4.522878745280337
5.932789221888852,5.935542010773082
6.267818520367686,6.251811972993799
5.937266096891641,5.756961951313706
7.482693784675348,8.0
6.309124339902142,6.259637310505756
6.015451681516478,6.050609993355088
5.949095778788493,5.889410289700751
5.997776925595345,6.008773924307505
6.141518484484951,6.309803919971486
5.913245791728324,5.966576244513051
4.637471977255193,4.522878745280337
5.080295213242348,5.100179497572904
6.924386136492931,7.221848749616356
6.193969181037695,6.337242168318426
5.739675196329801,5.609064892896621
5.962770182415028,5.987162775294828
