F03[C-N],SpMin1_Bh(p),RNCG,SpMax_B(v),SpMax_B(p),Tv,SpDiam_B(p),H4s,H6i,Eig07_EA,SpMin1_Bh(e),SpMax1_Bh(i),F05[C-C],RDF145s,F06[C-N],SpMax1_Bh(e),H7u,Eig12_EA(ri),SM02_AEA(ri),DP18,SP18,SpMax5_Bh(e),Eig07_EA(ed),nHet,CATS3D_07_LL,Eig12_EA(bo),F10[N-Cl],SM6_B(i),SM11_EA(bo),VE2_B(s),Eta_sh_p,RDF150s,nCb-,T(O..O),F03[N-F],Mor08s,RDF085u,CATS2D_05_AL,P_VSA_m_3,MATS7s,F06[N-Cl],alvo
9,2.08559786896648,0.158158999834749,3.90858396930357,3.87532940866743,22.3114251139585,5.81507790454784,4.89667602464483,0.599931794382521,1.54750416536519,1.95313303175846,4.18454556882735,19,12.3099695256277,8,4.13555446698148,0.202039497590274,0.679494040539303,3.67548185366589,9.92331176894221,10.0471259928794,3.2611033115447,3.67548185366589,8,7,1.03800016866094,2,9.47014982980562,17.1032498332418,0.157440499704282,0.163016157989228,1.04806544858945,5,0,0,-2.02554923434018,12.3965859866167,7,25.1449270324178,-0.0882737018290419,0,6.1938200260161125
9,2.08575397895544,0.160350682281801,3.90802894862945,3.87435198799505,23.4299633502447,5.81397275687355,5.32185115388786,0.663469189668382,1.54755973755737,1.9533210222535,4.18454917910097,19,0.91342174615091,8,4.13552282969214,0.238591580789496,0.679478076438323,3.67563296206769,10.6811479884157,10.818614634967,3.2647750538505,3.67563296206769,8,5,1.03795372492131,1,9.46924898547913,17.0528983822452,0.150174463143968,0.163016157989228,14.5509126708417,5,0,0,-4.06070379737318,13.5156761383186,6,25.1449270324178,-0.0646312703128973,1,5.91721462968355
9,2.08571046051047,0.162565111551043,3.90801363409912,3.8742849695196,22.5773750859389,5.81391888953644,5.70266731870807,0.672462382203232,1.76974365320093,1.95326945584079,4.18454836773497,19,0.0090359589160521,8,4.1355286662617,0.238208008864021,0.679397952443448,4.96257486685741,10.406244834094,10.5610313178968,3.26284737965418,4.96257486685741,8,5,1.03783066094159,2,9.46820982461135,17.0344274510126,0.149811990028843,0.163016157989228,14.9389433796661,5,0,0,-4.4788439874798,11.811726680058,8,25.1449270324178,-0.0150653283632217,0,5.531652669587842
13,2.100315590279,0.118869953518586,3.92109234183281,3.89116449948565,34.6710392451327,5.81601962252365,7.10369005342845,1.15849118290789,1.9359537171361,1.9757816411481,4.1974808945453,32,25.7569603781625,10,4.15365219207748,0.436825661245507,1.05945723085516,5.65005878132736,14.3853062057529,14.5734686671898,3.42252566523796,5.65005878132736,6,18,1.53661511710864,0,9.67948793472872,17.1380397580964,0.127867881590844,0.0994035785288271,19.9839204414025,6,12,0,-1.31768698492512,25.6289155634229,10,50.2898540648355,-0.0372180501284215,0,4.522878745280337
13,2.1001994768437,0.118955393491684,3.92080365542334,3.8907874966612,38.3231481035879,5.8154959316774,7.36979097636664,1.61620628320003,1.87938524157182,1.97510005017323,4.19741013761471,30,11.1796412883044,10,4.15355302924226,0.58131182733428,1.09221311702179,5.62731081166063,15.4338295807095,15.6042304473243,3.42621838246308,5.62731081166063,6,14,1.57504111690221,0,9.67877407958679,17.1070285038213,0.123235782935686,0.0994035785288271,23.5575215173022,6,12,0,-5.29518648288226,26.6912302512379,11,50.2898540648355,-0.0390532136845027,0,4.522878745280337
13,2.09968011700452,0.152393647823095,3.92074423531975,3.89053710463687,38.7958620547569,5.81532815018943,7.81912139290617,1.91376848437285,1.88811566597022,1.96901477131597,4.19701884394372,34,18.2230596662814,11,4.15324498253418,1.12559421388073,1.1697190465247,5.69077803822141,15.9784674803276,16.2441581656773,3.43020662321051,5.69077803822141,8,10,1.70278426644131,0,9.70413661863447,17.1374775899352,0.113762833629218,0.0956022944550669,43.5281025985073,6,57,0,-1.11745936720359,29.1055807042384,8,72.2896298400484,-0.0982805248570025,0,5.023650020996727
15,2.09889675568643,0.111841114650388,3.91937873087144,3.88897037266855,34.8591207309676,5.81323949554472,8.15890005839556,1.23489603015389,1.89960488155872,1.96604169535084,4.19621195675087,27,26.0679169014107,13,4.15195394985239,0.431298101311652,1.13720557174752,5.50586654999091,14.7428836492081,14.9401437061008,3.45015185202459,5.50586654999091,8,7,1.72378489140025,0,9.67056904344474,17.0404584466941,0.115062244758558,0.0818053596614951,11.1784174544797,5,12,0,-2.49870934575454,21.2787423772253,9,50.2898540648355,-0.130219066723786,1,5.133122185662502
15,2.09881867871683,0.109691432302794,3.91981018620645,3.88958856646796,42.9270634752315,5.81390911129692,8.28238899117894,1.62853416831591,1.89966166143969,1.96599214427825,4.19620298723005,27,48.1724664059368,13,4.15201551545649,0.909651276584125,1.22012504330767,5.66350972088193,16.94050533495,17.1045264688274,3.45032126751018,5.66350972088193,9,8,1.79135391661516,1,9.70123409925617,17.1335255384045,0.112912557818126,0.119079837618403,16.1911154855099,6,12,0,-6.01590011697519,18.4902267062277,10,50.2898540648355,-0.112605696352474,1,4.799149501908922
15,2.09885133000887,0.111169157848155,3.91967848625366,3.88940317391876,44.6704170150161,5.81368944132382,8.22098795341832,1.62746082954187,1.9492328217144,1.96600624597587,4.19620480452341,27,38.0406972742252,13,4.1520033151725,0.908941863144293,1.19741583344367,5.80968920509455,17.727391487512,17.8743825483355,3.45215255698364,5.80968920509455,9,6,1.79144329691788,0,9.70052737426766,17.0964755843122,0.11232896526055,0.119079837618403,22.0485888730986,6,12,0,-6.35094204535852,16.6919460973784,9,50.2898540648355,-0.0104008875196409,1,5.350665141287858
15,2.0990711683359,0.0963391729421129,3.91965962463128,3.88922086125746,44.8831264081902,5.81352319516937,12.5669720911672,1.50442651498613,2.03185888698861,1.96624569182343,4.19673457395776,28,40.8429293521343,14,4.15251528265014,0.581361043958781,1.21789411413621,5.90349006326854,17.3124510696617,17.4559899469175,3.47505540231175,5.90349006326854,10,7,1.78702750706637,0,9.75715370802678,17.1006095198155,0.10640298864701,0.0869565217391305,138.189982531081,5,12,0,0.531522409625285,18.5757766629339,10,95.1701938778729,0.233087715566334,0,5.367542707815276
15,2.09906885319117,0.0964046439942992,3.9196240544317,3.8891833978542,46.8302154695584,5.81346864623789,12.9749882613834,1.39676707802052,2.03189891302727,1.96623920016994,4.19671771802442,27,64.6276137069745,13,4.15249387164481,0.687004465872646,1.21883183609373,5.88582086960403,18.5461533409995,18.6613589208286,3.48725293364352,5.88582086960403,10,7,1.78812230568249,0,9.75714418889502,17.0943452836573,0.106255343457313,0.0869565217391305,51.7891728024926,5,12,0,3.69638154533421,20.1775132904156,10,95.1701938778729,-0.0867259408720586,0,5.521433504406157
15,2.09921921010724,0.0849395497354287,3.9204659342856,3.89010114906234,48.413879824505,5.81453848678124,14.184926351288,1.81236077282482,2.34470524810927,1.96649315866522,4.19733999841026,29,51.0873383049253,15,4.15326680946537,0.641416194990607,1.38674303648955,7.12159812368595,18.146432089348,18.2767767572871,3.47931962787487,7.12159812368595,13,7,1.99137160621908,0,9.86156902436024,17.1947072164761,0.0987424109875856,0.126103404791929,154.90272974049,6,12,0,1.93611248610759,21.8919958761109,10,140.05053369091,0.31507938867592,0,5.681936665037238
11,2.08507729453642,0.139306338433438,3.90662414534399,3.87215331650521,27.3086558449001,5.8114993688159,6.02008043342512,0.809361730602363,1.66975062184071,1.94685868499717,4.18432066557131,16,3.82351187580969,11,4.13485622341576,0.324770186851983,0.679751801826549,4.71661643116515,12.4488059005506,12.4821504821947,3.28994901986054,4.71661643116515,9,2,1.0382343355342,0,9.49955200567111,17.0230753542417,0.135471247143997,0.130982367758186,6.4722752796305,5,0,0,-1.4949124142277,7.97067896290113,6,40.1050403034302,0.166851116192563,1,5.36251027048749
11,2.08504544582534,0.148003136128507,3.9063860389588,3.87193075363286,27.6210622683384,5.81125322650018,4.57001312572064,0.789989791988373,1.66786657637627,1.94705297065154,4.18426002540256,16,4.46854579632798,11,4.13475133881326,0.324775268789374,0.679739285094788,4.67894940078546,12.7868208601978,12.8658330560813,3.28885756640853,4.67894940078546,8,3,1.03823314384744,0,9.44998863784885,16.9574998382199,0.139726322868785,0.152334152334152,7.42148057938182,4,0,0,-2.97804496339663,9.51934319385272,7,25.1449270324178,-0.0152635557413104,0,5.333482019445119
11,2.08546367246724,0.123533899455079,3.90665200413328,3.87211114507542,29.0971914311877,5.81145934094929,9.01646573589461,0.935602127049759,1.72286732826895,1.94770003496925,4.18474817547341,17,20.8624846708156,12,4.1353093702134,0.299991808071076,0.952073082954551,4.98795979456423,12.60297112032,12.6213758481468,3.31214170283048,4.98795979456423,10,3,1.5,0,9.55870811341622,17.0275234358515,0.126746702806314,0.117028731604765,66.6891566179256,4,0,0,1.63134492284029,8.48201455853582,7,70.0252668454551,0.320035803906744,0,5.281498311132726
11,2.08545128357926,0.123628172649771,3.90661493524966,3.87206966876579,30.5296368869007,5.81140586599502,9.98682663570059,0.843465226296638,1.72624014124508,1.9476776718285,4.1847310055167,16,69.9226633610125,11,4.13528572637701,0.401684341476673,0.952075687917982,5.00263116471281,14.0009360203563,13.9896674342869,3.31133988866773,5.00263116471281,10,3,1.5,0,9.5586965148962,17.0207826212811,0.126398610656535,0.117028731604765,29.3741406597804,4,0,0,5.41904236711383,10.0983524083437,7,70.0252668454551,-0.111058739894315,0,5.958607314841775
11,2.08584475145002,0.107355865937632,3.9074569833344,3.873050844848,31.3755164773039,5.81247834220892,11.3317725842374,0.976681431351131,2.0,1.94871518942587,4.18530770578131,18,37.44829637876,13,4.13605424467827,0.349084614363718,1.15686642025533,5.70175287829319,13.3062032158341,13.3437804120697,3.43120189369052,5.70175287829319,13,3,1.6976323029318,0,9.68464145148932,17.1284074391408,0.122016517855852,0.163746416056069,82.9857177655317,5,0,0,2.26721442972622,11.803712445423,7,114.905606658493,0.385785994191437,0,5.042871802323187
11,2.08526639805938,0.123020180351105,3.90709256594108,3.87274577813731,30.4227776423942,5.81211967277179,13.0196010141273,0.936012541060902,1.88421308352703,1.94747499108663,4.18473870136315,17,64.8338079322987,12,4.13538020541474,0.301705785245481,0.952077511462652,5.48143772846791,13.0737568927202,13.1248952299599,3.31220138129809,5.48143772846791,11,3,1.5,0,9.5920183027668,17.1023937931673,0.126350120579335,0.161118508655127,12.2654642521404,5,0,0,-0.650893509103523,8.732612088544,7,70.0252668454551,0.376315283548703,0,4.9503943874050265
11,2.0854202267248,0.144024388622942,3.90635972764003,3.87181230063188,28.3819361239065,5.81113688629105,4.70038542153165,0.823801995925968,1.66786657637626,1.94815826769185,4.18461570523445,16,7.78640467379138,11,4.13510020430028,0.407226151280787,0.679754665421681,4.67894940078547,12.440893023531,12.4856839621699,3.29627190569607,4.67894940078547,7,3,1.03823314384744,0,9.44906484636479,16.9574998382199,0.139898244962105,0.0968586387434555,16.1622177335599,4,0,0,-2.3621047598998,12.5064974748458,7,25.1449270324178,-0.0378172402744576,0,5.568636235841013
11,2.08524944045023,0.184532238023741,3.90636718569967,3.87179440033667,29.9109600774334,5.81112158012367,4.80821127789211,1.03942882958673,1.6762099698216,1.94700907843017,4.18449774308736,17,13.9786341547655,12,4.1350185992864,0.331958614819387,0.679787169324939,4.72564647679473,13.2962626481535,13.4010884276455,3.29893393001342,4.72564647679473,8,3,1.03824825786759,0,9.46472657897344,16.961838225572,0.134635867523503,0.0943877551020409,12.0786267612798,4,7,0,-1.79290266134316,11.8896929913434,7,36.1448149200242,0.0173754636182478,0,5.522878745280337
14,2.09228447187331,0.0977605520379153,3.91073756724642,3.87600046494289,42.1236387681967,5.8247431661214,14.4629404136583,1.64801038585883,1.9886459186502,1.94979386570679,4.19071334757232,24,42.0278303531995,17,4.14243457004813,0.80268034552781,1.21578267960654,5.74560199741264,17.2883723027542,17.4237754190964,3.44055324131594,5.74560199741264,10,2,1.78896333671368,0,9.72998855804198,17.099473838178,0.112045219819987,0.0744132799084144,20.9799261185496,6,12,1,-5.93982339978832,21.1254639044321,12,80.2100806068604,0.0749558904466188,0,5.701146923590294
14,2.09242824118356,0.0929478100131784,3.91223726046562,3.87757817682958,43.4100364550994,5.82855423101921,15.4812502021436,1.67592023695014,2.16043821835585,1.94919752938169,4.19097079948892,24,46.157601867291,17,4.14287960214159,0.79766481178366,1.32656890354593,6.08413503579686,17.9430356867673,17.8899289745101,3.44252459065175,6.08413503579686,12,2,1.93997021479289,0,9.79954340853128,17.1635577725435,0.10895808055923,0.105146651909242,71.4939513239892,8,12,1,-12.3130777546539,21.8099822240071,12,110.130307148885,0.0795028103215898,0,5.235077015350112
14,2.09103003531457,0.0967985314564983,3.913867616122,3.88051565605327,44.3462486567572,5.83163528352519,15.6477569224147,1.57880136936584,2.15461556103823,1.94931657791967,4.19067210101692,24,31.503514427418,17,4.14273956970928,0.633928794340605,1.29152335610816,6.09102740156653,17.6677899104503,17.6634231712836,3.44117838777594,6.09102740156653,12,2,1.94055537043833,0,9.78561276611489,17.2242907632101,0.115535460228502,0.14760147601476,39.8096090873357,8,12,1,-7.65964732964932,19.3327143887953,12,80.2100806068604,0.0924960839722983,1,6.769551078621726
14,2.0913009199319,0.0977475994138074,3.91265217466304,3.87876893832918,46.0224468372848,5.8286176526699,15.1259133151332,1.625110354853,2.17305375675117,1.94937391757657,4.19068108532467,24,50.9681123728607,17,4.14267384168471,0.802793025681708,1.2629734919958,6.13142869807592,18.4796435917384,18.4656894290668,3.44202711370798,6.13142869807592,12,2,1.94039146222105,0,9.78495559948829,17.1798092016869,0.110883101972528,0.14760147601476,39.4562803226956,8,12,1,-5.41544523724039,21.0475423125686,12,80.2100806068604,0.0671714933973486,1,5.723538195826756
14,2.09122472469306,0.0986923525887486,3.91265932900002,3.878698246441,45.0678398587042,5.82866881412825,14.6037717937191,1.61941666871732,2.16043821835584,1.94935822931595,4.19067913393615,24,49.3155647248217,17,4.14268620301659,0.789138567705945,1.32624678457606,6.08413503579688,18.0773659231443,18.0605443949639,3.44165454406091,6.08413503579688,12,2,1.93997021479289,0,9.78419778684891,17.1635577725435,0.110652947829545,0.14760147601476,39.8992504542788,8,12,1,-5.81697944006863,19.8725156890989,14,80.2100806068604,0.0880001132171895,0,7.221848749616356
14,2.0917472751288,0.0945863660265337,3.9124299517842,3.87811711494723,44.9137298060441,5.82835359939541,15.7044217151827,1.63968205713001,2.17305375675117,1.94929669044541,4.1908070267165,24,45.3014530748954,17,4.1427599839816,0.802694430483448,1.27904688218053,6.13142869807592,18.3857292188246,18.3473693783153,3.44278955373427,6.13142869807592,12,2,1.94039146222105,0,9.79265428480226,17.1798092016869,0.109849071778481,0.126889848812095,50.4143434786575,8,12,1,-4.41567933649828,22.3325935460578,12,95.1701938778729,0.0436287560005188,0,5.809668301829708
14,2.09126142626994,0.0935073998428528,3.91444177120494,3.88124759512283,45.8706351606627,5.8328910036398,15.6476033496091,1.62718631458033,2.1736480721593,1.94914322921348,4.19078900574654,24,49.7232056373657,17,4.14289990447593,0.788625348025021,1.32940421236564,6.1358555439154,18.4156979747076,18.3687622126349,3.44340219862788,6.1358555439154,13,2,1.94110456990173,0,9.81923599909477,17.2486942887617,0.114690669464189,0.160871821484172,60.5895329553423,9,12,1,-3.08053936305529,21.2153382794491,13,95.1701938778729,0.0498189941551594,0,6.4089353929735005
