P_VSA_ppp_hal,SM06_EA(ri),SM05_AEA(ed),SM11_AEA(ed),Mor25m,Mor31v,E2s,HATS4p,DP15,nRCONR2,H-052,O-058,B10[O-Cl],F08[S-Cl],F10[O-F],Hypertens-80,CATS3D_04_LL,CATS3D_10_LL,CATS3D_11_LL,alvo
78.297288123564,7.72252172478464,10.8881656392757,21.923666298146,0.368102475551294,0.116294101111446,0.381097045299208,0.149328504336701,9.0042012360313,0,2,2,1,1,0,1,7,1,1,5.029002634427515
44.8803398130374,7.86942468784832,11.0257675385044,22.0697530563774,0.355864638631251,0.161117361755803,0.310920745443895,0.0958317036748164,7.41618445940093,0,3,2,0,0,3,0,5,1,0,7.455931955649724
44.8803398130374,7.83841985521463,11.0529355309067,22.1461210164975,0.415114831632892,0.195755213440653,0.263706875683098,0.108168147607547,7.28585293776997,0,6,2,0,0,3,0,5,1,0,8.022276394711152
44.8803398130374,7.94851916523469,11.1341071563458,22.5082389245227,0.518856201246324,0.321213969668012,0.271621493972928,0.119536584938917,7.51226315484982,0,6,2,0,0,3,1,6,1,0,8.522878745280337
44.8803398130374,8.2366994751143,11.2588457883404,22.7968999932344,0.485335163553822,0.297801222446323,0.315206255821884,0.123127068040448,7.50421637636404,0,2,2,0,0,3,0,7,1,0,6.047207556955908
44.8803398130374,7.7924886996454,11.0199233872274,22.0536297700901,0.427334287489998,0.175736644203667,0.341079402216302,0.12862134363636,8.59342876888651,0,2,2,0,0,0,1,2,1,0,6.125518182300533
0.0,7.5723844378705,10.5840812670245,21.6136386977575,-0.141029714263362,0.340690986455094,0.473733388583106,0.0829450006658048,6.79101978204735,0,0,2,0,0,0,1,6,4,0,7.1487416512809245
29.9202265420249,7.80090323147375,10.9652802430657,22.0826658230813,-0.0078788033542163,0.584996030169739,0.911955707235118,0.111500511325755,7.39292273217109,0,4,2,0,0,2,1,7,4,2,6.679853713888946
44.8803398130374,7.93421094248256,11.1341071563458,22.5082389245227,0.583316195357372,0.227095907941287,0.302396085274208,0.123831951689001,7.55030184182648,0,2,2,0,0,3,1,2,1,0,7.455931955649724
44.8803398130374,7.82243293454797,11.0529355309067,22.1461210164975,0.277797330331976,0.100374768650816,0.318301143623451,0.106191078556384,7.36584748098707,0,2,2,0,0,3,1,2,1,0,6.987162775294828
39.148644061782,7.68932721366019,10.796407298087,21.8032053891312,0.19765569050629,0.121900117391145,0.461909582365513,0.140508941740831,7.70528830276787,0,2,2,1,0,0,1,5,1,0,5.8474059220725305
0.0,7.54553857891674,10.5840812670245,21.6136386977575,-0.0053287150119813,0.310621702180439,0.484340876185237,0.0913434449381937,6.65957296653213,0,2,2,0,0,0,1,2,0,0,6.504455662453552
0.0,7.94665228521774,10.909271578893,22.0737397906156,-0.391052074747443,0.370500389320609,0.344631761149609,0.11690906232471,5.95742178237613,0,7,2,0,0,0,1,5,1,0,7.397940008672037
0.0,8.23105860312631,11.0527771125552,22.6285439072261,-0.356664274774478,0.384496528381252,0.458843992009096,0.129022873589019,6.35088989083764,0,0,2,0,0,0,1,4,2,0,8.229147988357855
39.148644061782,7.61448655551418,10.6963669394951,21.7597600232986,0.272937678846056,0.10798789161201,0.299404431304216,0.11486631051439,8.63238061567306,0,0,2,0,0,0,1,4,5,0,6.863279432843593
74.8005663550623,7.91828281552685,11.1628146442441,22.3358766294686,0.351672134448881,0.0933438764450941,0.460439018749465,0.0956821897563554,8.84646718975491,0,0,2,0,0,7,0,4,4,1,7.200659450546419
39.148644061782,7.70448022935242,10.8359468655719,21.9026727957242,0.264119167083976,0.128830712708053,0.393961260993001,0.132873284378577,7.42853015877729,0,2,2,0,0,0,1,5,1,0,6.6439741428068775
59.8404530840499,7.98811652194855,11.2016471786633,22.5903867314156,0.65753286171453,0.242157894730542,0.317176502063903,0.123113093469757,7.52084555848565,0,2,2,0,0,3,1,2,1,0,7.022276394711152
0.0,7.76313989977547,10.8593258672128,21.9305222647751,0.2435507813697,0.159981100317574,0.422789601582712,0.117097251605592,7.28686879580934,0,2,2,0,0,0,1,2,1,0,5.0
74.8005663550623,8.10096125386464,11.314145203733,22.7347013367146,0.622036028013843,0.181781026066658,0.503542508040685,0.107651406102504,7.43356850208757,0,2,2,0,0,3,1,2,1,0,8.602059991327963
44.8803398130374,7.89663802538381,11.1075253547497,22.1872438014711,0.263502686232453,0.0505084198103726,0.227213745175948,0.109865022193322,7.33102642743407,0,2,2,0,0,3,1,2,1,0,7.42021640338319
29.9202265420249,8.40058282751149,11.3275231675644,22.8514198918047,-0.152702442271953,0.556435920467587,0.520477344845935,0.117277521935285,6.47016479530215,0,0,2,0,0,2,1,7,2,0,6.889410289700751
