SpMin1_Bh(p),F05[C-N],F04[N-O],nArCO,F10[N-Cl],alvo
2.06619545627947,7,1,1,0,6.431798275933005
2.0860263639504,7,0,0,1,6.468521082957745
2.08573258080707,7,0,0,2,5.388276691992658
2.0863418790973,7,0,0,1,5.6439741428068775
2.08594024176855,7,0,0,0,6.1249387366083
2.0870028368817,8,0,0,0,5.681936665037238
2.09330762417941,13,1,0,0,5.882728704344236
2.09496805780448,15,1,0,0,6.7447274948966935
2.08521245223812,10,0,0,0,5.943095148663527
2.08525417543728,10,0,0,0,6.036212172654444
2.08506564352015,10,0,0,0,5.300162274132754
2.08490830692647,10,0,0,1,5.896196279044043
2.08691350922283,7,0,0,0,5.152427340857888
2.08794321269317,9,0,0,0,5.079876673709276
2.09898601626382,12,0,0,0,5.634512015109101
2.09964145368162,9,0,0,0,4.522878745280337
2.09963830267315,9,0,0,0,4.672028376376989
2.08635950387746,7,0,0,0,6.070581074285707
2.08646359850713,7,0,0,0,5.139063379299906
2.08645048357548,7,0,0,0,6.337242168318426
2.08559786896648,7,0,0,2,6.1938200260161125
2.08575397895544,7,0,0,1,5.91721462968355
2.08571046051047,7,0,0,2,5.531652669587842
2.100315590279,10,0,0,0,4.522878745280337
2.1001994768437,11,0,0,0,4.522878745280337
2.09968011700452,9,0,0,0,5.023650020996727
2.09889675568643,12,0,0,0,5.133122185662502
2.09881867871683,12,0,0,1,4.799149501908922
2.09885133000887,12,0,0,0,5.350665141287858
2.0990711683359,12,0,0,0,5.367542707815276
2.09906885319117,13,0,0,0,5.521433504406157
2.09921921010724,12,0,0,0,5.681936665037238
2.08507729453642,10,0,0,0,5.36251027048749
2.08504544582534,10,0,0,0,5.333482019445119
2.08546367246724,10,0,0,0,5.281498311132726
2.08545128357926,11,0,0,0,5.958607314841775
2.08584475145002,10,0,0,0,5.042871802323187
2.08526639805938,10,0,0,0,4.9503943874050265
2.0854202267248,11,0,0,0,5.568636235841013
2.08524944045023,10,0,0,0,5.522878745280337
2.09228447187331,15,1,0,0,5.701146923590294
2.09242824118356,15,1,0,0,5.235077015350112
2.09103003531457,15,1,0,0,6.769551078621726
2.0913009199319,15,1,0,0,5.723538195826756
2.09122472469306,15,1,0,0,7.221848749616356
2.0917472751288,15,1,0,0,5.809668301829708
2.09126142626994,15,1,0,0,6.4089353929735005
2.09224919650276,15,1,0,0,5.703334809738469
2.08706497115682,8,0,0,0,5.671620396561262
