SpMin1_Bh(p),F05[C-N],TPSA(Tot),B10[C-S],RTp,RDF040s,alvo
2.06619545627947,7,100.3,1,15.4462527708887,96.6239744041578,6.431798275933005
2.0860263639504,7,85.31,0,10.8735649877976,48.4919830011094,6.468521082957745
2.08573258080707,7,85.31,0,11.5154869953044,59.3622425868285,5.388276691992658
2.0863418790973,7,85.31,0,10.972350705385,48.1944821396207,5.6439741428068775
2.08594024176855,7,85.31,0,11.4213992936331,32.2216681170322,6.1249387366083
2.0870028368817,8,85.31,0,10.2400450215961,42.7120754135445,5.681936665037238
2.09330762417941,13,97.62,0,12.8050769250293,73.0774603459227,5.882728704344236
2.09496805780448,15,88.39,0,13.1752313739392,73.635447987202,6.7447274948966935
2.08521245223812,10,97.34,0,10.2842678339702,30.3406118079364,5.943095148663527
2.08525417543728,10,97.34,0,10.1194527476383,34.620174387445,6.036212172654444
2.08506564352015,10,97.34,0,10.8760704419423,44.8971503822371,5.300162274132754
2.08490830692647,10,97.34,0,11.545657007278,62.8698942874414,5.896196279044043
2.08691350922283,7,85.31,0,10.1909895816276,42.5267090608438,5.152427340857888
2.08794321269317,9,85.31,0,10.2595871740303,57.86137762599,5.079876673709276
2.09898601626382,12,87.53,0,12.7353559054617,58.1592914868938,5.634512015109101
2.09964145368162,9,84.73,0,12.9490224290061,48.9727166705559,4.522878745280337
2.09963830267315,9,84.73,0,12.6278445986186,54.6503415354917,4.672028376376989
2.08635950387746,7,85.31,0,10.4631150327493,31.753678201421,6.070581074285707
2.08646359850713,7,85.31,0,10.3124617497751,84.7618190680067,5.139063379299906
2.08645048357548,7,85.31,0,10.2786235945804,36.7350166781968,6.337242168318426
2.08559786896648,7,85.31,0,11.861106000815,65.1760403268709,6.1938200260161125
2.08575397895544,7,85.31,0,11.632141328742,61.0052229155844,5.91721462968355
2.08571046051047,7,85.31,0,11.6399975226107,57.4753529785551,5.531652669587842
2.100315590279,10,75.5,0,13.4458434236561,53.3504114734437,4.522878745280337
2.1001994768437,11,75.5,0,13.1165956988068,41.6671809395707,4.522878745280337
2.09968011700452,9,93.96,0,12.8987059580432,58.5901638629849,5.023650020996727
2.09889675568643,12,87.53,0,13.8218417978918,56.3918886897044,5.133122185662502
2.09881867871683,12,87.53,0,13.5360333437359,67.5115765708293,4.799149501908922
2.09885133000887,12,87.53,0,13.3869021262136,64.2332780828591,5.350665141287858
2.0990711683359,12,87.53,0,12.3319030846255,46.2211900274884,5.367542707815276
2.09906885319117,13,87.53,0,12.4072023385758,45.7658982133594,5.521433504406157
2.09921921010724,12,87.53,0,12.2057271244252,56.3587083915244,5.681936665037238
2.08507729453642,10,97.34,0,10.7960481685842,46.848686593521,5.36251027048749
2.08504544582534,10,97.34,0,11.0192271373016,30.7867980620133,5.333482019445119
2.08546367246724,10,97.34,0,10.0178476371157,41.5782106549652,5.281498311132726
2.08545128357926,11,97.34,0,10.0916005918048,41.1343743751453,5.958607314841775
2.08584475145002,10,97.34,0,9.8432162917114,51.7203390738394,5.042871802323187
2.08526639805938,10,97.34,0,10.4484175815255,53.5446081178913,4.9503943874050265
2.0854202267248,11,97.34,0,10.3520897678479,33.7940415008922,5.568636235841013
2.08524944045023,10,106.57,0,10.2912418202149,40.6793578107917,5.522878745280337
2.09228447187331,15,100.42,0,11.9768004551157,47.8565048248091,5.701146923590294
