NddssS,NsF,CATS2D_08_PL,CATS2D_01_LL,T(Cl..Br),B07[N-F],B08[C-F],B08[N-S],F01[O-S],F02[C-Cl],F06[C-C],alvo
0,6,0,9,0,1,1,0,0,0,25,6.3872161432802645
0,5,0,9,0,1,1,0,0,2,25,6.096910013008056
0,3,0,10,0,0,1,0,0,6,28,7.397940008672037
0,4,0,11,0,0,1,0,0,4,28,5.543633966870957
0,4,0,9,0,1,1,0,0,4,24,5.892790030352131
0,6,0,14,0,1,1,0,0,2,28,5.795880017344075
0,0,0,15,0,0,0,0,0,0,31,5.197226274708024
0,3,0,17,0,0,1,0,0,0,32,4.522878745280337
0,3,0,17,0,1,1,0,0,0,31,5.769551078621726
0,4,0,15,0,0,1,0,0,0,32,4.522878745280337
0,3,0,15,0,0,1,0,0,2,32,4.522878745280337
0,3,0,11,0,1,1,0,0,4,24,5.935542010773082
0,6,0,12,0,1,1,0,0,2,25,6.251811972993799
0,6,0,12,0,1,1,0,0,2,24,5.756961951313706
0,9,0,12,0,1,1,0,0,2,26,8.0
0,9,0,14,0,0,1,0,0,2,30,6.259637310505756
0,2,0,10,0,0,1,0,0,4,27,6.050609993355088
0,2,0,9,0,0,1,0,0,6,27,5.889410289700751
0,1,0,12,0,0,1,0,0,4,27,6.008773924307505
0,1,0,11,19,0,1,0,0,2,27,6.309803919971486
0,4,0,13,0,0,1,0,0,2,28,5.966576244513051
0,0,0,17,0,0,0,0,0,0,31,4.522878745280337
0,2,0,13,0,0,1,0,0,0,31,5.100179497572904
0,7,0,10,0,1,1,0,0,2,25,7.221848749616356
0,7,0,12,0,0,1,0,0,2,29,6.337242168318426
0,6,0,12,0,0,1,0,0,4,29,5.609064892896621
0,6,0,12,0,1,1,0,0,2,28,5.987162775294828
