HATS5s,alvo
1.97616608170271,6.431798275933005
1.46111102146797,6.468521082957745
1.66118148122098,5.388276691992658
1.27210744624444,5.6439741428068775
1.25532288133006,6.1249387366083
1.56266352128167,5.681936665037238
1.67722215147108,5.882728704344236
1.12546682515637,6.7447274948966935
1.13292362652433,5.943095148663527
1.42024189878049,6.036212172654444
1.16407403245561,5.300162274132754
1.28336572100264,5.896196279044043
1.42327278138551,5.152427340857888
1.72171551178734,5.079876673709276
1.17866927685328,5.634512015109101
1.38781923929688,4.522878745280337
1.29992402983406,4.672028376376989
1.27401611191412,6.070581074285707
1.32219752566227,5.139063379299906
2.04131424140399,6.337242168318426
1.48746316408746,6.1938200260161125
1.43096221121181,5.91721462968355
1.64575838683036,5.531652669587842
0.656540360899033,4.522878745280337
0.842911455685103,4.522878745280337
0.873019365983657,5.023650020996727
0.892082094509395,5.133122185662502
1.10983334628284,4.799149501908922
1.02923221441146,5.350665141287858
1.17772516516676,5.367542707815276
1.11145639460061,5.521433504406157
1.32297918355856,5.681936665037238
1.18630528517064,5.36251027048749
1.13154154594564,5.333482019445119
1.49242022103071,5.281498311132726
1.36821899836843,5.958607314841775
1.64072224555709,5.042871802323187
1.48568544787985,4.9503943874050265
1.06249047937363,5.568636235841013
1.05501087749472,5.522878745280337
1.16782908523052,5.701146923590294
2.47181689095547,5.235077015350112
1.77321214498157,6.769551078621726
1.34120758519552,5.723538195826756
1.80591969648831,7.221848749616356
1.36823580297148,5.809668301829708
1.8250306205496,6.4089353929735005
1.22463814053861,5.703334809738469
1.56613905419677,5.671620396561262
1.22746902225073,4.997402019280091
1.86090089198465,4.861697301833718
1.53919767290834,5.85078088734462
1.1546412604039,6.086186147616283
1.7987209216074,6.366531544420414
0.892755280978061,5.4156687756324695
1.43055490657142,5.966576244513051
1.72738505247849,5.823908740944319
1.26620300823395,5.425968732272281
1.55071066934387,6.356547323513813
1.08913132594653,5.812479279163537
1.33243215975903,6.251811972993799
1.68139848205098,5.935542010773082
1.46192814855781,5.943095148663527
1.78184835071149,6.022276394711152
1.62546473291369,6.356547323513813
1.76143882436759,5.421360790031928
1.01677192898718,6.920818753952375
1.21683220335167,5.85078088734462
2.47594718365187,5.7121982700697735
1.84939076976415,7.522878745280337
0.973792896042933,5.785156151952302
0.964228446641123,4.522878745280337
1.03876092910879,5.094743951251549
1.15182193995165,5.13430394008393
1.08811607758424,5.563837352959244
1.19017338052901,5.935542010773082
2.30312458115772,6.346787486224656
1.34121837646924,4.633017024022149
1.30888880956334,5.739928612014925
2.39743294092481,5.790484985457369
1.50747444098999,6.180456064458132
1.85752837690686,4.522878745280337
1.32918353604298,5.554395796726403
1.2872875947291,5.7447274948966935
1.56000821905643,4.897223385116559
0.924890856916657,5.150580586203101
1.40884074470371,6.045757490560675
1.68956827668223,5.939302159646388
1.44721832383814,5.563837352959244
1.79335705200551,6.958607314841775
1.55836876724182,6.3872161432802645
1.53161968088571,6.096910013008056
1.83932449067804,7.397940008672037
1.54712819547349,5.543633966870957
1.41492156009989,5.892790030352131
1.53200659594883,5.795880017344075
0.903619035277024,5.197226274708024
1.19188856147603,4.522878745280337
1.17253168667488,5.769551078621726
1.34988691517452,4.522878745280337
1.32492623949931,4.522878745280337
1.26761735861748,5.935542010773082
1.58005696237196,6.251811972993799
1.48269442422796,5.756961951313706
1.83321403131226,8.0
1.75704335286903,6.259637310505756
1.27846017403101,6.050609993355088
1.67422755915347,5.889410289700751
1.14839038191157,6.008773924307505
1.06161707848992,6.309803919971486
1.44226626779392,5.966576244513051
0.911312447234459,4.522878745280337
1.39341039724696,5.100179497572904
1.74237538758352,7.221848749616356
1.59065355721666,6.337242168318426
1.60999928548574,5.609064892896621
1.65466107476778,5.987162775294828
