F03[C-N],F05[C-N],MATS7e,ATSC3i,R5m+,alvo
10,7,0.145152659743963,1.78531394120338,0.0273866333407839,6.431798275933005
9,7,-0.0246689666086206,1.26734606855,0.0617153377617265,6.468521082957745
9,7,-0.0233971202294694,1.22472539255,0.0617770462469237,5.388276691992658
9,7,-0.152294618036355,1.21791371879935,0.0527294099288485,5.6439741428068775
9,7,-0.0147087273926928,1.1548866346875,0.0660712364734715,6.1249387366083
9,8,-0.0441171351419569,1.55521647199567,0.0223718542913948,5.681936665037238
12,13,-0.0704689204505476,2.12430338817294,0.026741411888587,5.882728704344236
12,15,-0.0775320988884509,2.01246583438861,0.0236160029792645,6.7447274948966935
11,10,-0.0418430905488199,1.23424928,0.0178076603116024,5.943095148663527
11,10,0.171529877893791,1.52902884637188,0.0261587327520258,6.036212172654444
11,10,-0.074755496627768,1.21232536888889,0.0181197443939898,5.300162274132754
11,10,-0.076052045313986,1.18889096888889,0.0487429106032734,5.896196279044043
9,7,0.395924351723503,1.55521647199567,0.0221308570876196,5.152427340857888
9,9,-0.0586138389329956,2.03885976853497,0.0301450160337825,5.079876673709276
15,12,0.319403308808006,1.92524712438763,0.0250340884738866,5.634512015109101
13,9,0.203731717021578,1.73578502418283,0.0252028078687533,4.522878745280337
13,9,-0.0166827598427803,1.73578502418283,0.0234555173558325,4.672028376376989
9,7,0.0075177232812781,1.1667420214875,0.0232887431134677,6.070581074285707
9,7,-0.098027778143345,1.4750408328875,0.023414866576293,5.139063379299906
9,7,0.0048740509155481,1.4528872973875,0.0334317019510475,6.337242168318426
9,7,-0.0631884007757389,1.1211596734875,0.0758160241937515,6.1938200260161125
9,7,-0.0173679026291138,1.1225957934875,0.0616934117550233,5.91721462968355
9,7,0.0084514611907397,1.1194597934875,0.0619459960699151,5.531652669587842
13,10,-0.0137511094487597,1.64563318284975,0.0152082023470592,4.522878745280337
13,11,-0.0292955759695707,1.64541092023556,0.0206576394548489,4.522878745280337
13,9,-0.0850440512235735,1.62917935319,0.0211949221880313,5.023650020996727
