F03[C-N],F05[C-N],MATS7e,ATSC3i,R5m+,alvo
12,14,-0.0910944751830812,2.45141477668252,0.0409884290672234,5.935542010773082
12,13,-0.0988639003187949,2.17586310876033,0.0455903902555852,5.943095148663527
14,15,0.188343778171442,2.10506059994055,0.0269394246681846,6.022276394711152
12,12,-0.0637440937607368,1.8338244871875,0.040259493441876,6.356547323513813
14,15,0.0135461567771041,2.10506059994055,0.0259135889487281,5.421360790031928
14,17,0.0871528592421535,2.05584301631111,0.0219484793745202,6.920818753952375
14,15,0.278130761100031,1.91171958214527,0.0268784462649388,5.85078088734462
14,15,0.250673855470346,2.21548222878117,0.0432510503461611,5.7121982700697735
14,15,0.286758373443407,1.86134380916898,0.0728745562068693,7.522878745280337
12,14,-0.0671547662916958,1.76171965388823,0.0430304299451339,5.785156151952302
13,9,-0.0844159535465976,1.4490122987184,0.0363609308995979,4.522878745280337
13,9,-0.0540231896422105,1.60809260892488,0.0466368036721657,5.094743951251549
13,9,-0.0489125701676364,1.5635576789142,0.0467427922515358,5.13430394008393
9,8,0.0597373003961268,1.32413520734404,0.0229572197438401,5.563837352959244
12,12,-0.108198979807951,1.60706470017752,0.0486898159004279,5.935542010773082
12,12,-0.0004143547257762,1.90134595590237,0.0438915772971906,6.346787486224656
12,12,-0.008956366397291,1.56012052976332,0.0556966040713407,4.633017024022149
12,13,-0.10708270192501,1.84390415867769,0.0291064411698174,5.739928612014925
12,13,-0.0267136654893895,2.16372817130579,0.0386234736079608,5.790484985457369
12,13,-0.0888498029683882,1.79387722049586,0.07000786430592,6.180456064458132
12,13,-0.0648176296285799,1.91355635849586,0.0722253872412949,4.522878745280337
12,13,-0.14462261731885,1.89823884469679,0.0618062317837252,5.554395796726403
12,13,-0.114283936610791,1.8340643157686,0.0725189918704191,5.7447274948966935
12,14,-0.0974802486298266,2.29037304727408,0.026842593748853,4.897223385116559
13,9,-0.146491249206168,1.5437719,0.0396644526705535,5.150580586203101
12,12,-0.0812273892204627,1.56139302207101,0.0723185240647092,6.045757490560675
12,12,-0.0352463905908474,1.55825702207101,0.078799252186297,5.939302159646388
14,15,0.23731803800171,2.27354576501693,0.0265939650160034,5.563837352959244
14,17,-0.038073255808183,2.72788024527777,0.0287504210179687,6.958607314841775
14,16,-0.0276215057392413,2.45878513692521,0.0233997675210584,6.3872161432802645
14,16,-0.0232207187547121,2.24371129878116,0.0244815502792067,6.096910013008056
12,13,-0.0572400778001262,1.79074122049586,0.0724543799056602,7.397940008672037
12,13,-0.0857174063271971,1.95898791816529,0.0693712218227123,5.543633966870957
14,15,0.220925763903278,2.0199199400554,0.0616037192995446,5.892790030352131
12,13,0.108769958205068,2.29037304727408,0.0238122945509008,5.795880017344075
13,9,-0.0667725005961465,1.47129443801352,0.061070547858724,5.197226274708024
13,10,-0.0568453685224124,1.87901483886161,0.0227391000391236,4.522878745280337
13,9,0.284681843395831,1.87901483886161,0.0234935444633499,5.769551078621726
13,10,-0.0586049535734525,2.0657363275,0.0217331256635171,4.522878745280337
13,10,-0.0615547216253693,1.84887656386161,0.0233159718469028,4.522878745280337
14,15,0.21584860281314,1.96792065381944,0.0601851616160551,5.935542010773082
14,16,0.142850870943614,2.34329907142223,0.021369371499737,6.251811972993799
14,15,0.353015934414147,2.34329907142223,0.0261266147025974,5.756961951313706
14,17,0.0784057497670232,2.85093013590073,0.0282862336226779,8.0
12,15,-0.0922834779438119,2.80996392624563,0.0291871687582361,6.259637310505756
12,12,-0.0779973842725802,1.7112994452034,0.0628769825692967,6.050609993355088
12,12,-0.0500930145378992,1.66798860200814,0.0764624531694771,5.889410289700751
12,12,-0.150402048545982,1.65728530029752,0.0578151770431025,6.008773924307505
12,12,-0.119066993829674,1.59204572455621,0.0679858266643791,6.309803919971486
12,13,-0.0962606565011492,1.98908296609917,0.0457608798766146,5.966576244513051
13,9,-0.054571746541646,1.49752660786757,0.0238728816807971,4.522878745280337
13,9,-0.026217746623689,1.80642906,0.02553422941439,5.100179497572904
14,16,0.112613393494252,2.54827238123055,0.0304818974175955,7.221848749616356
12,14,-0.0995136021835607,2.49783721692034,0.0266530530634633,6.337242168318426
12,14,-0.102732574544156,2.25731579115041,0.0232057346181137,5.609064892896621
12,13,0.0756085215840632,2.12430338817294,0.0291991124566548,5.987162775294828
