F06[C-C],P_VSA_LogP_7,nBM,VE1_RG,Mor03p,alvo
24,105.939917969313,30,4.78767049213558,-3.73032229369348,6.4089353929735005
24,153.024325955674,30,2.27237818219151,-3.21761402825906,5.703334809738469
19,82.3977139761322,23,2.06021087261293,-2.24885996447716,5.671620396561262
20,153.024325955674,23,2.06971793067995,-1.89390140636848,4.997402019280091
18,94.1688159727225,23,2.06151743803751,-2.44355814056848,4.861697301833718
19,82.3977139761322,23,2.06021929002022,-2.52798481818992,5.85078088734462
20,153.024325955674,23,2.07320581966908,-2.43766317807343,6.086186147616283
19,94.1688159727225,23,2.06021971913516,-2.01133973561764,6.366531544420414
19,153.024325955674,23,2.07218645019832,-2.38196112034684,5.4156687756324695
28,117.711019965903,30,4.53437486533744,-3.70161187193915,5.966576244513051
27,129.482121962493,30,4.53003161151775,-3.53686898850583,5.823908740944319
24,129.482121962493,30,4.99308645682862,-3.27276001820555,5.425968732272281
25,129.482121962493,30,5.29209002793547,-3.31225705606124,6.356547323513813
20,176.566529948855,23,2.07922586341487,-1.70235158472863,5.812479279163537
27,129.482121962493,30,4.50971654221797,-3.36983578806242,6.251811972993799
29,117.711019965903,30,4.41858171996341,-4.02070797240433,5.935542010773082
28,117.711019965903,30,4.54924412916589,-3.54862295533175,5.943095148663527
24,129.482121962493,30,5.04376541194867,-3.25288207888954,6.022276394711152
28,129.482121962493,30,4.5449869228343,-3.30646406572644,6.356547323513813
25,129.482121962493,30,5.18812859045573,-3.07637192347701,5.421360790031928
26,188.337631945445,30,2.93255356009044,-3.43582439082927,6.920818753952375
24,141.253223959084,30,4.20075226610077,-3.28718868435734,5.85078088734462
24,117.711019965903,30,4.76229039998574,-3.40468563773826,5.7121982700697735
24,117.711019965903,30,4.73992272326493,-4.06062645184982,7.522878745280337
29,188.337631945445,30,2.82535807138285,-3.66454476777721,5.785156151952302
31,164.795427952264,30,4.74868586765441,-3.61531019624944,4.522878745280337
31,164.795427952264,30,4.79764212284348,-3.38713654481901,5.094743951251549
31,153.024325955674,30,4.77551862619583,-3.84706641553122,5.13430394008393
21,153.024325955674,23,2.07250369395288,-1.82430117674632,5.563837352959244
27,141.253223959084,30,4.22851832702687,-3.21098494151678,5.935542010773082
27,117.711019965903,30,4.41351235189469,-3.35819582993751,6.346787486224656
27,117.711019965903,30,4.3534585564858,-3.64759030736369,4.633017024022149
28,141.253223959084,30,4.22554844043427,-3.48348169601931,5.739928612014925
28,117.711019965903,30,4.40601394450639,-3.59426868220083,5.790484985457369
28,117.711019965903,30,4.50889564108208,-3.95355183781087,6.180456064458132
28,105.939917969313,30,4.38978488075169,-4.28468724526688,4.522878745280337
28,153.024325955674,30,2.27060954845132,-3.71125000611979,5.554395796726403
28,129.482121962493,30,4.50600299710529,-3.82451575358381,5.7447274948966935
29,129.482121962493,30,4.59266515036499,-3.79679246513058,4.897223385116559
31,200.108733942035,30,2.26630878236284,-3.42550941741378,5.150580586203101
27,117.711019965903,30,4.45736330538886,-3.68503322267005,6.045757490560675
27,117.711019965903,30,4.40190577412082,-3.97205759440816,5.939302159646388
24,129.482121962493,30,5.06027312125544,-3.14084201674706,5.563837352959244
26,117.711019965903,30,4.81680639785901,-3.76981300062083,6.958607314841775
25,117.711019965903,30,4.89113584762275,-3.32177289355347,6.3872161432802645
25,117.711019965903,30,4.86507694408016,-3.47467158040391,6.096910013008056
28,117.711019965903,30,4.39470224046022,-4.2639308875501,7.397940008672037
28,117.711019965903,30,4.45641739046005,-3.83134088974014,5.543633966870957
24,117.711019965903,30,4.87088115405498,-3.67315981946759,5.892790030352131
28,129.482121962493,30,4.50833821733658,-3.65766613732926,5.795880017344075
31,176.566529948855,30,4.80642743692172,-3.44093967536119,5.197226274708024
32,176.566529948855,30,4.82870670184239,-3.34262766909508,4.522878745280337
31,176.566529948855,30,4.79591284504925,-3.30972506029201,5.769551078621726
32,164.795427952264,30,4.77109035338686,-3.30632293741037,4.522878745280337
32,164.795427952264,30,4.76776314988472,-3.57853328986099,4.522878745280337
24,153.024325955674,30,2.27360464210653,-3.54808998811602,5.935542010773082
25,129.482121962493,30,5.30111833555923,-3.63901787182579,6.251811972993799
24,129.482121962493,30,5.06027093138427,-3.47586934299173,5.756961951313706
26,117.711019965903,30,4.78185883413999,-4.10360566584324,8.0
30,117.711019965903,30,4.42359013770108,-4.2409448436581,6.259637310505756
27,117.711019965903,30,4.44528714014803,-3.57924278299145,6.050609993355088
27,105.939917969313,30,4.4008594720518,-3.99021327445793,5.889410289700751
27,153.024325955674,30,2.27044147072175,-3.40110953994105,6.008773924307505
27,129.482121962493,30,4.49070612219593,-3.49322234246281,6.309803919971486
28,129.482121962493,30,4.59578543167452,-3.53319577554605,5.966576244513051
31,188.337631945445,30,5.92938861987383,-2.94418279016237,4.522878745280337
31,164.795427952264,30,4.78448072642939,-3.07708749961565,5.100179497572904
25,117.711019965903,30,4.79764433064248,-3.66291464419134,7.221848749616356
29,117.711019965903,30,4.48711305881377,-3.79391590769447,6.337242168318426
29,117.711019965903,30,4.43293250607689,-3.9712485838514,5.609064892896621
28,129.482121962493,30,4.79395760233109,-3.71483016670009,5.987162775294828
