L1v,L1p,F03[C-N],HOMA,RNCG,SpMin1_Bh(p),F05[C-N],H6v,P_VSA_p_2,Tv,TPSA(Tot),Eig07_EA,Tp,H6p,SM15_AEA(bo),SpMax_B(v),SpMax_B(p),F06[C-C],CATS3D_02_AL,SpDiam_B(v),H4s,SpDiam_B(p),RDF115v,HOMT,H6i,SpMin1_Bh(e),RDF060p,CATS2D_08_AL,Eig07_AEA(ri),SpMax1_Bh(i),Eig06_AEA(bo),VE3sign_RG,F06[C-N],TPSA(NO),DP15,SpMax5_Bh(i),Eig07_EA(ed),RDF145s,SpMax1_Bh(e),MATS1p,H7v,SM02_AEA(ri),DP18,DP17,H7u,Eig12_EA(ri),SP17,SP18,CATS2D_03_AL,HATS5e,SM4_Dz(v),alvo
7.31397812032684,7.31252837068396,10,0.777438276923076,0.150586894151745,2.06619545627947,7,0.100371940518328,119.433935643089,15.321535096307,100.3,2.04175179551789,15.3691927609509,0.0963908390735381,2.04175179551789,3.96559315824151,3.95496578428625,25,5,5.87591823825168,16.6410466054512,5.88740643086387,0.262611783405263,20.2133952,0.696593077904272,1.98635321747897,22.0702502034002,6,2.97861760223671,4.17947390944095,3.63347135608533,-4.17522430973857,9,91.92,6.32586984103322,3.46639436599873,6.06520454741165,0.0,4.1515181027797,-0.0385384310153089,0.0328660076724958,6.06520454741165,4.66274064050154,5.26156647157604,0.139915815933435,1.0,5.4805295873151,4.90445820414445,6,0.370585304077557,20.6548626286319,6.431798275933005
18.9492209314067,18.6612174449171,9,0.7521839904,0.153070870033617,2.0860263639504,7,0.107851910905194,110.910406475419,22.656809117069,85.31,1.54755973755737,22.5068068511614,0.131162838760754,1.54755973755737,3.90790530332113,3.87394118668875,18,4,5.80003843451148,5.97112074593844,5.81360215202647,2.49638729108369,18.80459976,0.671057120493831,1.95307888375824,4.02813649783267,4,2.48375978133153,4.18462279930907,3.17913040994756,-2.74115419292797,8,85.31,11.2688363968308,3.314174691162,3.67563296206769,7.42023348909804,4.13557734323005,0.0267416993365248,0.0404797458838575,3.67563296206769,10.6045556309853,10.8755048850475,0.237653187417651,0.679503139922546,10.9774680049463,10.7342514147137,5,0.464202077723841,19.7064197398799,6.468521082957745
19.0328634219781,18.7414448344759,9,0.7521839904,0.150630953418243,2.08573258080707,7,0.113729952831197,110.910406475419,23.1010011262075,85.31,1.78229778538887,22.9750260979419,0.139840402456291,1.78229778538887,3.90902373291,3.87594617072494,18,4,5.80154557549116,6.80479008158369,5.8157631103903,3.04776354353789,18.80459976,0.674238014629608,1.95258147595368,4.02025970796527,4,2.70683956370264,4.1846125907593,3.23205080756888,-2.74268029692436,8,85.31,11.2454507584093,3.31379490517628,5.22488835159337,8.40586969078612,4.1356640447088,0.0336337887759437,0.0407787359887795,5.22488835159337,10.5756802184287,10.8481071925984,0.238733230071688,0.679515658687581,10.9784014692148,10.7352078563132,5,0.467850806111937,19.9254917696122,5.388276691992658
20.1442680959814,20.5437499234767,9,0.7521839904,0.159800840019806,2.0863418790973,7,0.120410204370051,110.910406475419,24.0966731317824,85.31,1.54755973755737,24.6984759806506,0.145548899779305,1.54755973755737,3.90799891767132,3.87420408920662,18,4,5.80009732348639,5.88730114211353,5.81383171869221,2.61057977698656,18.80459976,0.662008624910751,1.95747220831746,4.03743669080994,4,2.48383255587962,4.18495225322104,3.17913040994757,-2.95585926589957,9,85.31,11.2943048643727,3.35359310978206,3.67563296206769,6.78264405708544,4.13596277149691,0.0222604784196788,0.0485405129441552,3.67563296206769,10.6313707798835,10.9020357542915,0.253419025244891,0.679517274752758,11.0072585333932,10.7640268299443,5,0.445389535104575,19.6683487647106,5.6439741428068775
18.5234552832771,19.1978828179858,9,0.7521839904,0.163573424861437,2.08594024176855,7,0.101331075250972,110.910406475419,22.4940767426887,85.31,1.54755346745117,23.3926706160892,0.124495187771319,1.54755346745117,3.90737605429951,3.87337050789927,18,4,5.79929033303554,4.62598664061148,5.81291036290411,3.48794566217624,18.80459976,0.661822441775028,1.95408266064458,4.05301436860767,4,2.48362658442028,4.18454361700854,3.17643741301496,-2.74127406481273,8,85.31,10.7162110551746,3.305992187273,3.67452144824141,1.69926760753675,4.13542073287751,0.0266470284477692,0.0458679651156349,3.67452144824141,9.92987583549807,10.2421074065933,0.239261414497417,0.679464539049028,10.33479108482,10.0449616640063,5,0.457792376666695,19.4050046090568,6.1249387366083
21.1613743533249,19.6646352389803,9,0.7521839904,0.134243550335054,2.0870028368817,8,0.138321295667378,110.910406475419,24.7066277533379,85.31,1.69651910641302,23.4828823818165,0.132123587278673,1.69651910641302,3.90785843774006,3.87370951016758,19,4,5.79995619025425,9.35848355501896,5.81337402654049,3.52656049759849,18.80459976,0.828063464276495,1.95712618473005,4.7733647723058,4,2.65271307273733,4.18513320157173,3.25713202254654,-2.950406947182,8,85.31,12.3768897258756,3.36976264907078,4.83133959414419,0.261130536745629,4.13616032971546,0.0150029018508288,0.0489198733681286,4.83133959414419,11.8697155400072,12.0904496841539,0.279161998156336,0.951805957551812,12.1168556286449,11.9180799360358,5,0.461124033884962,20.308865334297,5.681936665037238
45.5405471390169,41.4421463014787,12,0.738783943030303,0.110475722938088,2.09330762417941,13,0.46434413537853,132.168784606408,49.8739500976107,97.62,2.35718527862919,46.0536833477091,0.415895156765159,2.35718527862919,3.91377484368388,3.88002156786439,29,8,5.81486937916492,20.1871468887152,5.82974957719216,9.62338466451644,24.37987012,1.9588830259971,1.95774810700654,9.86613975404913,6,3.29346031182826,4.19186695281194,4.00640808033334,-7.65122073383183,14,97.62,19.0139147907933,3.49802046559818,7.071334727584,74.4385390783607,4.14444666507868,-0.0391212572387991,0.239263668543801,7.071334727584,19.7661809938392,19.5683718960981,0.708920908724766,1.3250293459989,19.5323430847301,19.7453831363499,9,0.323205064728382,23.588417530605,5.882728704344236
41.4681164417656,40.5850816075545,12,0.740322333939394,0.096258603742711,2.09496805780448,15,0.422237271072755,121.168896718802,46.2898436980635,88.39,2.26834921038088,45.6749501474706,0.417686216989039,2.26834921038088,3.91481216108337,3.8815030518489,30,6,5.81701604853122,18.0837857633435,5.83191537005261,9.63645191590146,24.43063702,1.85949911487972,1.96219070540602,11.1923518674152,12,3.22120021489705,4.19282890639965,3.75457580545017,-5.93800291090434,14,88.39,17.251358787584,3.48154758637916,6.60116699146359,32.2989394469648,4.14547681139231,-0.0117000875686904,0.222509637903099,6.60116699146359,17.6555473913302,17.5733933757308,0.769103067327394,1.29745983469001,17.5343691010607,17.6375575266547,7,0.261434050524624,22.775380197276,6.7447274948966935
22.0362947838956,22.3927557189748,11,0.850856193043478,0.145390832683488,2.08521245223812,10,0.135958520656468,128.921157158449,25.1676972378121,97.34,1.54702149620521,25.7432622254248,0.154478541941262,1.54702149620521,3.90619885937806,3.87161244427657,15,3,5.79768497476451,4.29237411166693,5.81092879741412,2.58543689283405,19.56969244,0.800332615472111,1.94714833430867,6.17871750899665,1,2.48281447872464,4.18427839213182,3.1283259240489,-2.87734253881981,11,97.34,11.7411911201724,3.35636632026297,3.67237046097541,6.67425153842937,4.13471956513554,0.0187824106329185,0.0781112142611241,3.67237046097541,11.1368923574344,11.3894498543872,0.322451379140471,0.679718727310907,11.5360960393216,11.3002853834317,3,0.446242447951483,19.7720076049722,5.943095148663527
22.8631813169876,22.3050342332064,11,0.850856193043478,0.133763223895318,2.08525417543728,10,0.151047927270853,128.921157158449,26.0510104374739,97.34,1.71104761281999,25.6650059106412,0.151271089185397,1.71104761281999,3.90661078942767,3.87205574203491,15,3,5.79819064465882,9.64276044548635,5.81144540858591,3.00930550608103,19.56969244,0.837215633773858,1.94677418614307,6.20128835865412,1,2.66552241356662,4.18439485707832,3.35691395584222,-2.87763334426732,11,97.34,12.6622241205699,3.35758667251441,4.90686711179175,4.02256270927796,4.13491354437138,0.0168009871723548,0.0857255302632834,4.90686711179175,12.2831501067824,12.4591119231368,0.320566001149159,0.679775301957316,12.4889371145911,12.3381851854295,3,0.452562313237635,20.3780591980711,6.036212172654444
