F06[C-C],F03[C-N],TPSA(Tot),RNCG,F05[C-N],RDF060p,B05[N-O],RDF025p,Mor20v,VE1sign_B(m),R8p+,alvo
29,12,88.39,0.0859372726038141,14,10.1016528204686,1,29.9258948674799,1.9791847264621,0.169532593023605,0.0093656434490687,4.897223385116559
31,13,75.5,0.120744160442093,9,7.57702646435446,1,29.43424603065,1.87734998121983,0.15232583031345,0.0100926052705289,5.150580586203101
27,12,88.39,0.10936921037421,12,8.78425196391431,1,25.5501376058998,1.76221584208618,0.140909210142779,0.0140307870076429,6.045757490560675
27,12,88.39,0.110553330231632,12,7.90998580600271,1,25.4883838203405,1.72826077626014,0.116159598563004,0.0174352969745769,5.939302159646388
24,14,100.42,0.0860249536033771,15,9.76226468259121,1,26.5597108060556,2.01416623323131,0.129556015658783,0.0087873034988455,5.563837352959244
26,14,100.42,0.0767390456172651,17,12.1306861638914,1,28.7297726313432,2.16333820771934,0.146177299874439,0.0087291767532373,6.958607314841775
25,14,100.42,0.0832369621693857,16,10.5996750661261,1,26.6440796916194,2.04542789442538,0.183805886248305,0.0087761865570933,6.3872161432802645
25,14,100.42,0.0857101370105555,16,11.7208125412605,1,26.4363379858263,2.14359791504713,0.168566347001294,0.0087730824876623,6.096910013008056
28,12,88.39,0.098616495920139,13,9.60369789806523,1,27.5204166156008,1.90419924702948,0.139133055923038,0.014920578044164,7.397940008672037
28,12,88.39,0.0945166876968622,13,9.50368307660645,1,27.7045943850094,1.85777556599884,0.166814388968345,0.0135041702667486,5.543633966870957
24,14,100.42,0.0883004198000314,15,10.5803624840749,1,26.2993905083315,2.1891663185068,0.149091307282579,0.0111271899543908,5.892790030352131
28,12,88.39,0.0859673143291468,13,9.45817480267212,1,29.8825753642865,1.94678571451132,0.153936165893151,0.0107611879968098,5.795880017344075
31,13,75.5,0.123195894785218,9,7.59246932750267,1,27.3232154952255,1.65810401549976,0.149008873221872,0.015129287269365,5.197226274708024
32,13,75.5,0.103707568408682,10,8.14670007950943,1,29.6843831560428,1.86889991374526,0.151364433816271,0.0097964474171404,4.522878745280337
31,13,75.5,0.103750910617322,9,7.47265967809776,1,29.567607675393,1.83636085321385,0.140063649930244,0.0093187235062795,5.769551078621726
32,13,75.5,0.0997588878773194,10,8.26701229429542,1,29.6493516156012,1.77295545267095,0.18002615937558,0.0085115261465583,4.522878745280337
32,13,75.5,0.103297614591051,10,9.3875369829084,1,29.4531258074211,1.8973302033838,0.167095145796594,0.0108228473172526,4.522878745280337
24,14,100.42,0.0908447243955066,15,10.544611127264,1,28.2690529497721,2.17880547719226,0.154060766903293,0.0106703677109217,5.935542010773082
25,14,100.42,0.0807674415250543,16,11.1805015090892,1,28.5205071338884,2.2125994592256,0.152484792078056,0.0082413955204183,6.251811972993799
