F03[C-N],HOMA,L1p,L1v,SpMin1_Bh(p),RNCG,H6v,P_VSA_p_2,H6p,TPSA(NO),SpMax_B(v),Tp,Eig07_EA,SM15_AEA(bo),H4s,SpMax_B(p),SpDiam_B(p),TPSA(Tot),HOMT,H6i,RDF115v,SpMax1_Bh(i),RDF060p,F05[C-N],Eig07_EA(ed),SpMax5_Bh(i),F06[C-N],RDF145s,DP15,H7v,SM02_AEA(ri),H7u,L1u,Eig06_AEA(bo),DP18,DP17,DP16,DP20,DP19,Eig12_EA(ri),R3s,CATS3D_09_DL,SpDiam_RG,nCIR,RDF085v,SM15_EA(ri),R7u+,VE3sign_RG,SM02_AEA(ed),SpMAD_G,SM5_Dt,R5p+,R1s+,alvo
10,0.777438276923076,7.31252837068396,7.31397812032684,2.06619545627947,0.150586894151745,0.100371940518328,119.433935643089,0.0963908390735381,91.92,3.96559315824151,15.3691927609509,2.04175179551789,2.04175179551789,16.6410466054512,3.95496578428625,5.88740643086387,100.3,20.2133952,0.696593077904272,0.262611783405263,4.17947390944095,22.0702502034002,7,6.06520454741165,3.46639436599873,9,0.0,6.32586984103322,0.0328660076724958,6.06520454741165,0.139915815933435,7.14451063921502,3.63347135608533,4.66274064050154,5.26156647157604,5.81695758452435,3.3528975433896,4.02441907857274,1.0,8.0520328063582,0,5.20138208227821,5,6.84150188386258,18.1322790696473,0.0155109366982261,-4.17522430973857,6.09356977004514,10.6446784711359,29.4405030763122,0.0168988337473728,0.774296287252012,6.431798275933005
9,0.7521839904,18.6612174449171,18.9492209314067,2.0860263639504,0.153070870033617,0.107851910905194,110.910406475419,0.131162838760754,85.31,3.90790530332113,22.5068068511614,1.54755973755737,1.54755973755737,5.97112074593844,3.87394118668875,5.81360215202647,85.31,18.80459976,0.671057120493831,2.49638729108369,4.18462279930907,4.02813649783267,7,3.67563296206769,3.314174691162,8,7.42023348909804,11.2688363968308,0.0404797458838575,3.67563296206769,0.237653187417651,18.5162863797223,3.17913040994756,10.6045556309853,10.8755048850475,11.0977993790067,9.92573017139542,10.2872707254012,0.679503139922546,7.26644778812187,0,4.70662517998233,5,8.35662634711821,17.0532782987546,0.0224824939990589,-2.74115419292797,5.85507192220243,12.261580983565,28.2751905365969,0.0152182902334091,1.08566833869949,6.468521082957745
9,0.7521839904,18.7414448344759,19.0328634219781,2.08573258080707,0.150630953418243,0.113729952831197,110.910406475419,0.139840402456291,85.31,3.90902373291,22.9750260979419,1.78229778538887,1.78229778538887,6.80479008158369,3.87594617072494,5.8157631103903,85.31,18.80459976,0.674238014629608,3.04776354353789,4.1846125907593,4.02025970796527,7,5.22488835159337,3.31379490517628,8,8.40586969078612,11.2454507584093,0.0407787359887795,5.22488835159337,0.238733230071688,18.4827582185188,3.23205080756888,10.5756802184287,10.8481071925984,11.0722084530482,9.89465536984442,10.2571865829769,0.679515658687581,8.56320365998831,0,4.6913676220912,5,8.35480651695946,17.0901153073,0.022255283485965,-2.74268029692436,5.91079664404053,12.2935457255967,28.508102043959,0.0150142448628294,1.06586475072728,5.388276691992658
9,0.7521839904,20.5437499234767,20.1442680959814,2.0863418790973,0.159800840019806,0.120410204370051,110.910406475419,0.145548899779305,85.31,3.90799891767132,24.6984759806506,1.54755973755737,1.54755973755737,5.88730114211353,3.87420408920662,5.81383171869221,85.31,18.80459976,0.662008624910751,2.61057977698656,4.18495225322104,4.03743669080994,7,3.67563296206769,3.35359310978206,9,6.78264405708544,11.2943048643727,0.0485405129441552,3.67563296206769,0.253419025244891,21.1351593228299,3.17913040994757,10.6313707798835,10.9020357542915,11.1238854080973,9.95268370739051,10.3142224127877,0.679517274752758,5.04828050804398,0,4.76069091155377,5,7.85532614437635,17.0858431604528,0.0208002779545311,-2.95585926589957,5.85507192220243,12.9701143755476,28.2751905365969,0.0143469068387378,0.467806754288578,5.6439741428068775
9,0.7521839904,19.1978828179858,18.5234552832771,2.08594024176855,0.163573424861437,0.101331075250972,110.910406475419,0.124495187771319,85.31,3.90737605429951,23.3926706160892,1.54755346745117,1.54755346745117,4.62598664061148,3.87337050789927,5.81291036290411,85.31,18.80459976,0.661822441775028,3.48794566217624,4.18454361700854,4.05301436860767,7,3.67452144824141,3.305992187273,8,1.69926760753675,10.7162110551746,0.0458679651156349,3.67452144824141,0.239261414497417,18.4292869867181,3.17643741301496,9.92987583549807,10.2421074065933,10.5051039480256,9.16697303247559,9.57078444965445,0.679464539049028,5.00839313204817,0,4.7131472261695,5,7.2283426577278,17.0082484443578,0.0223903323886261,-2.74127406481273,5.79605775076537,12.2531752092222,28.0210295012891,0.0172110168362984,0.477977991464647,6.1249387366083
9,0.7521839904,19.6646352389803,21.1613743533249,2.0870028368817,0.134243550335054,0.138321295667378,110.910406475419,0.132123587278673,85.31,3.90785843774006,23.4828823818165,1.69651910641302,1.69651910641302,9.35848355501896,3.87370951016758,5.81337402654049,85.31,18.80459976,0.828063464276495,3.52656049759849,4.18513320157173,4.7733647723058,8,4.83133959414419,3.36976264907078,8,0.261130536745629,12.3768897258756,0.0489198733681286,4.83133959414419,0.279161998156336,21.7584635904281,3.25713202254654,11.8697155400072,12.0904496841539,12.2604228292774,11.285576218975,11.600683651314,0.951805957551812,6.3128482964694,0,4.75448751514706,5,9.06741423043992,17.3109341068585,0.0214422080471636,-2.950406947182,5.96357934361845,12.9796733625583,28.7912879302302,0.0146513040703372,0.752056013533158,5.681936665037238
12,0.738783943030303,41.4421463014787,45.5405471390169,2.09330762417941,0.110475722938088,0.46434413537853,132.168784606408,0.415895156765159,97.62,3.91377484368388,46.0536833477091,2.35718527862919,2.35718527862919,20.1871468887152,3.88002156786439,5.82974957719216,97.62,24.37987012,1.9588830259971,9.62338466451644,4.19186695281194,9.86613975404913,13,7.071334727584,3.49802046559818,14,74.4385390783607,19.0139147907933,0.239263668543801,7.071334727584,0.708920908724766,44.7260637401834,4.00640808033334,19.7661809938392,19.5683718960981,19.3185533095114,20.0156906744951,19.914519115551,1.3250293459989,7.15772509658527,0,4.73242990272987,6,16.876800750948,17.57770911561,0.0173478654734055,-7.65122073383183,6.36475075685191,17.6452716252959,32.0649335318821,0.0121870884724265,0.572568071205867,5.882728704344236
12,0.740322333939394,40.5850816075545,41.4681164417656,2.09496805780448,0.096258603742711,0.422237271072755,121.168896718802,0.417686216989039,88.39,3.91481216108337,45.6749501474706,2.26834921038088,2.26834921038088,18.0837857633435,3.8815030518489,5.83191537005261,88.39,24.43063702,1.85949911487972,9.63645191590146,4.19282890639965,11.1923518674152,15,6.60116699146359,3.48154758637916,14,32.2989394469648,17.251358787584,0.222509637903099,6.60116699146359,0.769103067327394,42.6886575082687,3.75457580545017,17.6555473913302,17.5733933757308,17.4396155870964,17.6750657633503,17.6886576750092,1.29745983469001,6.18306688662621,0,4.87788997226692,6,17.3939807265968,17.6442576078085,0.0133613117520408,-5.93800291090434,6.28599809450886,17.4169385492657,31.5340272607794,0.0099098083443835,0.53480322735738,6.7447274948966935
11,0.850856193043478,22.3927557189748,22.0362947838956,2.08521245223812,0.145390832683488,0.135958520656468,128.921157158449,0.154478541941262,97.34,3.90619885937806,25.7432622254248,1.54702149620521,1.54702149620521,4.29237411166693,3.87161244427657,5.81092879741412,97.34,19.56969244,0.800332615472111,2.58543689283405,4.18427839213182,6.17871750899665,10,3.67237046097541,3.35636632026297,11,6.67425153842937,11.7411911201724,0.0781112142611241,3.67237046097541,0.322451379140471,23.4645849459802,3.1283259240489,11.1368923574344,11.3894498543872,11.5917955393326,10.4906782022969,10.8365690526097,0.679718727310907,4.5888560281074,0,4.73801209845965,5,3.57511014540387,16.8161325258184,0.024359448913758,-2.87734253881981,5.75257263882563,13.1966672230534,28.0896454819979,0.0163523826179307,0.531569188592982,5.943095148663527
11,0.850856193043478,22.3050342332064,22.8631813169876,2.08525417543728,0.133763223895318,0.151047927270853,128.921157158449,0.151271089185397,97.34,3.90661078942767,25.6650059106412,1.71104761281999,1.71104761281999,9.64276044548635,3.87205574203491,5.81144540858591,97.34,19.56969244,0.837215633773858,3.00930550608103,4.18439485707832,6.20128835865412,10,4.90686711179175,3.35758667251441,11,4.02256270927796,12.6622241205699,0.0857255302632834,4.90686711179175,0.320566001149159,23.53971743604,3.35691395584222,12.2831501067824,12.4591119231368,12.5863375531251,11.7940769881592,12.0607759576813,0.679775301957316,6.6129434570194,0,4.72019421534691,5,3.89957970519698,16.9270961803433,0.0242540835890495,-2.87763334426732,5.8664680569333,13.2301183463451,28.6081277201601,0.0162915384166221,0.859629695475605,6.036212172654444
11,0.850856193043478,23.555285053707,23.1714010109862,2.08506564352015,0.146303706524086,0.141964595531544,128.921157158449,0.15880194206667,97.34,3.90638582015433,27.1547243363671,1.65056858795789,1.65056858795789,4.8127855081038,3.87186479961633,5.81119089889248,97.34,19.56969244,0.788637323596249,3.34171270280855,4.18427118540634,6.08128424431615,10,4.54804515296877,3.35627898226896,11,6.49500945206258,12.1464007320029,0.0878469336277225,4.54804515296877,0.324153730278952,23.5692185106018,3.2184826927087,11.5809895042002,11.8211682115522,12.0105750431638,10.9581006899694,11.2925485747106,0.679720523771481,5.01373278285557,0,4.72483550925003,5,3.50999481303522,16.827631085905,0.0240202178430868,-2.87835690274128,5.80814248998044,13.2528056217614,28.3604226884537,0.0161493251297978,0.531422354658807,5.300162274132754
11,0.850856193043478,23.5995943753316,23.224999464125,2.08490830692647,0.143091485721548,0.150671603467981,128.921157158449,0.171695238080505,97.34,3.90682234904245,27.3705223012329,1.6541474936615,1.6541474936615,5.23464085869018,3.87254010311743,5.81190257626986,97.34,19.56969244,0.786733808017493,3.04933271434724,4.1842625894073,5.91553921196361,10,4.64917308397103,3.35627827341651,11,8.66883721531779,12.1727949648262,0.0870153145802214,4.64917308397103,0.318496381162543,23.5279845771527,3.21851150893962,11.6181335429787,11.8543660352951,12.0401710140387,11.0039909753229,11.3339364150382,0.679748552911053,5.86775184328103,0,4.70899871274145,5,4.89585519598638,16.8726965503534,0.0238336659274106,-2.87876394815035,5.87211778947542,13.2673876507718,28.6335807818855,0.0160262613138077,0.531266727175714,5.896196279044043
9,0.7521839904,19.2315483185911,20.4662462782889,2.08691350922283,0.134307147447364,0.114285496880584,110.910406475419,0.132501738843513,85.31,3.90773327459922,23.4685356640181,1.70767979137926,1.70767979137926,10.5172750657341,3.87355301843376,5.81317139359221,85.31,18.80459976,0.654286438406357,5.11088072850646,4.1851027616627,4.00511244583995,7,4.91811089292111,3.37042248713361,9,14.1338281500659,11.830111652135,0.0473263235132863,4.91811089292111,0.248988962168937,21.1136574238499,3.25234531189839,11.1881161202582,11.4525986865008,11.6675392551939,10.520335364182,10.8766096054054,0.951944081670218,6.52356729560623,0,4.75245170122255,5,8.25418796674126,17.2718751293771,0.0205367645826609,-2.95073678139564,5.96357934361845,12.9761767568517,28.7086231711854,0.01425629432825,0.860333931823788,5.152427340857888
