G(N..Br),SpMin1_Bh(p),F06[C-C],F05[C-N],alvo
0.0,2.06619545627947,25,7,6.431798275933005
0.0,2.0860263639504,18,7,6.468521082957745
0.0,2.08573258080707,18,7,5.388276691992658
0.0,2.0863418790973,18,7,5.6439741428068775
58.5659980773926,2.08594024176855,18,7,6.1249387366083
0.0,2.0870028368817,19,8,5.681936665037238
0.0,2.09330762417941,29,13,5.882728704344236
0.0,2.09496805780448,30,15,6.7447274948966935
0.0,2.08521245223812,15,10,5.943095148663527
0.0,2.08525417543728,15,10,6.036212172654444
0.0,2.08506564352015,15,10,5.300162274132754
0.0,2.08490830692647,15,10,5.896196279044043
0.0,2.08691350922283,18,7,5.152427340857888
0.0,2.08794321269317,20,9,5.079876673709276
0.0,2.09898601626382,28,12,5.634512015109101
0.0,2.09964145368162,31,9,4.522878745280337
0.0,2.09963830267315,32,9,4.672028376376989
0.0,2.08635950387746,18,7,6.070581074285707
0.0,2.08646359850713,18,7,5.139063379299906
0.0,2.08645048357548,18,7,6.337242168318426
0.0,2.08559786896648,18,7,6.1938200260161125
0.0,2.08575397895544,18,7,5.91721462968355
0.0,2.08571046051047,18,7,5.531652669587842
0.0,2.100315590279,34,10,4.522878745280337
0.0,2.1001994768437,33,11,4.522878745280337
0.0,2.09968011700452,32,9,5.023650020996727
0.0,2.09889675568643,28,12,5.133122185662502
0.0,2.09881867871683,28,12,4.799149501908922
0.0,2.09885133000887,28,12,5.350665141287858
0.0,2.0990711683359,28,12,5.367542707815276
0.0,2.09906885319117,29,13,5.521433504406157
0.0,2.09921921010724,28,12,5.681936665037238
0.0,2.08507729453642,15,10,5.36251027048749
75.7480010986328,2.08504544582534,15,10,5.333482019445119
0.0,2.08546367246724,15,10,5.281498311132726
0.0,2.08545128357926,16,11,5.958607314841775
0.0,2.08584475145002,15,10,5.042871802323187
0.0,2.08526639805938,15,10,4.9503943874050265
0.0,2.0854202267248,16,11,5.568636235841013
0.0,2.08524944045023,15,10,5.522878745280337
0.0,2.09228447187331,24,15,5.701146923590294
0.0,2.09242824118356,24,15,5.235077015350112
0.0,2.09103003531457,24,15,6.769551078621726
0.0,2.0913009199319,24,15,5.723538195826756
0.0,2.09122472469306,24,15,7.221848749616356
0.0,2.0917472751288,24,15,5.809668301829708
0.0,2.09126142626994,24,15,6.4089353929735005
0.0,2.09224919650276,24,15,5.703334809738469
0.0,2.08706497115682,19,8,5.671620396561262
0.0,2.08728002724137,20,7,4.997402019280091
0.0,2.08647931227245,18,7,4.861697301833718
0.0,2.08651415006922,19,8,5.85078088734462
0.0,2.08769753705472,20,9,6.086186147616283
0.0,2.08647003622582,19,7,6.366531544420414
0.0,2.08656870304183,19,7,5.4156687756324695
0.0,2.09305075387095,28,13,5.966576244513051
0.0,2.09301384624112,27,12,5.823908740944319
68.1080017089844,2.09161171450811,24,15,5.425968732272281
0.0,2.09324728909685,25,16,6.356547323513813
0.0,2.08668915621692,20,7,5.812479279163537
0.0,2.093654664768,27,12,6.251811972993799
0.0,2.09502005934863,29,14,5.935542010773082
0.0,2.09385106569626,28,13,5.943095148663527
0.0,2.09246748562478,24,15,6.022276394711152
0.0,2.09299346952684,28,12,6.356547323513813
0.0,2.09244823997926,25,15,5.421360790031928
0.0,2.09422151040059,26,17,6.920818753952375
0.0,2.09229262573043,24,15,5.85078088734462
0.0,2.09243623032813,24,15,5.7121982700697735
0.0,2.09123414170093,24,15,7.522878745280337
0.0,2.09470000639501,29,14,5.785156151952302
0.0,2.09920015290761,31,9,4.522878745280337
0.0,2.0994241493746,31,9,5.094743951251549
0.0,2.09927559450978,31,9,5.13430394008393
0.0,2.08794145987161,21,8,5.563837352959244
0.0,2.09283659612082,27,12,5.935542010773082
0.0,2.09297577905092,27,12,6.346787486224656
0.0,2.09162207236245,27,12,4.633017024022149
0.0,2.09315556474637,28,13,5.739928612014925
0.0,2.09329160306068,28,13,5.790484985457369
0.0,2.0922263947321,28,13,6.180456064458132
0.0,2.09218740119937,28,13,4.522878745280337
0.0,2.09312502937637,28,13,5.554395796726403
50.5800018310547,2.09252115135988,28,13,5.7447274948966935
0.0,2.09405637219457,29,14,4.897223385116559
0.0,2.09956922025163,31,9,5.150580586203101
0.0,2.09188505279968,27,12,6.045757490560675
0.0,2.0918104571356,27,12,5.939302159646388
0.0,2.093128232789,24,15,5.563837352959244
0.0,2.0945533137629,26,17,6.958607314841775
0.0,2.09333860058524,25,16,6.3872161432802645
0.0,2.09250978605232,25,16,6.096910013008056
0.0,2.09215283495727,28,13,7.397940008672037
0.0,2.0926470541677,28,13,5.543633966870957
0.0,2.09175610488989,24,15,5.892790030352131
0.0,2.09395705442434,28,13,5.795880017344075
45.7490005493164,2.09938233441598,31,9,5.197226274708024
0.0,2.09988921613502,32,10,4.522878745280337
0.0,2.0998383859168,31,9,5.769551078621726
0.0,2.09991777308681,32,10,4.522878745280337
0.0,2.09965997635001,32,10,4.522878745280337
0.0,2.0922558099583,24,15,5.935542010773082
0.0,2.09325706699376,25,16,6.251811972993799
0.0,2.09313356134136,24,15,5.756961951313706
0.0,2.09456508418728,26,17,8.0
0.0,2.09528030953292,30,15,6.259637310505756
0.0,2.09231636091756,27,12,6.050609993355088
0.0,2.09184591237346,27,12,5.889410289700751
0.0,2.09280371723642,27,12,6.008773924307505
50.5349998474121,2.09218640060216,27,12,6.309803919971486
0.0,2.09376289501069,28,13,5.966576244513051
0.0,2.09958922659715,31,9,4.522878745280337
0.0,2.09963352848223,31,9,5.100179497572904
0.0,2.09334837401139,25,16,7.221848749616356
0.0,2.09414241529169,29,14,6.337242168318426
0.0,2.09336158898645,29,14,5.609064892896621
0.0,2.09332913109663,28,13,5.987162775294828
