F06[C-C],F03[C-N],L1p,L1v,H6v,SpMin1_Bh(p),RNCG,HOMA,P_VSA_p_2,H4s,H6p,Eig07_EA,SpMax_B(p),L1e,TPSA(NO),Tp,MATS1p,SpMax1_Bh(i),F05[C-N],Eig06_AEA(bo),DP15,SM02_AEA(ri),H7u,Eig12_EA(ri),DP18,Eig12_AEA(ri),DP17,SP17,SP16,RDF040p,SAacc,Mor29e,HATS5p,CIC0,Mor05e,ATS3s,H8i,J_G,VR1_Dz(e),VE2_D/Dt,SpDiam_Dz(i),F10[C-N],GATS1e,SP08,Mor15s,alvo
25,10,7.31252837068396,7.31397812032684,0.100371940518328,2.06619545627947,0.150586894151745,0.777438276923076,119.433935643089,16.6410466054512,0.0963908390735381,2.04175179551789,3.95496578428625,7.28979730989835,91.92,15.3691927609509,-0.0385384310153089,4.17947390944095,7,3.63347135608533,6.32586984103322,6.06520454741165,0.139915815933435,1.0,4.66274064050154,2.0,5.26156647157604,5.4805295873151,6.01067956458138,14.6526112975221,132.568632636984,-0.353375888624681,0.142278190243037,3.73745784352157,-8.39175770648001,6.21239385437219,0.121772825368919,2.26217156257749,35.5097121491902,0.144383227799913,236.103032148323,4,0.521287874699329,8.22030197402217,6.95693947024175,6.431798275933005
18,9,18.6612174449171,18.9492209314067,0.107851910905194,2.0860263639504,0.153070870033617,0.7521839904,110.910406475419,5.97112074593844,0.131162838760754,1.54755973755737,3.87394118668875,19.2647252421217,85.31,22.5068068511614,0.0267416993365248,4.18462279930907,7,3.17913040994756,11.2688363968308,3.67563296206769,0.237653187417651,0.679503139922546,10.6045556309853,1.66270378483958,10.8755048850475,10.9774680049463,11.1703689547735,6.66844132691996,124.584037554787,0.0979397199124354,0.163268347134197,3.51064948914248,-6.22653202846836,5.9123579008235,0.196220525276037,1.63287124417417,29.4903373213776,0.167692888621632,167.625225750604,5,0.703638337171023,10.5084582482615,5.3875993048542,6.468521082957745
18,9,18.7414448344759,19.0328634219781,0.113729952831197,2.08573258080707,0.150630953418243,0.7521839904,110.910406475419,6.80479008158369,0.139840402456291,1.78229778538887,3.87594617072494,19.253656128923,85.31,22.9750260979419,0.0336337887759437,4.1846125907593,7,3.23205080756888,11.2454507584093,5.22488835159337,0.238733230071688,0.679515658687581,10.5756802184287,1.66271918084832,10.8481071925984,10.9784014692148,11.1713031548693,9.02431943636775,124.584037554787,0.114825712481994,0.167738795462601,3.43349533096297,-6.50041765126826,6.00476237208818,0.198788658425777,1.63001960487054,30.4894577651406,0.165010243432564,177.984384056995,5,0.699240553642547,10.5143929221048,4.96832736174975,5.388276691992658
18,9,20.5437499234767,20.1442680959814,0.120410204370051,2.0863418790973,0.159800840019806,0.7521839904,110.910406475419,5.88730114211353,0.145548899779305,1.54755973755737,3.87420408920662,21.2777202210934,85.31,24.6984759806506,0.0222604784196788,4.18495225322104,7,3.17913040994757,11.2943048643727,3.67563296206769,0.253419025244891,0.679517274752758,10.6313707798835,1.66271730176274,10.9020357542915,11.0072585333932,11.200022927425,7.02998523044645,109.623924283774,-0.0819700367915719,0.153651265507654,3.76856284586475,-6.3762244382654,5.78662143443182,0.268796445761987,1.63768001864581,29.4909491282932,0.167692888621632,168.641089123549,5,0.798250630890914,10.5291976237865,4.06505109670683,5.6439741428068775
18,9,19.1978828179858,18.5234552832771,0.101331075250972,2.08594024176855,0.163573424861437,0.7521839904,110.910406475419,4.62598664061148,0.124495187771319,1.54755346745117,3.87337050789927,18.604781762698,85.31,23.3926706160892,0.0266470284477692,4.18454361700854,7,3.17643741301496,10.7162110551746,3.67452144824141,0.239261414497417,0.679464539049028,9.92987583549807,1.66268778300674,10.2421074065933,10.33479108482,10.5742802936203,4.46104697710675,109.623924283774,0.106555542495114,0.163871642759573,3.64058080346679,-5.53689116679795,5.70453084272562,0.191858113224774,1.63351550230373,28.4902583327809,0.170330824854984,157.578489165923,5,0.848572968820458,10.2726351065015,5.10973090974873,6.1249387366083
19,9,19.6646352389803,21.1613743533249,0.138321295667378,2.0870028368817,0.134243550335054,0.7521839904,110.910406475419,9.35848355501896,0.132123587278673,1.69651910641302,3.87370951016758,23.0520678675773,85.31,23.4828823818165,0.0150029018508288,4.18513320157173,8,3.25713202254654,12.3768897258756,4.83133959414419,0.279161998156336,0.951805957551812,11.8697155400072,1.954477310046,12.0904496841539,12.1168556286449,12.2639417463604,4.40828613420101,154.504264096811,0.0233547913756829,0.149752191323231,3.63037346007335,-6.19700322257754,5.95792836690877,0.218691553310907,1.64011385651338,31.4919125729219,0.16020944331577,193.169820967583,6,0.634343427170565,11.1677000295849,1.14168454190272,5.681936665037238
29,12,41.4421463014787,45.5405471390169,0.46434413537853,2.09330762417941,0.110475722938088,0.738783943030303,132.168784606408,20.1871468887152,0.415895156765159,2.35718527862919,3.88002156786439,48.4910813293805,97.62,46.0536833477091,-0.0391212572387991,4.19186695281194,13,4.00640808033334,19.0139147907933,7.071334727584,0.708920908724766,1.3250293459989,19.7661809938392,2.35131747555734,19.5683718960981,19.5323430847301,19.2667887944812,7.42536406007831,220.642982040838,-0.0512308890003372,0.0993389534223394,3.90644475929729,-8.63757589801513,6.31752473024514,0.759102364532006,1.39403358080151,46.5039840789154,0.137597168641789,418.857236689053,9,0.636864146411614,14.8290746430873,0.934285398405525,5.882728704344236
30,12,40.5850816075545,41.4681164417656,0.422237271072755,2.09496805780448,0.096258603742711,0.740322333939394,121.168896718802,18.0837857633435,0.417686216989039,2.26834921038088,3.8815030518489,43.9978602163825,88.39,45.6749501474706,-0.0117000875686904,4.19282890639965,15,3.75457580545017,17.251358787584,6.60116699146359,0.769103067327394,1.29745983469001,17.6555473913302,2.32641076412346,17.5733933757308,17.5343691010607,17.378819973328,8.73531477446127,164.762754340194,-0.0311878734761484,0.0981988619443306,4.12269906087957,-8.86118231442245,6.26715650373839,0.691737781199605,1.44003447325031,43.4974982389339,0.132141591881566,353.23470753175,7,0.593303938560098,13.8243054516797,2.82557689859923,6.7447274948966935
15,11,22.3927557189748,22.0362947838956,0.135958520656468,2.08521245223812,0.145390832683488,0.850856193043478,128.921157158449,4.29237411166693,0.154478541941262,1.54702149620521,3.87161244427657,23.3127698431065,97.34,25.7432622254248,0.0187824106329185,4.18427839213182,10,3.1283259240489,11.7411911201724,3.67237046097541,0.322451379140471,0.679718727310907,11.1368923574344,1.6628967328801,11.3894498543872,11.5360960393216,11.7206208988673,4.4716708343942,127.634674966804,0.256402958201486,0.150586962042798,3.81477137523226,-6.07251123503614,5.6909306312728,0.382841624634941,1.58142941637,28.4857158109505,0.172186843175042,157.833518950846,4,0.942678929246955,10.9245876079981,5.92835234415881,5.943095148663527
15,11,22.3050342332064,22.8631813169876,0.151047927270853,2.08525417543728,0.133763223895318,0.850856193043478,128.921157158449,9.64276044548635,0.151271089185397,1.71104761281999,3.87205574203491,24.064987239305,97.34,25.6650059106412,0.0168009871723548,4.18439485707832,10,3.35691395584222,12.6622241205699,4.90686711179175,0.320566001149159,0.679775301957316,12.2831501067824,1.66295108513472,12.4591119231368,12.4889371145911,12.5899404046158,4.23323149914078,157.554901508829,0.214597003597054,0.149184031789042,3.60769920639432,-6.73862070608573,5.94688235243466,0.399770713614621,1.57929345340878,30.4855839525861,0.1652529157016,181.044600699154,4,0.70895720725919,11.2118756030411,10.0831325547852,6.036212172654444
