nBO,RBF,nBnz,Xu,CSI,SRW02,piPC01,piPC08,piID,X0Av,Xindex,CIC0,SpMaxA_A,VE1_A,VR1_D,QW_L,VE1_Dt,VE2sign_Dt,J_Dz(e),SM5_Dz(e),Wi_Dz(p),H_Dz(p),EE_Dz(p),SM4_Dz(i),SpMax_B(v),SpDiam_B(v),SpMax_B(p),SpDiam_B(p),Chi_B(s),SpPosLog_B(s),ATS6v,ATS5e,ATS2s,ATS3s,MATS1m,MATS4m,MATS1p,MATS3i,GATS2s,GATS4s,SpMax1_Bh(e),SpMax1_Bh(i),SpMax5_Bh(i),SpMax3_Bh(s),SpMin1_Bh(e),SpMin1_Bh(p),P_VSA_p_2,SpMax_EA(ed),SpDiam_EA(ri),SpMAD_AEA(bo),SM05_EA(ed),SM09_EA(dm),SM15_AEA(bo),SM15_AEA(dm),SM02_AEA(ri),SM14_AEA(ri),Eig07_EA,Eig07_EA(ed),Eig09_EA(ri),Eig12_EA(ri),Eig07_AEA(ri),SPAN,HOMA,HOMT,QZZe,VE1sign_G,SpPos_RG,VE3sign_RG,J_G/D,TDB10u,TDB10p,TDB06r,RDF055u,RDF065m,RDF115v,RDF090e,RDF130e,RDF060p,RDF090p,RDF085i,RDF145s,Mor08u,Mor25m,Mor28m,Mor12e,Mor23e,Mor17s,L1v,P2v,L1e,L1p,Tv,Tp,H2u,H7u,H7m,HATS1m,H6v,H7v,H4e,H2p,H6p,H6i,H4s,R2m,R2v,R2e,R8e+,R4i,R4s+,DP15,DP18,SP16,SP17,SP18,nHDon,SssssC,CATS2D_07_DD,CATS2D_02_AL,CATS2D_03_AL,F02[C-O],F03[C-N],F04[N-Cl],F05[C-N],F05[C-F],F06[C-C],F06[C-N],F07[N-Cl],G(N..N),RNCG,SPP,TPSA(NO),TPSA(Tot),Depressant-80,CATS3D_14_DL,CATS3D_17_AA,CATS3D_02_AL,CATS3D_03_AL,CATS3D_08_AL,CATS3D_02_LL,CATS3D_11_LL,CATS3D_19_LL,alvo
36,0.12962962962963,2,30.3941230301982,894,4.29045944114839,3.93182563272433,7.71823921507475,12.4277742485568,0.57263308146694,0.296119722800734,3.73745784352157,0.0758022540511152,4.74024626153661,35.5125344079864,2605.2183908047,5.35420211080351,0.0087202071627521,1.85128987297432,25.2707401639455,2859.33444,155.58440528524,181.251509032116,20.3132128612675,3.96559315824151,5.87591823825168,3.95496578428625,5.88740643086387,7.17087149851649,6.52477542738689,4.05981110455657,4.8189784809912,5.99746444916832,6.21239385437219,0.107973535985804,-0.0926048916907234,-0.0385384310153089,-0.093194552146006,0.56566784813516,1.09932416941777,4.1515181027797,4.17947390944095,3.46639436599873,7.71618798345056,1.98635321747897,2.06619545627947,119.433935643089,11.6756338375373,5.2553541299986,1.53008929312136,13.1315629314456,0.0,2.04175179551789,6.33561953930976,6.06520454741165,3.7808344442074,2.04175179551789,6.06520454741165,1.38286326977959,1.0,2.97861760223671,6.35778839377342,0.777438276923076,20.2133952,693.607650176098,0.0701198789356701,20.7547228741202,-4.17522430973857,13.2659150131242,7.083,3.338483462372,3.84915009384411,36.8338054188008,29.18912604457,0.262611783405263,15.8562034733906,0.0,22.0702502034002,5.31239830357788,23.6828156873618,0.0,0.410984175953855,0.88404274012279,0.09056774910386,-0.783560145387634,-1.24033112555957,-0.855110373174663,7.31397812032684,0.352014602150206,7.28979730989835,7.31252837068396,15.321535096307,15.3691927609509,3.85940290127979,0.139915815933435,0.0361183464697132,0.154313169443762,0.100371940518328,0.0328660076724958,2.86098536626384,2.24942658876176,0.0963908390735381,0.696593077904272,16.6410466054512,1.40642789448534,1.09697197778149,2.11012644386447,0.0151177235384578,1.91546492676233,1.66328900269674,6.32586984103322,4.66274064050154,6.01067956458138,5.4805295873151,4.90445820414445,2,0.0,1,4,6,4,10,0,7,5,25,9,1,16.9389991760254,0.150586894151745,0.545899987220764,91.92,100.3,0,0,0,5,6,8,17,0,0,6.431798275933005
30,0.0697674418604651,2,25.92240942703,647,4.11087386417331,3.76120011569356,7.37168336050189,11.869274515052,0.54120740481802,0.292133773397795,3.51064948914248,0.0914974327509341,4.74659449099301,29.4929851638328,1533.19540229884,4.70430392818271,0.0097450540426141,1.75382613076293,23.5163108637746,1971.82166666667,106.459935223339,152.062768162641,18.8126262479839,3.90790530332113,5.80003843451148,3.87394118668875,5.81360215202647,5.96594593883002,5.00195710890159,3.64260956181464,4.478067727637,5.60894043033603,5.9123579008235,-0.0039500589932991,-0.136950549334792,0.0267416993365248,0.019960711766588,0.58555685151232,1.05703023964976,4.13557734323005,4.18462279930907,3.314174691162,5.24677842013736,1.95307888375824,2.0860263639504,110.910406475419,11.2013783960257,5.03222443143442,1.5284142175403,12.4831398288588,0.0,1.54755973755737,5.32511108027943,3.67563296206769,3.23323141669678,1.54755973755737,3.67563296206769,1.21657603114829,0.679503139922546,2.48375978133153,8.50326873443384,0.7521839904,18.80459976,949.137251624682,0.117909783826703,16.6692001237838,-2.74115419292797,9.04594510565691,9.81736956521739,4.94846030879152,3.8124039112368,9.87505656965781,8.41025004072389,2.49638729108369,10.1058781171122,2.11680772107902,4.02813649783267,5.06146767211468,17.5136761643303,7.42023348909804,-0.140869356484612,1.05686126917303,0.107019152514363,0.118759759881525,-1.20358595830746,1.92972133397614,18.9492209314067,0.139237578340426,19.2647252421217,18.6612174449171,22.656809117069,22.5068068511614,2.91137097310021,0.237653187417651,0.019641955747981,0.145091586147454,0.107851910905194,0.0404797458838575,1.46378896061902,1.6147491424369,0.131162838760754,0.671057120493831,5.97112074593844,1.13299188759514,0.915642508094255,1.76466777878077,0.0218915359048143,1.54696311609337,0.282835202084979,11.2688363968308,10.6045556309853,11.1703689547735,10.9774680049463,10.7342514147137,3,0.0,0,2,5,1,9,0,7,1,18,8,0,46.6429977416992,0.153070870033617,0.588500007987023,85.31,85.31,0,1,0,4,4,1,10,0,0,6.468521082957745
31,0.0697674418604651,2,26.6804026920841,672,4.14313472639153,3.78418963391826,7.38118808048394,11.9765660947803,0.55961225285445,0.290962381158649,3.43349533096297,0.088242278046782,4.89582555879187,30.4930830083777,1691.6609195402,4.78539022260807,0.0106402715431567,1.76322607278052,23.8028606241725,2154.92833333333,113.620051161572,159.728817345674,19.0516227150754,3.90902373291,5.80154557549116,3.87594617072494,5.8157631103903,6.12297910223452,5.2513855425299,3.66961592399876,4.49059336973762,5.63533132812407,6.00476237208818,-0.0119814739305155,0.0827393332916234,0.0336337887759437,0.0093317894052802,0.604566063144455,1.02610962679757,4.1356640447088,4.1846125907593,3.31379490517628,5.2468776491927,1.95258147595368,2.08573258080707,110.910406475419,11.201383054149,5.03236898979987,1.53700545898374,12.5797408821204,0.0,1.78229778538887,5.33032250861147,5.22488835159337,3.27406280525079,1.78229778538887,5.22488835159337,1.29958267819842,0.679515658687581,2.70683956370264,8.70514754039241,0.7521839904,18.80459976,964.261745398312,0.126997658588642,16.2539684676182,-2.74268029692436,9.01717374005064,9.83002173913044,5.31464275916761,3.92046467620214,10.5904431062256,10.2615843116846,3.04776354353789,12.1581484924736,2.11677387693437,4.02025970796527,7.04897574801329,16.7284350791603,8.40586969078612,-0.11601740005675,1.26007574890385,0.190669507134174,0.246439907556309,-1.10799251141119,1.94205008704611,19.0328634219781,0.152828195138631,19.253656128923,18.7414448344759,23.1010011262075,22.9750260979419,2.89777978147468,0.238733230071688,0.0202822798677515,0.169113262184945,0.113729952831197,0.0407787359887795,1.48505104653868,1.73596527370156,0.139840402456291,0.674238014629608,6.80479008158369,1.30745970425011,0.959518841116713,1.76366616069733,0.0216268112848509,1.53297353220725,0.38482833974093,11.2454507584093,10.5756802184287,11.1713031548693,10.9784014692148,10.7352078563132,3,0.0,0,2,5,1,9,0,7,1,18,8,0,46.6419982910156,0.150630953418243,0.588500007987023,85.31,85.31,0,1,0,4,4,1,9,0,0,5.388276691992658
30,0.0652173913043478,2,25.92240942703,647,4.11087386417331,3.76120011569356,7.37168336050189,11.869274515052,0.56424575766953,0.292133773397795,3.76856284586475,0.0914974327509342,4.746594490993,29.4929851638328,1533.19540229883,4.70430392818271,0.0097450540426141,1.74739438571486,23.552627260709,1918.24916666667,111.181792255093,146.458646814784,18.8433275292225,3.90799891767132,5.80009732348639,3.87420408920662,5.81383171869221,6.06845816567868,4.90089828321064,3.67634901959907,4.56181547967184,5.55626758006445,5.78662143443182,0.0075328808549876,-0.21946924010003,0.0222604784196788,0.0207657458980667,0.552865219539558,1.25568062423686,4.13596277149691,4.18495225322104,3.35359310978206,4.91645385624424,1.95747220831746,2.0863418790973,110.910406475419,11.2013783960257,5.03230653526631,1.5284142175403,12.4831398288588,0.0,1.54755973755737,5.32511108027944,3.67563296206769,3.23323141669678,1.54755973755737,3.67563296206769,1.22720061364132,0.679517274752758,2.48383255587962,8.45277316979463,0.7521839904,18.80459976,1104.84204296722,0.124286132959377,18.2008922180785,-2.95585926589957,9.67605036039588,9.78446551724138,4.77223466572724,3.80338780325436,10.4758975149041,10.222208670202,2.61057977698656,13.107283125417,5.41895911534871,4.03743669080994,5.79775780819177,17.4118309312737,6.78264405708544,0.248022219709791,0.863662033174787,0.172724979085515,-0.297114732324523,-1.22685858554857,0.431547106836425,20.1442680959814,0.141015296021478,21.2777202210934,20.5437499234767,24.0966731317824,24.6984759806506,3.00950848655896,0.253419025244891,0.0247697883727556,0.104857505858539,0.120410204370051,0.0485405129441552,1.8324629584829,1.55802471736379,0.145548899779305,0.662008624910751,5.88730114211353,0.94020658065749,0.856342055360098,1.80823561701457,0.0202512266382658,1.73270334317514,0.280809993268028,11.2943048643727,10.6313707798835,11.200022927425,11.0072585333932,10.7640268299443,3,0.0,0,2,5,1,9,0,7,0,18,9,0,46.6439971923828,0.159800840019806,0.588500007987023,85.31,85.31,1,2,0,4,4,1,15,0,0,5.6439741428068775
29,0.0697674418604651,2,25.1411764820402,622,4.07753744390572,3.73766961828337,7.36208743322487,11.7491301361059,0.582386666129353,0.294601675299555,3.64058080346679,0.0950084758841825,4.50600279112358,28.4927469711503,1378.06321839081,4.61890462652418,0.0089755695187432,1.7487881078772,23.2205894579634,1730.08133333333,106.117895898772,137.317258511617,18.5755451435627,3.90737605429951,5.79929033303554,3.87337050789927,5.81291036290411,5.88620603841372,4.66264391119117,3.63998581404106,4.46211638970221,5.49990757096405,5.70453084272562,-0.0041039554916479,-0.0995542015463853,0.0266470284477692,0.05427182292152,0.574243858205822,1.24067757836721,4.13542073287751,4.18454361700854,3.305992187273,4.85648817175682,1.95408266064458,2.08594024176855,110.910406475419,11.2013754460321,5.03207706443604,1.52708322992601,12.4009442862025,0.0,1.54755346745117,5.31032442240624,3.67452144824141,3.14268549349425,1.54755346745117,3.67452144824141,1.11024464133127,0.679464539049028,2.48362658442028,8.7590346619933,0.7521839904,18.80459976,910.980050622019,0.115634230925636,16.8753360834495,-2.74127406481273,9.05035746558267,9.81554347826087,5.3242923491737,3.826710478978,9.2139681162758,8.2599477726032,3.48794566217624,11.9524978267465,3.14002944884393,4.05301436860767,7.58558307551673,15.07607838804,1.69926760753675,0.13473022933158,0.627816811741315,0.212628254144421,-0.0685053253897275,-1.22635270513387,0.252793520561748,18.5234552832771,0.152145596028409,18.604781762698,19.1978828179858,22.4940767426887,23.3926706160892,2.90911592298307,0.239261414497417,0.0326142959484076,0.194193422621784,0.101331075250972,0.0458679651156349,1.39491103235669,1.75775175702916,0.124495187771319,0.661822441775028,4.62598664061148,1.31706085316252,0.907323395390735,1.71782902216085,0.0218290385597187,1.52161873789621,0.282280300145979,10.7162110551746,9.92987583549807,10.5742802936203,10.33479108482,10.0449616640063,3,0.0,0,2,5,1,9,0,7,0,18,8,0,46.6439971923828,0.163573424861437,0.588500007987023,85.31,85.31,0,1,0,4,4,1,14,1,0,6.1249387366083
32,0.0652173913043478,2,27.5284374080994,701,4.17438726989564,3.80666248977032,7.39993072050697,12.0803027215878,0.510758128491963,0.285903554700915,3.63037346007335,0.0851935095635797,5.00460781525689,31.4952220149312,1915.79310344832,4.84382912852171,0.0103688064877661,1.73080788052838,24.2312812855567,2525.64156666667,108.013625570684,182.905135791829,19.3814918369039,3.90785843774006,5.79995619025425,3.87370951016758,5.81337402654049,6.27215777493736,5.59194918771271,3.71065082500516,4.59993412290412,6.15439345436839,5.95792836690877,0.0007801021346511,-0.166557288742917,0.0150029018508288,-0.0713226844296858,0.394123653984158,1.06696765241395,4.13616032971546,4.18513320157173,3.36976264907078,7.999,1.95712618473005,2.0870028368817,110.910406475419,11.698616831491,5.03332873077348,1.5623861665905,12.9942140468937,12.0742134417903,1.69651910641302,5.38846512922674,4.83133959414419,3.3398011650962,1.69651910641302,4.83133959414419,1.23676466808281,0.951805957551812,2.65271307273733,8.88527789829896,0.7521839904,18.80459976,1186.20486869374,0.108714584264691,18.0237253852829,-2.950406947182,9.60139742797697,9.94245454545455,4.50105433686454,3.67733136635214,12.0154273187247,10.4723689239797,3.52656049759849,12.6436045127031,5.52101983605002,4.7733647723058,5.41420056648019,19.9116125944414,0.261130536745629,-0.13551223554823,1.07795870202857,0.0350732699894664,-0.188370364323658,-1.21934063856481,-0.409158032117057,21.1613743533249,0.119700746769209,23.0520678675773,19.6646352389803,24.7066277533379,23.4828823818165,2.94463975967365,0.279161998156336,0.0324427754631611,0.124961687386086,0.138321295667378,0.0489198733681286,1.91456418526206,1.44162270147649,0.132123587278673,0.828063464276495,9.35848355501896,1.28933391986799,0.894749039761542,1.96877507318243,0.0207415412250482,1.80284993502595,0.331711344974865,12.3768897258756,11.8697155400072,12.2639417463604,12.1168556286449,11.9180799360358,3,-4.51788583189457,0,2,5,1,9,0,8,6,19,8,0,46.6439971923828,0.134243550335054,0.757600009441376,85.31,85.31,0,0,0,4,4,1,15,0,0,5.681936665037238
47,0.0952380952380953,3,38.6349530362976,1562,4.55387689160054,4.15888308335967,7.72602481581874,14.6215317651387,0.512813248456495,0.214620213878743,3.90644475929729,0.0577799520798694,5.26543004779228,46.5044892371237,6144.09195402303,6.03539553910826,0.0009999997710101,1.46209283528261,28.1585926253573,8657.45270000002,171.839509380877,429.79400209021,22.5249068589494,3.91377484368388,5.81486937916492,3.88002156786439,5.82974957719216,9.04173219684257,9.18395320045447,4.1780396794123,5.00878041967985,6.73692854068029,6.31752473024514,-0.0017013651369447,-0.0228919227168476,-0.0391212572387991,-0.0737100939011551,0.344127997104579,0.824319095463662,4.14444666507868,4.19186695281194,3.49802046559818,7.99900000000001,1.95774810700654,2.09330762417941,132.168784606408,12.188955861591,5.04557055489739,1.55923775888914,13.3912310640884,13.0323468396355,2.35718527862919,8.41086491207508,7.071334727584,3.73046883150637,2.35718527862919,7.071334727584,1.82820447031922,1.3250293459989,3.29346031182826,12.7265100844654,0.738783943030303,24.37987012,3284.87534508185,0.128177633892137,23.5815430055957,-7.65122073383183,10.9149249970204,10.0955353535353,5.23846305293384,3.96213109454097,14.6472977371908,14.8615572044011,9.62338466451644,16.1575511703794,21.8706653258356,9.86613975404913,7.42369205484918,35.632181648514,74.4385390783607,-0.584697968984268,1.72734211556683,0.338986232807638,-0.0779925399066087,-1.89157592647098,-6.01717152614577,45.5405471390169,0.0696500910966945,48.4910813293805,41.4421463014787,49.8739500976107,46.0536833477091,3.29184965808008,0.708920908724766,0.299319907448308,0.134715962820237,0.46434413537853,0.239263668543801,2.94847129269879,1.8031631579016,0.415895156765159,1.9588830259971,20.1871468887152,1.79831398321599,1.0344963849191,2.19206507474657,0.020458359326031,1.84831705769175,1.24858264285822,19.0139147907933,19.7661809938392,19.2667887944812,19.5323430847301,19.7453831363499,2,-9.6072304654382,0,5,9,4,12,0,13,12,29,14,0,46.4930000305176,0.110475722938088,0.980900019407273,97.62,97.62,0,1,1,8,7,5,20,6,0,5.882728704344236
44,0.076923076923077,3,36.1797327259408,1290,4.48863636973214,4.11087386417331,7.68421445668329,14.3650193958784,0.548286942623703,0.225616916348232,4.12269906087957,0.0621257181167927,5.31247647691214,43.4976144715819,4852.75862068948,5.82555852414865,0.0037237275603914,1.49960761624599,27.3404299332176,6354.23466666668,175.302289355408,331.614312268533,21.8424104116308,3.91481216108337,5.81701604853122,3.8815030518489,5.83191537005261,8.71496921038691,8.19319315021142,4.18723395823168,4.98946875754657,6.35821984944346,6.26715650373839,0.0102358675645686,0.100784416020976,-0.0117000875686904,-0.12368031845726,0.40340293652412,0.911537516542318,4.14547681139231,4.19282890639965,3.48154758637916,7.99899999999999,1.96219070540602,2.09496805780448,121.168896718802,12.188955861607,5.04710876652278,1.55570368444762,13.2332981281065,12.0742134417903,2.26834921038088,7.10272228751481,6.60116699146359,3.74296757015494,2.26834921038088,6.60116699146359,1.82788713345173,1.29745983469001,3.22120021489705,12.5242333006855,0.740322333939394,24.43063702,2991.91760269851,0.0078503078121406,25.2230749772781,-5.93800291090434,11.2632265329297,10.0137894736842,5.04083903950421,3.60919997083766,14.5697280375773,13.870845966962,9.63645191590146,20.4204200633722,22.3641835597501,11.1923518674152,10.0575030831084,38.4963199416393,32.2989394469648,0.0047353884493428,1.43682705145195,0.563770238321478,-0.430062752450278,-2.03353851512478,-1.89817548648149,41.4681164417656,0.072863988812349,43.9978602163825,40.5850816075545,46.2898436980635,45.6749501474706,3.64047413567301,0.769103067327394,0.203317167829449,0.101941928405161,0.422237271072755,0.222509637903099,3.28484893988492,1.95563580113879,0.417686216989039,1.85949911487972,18.0837857633435,1.29195181077225,0.973954109908392,2.06756601092308,0.0113607893194657,2.0393605724197,1.15416822058972,17.251358787584,17.6555473913302,17.378819973328,17.5343691010607,17.6375575266547,2,-4.6919505864562,0,3,7,2,12,0,15,6,30,14,0,46.4819984436035,0.096258603742711,0.713899999856949,88.39,88.39,0,2,0,6,5,8,27,8,2,6.7447274948966935
29,0.0666666666666667,2,25.2871089477633,628,4.07753744390572,3.73766961828337,7.33163060343867,11.6436947021226,0.529055483708803,0.288082000873018,3.81477137523226,0.0949846421441877,4.25907091119365,28.4876336576788,1444.56321839075,4.59901762729004,0.0075131020745732,1.71206731196158,23.3138808774577,1948.43333333333,97.5837699059796,155.387412603013,18.5749704502741,3.90619885937806,5.79768497476451,3.87161244427657,5.81092879741412,5.91836063308685,4.66156768015073,3.59938444637431,4.51662754484806,5.54919263670202,5.6909306312728,0.021683596114554,-0.0101025163271367,0.0187824106329185,0.0786491544340709,0.529479136708621,0.852023674201726,4.13471956513554,4.18427839213182,3.35636632026297,4.85685437569987,1.94714833430867,2.08521245223812,128.921157158449,11.2013060649246,5.03070444325391,1.50539245046148,12.2991576241369,4.46440051400798,1.54702149620521,4.81861413894026,3.67237046097541,3.13591873345652,1.54702149620521,3.67237046097541,1.20464670786717,0.679718727310907,2.48281447872464,9.12338464222571,0.850856193043478,19.56969244,1120.99040135006,0.151542279130141,18.3501556480611,-2.87734253881981,9.37555377895764,10.0971764705882,4.73887406889275,3.5417774796457,11.4143833603243,5.91895998549304,2.58543689283405,14.1089460029801,7.16074770875512,6.17871750899665,5.19196195255482,11.275303031937,6.67425153842937,0.225293009192389,0.824295962501576,-0.148120445257308,-0.37725967820531,-1.15043372088185,0.3694994322627,22.0362947838956,0.104160850199467,23.3127698431065,22.3927557189748,25.1676972378121,25.7432622254248,2.8627005021221,0.322451379140471,0.0432291863196202,0.104829892857727,0.135958520656468,0.0781112142611241,1.42638705330231,1.46156145123008,0.154478541941262,0.800332615472111,4.29237411166693,0.827240820817381,0.832845540507029,1.73526574298804,0.0227922376547871,1.5791505219823,0.195877501542483,11.7411911201724,11.1368923574344,11.7206208988673,11.5360960393216,11.3002853834317,4,0.0,0,1,3,0,11,0,10,0,15,11,0,86.1949920654297,0.145390832683488,0.648299992084503,97.34,97.34,1,2,0,3,3,0,12,0,0,5.943095148663527
31,0.0666666666666667,2,26.905414512828,719,4.14313472639153,3.78418963391826,7.34534214406505,11.9116749608537,0.512738249431003,0.280927943059223,3.60769920639432,0.0882047136010053,4.59783835570552,30.48969384846,1790.49425287351,4.74353807206398,0.0087077636090391,1.70384859481189,23.9712972493782,2514.99746666667,99.7695736232948,187.58505626813,19.108946951449,3.90661078942767,5.79819064465882,3.87205574203491,5.81144540858591,6.13838353020692,5.29087697115112,3.62551985484148,4.54200927305911,5.72459241943773,5.94688235243466,-0.0017635374990865,-0.0700639574575297,0.0168009871723548,0.0319717520587255,0.561197258055792,0.837952445249098,4.13491354437138,4.18439485707832,3.35758667251441,7.43102799702031,1.94677418614307,2.08525417543728,128.921157158449,11.2013072871907,5.03073659504479,1.52205011325244,12.4358779579578,4.46440051400797,1.71104761281999,5.52334015446433,4.90686711179175,3.14834723054799,1.71104761281999,4.90686711179175,1.3248037109234,0.679775301957316,2.66552241356662,8.71007980503049,0.850856193043478,19.56969244,1183.38484946086,0.160407527228753,17.8244242648245,-2.87763334426732,9.35423743479479,10.1139411764706,4.68293664139235,3.61673814530101,12.2142681069555,9.5228816722209,3.00930550608103,14.7436467931091,7.06411908625284,6.20128835865412,4.95550248881658,12.1923357401033,4.02256270927796,0.0568480663884925,0.83254692911906,-0.214260572595435,0.330695036866124,-1.07418179016316,2.02463530317153,22.8631813169876,0.102776871422477,24.064987239305,22.3050342332064,26.0510104374739,25.6650059106412,2.85621108963586,0.320566001149159,0.096265740276297,0.123860763596543,0.151047927270853,0.0857255302632834,1.58254271194068,1.44060557765387,0.151271089185397,0.837215633773858,9.64276044548635,1.01884924058817,0.877083606801896,1.78688221088114,0.0226765621626725,1.62828289836977,1.36360015244997,12.6622241205699,12.2831501067824,12.5899404046158,12.4889371145911,12.3381851854295,4,0.0,0,1,3,0,11,0,10,0,15,11,0,86.1949920654297,0.133763223895318,0.648400008678436,97.34,97.34,0,2,0,3,3,0,8,0,0,6.036212172654444
