F03[C-N],SpMin1_Bh(p),RNCG,H6v,TPSA(NO),P_VSA_p_2,Tv,Eig07_EA,TPSA(Tot),H6p,SpMax_B(v),SpMax_B(p),H4s,SpDiam_B(p),RDF060p,H6i,HOMT,F01[C-N],VE3sign_RG,SpMax1_Bh(i),SpMax5_Bh(i),DP15,MATS1p,Eig06_AEA(bo),Eig07_EA(ed),F06[C-N],SM02_AEA(ri),H7v,CATS2D_08_AL,F05[C-N],H7u,RDF025v,SM6_H2,VE3_Dz(v),SM07_EA(ri),VE2_Dz(Z),VE2_G,F09[N-O],P_VSA_ppp_con,HATS7u,P_VSA_m_5,JGI8,AVS_Dz(v),GATS3i,Mor19p,SpDiam_AEA(dm),HyWi_Dz(p),R6p,VE1sign_Dz(v),RDF075e,P_VSA_p_1,CATS3D_16_AL,alvo
11,2.08506564352015,0.146303706524086,0.141964595531544,97.34,128.921157158449,26.5580984239565,1.65056858795789,97.34,0.15880194206667,3.90638582015433,3.87186479961633,4.8127855081038,5.81119089889248,6.08128424431615,0.788637323596249,19.56969244,12,-2.87835690274128,4.18427118540634,3.35627898226896,12.1464007320029,0.0284157833057165,3.2184826927087,4.54804515296877,11,4.54804515296877,0.0878469336277225,1,10,0.324153730278952,17.5806125747033,8.69360390442808,1.83254102942767,8.26923845422462,0.174310868819641,0.138218401880311,0,153.807643411631,0.274334101800681,0.0,0.0094875913328294,142.126628395062,0.954236975095536,-0.164833499149156,5.56385362487051,9.26110471922917,0.29085645155097,0.291107574092147,13.9846821491219,129.482121962493,0,5.300162274132754
11,2.08490830692647,0.143091485721548,0.150671603467981,97.34,128.921157158449,26.7842586735816,1.6541474936615,97.34,0.171695238080505,3.90682234904245,3.87254010311743,5.23464085869018,5.81190257626986,5.91553921196361,0.786733808017493,19.56969244,12,-2.87876394815035,4.1842625894073,3.35627827341651,12.1727949648262,0.0381293583886995,3.21851150893962,4.64917308397103,11,4.64917308397103,0.0870153145802214,1,10,0.318496381162543,17.8021529881669,8.76728593885429,1.93110150104493,8.32574720375614,0.172683033185082,0.138171501726725,0,147.83200246986,0.269500923794209,0.0,0.0095567658280243,150.567511904762,0.952364898953832,-0.261588233695711,5.58824262120686,9.36752627559721,0.295944739459269,0.230469143118026,13.2944948355798,117.711019965903,0,5.896196279044043
9,2.08691350922283,0.134307147447364,0.114285496880584,85.31,110.910406475419,24.6441829697795,1.70767979137926,85.31,0.132501738843513,3.90773327459922,3.87355301843376,10.5172750657341,5.81317139359221,4.00511244583995,0.654286438406357,18.80459976,10,-2.95073678139564,4.1851027616627,3.37042248713361,11.830111652135,0.0150029018508288,3.25234531189839,4.91811089292111,9,4.91811089292111,0.0473263235132863,4,7,0.248988962168937,21.2782386293472,8.83227248756773,2.02663177762617,8.66207085422108,0.170040719983606,0.137843821546216,0,183.771016195412,0.28560748640176,0.0,0.0130085127329395,155.195650574713,0.877264476917894,-0.0695452054176433,6.45992397331165,9.45946252006608,0.3008078740087,0.209811713450076,12.6044645265771,174.362461775531,0,5.152427340857888
9,2.08794321269317,0.115396358000517,0.242146236483971,85.31,110.910406475419,25.2700951566376,1.8643994809495,85.31,0.175585200422905,3.90947376821854,3.87582010879288,11.7521165834648,5.81591053382654,6.59591062064236,1.32457810375269,18.80459976,10,-3.16493362955846,4.18580476863687,3.45224192124438,12.271580551433,0.0107387352149461,3.65323692010694,5.51054217360109,8,5.51054217360109,0.0613154364859349,4,9,0.328382050177513,23.8117706215934,9.05274688113139,2.42202138975171,8.8965127290324,0.162545857809518,0.134342412634168,0,177.480343672722,0.232087164218867,0.0,0.0105689571150097,187.201076767677,0.874234193742243,-0.0092184532185718,6.48249233303072,9.8408176047684,0.310001274062481,0.0265333145773641,19.6976986844939,207.471699591978,0,5.079876673709276
15,2.09898601626382,0.0959822119974778,0.367001064359396,87.53,122.394117853702,46.5502738906591,2.16993348096179,87.53,0.37857047477988,3.92009640971864,3.88980456299471,17.5899411596486,5.81414767986047,10.3980100251704,1.50118679489295,23.78609802,11,-9.03732534302529,4.19672464017812,3.5192062657597,17.3275405001416,0.0104721048351113,3.72377377756036,6.38210842523171,14,6.38210842523171,0.21320043296857,4,12,0.579526958931565,28.2557478178313,9.14120830813459,2.90968989551256,8.84371001590366,0.143422466813437,0.116405690820499,0,221.481732894047,0.273676654674551,0.0,0.0112956530129782,286.499211111111,0.937717675285675,-0.0309213675279126,6.47477063541613,10.6696525242211,0.368567275664199,0.163877220731093,23.792565768071,233.217971758482,0,5.634512015109101
13,2.09964145368162,0.130249133270545,0.363053586660236,84.73,115.383255058278,35.6719857877494,2.13628439574805,84.73,0.361985141263343,3.9204378717805,3.89016177419709,11.3078691581436,5.814826737443,8.50258822359166,1.55696247010855,23.03249408,9,-8.9363302238406,4.19680186351573,3.477976354131,14.5750918760814,-0.0228413608105929,3.71255120125298,6.32925033821234,11,6.32925033821234,0.159713366299695,9,9,0.586961458189117,27.9748680998597,9.09318639176856,2.80216049626261,8.76438191243246,0.1453394688452,0.117756113889859,0,259.793631344362,0.301640099332833,0.0,0.0101607772738725,266.98390877193,0.799895352699253,0.0345930268586582,6.43667776466013,10.583507675667,0.404599950509294,0.175697050919627,28.4681542730431,244.989073755073,0,4.522878745280337
13,2.09963830267315,0.130412421036889,0.460210790544213,84.73,115.383255058278,39.9410141605182,2.18747228696499,84.73,0.457988222165116,3.92037583929875,3.89009636705327,11.5072881870278,5.81470678117088,7.80135293750855,1.86106589090478,23.0955828,9,-8.81752647485968,4.19679339203842,3.48613230093219,16.9014278910576,-0.0228413608105929,3.71462947815641,6.49417609521297,10,6.49417609521297,0.268470528987461,9,9,0.824673029975919,28.3099618529697,9.08188404381686,2.79569178372266,8.76087692720368,0.144619956387338,0.116520052465457,0,259.793631344362,0.269564520611558,0.0,0.0086088737192407,271.720750877193,0.799895352699253,0.0759543439022484,6.43660650439128,10.6210541131895,0.379980477672483,0.235487672513383,25.9537699975697,244.989073755073,2,4.672028376376989
9,2.08635950387746,0.160380919819661,0.095276482753478,85.31,110.910406475419,20.6346846679517,1.54687440356713,85.31,0.118007011238109,3.90700026330762,3.87266572847961,4.32809757838478,5.8121775097366,4.16071149353949,0.670808226395359,18.80459976,10,-2.7399813720788,4.18456767792944,3.30827630775328,9.78729049292271,0.021138522219689,3.1137891597086,3.67142699205507,8,3.67142699205507,0.0364606052749279,4,7,0.238332163160042,18.840717709939,8.64902144461012,1.62736565391726,8.37483023660709,0.179800291318068,0.141759823576762,0,190.061688718102,0.326997136685893,0.0,0.0096203675072722,112.077192,0.969711377429944,-0.038270542936663,5.57148499102846,8.74270974714924,0.32135414495468,0.199764300548949,13.5711014734528,141.253223959084,0,6.070581074285707
9,2.08646359850713,0.146777119096961,0.0973330979808659,85.31,110.910406475419,21.0868522344094,1.64066676710757,85.31,0.116429286193231,3.90800075443205,3.87384900224309,8.69496014814417,5.81373161063582,4.33209873170574,0.670478590736808,18.80459976,10,-2.74081276055174,4.18472902531285,3.31456479369265,10.3988642054279,0.0195365503887606,3.2102293894004,4.43901142022849,8,4.43901142022849,0.0390667834016745,3,7,0.233284027903281,19.4871460198077,8.76879450740354,1.83173093534669,8.51601490382799,0.174146545899866,0.141690608563542,0,189.351229901693,0.325179758105298,0.0,0.0114447666531,130.887138271605,1.01557781529499,-0.102379206825641,5.62533863573029,9.11456403217674,0.318853572327502,0.172813080607621,14.3104618254906,147.631246507928,0,5.139063379299906
9,2.08645048357548,0.14938087488123,0.102234324113711,85.31,110.910406475419,21.4501850711874,1.76974365320093,85.31,0.11715081974346,3.90778671494238,3.87359985686202,9.26518578522327,5.81334172719985,4.42620459952364,0.695649360055718,18.80459976,10,-2.74154156412825,4.18471358647395,3.31422971602805,10.7820708944303,0.0195365503887606,3.23205080756888,4.96257486685741,8,4.96257486685741,0.0365053620366297,4,7,0.237844444126045,19.3110786830934,8.75852931523866,1.83200165107555,8.47233557128547,0.174247773130798,0.14175376095953,0,189.351229901693,0.324191042869668,0.0,0.0097489316239316,130.887138271605,0.979295639196659,-0.151108286257499,5.58470047118087,9.11363427808866,0.318637200327533,0.170128366085847,15.2739806439691,147.631246507928,0,6.337242168318426
