F03[C-N],L1p,F06[C-C],L1v,P_VSA_p_2,TPSA(Tot),RNCG,SpMin1_Bh(p),H6v,Tv,H4s,RDF115v,SpMax_B(p),Tp,HOMT,SpDiam_B(p),L1e,RDF060p,TPSA(NO),F05[C-C],SpMax1_Bh(i),SpMax5_Bh(i),RDF145s,Eig07_EA(ed),SpMax1_Bh(e),DP15,H7u,Eig12_EA(ri),DP18,DP20,DP19,SpMax4_Bh(p),DP16,CATS3D_11_LL,SpMaxA_EA(bo),J_Dz(Z),SM5_B(e),H3p,Xindex,nArCONHR,MATS1s,RTm,CATS3D_08_DP,MWC02,SMTIV,P_VSA_m_1,Ho_D/Dt,VE1sign_B(m),X3v,PCR,Mor29s,Mor19e,VR2_G,RDF070i,TDB05s,TDB01i,SpMaxA_AEA(ed),alvo
10,7.31252837068396,25,7.31397812032684,119.433935643089,100.3,0.150586894151745,2.06619545627947,0.100371940518328,15.321535096307,16.6410466054512,0.262611783405263,3.95496578428625,15.3691927609509,20.2133952,5.88740643086387,7.28979730989835,22.0702502034002,91.92,26,4.17947390944095,3.46639436599873,0.0,6.06520454741165,4.1515181027797,6.32586984103322,0.139915815933435,1.0,4.66274064050154,3.3528975433896,4.02441907857274,3.74661257806706,5.81695758452435,0,0.127110716777301,1.95533881126396,8.38866726322686,1.90057049854108,0.296119722800734,0,-0.0772905741558865,19.3685663888145,0,5.18738580584075,26917,188.337631945445,16.7329335374986,0.0678837867516793,6.73835975328357,1.53345987894372,0.367136954536798,0.63244278396166,1.04920680508544,44.6204983023616,27.034259020262,1.48504674873111,0.19332605137207,6.431798275933005
9,18.6612174449171,18,18.9492209314067,110.910406475419,85.31,0.153070870033617,2.0860263639504,0.107851910905194,22.656809117069,5.97112074593844,2.49638729108369,3.87394118668875,22.5068068511614,18.80459976,5.81360215202647,19.2647252421217,4.02813649783267,85.31,19,4.18462279930907,3.314174691162,7.42023348909804,3.67563296206769,4.13557734323005,11.2688363968308,0.237653187417651,0.679503139922546,10.6045556309853,9.92573017139542,10.2872707254012,3.161382675286,11.0977993790067,0,0.153646192613917,1.76730604765286,8.16661520755008,1.13772626086693,0.292133773397795,1,-0.110004258847756,12.4451790874237,1,4.99043258677874,16584,117.711019965903,12.3610889783166,0.160346790847805,4.34294265993064,1.55580921005298,0.856540861493069,-0.189518895900826,1.06225387133195,15.9243700703221,18.9924210081245,1.50928842975349,0.226697076044883,6.468521082957745
9,18.7414448344759,18,19.0328634219781,110.910406475419,85.31,0.150630953418243,2.08573258080707,0.113729952831197,23.1010011262075,6.80479008158369,3.04776354353789,3.87594617072494,22.9750260979419,18.80459976,5.8157631103903,19.253656128923,4.02025970796527,85.31,19,4.1846125907593,3.31379490517628,8.40586969078612,5.22488835159337,4.1356640447088,11.2454507584093,0.238733230071688,0.679515658687581,10.5756802184287,9.89465536984442,10.2571865829769,3.16466642374991,11.0722084530482,0,0.148689893085652,1.78548275453785,8.20386675906585,1.25987190502902,0.290962381158649,1,-0.111942334526809,15.3070321080453,1,5.03043792139244,18890,105.939917969313,13.0225165014701,0.141755169160436,4.66756935528441,1.5531589721925,1.05133592363723,-0.309760505031015,1.06223581660702,16.8144102703322,21.3219985458969,1.52494305533488,0.219384302120827,5.388276691992658
9,20.5437499234767,18,20.1442680959814,110.910406475419,85.31,0.159800840019806,2.0863418790973,0.120410204370051,24.0966731317824,5.88730114211353,2.61057977698656,3.87420408920662,24.6984759806506,18.80459976,5.81383171869221,21.2777202210934,4.03743669080994,85.31,20,4.18495225322104,3.35359310978206,6.78264405708544,3.67563296206769,4.13596277149691,11.2943048643727,0.253419025244891,0.679517274752758,10.6313707798835,9.95268370739051,10.3142224127877,3.21118422013057,11.1238854080973,0,0.153646192613918,1.76034729372907,8.15541205228456,1.18711974786479,0.292133773397795,1,-0.142329539863627,10.460623961143,1,4.99043258677874,15312,153.024325955674,12.3610889783166,0.165011296927125,4.7127288401149,1.55580921005298,-0.196879585760819,0.0719549454986128,1.05794592899794,19.7093587731819,17.1342629444351,1.48464045172609,0.226697076044883,5.6439741428068775
9,19.1978828179858,18,18.5234552832771,110.910406475419,85.31,0.163573424861437,2.08594024176855,0.101331075250972,22.4940767426887,4.62598664061148,3.48794566217624,3.87337050789927,23.3926706160892,18.80459976,5.81291036290411,18.604781762698,4.05301436860767,85.31,19,4.18454361700854,3.305992187273,1.69926760753675,3.67452144824141,4.13542073287751,10.7162110551746,0.239261414497417,0.679464539049028,9.92987583549807,9.16697303247559,9.57078444965445,3.18044333542076,10.5051039480256,1,0.158944315867194,1.76752288013444,8.12001421900077,1.2905946899584,0.294601675299555,1,-0.15082439688228,13.9227696949399,1,4.94875989037817,14340,129.482121962493,11.6901635936624,0.161376802352776,4.50658232071197,1.5581116346252,0.45810790572435,0.0023583448168698,1.06224225273342,18.5177100175194,16.2587643553975,1.49155970184651,0.234514195539606,6.1249387366083
9,19.6646352389803,19,21.1613743533249,110.910406475419,85.31,0.134243550335054,2.0870028368817,0.138321295667378,24.7066277533379,9.35848355501896,3.52656049759849,3.87370951016758,23.4828823818165,18.80459976,5.81337402654049,23.0520678675773,4.7733647723058,85.31,19,4.18513320157173,3.36976264907078,0.261130536745629,4.83133959414419,4.13616032971546,12.3768897258756,0.279161998156336,0.951805957551812,11.8697155400072,11.285576218975,11.600683651314,3.1805290951459,12.2604228292774,0,0.144043300922897,1.73523838242757,8.22406608793522,1.023693420221,0.285903554700915,1,-0.125475726917132,12.2994897092044,1,5.06890420222023,20555,129.482121962493,13.9030905773968,0.16380455718362,4.32359305265539,1.55168004828897,-1.37311778989764,0.0547549509404115,1.0579728426668,16.9017416499197,21.1245999294411,1.52132053216087,0.222429416841687,5.681936665037238
12,41.4421463014787,29,45.5405471390169,132.168784606408,97.62,0.110475722938088,2.09330762417941,0.46434413537853,49.8739500976107,20.1871468887152,9.62338466451644,3.88002156786439,46.0536833477091,24.37987012,5.82974957719216,48.4910813293805,9.86613975404913,97.62,28,4.19186695281194,3.49802046559818,74.4385390783607,7.071334727584,4.14444666507868,19.0139147907933,0.708920908724766,1.3250293459989,19.7661809938392,20.0156906744951,19.914519115551,3.72877280732463,19.3185533095114,6,0.0982108947191059,1.46952501765902,8.60043214932412,1.59177361476319,0.214620213878743,2,-0.0992592472890558,19.9134506671369,0,5.45958551414416,71185,164.795427952264,22.9725118844352,0.18262873220052,6.28977883933206,1.60923331365394,-4.82353618323649,0.44509433046481,1.05928213181377,25.9306778239393,24.8295657013769,1.54072063203556,0.154076201516132,5.882728704344236
12,40.5850816075545,30,41.4681164417656,121.168896718802,88.39,0.096258603742711,2.09496805780448,0.422237271072755,46.2898436980635,18.0837857633435,9.63645191590146,3.8815030518489,45.6749501474706,24.43063702,5.83191537005261,43.9978602163825,11.1923518674152,88.39,27,4.19282890639965,3.48154758637916,32.2989394469648,6.60116699146359,4.14547681139231,17.251358787584,0.769103067327394,1.29745983469001,17.6555473913302,17.6750657633503,17.6886576750092,3.7308444834786,17.4396155870964,8,0.104907720100404,1.50731800651711,8.53111504885337,1.74466920490282,0.225616916348232,2,-0.0913346152088409,15.3815505943036,0,5.3890717298165,49643,223.650937935216,20.4712413300308,0.0814094006710847,6.42357175686873,1.61772776306783,-2.7479827311396,0.506340472008943,1.05730362956274,22.6123439824212,21.4111867048023,1.49276667412677,0.164581397074054,6.7447274948966935
11,22.3927557189748,15,22.0362947838956,128.921157158449,97.34,0.145390832683488,2.08521245223812,0.135958520656468,25.1676972378121,4.29237411166693,2.58543689283405,3.87161244427657,25.7432622254248,19.56969244,5.81092879741412,23.3127698431065,6.17871750899665,97.34,16,4.18427839213182,3.35636632026297,6.67425153842937,3.67237046097541,4.13471956513554,11.7411911201724,0.322451379140471,0.679718727310907,11.1368923574344,10.4906782022969,10.8365690526097,3.17474682498612,11.5917955393326,0,0.158944025572804,1.71703369768941,8.10367499810395,0.993419468117173,0.288082000873018,0,-0.153430899419967,8.77059384789709,1,4.93447393313069,13726,141.253223959084,11.7762754446236,0.170150049955389,3.90316411166978,1.55307094434927,1.1602439833926,-0.153045269738613,1.05921612407999,16.3565747820292,16.6423349854411,1.49365844860356,0.234513588405358,5.943095148663527
11,22.3050342332064,15,22.8631813169876,128.921157158449,97.34,0.133763223895318,2.08525417543728,0.151047927270853,26.0510104374739,9.64276044548635,3.00930550608103,3.87205574203491,25.6650059106412,19.56969244,5.81144540858591,24.064987239305,6.20128835865412,97.34,16,4.18439485707832,3.35758667251441,4.02256270927796,4.90686711179175,4.13491354437138,12.6622241205699,0.320566001149159,0.679775301957316,12.2831501067824,11.7940769881592,12.0607759576813,3.17453360824844,12.5863375531251,0,0.14868957680117,1.70957886661241,8.1917908000638,0.972439170607563,0.280927943059223,0,-0.0991741082222886,10.9142876418111,1,5.01727983681492,18727,117.711019965903,13.0797176364211,0.159536005825528,4.05083859413946,1.5520871189925,0.921668694398887,-0.513048847404793,1.05921352240109,17.36619558361,21.8384704566694,1.52746826193689,0.219383688874491,6.036212172654444
