L1p,RNCG,SpMin1_Bh(p),TPSA(Tot),H6v,H6p,H4s,F05[C-N],SpMax_B(v),SM15_AEA(bo),Tv,P_VSA_p_2,Tp,SpMax_B(p),SpDiam_B(v),SpDiam_B(p),RDF060p,H6i,HOMT,RDF145s,SpMax1_Bh(i),TPSA(NO),SM02_AEA(ri),H7v,Eig07_EA(ed),Eig12_EA(ri),F06[C-N],DP18,F01[C-N],CATS2D_08_AL,SP17,RDF120e,nSK,NdO,GATS1s,SpPos_G,EE_B(p),Wi_Dz(i),SpPosLog_B(p),Psi_i_s,VE1_RG,Mor32p,F04[C-C],alvo
7.31252837068396,0.150586894151745,2.06619545627947,100.3,0.100371940518328,0.0963908390735381,16.6410466054512,7,3.96559315824151,2.04175179551789,15.321535096307,119.433935643089,15.3691927609509,3.95496578428625,5.87591823825168,5.88740643086387,22.0702502034002,0.696593077904272,20.2133952,0.0,4.17947390944095,91.92,6.06520454741165,0.0328660076724958,6.06520454741165,1.0,9,4.66274064050154,5,6,5.4805295873151,0.0,33,3,0.575464301426036,271.439301013966,5.72382415866932,2496.42675629334,5.3665129972223,91.3611111111111,2.664094952029,-0.262281464130743,25,6.431798275933005
18.6612174449171,0.153070870033617,2.0860263639504,85.31,0.107851910905194,0.131162838760754,5.97112074593844,7,3.90790530332113,1.54755973755737,22.656809117069,110.910406475419,22.5068068511614,3.87394118668875,5.80003843451148,5.81360215202647,4.02813649783267,0.671057120493831,18.80459976,7.42023348909804,4.18462279930907,85.31,3.67563296206769,0.0404797458838575,3.67563296206769,0.679503139922546,8,10.6045556309853,10,4,10.9774680049463,3.67283207983829,27,1,0.626898644753869,245.2316196713,5.48097368274732,1414.46313333333,4.16576864945752,68.6111111111111,2.05938018526506,-0.412766802879873,17,6.468521082957745
18.7414448344759,0.150630953418243,2.08573258080707,85.31,0.113729952831197,0.139840402456291,6.80479008158369,7,3.90902373291,1.78229778538887,23.1010011262075,110.910406475419,22.9750260979419,3.87594617072494,5.80154557549116,5.8157631103903,4.02025970796527,0.674238014629608,18.80459976,8.40586969078612,4.1846125907593,85.31,5.22488835159337,0.0407787359887795,5.22488835159337,0.679515658687581,8,10.5756802184287,10,4,10.9784014692148,3.45916080762302,28,1,0.630060084826422,245.870914511935,5.52163426229605,1559.72485,4.37060939143985,72.3888888888889,2.05967527635993,-0.400712086165572,17,5.388276691992658
20.5437499234767,0.159800840019806,2.0863418790973,85.31,0.120410204370051,0.145548899779305,5.88730114211353,7,3.90799891767132,1.54755973755737,24.0966731317824,110.910406475419,24.6984759806506,3.87420408920662,5.80009732348639,5.81383171869221,4.03743669080994,0.662008624910751,18.80459976,6.78264405708544,4.18495225322104,85.31,3.67563296206769,0.0485405129441552,3.67563296206769,0.679517274752758,9,10.6313707798835,10,4,11.0072585333932,8.83853793500978,27,1,0.722371787669114,278.857459074274,5.49201953148323,1423.30563333333,4.18258524261529,62.6111111111111,2.06388608380222,-0.407396673288483,18,5.6439741428068775
19.1978828179858,0.163573424861437,2.08594024176855,85.31,0.101331075250972,0.124495187771319,4.62598664061148,7,3.90737605429951,1.54755346745117,22.4940767426887,110.910406475419,23.3926706160892,3.87337050789927,5.79929033303554,5.81291036290411,4.05301436860767,0.661822441775028,18.80459976,1.69926760753675,4.18454361700854,85.31,3.67452144824141,0.0458679651156349,3.67452144824141,0.679464539049028,8,9.92987583549807,10,4,10.33479108482,2.75995663331566,26,1,0.73951133968044,245.063504184444,5.47179535901555,1279.63455,3.99865113786268,59.5833333333333,2.05932456995741,-0.411064843752339,17,6.1249387366083
19.6646352389803,0.134243550335054,2.0870028368817,85.31,0.138321295667378,0.132123587278673,9.35848355501896,8,3.90785843774006,1.69651910641302,24.7066277533379,110.910406475419,23.4828823818165,3.87370951016758,5.79995619025425,5.81337402654049,4.7733647723058,0.828063464276495,18.80459976,0.261130536745629,4.18513320157173,85.31,4.83133959414419,0.0489198733681286,4.83133959414419,0.951805957551812,8,11.8697155400072,10,4,12.1168556286449,12.417686066913,29,1,0.629823682974023,279.062977295003,5.51129158422036,1752.95773333333,4.50949108967459,82.0833333333333,2.06017423306837,-0.429707637767239,19,5.681936665037238
41.4421463014787,0.110475722938088,2.09330762417941,97.62,0.46434413537853,0.415895156765159,20.1871468887152,13,3.91377484368388,2.35718527862919,49.8739500976107,132.168784606408,46.0536833477091,3.88002156786439,5.81486937916492,5.82974957719216,9.86613975404913,1.9588830259971,24.37987012,74.4385390783607,4.19186695281194,97.62,7.071334727584,0.239263668543801,7.071334727584,1.3250293459989,14,19.7661809938392,11,6,19.5323430847301,14.5939183584137,43,2,0.619825801569593,520.535512946229,5.87327181381025,5640.91686666667,7.38692057384921,133.111111111111,4.54454873417649,-0.680269095038179,26,5.882728704344236
40.5850816075545,0.096258603742711,2.09496805780448,88.39,0.422237271072755,0.417686216989039,18.0837857633435,15,3.91481216108337,2.26834921038088,46.2898436980635,121.168896718802,45.6749501474706,3.8815030518489,5.81701604853122,5.83191537005261,11.1923518674152,1.85949911487972,24.43063702,32.2989394469648,4.19282890639965,88.39,6.60116699146359,0.222509637903099,6.60116699146359,1.29745983469001,14,17.6555473913302,11,12,17.5343691010607,14.7257970672599,40,2,0.576247334176413,531.216625752605,5.8472926300766,4441.97783333334,6.81824157581587,108.027777777778,2.84219311443026,-0.628972263318815,29,6.7447274948966935
22.3927557189748,0.145390832683488,2.08521245223812,97.34,0.135958520656468,0.154478541941262,4.29237411166693,10,3.90619885937806,1.54702149620521,25.1676972378121,128.921157158449,25.7432622254248,3.87161244427657,5.79768497476451,5.81092879741412,6.17871750899665,0.800332615472111,19.56969244,6.67425153842937,4.18427839213182,97.34,3.67237046097541,0.0781112142611241,3.67237046097541,0.679718727310907,11,11.1368923574344,12,1,11.5360960393216,3.04625514722455,26,1,0.759395903787336,277.130011684122,5.42964868362509,1281.00975,3.96775591781182,59.6666666666667,2.06079530183307,-0.379397061828798,15,5.943095148663527
22.3050342332064,0.133763223895318,2.08525417543728,97.34,0.151047927270853,0.151271089185397,9.64276044548635,10,3.90661078942767,1.71104761281999,26.0510104374739,128.921157158449,25.6650059106412,3.87205574203491,5.79819064465882,5.81144540858591,6.20128835865412,0.837215633773858,19.56969244,4.02256270927796,4.18439485707832,97.34,4.90686711179175,0.0857255302632834,4.90686711179175,0.679775301957316,11,12.2831501067824,12,1,12.4889371145911,3.03076476824871,28,1,0.603383986479603,277.832485273247,5.48031006621959,1579.39438333333,4.32916398453946,75.0,2.06011401510742,-0.422477748453469,15,6.036212172654444
