P_VSA_p_2,VE1_RG,TDB04i,Mor30i,F03[C-N],F04[C-F],alvo
119.433935643089,2.664094952029,5.16554716453881,0.269165765594346,10,4,6.431798275933005
110.910406475419,2.05938018526506,5.19324238228545,-0.0093507164657193,9,1,6.468521082957745
110.910406475419,2.05967527635993,5.20748079534955,-0.0214614108151781,9,1,5.388276691992658
110.910406475419,2.06388608380222,5.0787338577496,0.15191891095504,9,0,5.6439741428068775
110.910406475419,2.05932456995741,5.11370922350773,-0.0102673196535993,9,0,6.1249387366083
110.910406475419,2.06017423306837,5.2600082019736,0.105661932288903,9,6,5.681936665037238
132.168784606408,4.54454873417649,5.22135818539783,0.435799016430388,12,12,5.882728704344236
121.168896718802,2.84219311443026,5.13069055535881,0.299416803409539,12,6,6.7447274948966935
128.921157158449,2.06079530183307,5.12431393623565,-0.302397991256771,11,0,5.943095148663527
128.921157158449,2.06011401510742,5.29152234851555,-0.216396499486502,11,3,6.036212172654444
128.921157158449,2.06098947664133,5.14013977798913,-0.296918819909151,11,0,5.300162274132754
128.921157158449,2.06014597730003,5.15789960062391,-0.285378903969936,11,0,5.896196279044043
110.910406475419,2.05991520271018,5.2610891172464,0.0557076449411847,9,6,5.152427340857888
110.910406475419,2.06190622419338,5.37611600814572,0.056031767385761,9,12,5.079876673709276
122.394117853702,4.73874588818613,5.20789756418306,-0.376879855550217,15,6,5.634512015109101
115.383255058278,4.81050866708013,5.08850791916336,-0.108990228086657,13,6,4.522878745280337
115.383255058278,4.8329030600824,5.08616181863939,-0.320649901011329,13,6,4.672028376376989
110.910406475419,2.05923959185078,5.10924381878727,-0.110254770909551,9,0,6.070581074285707
110.910406475419,2.05934463463398,5.28760486577807,-0.0291159069579695,9,2,5.139063379299906
110.910406475419,2.05988864593669,5.24919851579079,-0.0388760472300182,9,4,6.337242168318426
110.910406475419,2.05999606109514,5.14724606317727,0.141504488214425,9,0,6.1938200260161125
110.910406475419,2.05936048782375,5.14182286734818,0.0731349047157129,9,0,5.91721462968355
110.910406475419,2.05989048584561,5.13862886543091,0.0128951567135156,9,0,5.531652669587842
104.383367170671,3.18237388068058,4.98882351436248,-0.300281644514892,13,0,4.522878745280337
104.383367170671,2.82154014366154,5.00714752986786,-0.305490388312437,13,0,4.522878745280337
126.383142945884,3.25584308771175,4.97423469872567,-0.109776886451566,13,0,5.023650020996727
122.394117853702,4.76644880033627,5.0936009473248,-0.417465158248296,15,0,5.133122185662502
122.394117853702,4.73457274297096,5.10812098225856,-0.587176129683205,15,0,4.799149501908922
122.394117853702,4.73113817448486,5.10722144558816,-0.564836414060562,15,0,5.350665141287858
122.394117853702,4.7440153290339,5.19484608859387,-0.487562205522825,15,6,5.367542707815276
122.394117853702,4.74649848816834,5.1964480363054,-0.29013862024507,15,6,5.521433504406157
122.394117853702,4.73124909238627,5.2845510895608,-0.3758183996609,15,12,5.681936665037238
128.921157158449,2.06106410303125,5.20584464214739,-0.30963856720985,11,1,5.36251027048749
128.921157158449,2.06034739396052,5.12859158189565,-0.222504255858329,11,0,5.333482019445119
128.921157158449,2.06156138939679,5.26641467382731,-0.265201157444244,11,6,5.281498311132726
128.921157158449,2.06130226577634,5.26862245640462,-0.0695815643985595,11,6,5.958607314841775
128.921157158449,2.06231555386872,5.37419059775448,-0.13097580158602,11,12,5.042871802323187
128.921157158449,2.06148685780406,5.28362858737193,-0.163099169221931,11,6,4.9503943874050265
128.921157158449,2.06405291949787,5.07550560040846,-0.127646798870688,11,0,5.568636235841013
139.921045046056,2.06455669485768,5.05285255056471,-0.0983277750738279,11,0,5.522878745280337
139.179647401832,4.20047706000035,5.22031339895075,-0.303464336318648,14,3,5.701146923590294
139.179647401832,4.82116542149996,5.32285233202867,-0.209220156117292,14,7,5.235077015350112
139.179647401832,4.71310863566537,5.24801628909708,-0.14346188245298,14,3,6.769551078621726
139.179647401832,4.8434679490819,5.24419869415275,-0.250833951329049,14,3,5.723538195826756
139.179647401832,4.79350517417291,5.24181190675742,-0.140823184911761,14,3,7.221848749616356
139.179647401832,4.86233041587369,5.28183801758275,-0.193146686337114,14,4,5.809668301829708
139.179647401832,4.78767049213558,5.29235364500175,-0.138706509425431,14,4,6.4089353929735005
139.179647401832,2.27237818219151,5.18706209171825,-0.189477164474982,14,3,5.703334809738469
110.910406475419,2.06021087261293,5.3763088201017,0.0623284058690843,9,7,5.671620396561262
121.910294363026,2.06971793067995,4.97132672269673,0.348846769312895,9,0,4.997402019280091
121.910294363026,2.06151743803751,5.12476224074,0.187596265251462,9,6,4.861697301833718
110.910406475419,2.06021929002022,5.278086771562,0.155170086347096,9,6,5.85078088734462
110.910406475419,2.07320581966908,5.01834326404357,-0.0284276820494062,9,0,6.086186147616283
121.910294363026,2.06021971913516,5.13004453527265,0.297956126641379,9,6,6.366531544420414
132.910182250632,2.07218645019832,4.97573960869778,0.176934945516726,9,0,5.4156687756324695
121.168896718802,4.53437486533744,5.27189774604078,0.16577846754896,12,7,5.966576244513051
132.168784606408,4.53003161151775,5.15560408576333,0.236988200158726,12,7,5.823908740944319
139.179647401832,4.99308645682862,5.22358816805442,-0.240648250305403,14,3,5.425968732272281
139.179647401832,5.29209002793547,5.32443198635189,-0.110290996226256,14,9,6.356547323513813
143.910070138238,2.07922586341487,4.93420293224034,0.243334904178663,9,0,5.812479279163537
121.168896718802,4.50971654221797,5.25871156218578,0.0251878971388722,12,7,6.251811972993799
121.168896718802,4.41858171996341,5.35087104007614,0.174797339065783,12,13,5.935542010773082
121.168896718802,4.54924412916589,5.34865083997429,0.141136505787452,12,8,5.943095148663527
150.179535289438,5.04376541194867,5.22635507660253,0.0774148277282313,14,9,6.022276394711152
132.168784606408,4.5449869228343,5.15678204522206,0.274109483485991,12,7,6.356547323513813
150.179535289438,5.18812859045573,5.22747234441915,0.0654472415650583,14,9,5.421360790031928
139.179647401832,2.93255356009044,5.13117838590562,-0.06881571791535,14,3,6.920818753952375
139.179647401832,4.20075226610077,5.22051235660318,-0.25425523150545,14,6,5.85078088734462
139.179647401832,4.76229039998574,5.31380971809129,-0.176032717791029,14,10,5.7121982700697735
