F06[C-C],L1p,L1v,HOMA,H6v,SpMin1_Bh(p),RNCG,F05[C-N],RDF115v,Tp,SpDiam_B(v),SpMax_B(p),SM15_AEA(bo),Eig07_EA,H4s,HOMT,SpMin1_Bh(e),SpMax1_Bh(e),SpMax5_Bh(i),MATS1p,TPSA(Tot),RDF145s,H7v,L1u,F05[C-C],H7u,SpMin4_Bh(s),Eig12_EA(ri),SP16,DP18,SpMax5_Bh(e),ATSC5v,B10[C-S],SM07_AEA(ri),RTp,CATS3D_19_LL,RDF155e,SM5_G/D,R1i+,BID,VE1_Dt,RDF040s,alvo
25,7.31252837068396,7.31397812032684,0.777438276923076,0.100371940518328,2.06619545627947,0.150586894151745,7,0.262611783405263,15.3691927609509,5.87591823825168,3.95496578428625,2.04175179551789,2.04175179551789,16.6410466054512,20.2133952,1.98635321747897,4.1515181027797,3.46639436599873,-0.0385384310153089,100.3,0.0,0.0328660076724958,7.14451063921502,26,0.139915815933435,0.931065293103387,1.0,6.01067956458138,4.66274064050154,3.41225523267846,9.75299169927721,1,2.27491721763537,15.4462527708887,0,0.0,18.9165059901726,0.148895454781296,3.53217805666384,5.35420211080351,96.6239744041578,6.431798275933005
18,18.6612174449171,18.9492209314067,0.7521839904,0.107851910905194,2.0860263639504,0.153070870033617,7,2.49638729108369,22.5068068511614,5.80003843451148,3.87394118668875,1.54755973755737,1.54755973755737,5.97112074593844,18.80459976,1.95307888375824,4.13557734323005,3.314174691162,0.0267416993365248,85.31,7.42023348909804,0.0404797458838575,18.5162863797223,19,0.237653187417651,0.500273612352428,0.679503139922546,11.1703689547735,10.6045556309853,3.26740730304314,7.63776172654999,0,1.78021751250822,10.8735649877976,0,0.14807049127883,18.4853225724465,0.191477644062228,3.34003021212037,4.70430392818271,48.4919830011094,6.468521082957745
18,18.7414448344759,19.0328634219781,0.7521839904,0.113729952831197,2.08573258080707,0.150630953418243,7,3.04776354353789,22.9750260979419,5.80154557549116,3.87594617072494,1.78229778538887,1.78229778538887,6.80479008158369,18.80459976,1.95258147595368,4.1356640447088,3.31379490517628,0.0336337887759437,85.31,8.40586969078612,0.0407787359887795,18.4827582185188,19,0.238733230071688,0.499861550665951,0.679515658687581,11.1713031548693,10.5756802184287,3.26876090257378,7.363185718225,0,1.78037315555855,11.5154869953044,0,0.151696329571732,18.5041500634991,0.189997397681014,3.37466412734912,4.78539022260807,59.3622425868285,5.388276691992658
18,20.5437499234767,20.1442680959814,0.7521839904,0.120410204370051,2.0863418790973,0.159800840019806,7,2.61057977698656,24.6984759806506,5.80009732348639,3.87420408920662,1.54755973755737,1.54755973755737,5.88730114211353,18.80459976,1.95747220831746,4.13596277149691,3.35359310978206,0.0222604784196788,85.31,6.78264405708544,0.0485405129441552,21.1351593228299,20,0.253419025244891,0.632947805356888,0.679517274752758,11.200022927425,10.6313707798835,3.28871755141218,9.57229568411032,0,1.78021751250823,10.972350705385,0,0.278851497504097,18.814046366549,0.186377059686689,3.34003021212037,4.70430392818271,48.1944821396207,5.6439741428068775
18,19.1978828179858,18.5234552832771,0.7521839904,0.101331075250972,2.08594024176855,0.163573424861437,7,3.48794566217624,23.3926706160892,5.79929033303554,3.87337050789927,1.54755346745117,1.54755346745117,4.62598664061148,18.80459976,1.95408266064458,4.13542073287751,3.305992187273,0.0266470284477692,85.31,1.69926760753675,0.0458679651156349,18.4292869867181,19,0.239261414497417,0.50133524594031,0.679464539049028,10.5742802936203,9.92987583549807,3.26172800912353,7.881431585,0,1.78018708961684,11.4213992936331,0,0.0,18.4801797275536,0.19328165868903,3.30420176104006,4.61890462652418,32.2216681170322,6.1249387366083
19,19.6646352389803,21.1613743533249,0.7521839904,0.138321295667378,2.0870028368817,0.134243550335054,8,3.52656049759849,23.4828823818165,5.79995619025425,3.87370951016758,1.69651910641302,1.69651910641302,9.35848355501896,18.80459976,1.95712618473005,4.13616032971546,3.36976264907078,0.0150029018508288,85.31,0.261130536745629,0.0489198733681286,21.7584635904281,19,0.279161998156336,0.502462310768158,0.951805957551812,12.2639417463604,11.8697155400072,3.3044222545367,8.1093403906544,0,2.39816985728044,10.2400450215961,0,3.33159644240481,18.8507448443791,0.178406993318594,3.40805013244056,4.84382912852171,42.7120754135445,5.681936665037238
29,41.4421463014787,45.5405471390169,0.738783943030303,0.46434413537853,2.09330762417941,0.110475722938088,13,9.62338466451644,46.0536833477091,5.81486937916492,3.88002156786439,2.35718527862919,2.35718527862919,20.1871468887152,24.37987012,1.95774810700654,4.14444666507868,3.49802046559818,-0.0391212572387991,97.62,74.4385390783607,0.239263668543801,44.7260637401834,28,0.708920908724766,0.921870331431714,1.3250293459989,19.2667887944812,19.7661809938392,3.47337095265845,10.0475701613186,0,3.60416340002919,12.8050769250293,0,15.0338465581569,20.4466128898641,0.124302147371906,3.78739589424776,6.03539553910826,73.0774603459227,5.882728704344236
30,40.5850816075545,41.4681164417656,0.740322333939394,0.422237271072755,2.09496805780448,0.096258603742711,15,9.63645191590146,45.6749501474706,5.81701604853122,3.8815030518489,2.26834921038088,2.26834921038088,18.0837857633435,24.43063702,1.96219070540602,4.14547681139231,3.48154758637916,-0.0117000875686904,88.39,32.2989394469648,0.222509637903099,42.6886575082687,27,0.769103067327394,0.925019334497457,1.29745983469001,17.378819973328,17.6555473913302,3.44070644224461,12.137070702967,0,3.57918477473552,13.1752313739392,2,7.82266812287447,20.5972303448199,0.123340470195507,3.71736518596821,5.82555852414865,73.635447987202,6.7447274948966935
15,22.3927557189748,22.0362947838956,0.850856193043478,0.135958520656468,2.08521245223812,0.145390832683488,10,2.58543689283405,25.7432622254248,5.79768497476451,3.87161244427657,1.54702149620521,1.54702149620521,4.29237411166693,19.56969244,1.94714833430867,4.13471956513554,3.35636632026297,0.0187824106329185,97.34,6.67425153842937,0.0781112142611241,23.4645849459802,16,0.322451379140471,0.50276913639601,0.679718727310907,11.7206208988673,11.1368923574344,3.28838396601354,8.22447666530612,0,1.78076530812228,10.2842678339702,0,1.98965549294591,18.7430162085564,0.212397818459742,3.3040084191293,4.59901762729004,30.3406118079364,5.943095148663527
15,22.3050342332064,22.8631813169876,0.850856193043478,0.151047927270853,2.08525417543728,0.133763223895318,10,3.00930550608103,25.6650059106412,5.79819064465882,3.87205574203491,1.71104761281999,1.71104761281999,9.64276044548635,19.56969244,1.94677418614307,4.13491354437138,3.35758667251441,0.0168009871723548,97.34,4.02256270927796,0.0857255302632834,23.53971743604,16,0.320566001149159,0.502259110718896,0.679775301957316,12.5899404046158,12.2831501067824,3.28962464424985,7.72273261950113,0,1.78092476443728,10.1194527476383,0,2.00510784792991,18.7573022735717,0.212355125856645,3.37439585077542,4.74353807206398,34.620174387445,6.036212172654444
