L1p,F03[C-N],HOMA,SpMin1_Bh(p),F06[C-C],RNCG,H4s,SpMax_B(v),L1e,HOMT,Eig07_EA,SpDiam_B(v),SpMax_B(p),Tp,SpDiam_B(p),RDF115v,H6i,RDF060p,Eig07_AEA(ri),F01[C-N],SpMin1_Bh(e),F06[C-N],SpMax5_Bh(i),SpMax1_Bh(e),Eig07_EA(ed),SM02_AEA(ri),F05[C-N],H7v,DP18,DP17,H7u,DP16,SP17,L1u,Eig12_EA(ri),SpDiam_H2,ATSC6p,Mor22i,Mor14i,R8v+,F06[O-S],SM10_EA(ri),CATS2D_01_LL,ZM2Kup,TDB01u,Mor25i,alvo
7.31252837068396,10,0.777438276923076,2.06619545627947,25,0.150586894151745,16.6410466054512,3.96559315824151,7.28979730989835,20.2133952,2.04175179551789,5.87591823825168,3.95496578428625,15.3691927609509,5.88740643086387,0.262611783405263,0.696593077904272,22.0702502034002,2.97861760223671,5,1.98635321747897,9,3.46639436599873,4.1515181027797,6.06520454741165,6.06520454741165,7,0.0328660076724958,4.66274064050154,5.26156647157604,0.139915815933435,5.81695758452435,5.4805295873151,7.14451063921502,1.0,6.20039307194062,9.94492033726643,0.0790276213754714,1.03414962508927,0.0103336088570722,1,12.490219752453,10,576.020028190533,1.31368518518519,1.73354999607267,6.431798275933005
18.6612174449171,9,0.7521839904,2.0860263639504,18,0.153070870033617,5.97112074593844,3.90790530332113,19.2647252421217,18.80459976,1.54755973755737,5.80003843451148,3.87394118668875,22.5068068511614,5.81360215202647,2.49638729108369,0.671057120493831,4.02813649783267,2.48375978133153,10,1.95307888375824,8,3.314174691162,4.13557734323005,3.67563296206769,3.67563296206769,7,0.0404797458838575,10.6045556309853,10.8755048850475,0.237653187417651,11.0977993790067,10.9774680049463,18.5162863797223,0.679503139922546,5.92383684560357,6.18083616627499,0.217278263785183,-0.196497254066162,0.0116738282759387,0,11.7421512706811,7,474.73385051844,1.29572093023256,1.58092332087612,6.468521082957745
18.7414448344759,9,0.7521839904,2.08573258080707,18,0.150630953418243,6.80479008158369,3.90902373291,19.253656128923,18.80459976,1.78229778538887,5.80154557549116,3.87594617072494,22.9750260979419,5.8157631103903,3.04776354353789,0.674238014629608,4.02025970796527,2.70683956370264,10,1.95258147595368,8,3.31379490517628,4.1356640447088,5.22488835159337,5.22488835159337,7,0.0407787359887795,10.5756802184287,10.8481071925984,0.238733230071688,11.0722084530482,10.9784014692148,18.4827582185188,0.679515658687581,5.95353647102787,6.24907460894375,0.139259368947784,-0.350858860749397,0.0129531639863984,0,11.7760522107365,6,502.59659561648,1.31053488372093,1.66274328155519,5.388276691992658
20.5437499234767,9,0.7521839904,2.0863418790973,18,0.159800840019806,5.88730114211353,3.90799891767132,21.2777202210934,18.80459976,1.54755973755737,5.80009732348639,3.87420408920662,24.6984759806506,5.81383171869221,2.61057977698656,0.662008624910751,4.03743669080994,2.48383255587962,10,1.95747220831746,9,3.35359310978206,4.13596277149691,3.67563296206769,3.67563296206769,7,0.0485405129441552,10.6313707798835,10.9020357542915,0.253419025244891,11.1238854080973,11.0072585333932,21.1351593228299,0.679517274752758,5.92383684560357,6.42589768184424,0.051299438458668,0.0297094049209439,0.0094520322127951,0,11.7776663900795,9,441.400517185107,1.28610869565217,1.54122337850469,5.6439741428068775
19.1978828179858,9,0.7521839904,2.08594024176855,18,0.163573424861437,4.62598664061148,3.90737605429951,18.604781762698,18.80459976,1.54755346745117,5.79929033303554,3.87337050789927,23.3926706160892,5.81291036290411,3.48794566217624,0.661822441775028,4.05301436860767,2.48362658442028,10,1.95408266064458,8,3.305992187273,4.13542073287751,3.67452144824141,3.67452144824141,7,0.0458679651156349,9.92987583549807,10.2421074065933,0.239261414497417,10.5051039480256,10.33479108482,18.4292869867181,0.679464539049028,5.90118314471463,6.32030091371875,0.262032855102389,-0.0179364087942424,0.0133584304492363,0,11.6912486847909,8,427.271105420401,1.29372093023256,1.49011006522762,6.1249387366083
19.6646352389803,9,0.7521839904,2.0870028368817,19,0.134243550335054,9.35848355501896,3.90785843774006,23.0520678675773,18.80459976,1.69651910641302,5.79995619025425,3.87370951016758,23.4828823818165,5.81337402654049,3.52656049759849,0.828063464276495,4.7733647723058,2.65271307273733,10,1.95712618473005,8,3.36976264907078,4.13616032971546,4.83133959414419,4.83133959414419,8,0.0489198733681286,11.8697155400072,12.0904496841539,0.279161998156336,12.2604228292774,12.1168556286449,21.7584635904281,0.951805957551812,5.95888167252302,6.72691080371552,0.439999536998481,-0.356836655478398,0.0085660023934441,0,11.9649953841429,10,537.537772087068,1.28967391304348,1.99428199698189,5.681936665037238
41.4421463014787,12,0.738783943030303,2.09330762417941,29,0.110475722938088,20.1871468887152,3.91377484368388,48.4910813293805,24.37987012,2.35718527862919,5.81486937916492,3.88002156786439,46.0536833477091,5.82974957719216,9.62338466451644,1.9588830259971,9.86613975404913,3.29346031182826,11,1.95774810700654,14,3.49802046559818,4.14444666507868,7.071334727584,7.071334727584,13,0.239263668543801,19.7661809938392,19.5683718960981,0.708920908724766,19.3185533095114,19.5323430847301,44.7260637401834,1.3250293459989,6.15394677846705,10.0764127266331,0.646067085831181,-0.874771536534861,0.0092262409668677,0,12.2556751299025,12,863.718058798423,1.3108253968254,2.7323064618264,5.882728704344236
40.5850816075545,12,0.740322333939394,2.09496805780448,30,0.096258603742711,18.0837857633435,3.91481216108337,43.9978602163825,24.43063702,2.26834921038088,5.81701604853122,3.8815030518489,45.6749501474706,5.83191537005261,9.63645191590146,1.85949911487972,11.1923518674152,3.22120021489705,11,1.96219070540602,14,3.48154758637916,4.14547681139231,6.60116699146359,6.60116699146359,15,0.222509637903099,17.6555473913302,17.5733933757308,0.769103067327394,17.4396155870964,17.5343691010607,42.6886575082687,1.29745983469001,6.1494854860942,11.1469034338645,0.492007272300778,0.0289715463676022,0.0094372971817872,0,12.2965089475346,16,710.445331525696,1.29552307692308,2.83784616295169,6.7447274948966935
22.3927557189748,11,0.850856193043478,2.08521245223812,15,0.145390832683488,4.29237411166693,3.90619885937806,23.3127698431065,19.56969244,1.54702149620521,5.79768497476451,3.87161244427657,25.7432622254248,5.81092879741412,2.58543689283405,0.800332615472111,6.17871750899665,2.48281447872464,12,1.94714833430867,11,3.35636632026297,4.13471956513554,3.67237046097541,3.67237046097541,10,0.0781112142611241,11.1368923574344,11.3894498543872,0.322451379140471,11.5917955393326,11.5360960393216,23.4645849459802,0.679718727310907,5.8733876195785,6.03232240861112,0.0582241917647838,0.317043152949089,0.0089949112517729,0,11.524544559978,8,421.791293213828,1.27075555555556,1.86545618632516,5.943095148663527
22.3050342332064,11,0.850856193043478,2.08525417543728,15,0.133763223895318,9.64276044548635,3.90661078942767,24.064987239305,19.56969244,1.71104761281999,5.79819064465882,3.87205574203491,25.6650059106412,5.81144540858591,3.00930550608103,0.837215633773858,6.20128835865412,2.66552241356662,12,1.94677418614307,11,3.35758667251441,4.13491354437138,4.90686711179175,4.90686711179175,10,0.0857255302632834,12.2831501067824,12.4591119231368,0.320566001149159,12.5863375531251,12.4889371145911,23.53971743604,0.679775301957316,5.90518376112977,6.08981539330499,-0.168679251118328,-0.214548250566634,0.0088989736732653,0,11.649839569082,5,509.457959880495,1.282,1.70571288514608,6.036212172654444
