L1p,SpMin1_Bh(p),RNCG,HOMA,H6v,TPSA(Tot),SpMax_B(p),SM15_AEA(bo),Eig07_AEA(ri),RDF060p,SpDiam_B(p),Tp,VE3sign_RG,F07[C-N],MATS1p,CATS3D_02_AL,H7v,SM02_AEA(ri),Eig07_EA(ed),DP15,Eig12_EA(ri),SpMin4_Bh(s),F06[C-N],Eig12_AEA(ri),SM11_EA,G2p,TIC4,SAacc,SpMin8_Bh(p),SpMax8_Bh(v),CATS3D_14_DA,RDF080e,H8s,TDB04v,Eig06_EA,B07[N-F],SpAD_Dz(m),VR2_B(p),SpMAD_B(i),NssCH2,alvo
7.31252837068396,2.06619545627947,0.150586894151745,0.777438276923076,0.100371940518328,100.3,3.95496578428625,2.04175179551789,2.97861760223671,22.0702502034002,5.88740643086387,15.3691927609509,-4.17522430973857,7,-0.0385384310153089,5,0.0328660076724958,6.06520454741165,6.06520454741165,6.32586984103322,1.0,0.931065293103387,9,2.0,13.9516372050009,0.177246816847943,270.538804938383,132.568632636984,1.09566677829357,2.74849331979554,0,21.4831436593399,0.229866528756843,2.18921673665576,2.25231916988586,1,293.376159446945,1.07323038540538,1.53518799623195,2,6.431798275933005
18.6612174449171,2.0860263639504,0.153070870033617,0.7521839904,0.107851910905194,85.31,3.87394118668875,1.54755973755737,2.48375978133153,4.02813649783267,5.81360215202647,22.5068068511614,-2.74115419292797,8,0.0267416993365248,4,0.0404797458838575,3.67563296206769,3.67563296206769,11.2688363968308,0.679503139922546,0.500273612352428,8,1.66270378483958,13.2884691664234,0.158179590939782,210.877123795495,124.584037554787,1.02964995883181,2.71659342477882,0,10.8227744462004,0.189796339557463,2.16564941578545,1.78244375820632,0,220.219078831844,1.09099694872683,1.57327933186912,0,6.468521082957745
18.7414448344759,2.08573258080707,0.150630953418243,0.7521839904,0.113729952831197,85.31,3.87594617072494,1.78229778538887,2.70683956370264,4.02025970796527,5.8157631103903,22.9750260979419,-2.74268029692436,8,0.0336337887759437,4,0.0407787359887795,5.22488835159337,5.22488835159337,11.2454507584093,0.679515658687581,0.499861550665951,8,1.66271918084832,13.410936552706,0.158179590939782,202.877123795495,124.584037554787,1.01063575550958,2.72326552006027,0,9.97722789321712,0.207935267984685,2.3175730557867,1.87938524157181,0,231.381268147315,1.08772743603762,1.55071691169832,0,5.388276691992658
20.5437499234767,2.0863418790973,0.159800840019806,0.7521839904,0.120410204370051,85.31,3.87420408920662,1.54755973755737,2.48383255587962,4.03743669080994,5.81383171869221,24.6984759806506,-2.95585926589957,8,0.0222604784196788,4,0.0485405129441552,3.67563296206769,3.67563296206769,11.2943048643727,0.679517274752758,0.632947805356888,9,1.66271730176274,13.2884691664234,0.155611391402494,226.574496950027,109.623924283774,1.10184297014141,2.76678972638656,0,11.0607903462261,0.235289713559516,2.0342412760284,1.78244375820632,0,222.119304165872,1.09100081217154,1.57245916870828,0,5.6439741428068775
19.1978828179858,2.08594024176855,0.163573424861437,0.7521839904,0.101331075250972,85.31,3.87337050789927,1.54755346745117,2.48362658442028,4.05301436860767,5.81291036290411,23.3926706160892,-2.74127406481273,8,0.0266470284477692,4,0.0458679651156349,3.67452144824141,3.67452144824141,10.7162110551746,0.679464539049028,0.50133524594031,8,1.66268778300674,13.1857718853174,0.171240638681063,202.877123795495,109.623924283774,1.06232040052899,2.71516844400827,0,9.94421307003793,0.149502619859099,2.11756515045773,1.7806580574034,0,206.689304102368,1.09451106174048,1.58491518163682,0,6.1249387366083
19.6646352389803,2.0870028368817,0.134243550335054,0.7521839904,0.138321295667378,85.31,3.87370951016758,1.69651910641302,2.65271307273733,4.7733647723058,5.81337402654049,23.4828823818165,-2.950406947182,8,0.0150029018508288,4,0.0489198733681286,4.83133959414419,4.83133959414419,12.3768897258756,0.951805957551812,0.502462310768158,8,1.954477310046,13.8659707554229,0.161972688765155,226.574496950027,154.504264096811,1.10237165876197,2.71106186208263,0,13.2118906219872,0.520885251291577,2.0717910287718,1.85398997827206,0,255.968925609093,1.08471946811323,1.56316814089109,0,5.681936665037238
41.4421463014787,2.09330762417941,0.110475722938088,0.738783943030303,0.46434413537853,97.62,3.88002156786439,2.35718527862919,3.29346031182826,9.86613975404913,5.82974957719216,46.0536833477091,-7.65122073383183,14,-0.0391212572387991,8,0.239263668543801,7.071334727584,7.071334727584,19.0139147907933,1.3250293459989,0.921870331431714,14,2.35131747555734,14.2732258691435,0.145293020839243,329.566164908021,220.642982040838,1.3701743823478,2.98066763459318,0,15.6309420616566,6.23275913782843,2.22967959551507,2.63931482984806,0,558.356704572906,1.08016444478398,1.51982871805244,0,5.882728704344236
40.5850816075545,2.09496805780448,0.096258603742711,0.740322333939394,0.422237271072755,88.39,3.8815030518489,2.26834921038088,3.22120021489705,11.1923518674152,5.83191537005261,45.6749501474706,-5.93800291090434,15,-0.0117000875686904,6,0.222509637903099,6.60116699146359,6.60116699146359,17.251358787584,1.29745983469001,0.925019334497457,14,2.32641076412346,14.1007308527263,0.159132200918605,333.510315084846,164.762754340194,1.45267122049929,3.09989369107415,0,15.7914920960394,1.77028300246322,2.06636093043592,2.39512525929446,0,474.382973175775,1.08615851262741,1.5334819586366,0,6.7447274948966935
22.3927557189748,2.08521245223812,0.145390832683488,0.850856193043478,0.135958520656468,97.34,3.87161244427657,1.54702149620521,2.48281447872464,6.17871750899665,5.81092879741412,25.7432622254248,-2.87734253881981,8,0.0187824106329185,3,0.0781112142611241,3.67237046097541,3.67237046097541,11.7411911201724,0.679718727310907,0.50276913639601,11,1.6628967328801,13.0830007341795,0.168737001330765,211.722444254544,127.634674966804,1.09851749827157,2.71516844400827,0,8.57930511029151,0.428842700482784,1.96525479406565,1.71561084106437,0,213.589488254911,1.09453169477783,1.58868127210354,0,5.943095148663527
22.3050342332064,2.08525417543728,0.133763223895318,0.850856193043478,0.151047927270853,97.34,3.87205574203491,1.71104761281999,2.66552241356662,6.20128835865412,5.81144540858591,25.6650059106412,-2.87763334426732,8,0.0168009871723548,3,0.0857255302632834,4.90686711179175,4.90686711179175,12.6622241205699,0.679775301957316,0.502259110718896,11,1.66295108513472,13.238927893189,0.156437788342072,224.477331756708,157.554901508829,1.09911789577832,2.7330513354983,0,9.30088174490406,0.710377440229354,2.0499255986488,1.95879003093318,1,243.231144169496,1.08777167940841,1.55520591404666,0,6.036212172654444
