SRW09,P_VSA_MR_3,P_VSA_MR_8,RDF010i,HATS5s,F-085,CATS3D_05_DA,CATS3D_10_DP,CATS3D_19_AL,alvo
6.84268328223842,0.0,0.0,11.6251221324615,1.97616608170271,0,1,0,0,6.431798275933005
6.86171134048073,0.0,0.0,10.434338005297,1.46111102146797,0,1,0,0,6.468521082957745
6.86171134048073,0.0,0.0,9.85794381931611,1.66118148122098,0,1,0,0,5.388276691992658
6.86171134048073,0.0,0.0,11.884415818832,1.27210744624444,0,1,0,0,5.6439741428068775
6.86171134048073,0.0,45.9540935969929,11.0007734394868,1.25532288133006,0,1,0,0,6.1249387366083
6.86171134048073,0.0,0.0,11.0303189148232,1.56266352128167,0,1,0,0,5.681936665037238
6.86171134048073,44.8803398130374,0.0,11.1936181135962,1.67722215147108,3,1,0,2,5.882728704344236
6.86171134048073,0.0,0.0,13.5749167496249,1.12546682515637,0,1,0,0,6.7447274948966935
6.86171134048073,0.0,0.0,13.1662231760398,1.13292362652433,0,1,1,0,5.943095148663527
6.86171134048073,0.0,0.0,12.0331186011873,1.42024189878049,0,1,1,0,6.036212172654444
6.86171134048073,0.0,0.0,12.5798829619507,1.16407403245561,0,1,1,0,5.300162274132754
6.86171134048073,0.0,0.0,12.0236420000628,1.28336572100264,0,1,1,0,5.896196279044043
6.86171134048073,0.0,0.0,11.0008388894044,1.42327278138551,0,1,0,0,5.152427340857888
6.86171134048073,0.0,0.0,10.4342194000481,1.72171551178734,0,1,0,0,5.079876673709276
6.86171134048073,0.0,0.0,13.9601009199123,1.17866927685328,0,1,0,0,5.634512015109101
6.86171134048073,44.8803398130374,0.0,12.9672689089854,1.38781923929688,3,2,0,0,4.522878745280337
6.86171134048073,44.8803398130374,0.0,12.9969659044006,1.29992402983406,3,1,0,0,4.672028376376989
6.86171134048073,0.0,0.0,11.6067049476384,1.27401611191412,0,1,0,0,6.070581074285707
6.86171134048073,0.0,0.0,10.4489436806082,1.32219752566227,0,1,0,0,5.139063379299906
6.86171134048073,0.0,0.0,10.4441223562769,2.04131424140399,0,1,0,0,6.337242168318426
6.86171134048073,0.0,0.0,10.4337366683131,1.48746316408746,0,1,0,0,6.1938200260161125
6.86171134048073,0.0,0.0,10.4243772770998,1.43096221121181,0,1,0,0,5.91721462968355
6.86171134048073,0.0,0.0,10.4145496396871,1.64575838683036,0,1,0,0,5.531652669587842
6.86171134048073,0.0,0.0,15.3190621773831,0.656540360899033,0,1,0,0,4.522878745280337
6.86171134048073,0.0,0.0,15.3289151466529,0.842911455685103,0,1,0,0,4.522878745280337
6.86171134048073,0.0,0.0,15.3886515139559,0.873019365983657,0,1,0,0,5.023650020996727
6.86171134048073,0.0,0.0,14.5463574051309,0.892082094509395,0,1,0,0,5.133122185662502
6.86171134048073,0.0,0.0,13.9802277150329,1.10983334628284,0,1,0,0,4.799149501908922
6.86171134048073,0.0,0.0,13.9601364761305,1.02923221441146,0,1,0,0,5.350665141287858
6.86171134048073,0.0,0.0,14.5369548250319,1.17772516516676,0,1,0,0,5.367542707815276
6.86171134048073,0.0,0.0,14.5165425398504,1.11145639460061,0,1,0,0,5.521433504406157
6.86171134048073,0.0,0.0,13.9405132244761,1.32297918355856,0,1,0,0,5.681936665037238
6.86171134048073,0.0,0.0,11.9933919600203,1.18630528517064,0,1,1,0,5.36251027048749
6.86171134048073,0.0,45.9540935969929,12.5598884881587,1.13154154594564,0,1,1,0,5.333482019445119
6.86171134048073,0.0,0.0,12.5698397826287,1.49242022103071,0,1,1,0,5.281498311132726
6.86171134048073,0.0,0.0,12.5696622743874,1.36821899836843,0,1,1,0,5.958607314841775
6.86171134048073,0.0,0.0,11.9933344487201,1.64072224555709,0,1,1,0,5.042871802323187
6.86171134048073,0.0,0.0,12.0133253207396,1.48568544787985,0,1,1,0,4.9503943874050265
6.86171134048073,0.0,0.0,14.029131349136,1.06249047937363,0,1,1,0,5.568636235841013
6.86171134048073,0.0,0.0,14.0587274779915,1.05501087749472,0,2,1,0,5.522878745280337
6.86171134048073,0.0,0.0,13.3690706910632,1.16782908523052,0,1,0,0,5.701146923590294
6.86171134048073,0.0,0.0,12.2163227136793,2.47181689095547,0,1,0,0,5.235077015350112
6.86171134048073,0.0,0.0,12.2111665799684,1.77321214498157,0,1,0,0,6.769551078621726
6.86171134048073,0.0,0.0,12.2165139011443,1.34120758519552,0,1,0,0,5.723538195826756
6.86171134048073,0.0,0.0,12.1870268960093,1.80591969648831,0,1,0,0,7.221848749616356
6.86171134048073,0.0,0.0,12.226413535398,1.36823580297148,0,1,0,0,5.809668301829708
6.86171134048073,0.0,0.0,11.6201902616475,1.8250306205496,0,1,0,0,6.4089353929735005
6.86171134048073,0.0,0.0,13.6663216257446,1.22463814053861,0,1,0,0,5.703334809738469
6.86171134048073,0.0,0.0,10.4539404007343,1.56613905419677,0,1,0,0,5.671620396561262
6.86171134048073,0.0,0.0,13.4020448758408,1.22746902225073,0,2,0,0,4.997402019280091
6.86171134048073,44.8803398130374,0.0,11.0206242730204,1.86090089198465,3,2,0,0,4.861697301833718
6.86171134048073,0.0,0.0,10.434273991519,1.53919767290834,0,1,0,0,5.85078088734462
6.86171134048073,0.0,0.0,13.3820959854865,1.1546412604039,0,1,0,0,6.086186147616283
6.86171134048073,44.8803398130374,0.0,10.9909697120554,1.7987209216074,3,1,0,0,6.366531544420414
6.86171134048073,0.0,0.0,13.4221770779692,0.892755280978061,0,1,0,0,5.4156687756324695
6.86171134048073,0.0,0.0,10.6122883694701,1.43055490657142,0,1,0,0,5.966576244513051
