F06[C-C],L1p,HOMA,SpMin1_Bh(p),F03[C-N],H6v,RNCG,H6p,H4s,SpDiam_B(v),SpMax_B(p),Tp,P_VSA_p_2,Eig07_EA,TPSA(Tot),SpDiam_B(p),RDF115v,F05[C-N],RDF060p,H6i,SpMax1_Bh(i),Eig07_AEA(ri),SpMax5_Bh(i),DP15,MATS1p,H7v,SM02_AEA(ri),DP17,Eig07_EA(ed),Eig12_EA(ri),SP18,DP16,TPSA(NO),DP20,Mor30p,GATS4m,Mor25u,ATSC1m,L2e,AVS_Dz(e),GATS1p,Chi_B(m),R3v,Mor32v,CATS3D_17_AL,F02[C-S],VE2sign_G,VE3sign_B(i),RDF015e,CATS2D_00_LL,SpMin2_Bh(s),SM15_AEA(ri),Mor05v,SM05_EA(dm),alvo
25,7.31252837068396,0.777438276923076,2.06619545627947,10,0.100371940518328,0.150586894151745,0.0963908390735381,16.6410466054512,5.87591823825168,3.95496578428625,15.3691927609509,119.433935643089,2.04175179551789,100.3,5.88740643086387,0.262611783405263,7,22.0702502034002,0.696593077904272,4.17947390944095,2.97861760223671,3.46639436599873,6.32586984103322,-0.0385384310153089,0.0328660076724958,6.06520454741165,5.26156647157604,6.06520454741165,1.0,4.90445820414445,5.81695758452435,91.92,3.3528975433896,0.316783389507522,1.06697058681223,1.56350164273816,8.00481252495964,5.88074625094099,151.007703711111,1.04433562196691,9.06876763080907,0.874374039228006,-0.27164909039591,0,2,0.0013748995869739,-5.13348010607616,14.222837583967,15,1.18439535944262,3.19925143942384,-5.30121782460964,0.0,6.431798275933005
18,18.6612174449171,0.7521839904,2.0860263639504,9,0.107851910905194,0.153070870033617,0.131162838760754,5.97112074593844,5.80003843451148,3.87394118668875,22.5068068511614,110.910406475419,1.54755973755737,85.31,5.81360215202647,2.49638729108369,7,4.02813649783267,0.671057120493831,4.18462279930907,2.48375978133153,3.314174691162,11.2688363968308,0.0267416993365248,0.0404797458838575,3.67563296206769,10.8755048850475,3.67563296206769,0.679503139922546,10.7342514147137,11.0977993790067,85.31,9.92573017139542,0.194709380627252,0.992416559638224,1.32505493506871,4.44398171270626,3.83433185798744,108.348809876543,0.801588124805638,7.65520070296329,0.728595810537171,-0.475882609992359,0,0,0.0029477445956675,-2.30202424305848,9.34644108624805,10,1.0548836065239,3.04471467132537,-4.3985788273163,0.0,6.468521082957745
18,18.7414448344759,0.7521839904,2.08573258080707,9,0.113729952831197,0.150630953418243,0.139840402456291,6.80479008158369,5.80154557549116,3.87594617072494,22.9750260979419,110.910406475419,1.78229778538887,85.31,5.8157631103903,3.04776354353789,7,4.02025970796527,0.674238014629608,4.1846125907593,2.70683956370264,3.31379490517628,11.2454507584093,0.0336337887759437,0.0407787359887795,5.22488835159337,10.8481071925984,5.22488835159337,0.679515658687581,10.7352078563132,11.0722084530482,85.31,9.89465536984442,0.206485078466595,0.740841105372432,1.3830442525016,3.06251627656876,4.03005596169724,114.971621428571,0.734020402077673,7.81561074065715,0.78440431527924,-0.462840959340183,0,0,0.003174941464716,-4.74972629161044,9.35933965884935,10,1.05228343627497,3.05494228473457,-4.57084956331054,0.0,5.388276691992658
18,20.5437499234767,0.7521839904,2.0863418790973,9,0.120410204370051,0.159800840019806,0.145548899779305,5.88730114211353,5.80009732348639,3.87420408920662,24.6984759806506,110.910406475419,1.54755973755737,85.31,5.81383171869221,2.61057977698656,7,4.03743669080994,0.662008624910751,4.18495225322104,2.48383255587962,3.35359310978206,11.2943048643727,0.0222604784196788,0.0485405129441552,3.67563296206769,10.9020357542915,3.67563296206769,0.679517274752758,10.7640268299443,11.1238854080973,85.31,9.95268370739051,0.225774941616185,1.27807390370663,1.32130339696183,6.32318535730126,4.14340036238869,108.939087654321,0.833244793444484,7.69177166992158,0.703237012231697,-0.445853904978134,0,0,0.0028903751851017,-2.28177478597057,10.2284315144736,12,1.12796194003691,3.04471467132538,-4.67202128553271,0.0,5.6439741428068775
18,19.1978828179858,0.7521839904,2.08594024176855,9,0.101331075250972,0.163573424861437,0.124495187771319,4.62598664061148,5.79929033303554,3.87337050789927,23.3926706160892,110.910406475419,1.54755346745117,85.31,5.81291036290411,3.48794566217624,7,4.05301436860767,0.661822441775028,4.18454361700854,2.48362658442028,3.305992187273,10.7162110551746,0.0266470284477692,0.0458679651156349,3.67452144824141,10.2421074065933,3.67452144824141,0.679464539049028,10.0449616640063,10.5051039480256,85.31,9.16697303247559,0.194711511051804,0.824926196832042,1.27043703894273,3.79407761409376,3.89788999186714,101.754473076923,0.712529596531553,7.37814900178146,0.707882992209394,-0.456684473056324,0,0,0.0028908557731408,-1.90111246184557,9.22119723337632,11,1.07776260892407,2.95925809732391,-4.2242258143424,0.0,6.1249387366083
19,19.6646352389803,0.7521839904,2.0870028368817,9,0.138321295667378,0.134243550335054,0.132123587278673,9.35848355501896,5.79995619025425,3.87370951016758,23.4828823818165,110.910406475419,1.69651910641302,85.31,5.81337402654049,3.52656049759849,8,4.7733647723058,0.828063464276495,4.18513320157173,2.65271307273733,3.36976264907078,12.3768897258756,0.0150029018508288,0.0489198733681286,4.83133959414419,12.0904496841539,4.83133959414419,0.951805957551812,11.9180799360358,12.2604228292774,85.31,11.285576218975,0.196770941191843,1.12578739360356,1.54503305282368,5.11734534620877,3.49995027090476,125.025140229885,0.912165402953071,8.20517044557869,0.692841428303947,-0.522785294352896,0,0,0.0025282461456904,-2.22571621029443,10.9311825617719,11,1.10373737256654,3.08447311102188,-4.44182399604437,6.68962001086062,5.681936665037238
29,41.4421463014787,0.738783943030303,2.09330762417941,12,0.46434413537853,0.110475722938088,0.415895156765159,20.1871468887152,5.81486937916492,3.88002156786439,46.0536833477091,132.168784606408,2.35718527862919,97.62,5.82974957719216,9.62338466451644,13,9.86613975404913,1.9588830259971,4.19186695281194,3.29346031182826,3.49802046559818,19.0139147907933,-0.0391212572387991,0.239263668543801,7.071334727584,19.5683718960981,7.071334727584,1.3250293459989,19.7453831363499,19.3185533095114,97.62,20.0156906744951,0.352124077888356,1.0303872712697,2.19559602454861,3.65847657334675,3.78096777199564,270.524954263566,0.923004316826595,11.9204546878443,0.815333370766793,-0.797450080859075,2,0,0.0021725022693582,-2.7363510254831,15.4987566403061,16,1.10356270633313,3.37553361984621,-6.76081403183291,7.52225501960157,5.882728704344236
30,40.5850816075545,0.740322333939394,2.09496805780448,12,0.422237271072755,0.096258603742711,0.417686216989039,18.0837857633435,5.81701604853122,3.8815030518489,45.6749501474706,121.168896718802,2.26834921038088,88.39,5.83191537005261,9.63645191590146,15,11.1923518674152,1.85949911487972,4.19282890639965,3.22120021489705,3.48154758637916,17.251358787584,-0.0117000875686904,0.222509637903099,6.60116699146359,17.5733933757308,6.60116699146359,1.29745983469001,17.6375575266547,17.4396155870964,88.39,17.6750657633503,0.303600395144562,0.936341060872182,2.34331638195626,7.29886913378663,3.5978274034225,230.344271666667,0.902946839329227,11.2088526833696,0.788233854675816,-0.728442560591103,1,0,0.0001286935706908,-3.29795221761575,16.0882112936439,19,1.15551859428518,3.37528565704203,-6.77810886881265,6.68962001086062,6.7447274948966935
15,22.3927557189748,0.850856193043478,2.08521245223812,11,0.135958520656468,0.145390832683488,0.154478541941262,4.29237411166693,5.79768497476451,3.87161244427657,25.7432622254248,128.921157158449,1.54702149620521,97.34,5.81092879741412,2.58543689283405,10,6.17871750899665,0.800332615472111,4.18427839213182,2.48281447872464,3.35636632026297,11.7411911201724,0.0187824106329185,0.0781112142611241,3.67237046097541,11.3894498543872,3.67237046097541,0.679718727310907,11.3002853834317,11.5917955393326,97.34,10.4906782022969,0.108678541034313,0.975846489157736,1.56417446154506,7.09472316471656,3.15312356597524,103.7358,0.905300681968523,7.59007640743995,0.636901087814916,-0.432394023297882,0,0,0.0036081495030986,-1.94881276387989,9.40026655078059,10,1.06049333420127,2.71899983863865,-4.26314823145387,2.32395511873024,5.943095148663527
15,22.3050342332064,0.850856193043478,2.08525417543728,11,0.151047927270853,0.133763223895318,0.151271089185397,9.64276044548635,5.79819064465882,3.87205574203491,25.6650059106412,128.921157158449,1.71104761281999,97.34,5.81144540858591,3.00930550608103,10,6.20128835865412,0.837215633773858,4.18439485707832,2.66552241356662,3.35758667251441,12.6622241205699,0.0168009871723548,0.0857255302632834,4.90686711179175,12.4591119231368,4.90686711179175,0.679775301957316,12.3381851854295,12.5863375531251,97.34,11.7940769881592,0.136693120305765,1.02461615482546,1.42690436299619,5.48622821154195,3.21380222181581,118.799873809524,0.904065737301985,8.0109165027833,0.68003736791901,-0.50200376460032,0,0,0.0038192268387798,-2.20868666927369,9.6252386163393,8,1.02922758201063,2.87145615327439,-4.48911534622682,2.32395511873024,6.036212172654444
