F06[C-C],F03[C-N],SpMin1_Bh(p),F05[C-N],nCsp2,RDF075p,F04[S-F],F05[N-Br],alvo
19,9,2.08706497115682,8,19,5.81351620533271,0,0,5.671620396561262
20,9,2.08728002724137,7,19,7.50736609023566,0,0,4.997402019280091
18,9,2.08647931227245,7,19,7.79401182181516,0,0,4.861697301833718
19,9,2.08651415006922,8,19,5.69737397648491,0,0,5.85078088734462
20,9,2.08769753705472,9,19,8.61519095626609,0,0,6.086186147616283
19,9,2.08647003622582,7,19,5.63670815071897,0,0,6.366531544420414
19,9,2.08656870304183,7,19,7.16024272685642,0,0,5.4156687756324695
28,12,2.09305075387095,13,26,8.50630309402966,0,0,5.966576244513051
27,12,2.09301384624112,12,26,9.70823107134583,0,0,5.823908740944319
24,14,2.09161171450811,15,26,7.96952260922579,0,0,5.425968732272281
25,14,2.09324728909685,16,26,8.56990630079402,0,0,6.356547323513813
20,9,2.08668915621692,7,19,8.15304381852564,0,0,5.812479279163537
27,12,2.093654664768,12,26,8.51591121522269,0,0,6.251811972993799
29,12,2.09502005934863,14,26,9.83482801105034,0,0,5.935542010773082
28,12,2.09385106569626,13,26,8.55113418500683,0,0,5.943095148663527
24,14,2.09246748562478,15,26,8.79474272949792,0,0,6.022276394711152
28,12,2.09299346952684,12,26,8.65352183687485,0,0,6.356547323513813
25,14,2.09244823997926,15,26,8.11275221362147,0,0,5.421360790031928
26,14,2.09422151040059,17,26,9.01302639858334,0,0,6.920818753952375
24,14,2.09229262573043,15,26,8.50292448167299,0,0,5.85078088734462
24,14,2.09243623032813,15,26,8.47980758632369,0,0,5.7121982700697735
24,14,2.09123414170093,15,26,9.52085572773444,0,0,7.522878745280337
29,12,2.09470000639501,14,26,9.80750433396605,0,0,5.785156151952302
31,13,2.09920015290761,9,27,14.7427263148859,0,0,4.522878745280337
31,13,2.0994241493746,9,27,9.71785650448063,0,0,5.094743951251549
31,13,2.09927559450978,9,27,10.178905138144,0,0,5.13430394008393
21,9,2.08794145987161,8,19,8.94397698991149,0,0,5.563837352959244
27,12,2.09283659612082,12,26,9.17973425430762,0,0,5.935542010773082
27,12,2.09297577905092,12,26,9.02753623637064,0,0,6.346787486224656
27,12,2.09162207236245,12,26,9.27968163242755,0,0,4.633017024022149
28,12,2.09315556474637,13,26,9.40777078386038,0,0,5.739928612014925
28,12,2.09329160306068,13,26,9.03901402116641,0,0,5.790484985457369
28,12,2.0922263947321,13,26,9.75400232547003,0,0,6.180456064458132
28,12,2.09218740119937,13,26,9.84908323110299,0,0,4.522878745280337
28,12,2.09312502937637,13,26,10.0434838808761,0,0,5.554395796726403
28,12,2.09252115135988,13,26,9.11590213040179,0,0,5.7447274948966935
29,12,2.09405637219457,14,26,9.71646702122101,0,0,4.897223385116559
31,13,2.09956922025163,9,27,9.69666856676199,0,0,5.150580586203101
27,12,2.09188505279968,12,26,9.8992470218357,0,0,6.045757490560675
27,12,2.0918104571356,12,26,10.076353754084,0,0,5.939302159646388
24,14,2.093128232789,15,26,7.97050605258558,0,0,5.563837352959244
26,14,2.0945533137629,17,26,9.29620790112497,0,0,6.958607314841775
25,14,2.09333860058524,16,26,8.15780052291058,0,0,6.3872161432802645
25,14,2.09250978605232,16,26,8.04907890688431,0,0,6.096910013008056
28,12,2.09215283495727,13,26,10.0779606583151,0,0,7.397940008672037
28,12,2.0926470541677,13,26,9.93676942443404,0,0,5.543633966870957
24,14,2.09175610488989,15,26,9.02741176805627,0,0,5.892790030352131
28,12,2.09395705442434,13,26,8.76346877840362,0,0,5.795880017344075
31,13,2.09938233441598,9,27,9.46220590794515,0,0,5.197226274708024
32,13,2.09988921613502,10,27,10.2148897766514,0,0,4.522878745280337
31,13,2.0998383859168,9,27,9.28766624601976,0,0,5.769551078621726
32,13,2.09991777308681,10,27,10.0113877095706,0,0,4.522878745280337
32,13,2.09965997635001,10,27,9.91634935914452,0,0,4.522878745280337
24,14,2.0922558099583,15,26,9.13931712071731,0,0,5.935542010773082
25,14,2.09325706699376,16,26,8.80714961117648,0,0,6.251811972993799
24,14,2.09313356134136,15,26,8.20884235362343,0,0,5.756961951313706
26,14,2.09456508418728,17,26,9.53312964923881,0,0,8.0
30,12,2.09528030953292,15,26,10.4467195862537,0,0,6.259637310505756
27,12,2.09231636091756,12,26,9.3331454584703,0,0,6.050609993355088
27,12,2.09184591237346,12,26,9.59824942960991,0,0,5.889410289700751
27,12,2.09280371723642,12,26,9.68416005447738,0,0,6.008773924307505
27,12,2.09218640060216,12,26,8.51208351098131,0,0,6.309803919971486
28,12,2.09376289501069,13,26,9.48520572965759,0,0,5.966576244513051
31,13,2.09958922659715,9,27,9.86082264247077,0,0,4.522878745280337
31,13,2.09963352848223,9,27,9.09860049380209,0,0,5.100179497572904
25,14,2.09334837401139,16,26,9.02908471963335,0,0,7.221848749616356
29,12,2.09414241529169,14,26,9.55329867006637,0,0,6.337242168318426
29,12,2.09336158898645,14,26,8.84102553357758,0,0,5.609064892896621
28,12,2.09332913109663,13,26,11.7455744947119,0,0,5.987162775294828
