F06[C-C],F03[C-N],RNCG,SpMin1_Bh(p),H6v,Tv,H6p,Eig07_EA,L1e,SpMax_B(v),RDF060p,H6i,Eig07_EA(ed),VE3sign_RG,F05[C-C],SpMax5_Bh(i),F05[C-N],DP15,SM02_AEA(ri),RDF145s,Eig06_AEA(bo),SpMax1_Bh(e),DP18,DP17,H7v,Eig12_EA(ri),SP18,DP16,RDF040s,H1p,Eig12_EA,Wi_B(e),CATS2D_00_DP,F10[C-Cl],SpMin2_Bh(e),Mor31v,B05[N-Br],CATS3D_00_DP,VR2_B(p),F10[C-N],CATS2D_07_AL,H8m,J_Dz(p),GATS7s,MATS8m,MATS6p,alvo
25,10,0.150586894151745,2.06619545627947,0.100371940518328,15.321535096307,0.0963908390735381,2.04175179551789,7.28979730989835,3.96559315824151,22.0702502034002,0.696593077904272,6.06520454741165,-4.17522430973857,26,3.46639436599873,7,6.32586984103322,6.06520454741165,0.0,3.63347135608533,4.1515181027797,4.66274064050154,5.26156647157604,0.0328660076724958,1.0,4.90445820414445,5.81695758452435,96.6239744041578,1.79625560752661,1.0,79.091827857734,0,1,1.9194373277497,-0.128738420923675,0,0,1.07323038540538,4,6,0.0039733972370015,1.63663965761724,1.0210535052247,-0.0127225659174022,-0.0212005137477051,6.431798275933005
18,9,0.153070870033617,2.0860263639504,0.107851910905194,22.656809117069,0.131162838760754,1.54755973755737,19.2647252421217,3.90790530332113,4.02813649783267,0.671057120493831,3.67563296206769,-2.74115419292797,19,3.314174691162,7,11.2688363968308,3.67563296206769,7.42023348909804,3.17913040994756,4.13557734323005,10.6045556309853,10.8755048850475,0.0404797458838575,0.679503139922546,10.7342514147137,11.0977993790067,48.4919830011094,1.51706641160109,0.729994983679456,64.9269007329878,1,1,1.87891232000677,-0.139565553906139,0,1,1.09099694872683,5,2,0.0052182674770133,1.3136603023145,0.80401835303084,0.033514425963441,-0.0032688905896104,6.468521082957745
18,9,0.150630953418243,2.08573258080707,0.113729952831197,23.1010011262075,0.139840402456291,1.78229778538887,19.253656128923,3.90902373291,4.02025970796527,0.674238014629608,5.22488835159337,-2.74268029692436,19,3.31379490517628,7,11.2454507584093,5.22488835159337,8.40586969078612,3.23205080756888,4.1356640447088,10.5756802184287,10.8481071925984,0.0407787359887795,0.679515658687581,10.7352078563132,11.0722084530482,59.3622425868285,1.58613589500963,0.730061722870233,67.3184007329878,1,2,1.87395085303849,-0.161955322747785,0,1,1.08772743603762,5,2,0.0064806867827195,1.32797885051657,0.792941036867941,-0.0730289190876311,-0.0108718389135413,5.388276691992658
18,9,0.159800840019806,2.0863418790973,0.120410204370051,24.0966731317824,0.145548899779305,1.54755973755737,21.2777202210934,3.90799891767132,4.03743669080994,0.662008624910751,3.67563296206769,-2.95585926589957,20,3.35359310978206,7,11.2943048643727,3.67563296206769,6.78264405708544,3.17913040994757,4.13596277149691,10.6313707798835,10.9020357542915,0.0485405129441552,0.679517274752758,10.7640268299443,11.1238854080973,48.1944821396207,1.4544612591898,0.729994983679454,64.4724007329878,1,1,1.90714640938786,-0.119280399965465,0,1,1.09100081217154,5,2,0.0050562082097369,1.33878395856744,1.47040275707352,0.0410436988381219,-0.0800124088344963,5.6439741428068775
18,9,0.163573424861437,2.08594024176855,0.101331075250972,22.4940767426887,0.124495187771319,1.54755346745117,18.604781762698,3.90737605429951,4.05301436860767,0.661822441775028,3.67452144824141,-2.74127406481273,19,3.305992187273,7,10.7162110551746,3.67452144824141,1.69926760753675,3.17643741301496,4.13542073287751,9.92987583549807,10.2421074065933,0.0458679651156349,0.679464539049028,10.0449616640063,10.5051039480256,32.2216681170322,1.60222051230171,0.729984994730519,62.2528007329879,1,0,1.88730549458136,-0.197638135551703,0,1,1.09451106174048,5,2,0.002328053021402,1.33645993171059,0.977305885989782,0.090122434736481,-0.0607816272872029,6.1249387366083
19,9,0.134243550335054,2.0870028368817,0.138321295667378,24.7066277533379,0.132123587278673,1.69651910641302,23.0520678675773,3.90785843774006,4.7733647723058,0.828063464276495,4.83133959414419,-2.950406947182,19,3.36976264907078,8,12.3768897258756,4.83133959414419,0.261130536745629,3.25713202254654,4.13616032971546,11.8697155400072,12.0904496841539,0.0489198733681286,0.951805957551812,11.9180799360358,12.2604228292774,42.7120754135445,1.38366101539195,1.0,69.7234007329878,1,0,1.90432726796227,-0.161060164413949,0,1,1.08471946811323,6,2,0.0396599631881299,1.26947390053162,0.747596167678542,0.157200818161549,0.0989755299737391,5.681936665037238
29,12,0.110475722938088,2.09330762417941,0.46434413537853,49.8739500976107,0.415895156765159,2.35718527862919,48.4910813293805,3.91377484368388,9.86613975404913,1.9588830259971,7.071334727584,-7.65122073383183,28,3.49802046559818,13,19.0139147907933,7.071334727584,74.4385390783607,4.00640808033334,4.14444666507868,19.7661809938392,19.5683718960981,0.239263668543801,1.3250293459989,19.7453831363499,19.3185533095114,73.0774603459227,1.57958647630505,1.37040995593325,103.651683523711,0,2,1.90789670479186,-0.218400285780035,0,0,1.08016444478398,9,7,0.36024332173508,1.00760496444868,0.63189097511318,0.134079000753962,0.080232411609687,5.882728704344236
30,12,0.096258603742711,2.09496805780448,0.422237271072755,46.2898436980635,0.417686216989039,2.26834921038088,43.9978602163825,3.91481216108337,11.1923518674152,1.85949911487972,6.60116699146359,-5.93800291090434,27,3.48154758637916,15,17.251358787584,6.60116699146359,32.2989394469648,3.75457580545017,4.14547681139231,17.6555473913302,17.5733933757308,0.222509637903099,1.29745983469001,17.6375575266547,17.4396155870964,73.635447987202,1.64329082446386,1.34808955869005,95.7408835237106,0,2,1.94547708586936,-0.198049951106895,0,0,1.08615851262741,7,10,0.160935334755871,1.09508713583353,0.700279698175764,0.0217500144911642,0.206063365102442,6.7447274948966935
15,11,0.145390832683488,2.08521245223812,0.135958520656468,25.1676972378121,0.154478541941262,1.54702149620521,23.3127698431065,3.90619885937806,6.17871750899665,0.800332615472111,3.67237046097541,-2.87734253881981,16,3.35636632026297,10,11.7411911201724,3.67237046097541,6.67425153842937,3.1283259240489,4.13471956513554,11.1368923574344,11.3894498543872,0.0781112142611241,0.679718727310907,11.3002853834317,11.5917955393326,30.3406118079364,1.43470179941992,0.730300935845916,62.1419007329878,1,0,1.88458537306841,-0.16496006052562,0,1,1.09453169477783,4,1,0.0191486362551086,1.19268203555219,1.21582564499656,0.0759178230765779,0.0490803216722712,5.943095148663527
15,11,0.133763223895318,2.08525417543728,0.151047927270853,26.0510104374739,0.151271089185397,1.71104761281999,24.064987239305,3.90661078942767,6.20128835865412,0.837215633773858,4.90686711179175,-2.87763334426732,16,3.35758667251441,10,12.6622241205699,4.90686711179175,4.02256270927796,3.35691395584222,4.13491354437138,12.2831501067824,12.4591119231368,0.0857255302632834,0.679775301957316,12.3381851854295,12.5863375531251,34.620174387445,1.41963941792262,0.730383521335029,67.3019007329878,1,0,1.86716977275247,-0.150734006236796,0,1,1.08777167940841,4,1,0.0243827854685925,1.14494382654018,0.626605274099587,0.0022938816193806,0.0472395252518029,6.036212172654444
