F05[C-N],HATS2v,alvo
7,0.141962346664058,6.431798275933005
7,0.140526329116624,6.468521082957745
7,0.151939449022864,5.388276691992658
7,0.116756820576653,5.6439741428068775
7,0.143865253205475,6.1249387366083
8,0.12595175116461,5.681936665037238
13,0.12118067506873,5.882728704344236
15,0.10756765414819,6.7447274948966935
10,0.120281325947911,5.943095148663527
10,0.129208160413101,6.036212172654444
10,0.136528611406794,5.300162274132754
10,0.146136694300811,5.896196279044043
7,0.134377374693227,5.152427340857888
9,0.127857880606958,5.079876673709276
12,0.118595396672348,5.634512015109101
9,0.109172406994842,4.522878745280337
9,0.108851221593275,4.672028376376989
7,0.122104816910606,6.070581074285707
7,0.130779135597823,5.139063379299906
7,0.132120227860968,6.337242168318426
7,0.152971710061069,6.1938200260161125
7,0.149862901354082,5.91721462968355
7,0.145630032850323,5.531652669587842
10,0.0961205826298735,4.522878745280337
11,0.0920049390826077,4.522878745280337
9,0.0889006696191924,5.023650020996727
12,0.118631058979408,5.133122185662502
12,0.123761978046605,4.799149501908922
12,0.123017767078086,5.350665141287858
12,0.114975828425224,5.367542707815276
13,0.107505583385772,5.521433504406157
12,0.11245199903728,5.681936665037238
10,0.140656249632167,5.36251027048749
10,0.133121637817785,5.333482019445119
10,0.134064056210403,5.281498311132726
11,0.124266207675407,5.958607314841775
10,0.137425820065515,5.042871802323187
10,0.139612807905789,4.9503943874050265
11,0.110667809359339,5.568636235841013
10,0.107879779055647,5.522878745280337
15,0.114241683099094,5.701146923590294
15,0.126240354323884,5.235077015350112
15,0.132067450853518,6.769551078621726
15,0.136976530994515,5.723538195826756
15,0.143215302178811,7.221848749616356
15,0.128721263945737,5.809668301829708
15,0.148216740547116,6.4089353929735005
15,0.110937076475267,5.703334809738469
8,0.129128578565254,5.671620396561262
7,0.0948224327058517,4.997402019280091
7,0.134697544471835,4.861697301833718
8,0.134055869086743,5.85078088734462
9,0.100326492062095,6.086186147616283
7,0.135383848987169,6.366531544420414
7,0.0975532428997832,5.4156687756324695
13,0.140751057762613,5.966576244513051
12,0.137157751321894,5.823908740944319
15,0.127823223061733,5.425968732272281
16,0.114493940768395,6.356547323513813
7,0.0833939755772082,5.812479279163537
12,0.131436970050357,6.251811972993799
14,0.143894644715683,5.935542010773082
13,0.135710770427419,5.943095148663527
15,0.130810497876847,6.022276394711152
12,0.127952913801634,6.356547323513813
15,0.11650715081094,5.421360790031928
17,0.0985044683642177,6.920818753952375
15,0.121870530395813,5.85078088734462
15,0.133512961029014,5.7121982700697735
15,0.139122700648179,7.522878745280337
14,0.115611115102863,5.785156151952302
9,0.133729488460891,4.522878745280337
9,0.126655555675938,5.094743951251549
9,0.137215579114999,5.13430394008393
8,0.0991861493873602,5.563837352959244
12,0.128034967449315,5.935542010773082
12,0.144210109884581,6.346787486224656
13,0.121557413794162,5.739928612014925
13,0.134428842333267,5.790484985457369
13,0.148275565732227,6.180456064458132
13,0.119058923986452,5.554395796726403
13,0.139561945704507,5.7447274948966935
9,0.10392375563132,5.150580586203101
12,0.15300984935785,6.045757490560675
12,0.16175988010388,5.939302159646388
15,0.118871746246809,5.563837352959244
17,0.13364957798868,6.958607314841775
16,0.119150128694503,6.3872161432802645
16,0.12604494068082,6.096910013008056
13,0.138416517986843,5.543633966870957
15,0.136247278393904,5.892790030352131
13,0.126706134602349,5.795880017344075
9,0.128769484914508,5.197226274708024
10,0.112407157626615,4.522878745280337
10,0.113660687633291,4.522878745280337
10,0.119999758938151,4.522878745280337
15,0.1183843380611,5.935542010773082
16,0.122025632740417,6.251811972993799
15,0.125939994933575,5.756961951313706
17,0.13920158117959,8.0
15,0.128120302648444,6.259637310505756
12,0.143053552326926,6.050609993355088
12,0.159469492078909,5.889410289700751
12,0.128197804935154,6.008773924307505
12,0.144614899267439,6.309803919971486
13,0.131502808519439,5.966576244513051
9,0.108524673722025,4.522878745280337
9,0.117408556589532,5.100179497572904
16,0.127051266967218,7.221848749616356
14,0.12342735587271,6.337242168318426
14,0.134810547280535,5.609064892896621
13,0.127340574803013,5.987162775294828
