F06[C-C],L1p,TPSA(Tot),SpMin1_Bh(p),L1v,H6p,RDF115v,L1e,Tv,HOMT,SpDiam_B(p),F06[C-N],H6i,RDF060p,SpMin1_Bh(e),F05[C-N],SpMax1_Bh(i),F01[C-N],CATS3D_02_AL,VE3sign_RG,TPSA(NO),SpMax5_Bh(i),SM02_AEA(ri),CATS2D_03_AL,CATS2D_08_AL,H7u,DP15,L1u,VE2sign_RG,SpMin3_Bh(m),GATS1e,HATS3p,R3p,SM2_B(e),Mor27p,Mor09s,HGM,CATS3D_05_DA,X2,SpMin5_Bh(e),SM6_Dz(v),SM11_EA(dm),EE_B(v),nBT,B06[O-Br],Chi_G/D,SM6_B(s),alvo
25,7.31252837068396,100.3,2.06619545627947,7.31397812032684,0.0963908390735381,0.262611783405263,7.28979730989835,15.321535096307,20.2133952,5.88740643086387,9,0.696593077904272,22.0702502034002,1.98635321747897,7,4.17947390944095,5,5,-4.17522430973857,91.92,3.46639436599873,6.06520454741165,6,6,0.139915815933435,6.32586984103322,7.14451063921502,0.0029768598636693,1.89697512811515,0.521287874699329,0.159698545792023,0.919412878828231,4.96808461080174,-0.330832512878229,-11.6836904231492,4.98570026853396,1,14.9868585382318,1.49827027714869,30.917260378401,0.0,5.71946060254502,54,0,1.22832546417817,13.9610148834325,6.431798275933005
18,18.6612174449171,85.31,2.0860263639504,18.9492209314067,0.131162838760754,2.49638729108369,19.2647252421217,22.656809117069,18.80459976,5.81360215202647,8,0.671057120493831,4.02813649783267,1.95307888375824,7,4.18462279930907,10,4,-2.74115419292797,85.31,3.314174691162,3.67563296206769,5,4,0.237653187417651,11.2688363968308,18.5162863797223,0.0051600208970939,1.86592078519638,0.703638337171023,0.1557992576165,0.741742636129249,4.77113463518675,-0.365571177536284,-11.9599008451963,5.38752209452549,1,12.0104987220213,1.17216698499061,29.4518958160477,0.0,5.50676342612466,43,0,1.05185408205313,13.1926937475361,6.468521082957745
18,18.7414448344759,85.31,2.08573258080707,19.0328634219781,0.139840402456291,3.04776354353789,19.253656128923,23.1010011262075,18.80459976,5.8157631103903,8,0.674238014629608,4.02025970796527,1.95258147595368,7,4.1846125907593,10,4,-2.74268029692436,85.31,3.31379490517628,5.22488835159337,5,4,0.238733230071688,11.2454507584093,18.4827582185188,0.0051554898295268,1.86213094616817,0.699240553642547,0.172151625390796,0.788957946017748,4.80463278762098,-0.320043586916459,-14.5214308283888,5.37835942263489,1,12.5279674696237,1.16859357121608,29.7790586016343,0.0,5.54307039054871,43,0,1.04850857442449,13.2099127361414,5.388276691992658
18,20.5437499234767,85.31,2.0863418790973,20.1442680959814,0.145548899779305,2.61057977698656,21.2777202210934,24.0966731317824,18.80459976,5.81383171869221,9,0.662008624910751,4.03743669080994,1.95747220831746,7,4.18495225322104,10,4,-2.95585926589957,85.31,3.35359310978206,3.67563296206769,5,4,0.253419025244891,11.2943048643727,21.1351593228299,0.0047766389185937,1.86783449125494,0.798250630890914,0.146909932370011,0.760610962117263,4.7616399714523,-0.364442472300095,-8.47720131113155,4.96463714880933,1,12.0104987220213,1.29078384648725,29.3920423118772,0.0,5.51307152914483,46,0,1.05174460439086,12.3640904111809,5.6439741428068775
18,19.1978828179858,85.31,2.08594024176855,18.5234552832771,0.124495187771319,3.48794566217624,18.604781762698,22.4940767426887,18.80459976,5.81291036290411,8,0.661822441775028,4.05301436860767,1.95408266064458,7,4.18454361700854,10,4,-2.74127406481273,85.31,3.305992187273,3.67452144824141,5,4,0.239261414497417,10.7162110551746,18.4292869867181,0.0051596648483092,1.86652175894111,0.848572968820458,0.1758269526193,0.790764203358679,4.7299245058996,-0.431722901067139,-9.15633175417371,5.38124493293628,1,11.5027506779525,1.18039120535183,28.9983227571721,0.0,5.48251123803689,43,1,1.05236714716078,12.3285423596066,6.1249387366083
19,19.6646352389803,85.31,2.0870028368817,21.1613743533249,0.132123587278673,3.52656049759849,23.0520678675773,24.7066277533379,18.80459976,5.81337402654049,8,0.828063464276495,4.7733647723058,1.95712618473005,8,4.18513320157173,10,4,-2.950406947182,85.31,3.36976264907078,4.83133959414419,5,4,0.279161998156336,12.3768897258756,21.7584635904281,0.0047906053362604,1.86747258869535,0.634343427170565,0.130325736057459,0.692507541681206,4.83709799818342,-0.392573457927229,-23.4088824664561,4.9495672438374,1,13.4724331730723,1.22282979212042,30.3610604307574,14.7578628273804,5.54840894347845,46,0,1.04363015521489,13.9364192138138,5.681936665037238
29,41.4421463014787,97.62,2.09330762417941,45.5405471390169,0.415895156765159,9.62338466451644,48.4910813293805,49.8739500976107,24.37987012,5.82974957719216,14,1.9588830259971,9.86613975404913,1.95774810700654,13,4.19186695281194,11,8,-7.65122073383183,97.62,3.49802046559818,7.071334727584,9,6,0.708920908724766,19.0139147907933,44.7260637401834,0.0008557184874119,1.95994094296976,0.636864146411614,0.122410229331505,0.805180399443803,5.22262983469207,-0.614567302908095,-41.0203750577038,3.85355319736539,1,20.5471051442497,1.37876320856878,35.2919982811605,15.782200640532,5.91377997990283,63,0,1.03951666638289,14.6132460421289,5.882728704344236
30,40.5850816075545,88.39,2.09496805780448,41.4681164417656,0.417686216989039,9.63645191590146,43.9978602163825,46.2898436980635,24.43063702,5.83191537005261,14,1.85949911487972,11.1923518674152,1.96219070540602,15,4.19282890639965,11,6,-5.93800291090434,88.39,3.48154758637916,6.60116699146359,7,12,0.769103067327394,17.251358787584,42.6886575082687,0.0017427177910451,1.96061453872838,0.593303938560098,0.122286979508414,0.833773513686453,5.14686924901497,-0.578142197034182,-27.2792201838623,3.69107840912842,1,18.6790450973059,1.38516398222276,34.0647350235522,14.7578628273804,5.87593777012071,65,0,1.03968244919351,14.0864359832023,6.7447274948966935
15,22.3927557189748,97.34,2.08521245223812,22.0362947838956,0.154478541941262,2.58543689283405,23.3127698431065,25.1676972378121,19.56969244,5.81092879741412,11,0.800332615472111,6.17871750899665,1.94714833430867,10,4.18427839213182,12,3,-2.87734253881981,97.34,3.35636632026297,3.67237046097541,3,1,0.322451379140471,11.7411911201724,23.4645849459802,0.0049166484075073,1.86873410526292,0.942678929246955,0.13941088943555,0.695123455244504,4.72598508946211,-0.52926541196803,-12.8750020781482,5.0593068334672,1,11.3504247051441,1.24134402808936,29.5419729730063,5.50368875018106,5.4587362477451,45,0,1.04172819766196,12.3289186273157,5.943095148663527
15,22.3050342332064,97.34,2.08525417543728,22.8631813169876,0.151271089185397,3.00930550608103,24.064987239305,26.0510104374739,19.56969244,5.81144540858591,11,0.837215633773858,6.20128835865412,1.94677418614307,10,4.18439485707832,12,3,-2.87763334426732,97.34,3.35758667251441,4.90686711179175,3,1,0.320566001149159,12.6622241205699,23.53971743604,0.0049158646107372,1.86837847072245,0.70895720725919,0.137018791773833,0.682460217585266,4.80330640595576,-0.553174730912735,-13.9330752460289,5.05139175845302,1,12.5019766450765,1.23659084871818,30.4489903344662,5.50368875018106,5.51691080356747,45,0,1.0393597149772,13.631735528841,6.036212172654444
15,23.555285053707,97.34,2.08506564352015,23.1714010109862,0.15880194206667,3.34171270280855,23.6844635741049,26.5580984239565,19.56969244,5.81119089889248,11,0.788637323596249,6.08128424431615,1.94701175215642,10,4.18427118540634,12,3,-2.87835690274128,97.34,3.35627898226896,4.54804515296877,3,1,0.324153730278952,12.1464007320029,23.5692185106018,0.0049139149735016,1.86853314483649,0.874862684955238,0.160432814954401,0.750055349617289,4.76100353189512,-0.506811378398736,-12.4277702597,5.02607788666442,1,11.9841918998756,1.239809308896,29.9623431938229,5.50368875018106,5.49651084998569,45,0,1.03831953582914,12.3694387309341,5.300162274132754
15,23.5995943753316,97.34,2.08490830692647,23.224999464125,0.171695238080505,3.04933271434724,23.6522769185321,26.7842586735816,19.56969244,5.81190257626986,11,0.786733808017493,5.91553921196361,1.94687157595382,10,4.1842625894073,12,3,-2.87876394815035,97.34,3.35627827341651,4.64917308397103,3,1,0.318496381162543,12.1727949648262,23.5279845771527,0.0049128185244916,1.86825293324801,0.835378335431811,0.194463978444117,0.83277952206674,4.79483707643697,-0.430349406706616,-11.6958192099833,5.0126743942749,1,12.3737728161482,1.23979962054686,30.2903429192494,5.50368875018106,5.53340470319281,45,0,1.03611437782039,12.4082200039033,5.896196279044043
18,19.2315483185911,85.31,2.08691350922283,20.4662462782889,0.132501738843513,5.11088072850646,22.1942821615042,24.6441829697795,18.80459976,5.81317139359221,9,0.654286438406357,4.00511244583995,1.95693910680322,7,4.1851027616627,10,4,-2.95073678139564,85.31,3.37042248713361,4.91811089292111,5,4,0.248988962168937,11.830111652135,21.1136574238499,0.00478975928831,1.86745390637567,0.634343427170565,0.131893373426999,0.696797695363765,4.83709799818342,-0.427044397166573,-21.7710567396761,4.94913571640384,1,13.4605277912731,1.24611997565164,30.519267628512,14.7578628273804,5.54839881512965,46,0,1.05123392800541,13.9364177865674,5.152427340857888
20,19.5591124169791,85.31,2.08794321269317,20.6782578714763,0.175585200422905,4.36715160679809,22.2753781538599,25.2700951566376,18.80459976,5.81591053382654,8,1.32457810375269,6.59591062064236,1.96087958196653,9,4.18580476863687,10,4,-3.16493362955846,85.31,3.45224192124438,5.51054217360109,5,4,0.328382050177513,12.271580551433,21.3613562064341,0.0044587499596315,1.86734544454055,0.62367768177423,0.116641398663029,0.682927326792314,4.96081331128966,-0.423765446362189,-38.8308431890789,4.70890107153678,1,16.0758828629235,1.2294145812052,31.6087677183292,15.4510098130853,5.64692410229085,49,0,1.0479710411279,14.5249909645277,5.079876673709276
28,41.4252645210591,87.53,2.09898601626382,41.7683658090263,0.37857047477988,8.88453871772025,42.3843035043506,46.5502738906591,23.78609802,5.81414767986047,14,1.50118679489295,10.3980100251704,1.96618249118858,12,4.19672464017812,11,8,-9.03732534302529,87.53,3.5192062657597,6.38210842523171,7,4,0.579526958931565,17.3275405001416,41.3797550936991,0.0004768836847795,1.96133452824536,0.617633640874251,0.114369969046143,0.791689202345058,5.12427594520055,-0.766176721828103,-28.2109883223716,3.75305792988799,1,17.8691411661677,1.39241535587574,34.198986765318,14.7579581444382,5.84575600406693,62,0,1.03520400649992,14.0838201150504,5.634512015109101
31,30.7297110743541,84.73,2.09964145368162,29.8865067090001,0.361985141263343,6.04925023429303,30.8513981944677,35.6719857877494,23.03249408,5.814826737443,11,1.55696247010855,8.50258822359166,1.96921978562015,9,4.19680186351573,9,11,-8.9363302238406,84.73,3.477976354131,6.32925033821234,11,9,0.586961458189117,14.5750918760814,31.3910777082407,0.000474622051381,1.98425820512953,0.628231175420123,0.106342599286818,0.762982209159252,5.10258820499845,-0.661542306065452,-21.6455177418979,4.07100551859187,2,17.434166077162,1.38276983976684,33.8215906597226,15.3374217835707,5.81827751048162,61,0,1.08320596205757,14.0800899750363,4.522878745280337
32,33.7572566556849,84.73,2.09963830267315,35.3387240997859,0.457988222165116,8.84901700600648,37.9109168852261,39.9410141605182,23.0955828,5.81470678117088,10,1.86106589090478,7.80135293750855,1.96924880068132,9,4.19679339203842,9,11,-8.81752647485968,84.73,3.48613230093219,6.49417609521297,11,9,0.824673029975919,16.9014278910576,36.418148763379,0.0004979556622036,1.9840524298187,0.628231175420123,0.111377869984519,0.76371518665553,5.10258820499845,-0.691444072704187,-29.2613069412312,4.02846987160113,1,17.4222606953628,1.38287110642699,33.9443362204753,15.3374217835707,5.81827082575588,61,0,1.06993931531674,14.0800887391797,4.672028376376989
18,17.1073042839757,85.31,2.08635950387746,16.915393007153,0.118007011238109,2.16831378707832,18.1957709970769,20.6346846679517,18.80459976,5.8121775097366,8,0.670808226395359,4.16071149353949,1.95456125147942,7,4.18456767792944,10,4,-2.7399813720788,85.31,3.30827630775328,3.67142699205507,5,4,0.238332163160042,9.78729049292271,18.2283464971521,0.005163505757984,1.86758098064753,0.871841150064168,0.141833469686048,0.703449387847547,4.69588760533166,-0.415003794456629,-8.77910005977995,5.41623451522474,1,10.8808888650202,1.18561483361856,28.5293434755588,0.0,5.43913453201052,43,0,1.05751282419906,12.3199060393342,6.070581074285707
18,17.0604348137645,85.31,2.08646359850713,17.2891347320739,0.116429286193231,2.3005589188337,18.5076180809982,21.0868522344094,18.80459976,5.81373161063582,8,0.670478590736808,4.33209873170574,1.95261233321547,7,4.18472902531285,10,4,-2.74081276055174,85.31,3.31456479369265,4.43901142022849,4,3,0.233284027903281,10.3988642054279,18.249133037548,0.0051610351693313,1.86645311435333,0.663476836317069,0.139485698107009,0.692004620389621,4.77547983122344,-0.437805409628523,-9.18867933315032,5.41755237549369,1,12.0421615084862,1.1752717248315,29.4700856169008,0.0,5.49845002513127,43,0,1.05518143155029,13.6292973155667,5.139063379299906
18,17.0381499057187,85.31,2.08645048357548,17.6237355769322,0.11715081974346,2.29670448173302,18.8486149217829,21.4501850711874,18.80459976,5.81334172719985,8,0.695649360055718,4.42620459952364,1.95275635981431,7,4.18471358647395,10,4,-2.74154156412825,85.31,3.31422971602805,4.96257486685741,5,4,0.237844444126045,10.7820708944303,18.305509186485,0.0051588703985679,1.86625811025805,0.663476836317069,0.139093587065469,0.690069966540641,4.77547983122344,-0.448685235380141,-8.530476914784,5.40618389637907,1,12.1603286362824,1.17620740508828,29.4664224256972,0.0,5.49823130278263,43,0,1.05451003430301,13.6293311670355,6.337242168318426
18,18.5924615047917,85.31,2.08559786896648,18.3887769777102,0.133448212925967,3.8164349346498,18.5292126481435,22.3114251139585,18.80459976,5.81507790454784,8,0.599931794382521,5.12700102901298,1.95313303175846,7,4.18454556882735,10,3,-2.7425634179746,85.31,3.30785458259484,3.67548185366589,4,3,0.202039497590274,10.7028836143204,18.1424237681099,0.0051558367073557,1.86608359685252,0.772211068557435,0.214806913275822,0.869890365729635,4.76677047599285,-0.379322201325363,-8.57916495444424,5.4678768236847,1,11.9139576795579,1.18249342702027,29.2843358875645,0.0,5.51525114822942,43,0,1.05056139918754,12.3999082296428,6.1938200260161125
18,19.8640555988824,85.31,2.08575397895544,19.5963509428749,0.135964704475852,3.55257540634476,19.2092557638409,23.4299633502447,18.85536666,5.81397275687355,8,0.663469189668382,5.178418320964,1.9533210222535,7,4.18454917910097,10,4,-2.74177557947264,85.31,3.3070017141661,3.67563296206769,5,4,0.238591580789496,11.3404890054743,18.5923084219065,0.0051581754936289,1.86542913330859,0.772211068557435,0.192983250837676,0.835652134094318,4.76677047599285,-0.349876291164945,-7.33321000554159,5.37093688312626,1,12.0104987220213,1.17544199314648,29.383141917884,0.0,5.51499914259074,43,0,1.04952803383437,12.3999560596917,5.91721462968355
18,18.7900840577715,85.31,2.08571046051047,18.5557573326857,0.140636098846043,3.15612269224074,18.7828784434062,22.5773750859389,18.80459976,5.81391888953644,8,0.672462382203232,4.14166144618413,1.95326945584079,7,4.18454836773497,10,4,-2.74244520893679,85.31,3.30742249384492,4.96257486685741,5,4,0.238208008864021,11.0522237895125,18.4225837788897,0.0051561875564099,1.86522693815287,0.772211068557435,0.175368964769524,0.801558679351863,4.76677047599285,-0.329968899636869,-9.85647680623774,5.38719046772364,1,12.1603286362824,1.17925808880351,29.3353226753364,0.0,5.51473886440435,43,0,1.05009221122395,12.4000663316669,5.531652669587842
34,30.3290050523167,75.5,2.100315590279,29.3795485653636,0.278919414550879,7.69680587263125,31.0914702674653,34.6710392451327,23.0721321,5.81601962252365,10,1.15849118290789,9.61005386484823,1.9757816411481,10,4.1974808945453,9,9,-6.03452989257472,75.5,3.46911256704424,5.65005878132736,9,7,0.436825661245507,14.468404490773,31.6051302759722,0.0016082231583566,2.01351817969411,0.711007454159241,0.112777950373216,0.806208916543008,5.01673885229659,-0.677178252537229,-10.5119658413133,3.93703910093942,1,15.4360335206228,1.38942221068349,32.481336643584,0.0,5.77673197685039,63,0,1.08527404323448,12.8829555719483,4.522878745280337
33,34.2084990061107,75.5,2.1001994768437,33.3065542851964,0.358463359725085,6.67547650283844,35.2736322158533,38.3231481035879,23.03249408,5.8154959316774,10,1.61620628320003,9.27800727333373,1.97510005017323,11,4.19741013761471,9,9,-5.06195679201671,75.5,3.471445737029,5.62731081166063,9,7,0.58131182733428,15.3292883758378,35.7289595628366,0.0023506567136682,2.01369391535098,0.711007454159241,0.106742938928631,0.786470953486076,5.01673885229659,-0.657930900153981,-8.82724185643008,3.84841149938233,1,15.554200648419,1.38925049800744,32.511449360375,0.0,5.77655709915388,63,0,1.05891950153472,12.8829746583015,4.522878745280337
32,33.9868223676611,93.96,2.09968011700452,33.3083755131298,0.549943903086873,11.4732917872972,35.5606520489659,38.7958620547569,23.08326098,5.81532815018943,11,1.91376848437285,11.2876641803363,1.96901477131597,9,4.19701884394372,9,11,-12.5184866102062,93.96,3.47060623088459,5.69077803822141,13,11,1.12559421388073,15.7625208129681,35.8348871769329,0.0001453647967132,1.97081442370354,0.792722962432685,0.0998859918928555,0.740378604861659,5.06538810351767,-0.707467277310129,-11.7403567366231,3.75847585055993,1,15.7864588574719,1.3845872020489,33.3210032246171,0.0,5.80272550593819,65,0,1.08508315853245,12.9159086991148,5.023650020996727
28,28.8588145184585,87.53,2.09889675568643,28.0203003380735,0.300888587054213,6.74056677885334,28.4443676876757,34.8591207309676,23.79758676,5.81323949554472,13,1.23489603015389,9.27078208213911,1.96604169535084,12,4.19621195675087,11,8,-8.4793338415309,87.53,3.49423122128798,5.50586654999091,7,4,0.431298101311652,14.7020169189211,28.5392184346257,0.0005223243210444,1.97052054796626,0.738927057507009,0.130740958270453,0.835815284038368,5.02022532031086,-0.724504665635692,-12.7870670692194,4.20899695372511,1,15.3780639120123,1.39089826457157,32.9238729289666,5.50368875018106,5.76555338106137,59,0,1.08331790048054,12.907564897833,5.133122185662502
