F06[C-C],F03[C-N],L1p,P_VSA_p_2,HOMA,L1v,SpMin1_Bh(p),RNCG,H6p,SpMax_B(v),SpDiam_B(v),Eig07_EA,H6i,RDF115v,RDF060p,MATS1p,Eig07_AEA(ri),SpMax1_Bh(i),F07[C-N],H7v,SpMax5_Bh(i),VE3sign_RG,SM02_AEA(ri),SP17,Eig07_EA(ed),DP16,DP20,Mor24m,Wi_Dz(m),Cl-089,SpPosLog_B(s),SpMaxA_Dz(p),B03[Cl-Cl],Mor03s,Eig13_AEA(bo),Mor32u,SpAbs_Dz(v),Mor30v,H%,SM09_EA(bo),alvo
15,11,23.555285053707,128.921157158449,0.850856193043478,23.1714010109862,2.08506564352015,0.146303706524086,0.15880194206667,3.90638582015433,5.7978889352845,1.65056858795789,0.788637323596249,3.34171270280855,6.08128424431615,0.0284157833057165,2.61366209016839,4.18427118540634,8,0.0878469336277225,3.35627898226896,-2.87835690274128,4.54804515296877,11.8684316865371,4.54804515296877,12.0105750431638,10.9581006899694,0.126717361383331,1492.19373333333,1,4.91172847193426,6.14668679548241,0,-15.0314796207014,1.22168429806552,-0.231655112074952,295.470823105844,0.160403238676216,35.7142857142857,13.9705636307357,5.300162274132754
15,11,23.5995943753316,128.921157158449,0.850856193043478,23.224999464125,2.08490830692647,0.143091485721548,0.171695238080505,3.90682234904245,5.79839133612776,1.6541474936615,0.786733808017493,3.04933271434724,5.91553921196361,0.0381293583886995,2.61412583515198,4.1842625894073,8,0.0870153145802214,3.35627827341651,-2.87876394815035,4.64917308397103,11.9177668873782,4.64917308397103,12.0401710140387,11.0039909753229,0.141505514495823,1627.19756666667,2,5.16350095428459,6.24435838180917,1,-17.7480457614342,1.54252615548393,-0.305531898916792,311.77429389935,0.11544989149168,33.3333333333333,14.0809386966881,5.896196279044043
18,9,19.2315483185911,110.910406475419,0.7521839904,20.4662462782889,2.08691350922283,0.134307147447364,0.132501738843513,3.90773327459922,5.79975855390872,1.70767979137926,0.654286438406357,5.11088072850646,4.00511244583995,0.0150029018508288,2.65445815835136,4.1851027616627,8,0.0473263235132863,3.37042248713361,-2.95073678139564,4.91811089292111,11.4795878071585,4.91811089292111,11.6675392551939,10.520335364182,0.01114994002831,1856.66283333333,0,5.59286385283553,6.45567960373776,0,-45.0297262736944,2.17674907309037,-0.526270858666843,325.781220448126,0.245688575045041,32.5581395348837,14.0785528827613,5.152427340857888
20,9,19.5591124169791,110.910406475419,0.7521839904,20.6782578714763,2.08794321269317,0.115396358000517,0.175585200422905,3.90947376821854,5.80231649066716,1.8643994809495,1.32457810375269,4.36715160679809,6.59591062064236,0.0107387352149461,2.7950907312222,4.18580476863687,8,0.0613154364859349,3.45224192124438,-3.16493362955846,5.51054217360109,12.0327074329725,5.51054217360109,12.1512615496731,11.1692000624167,-0.151430425852258,2515.73506666667,0,6.73539090185177,7.00645472437555,0,-114.747886739846,2.5,-0.569280643152137,392.102783343966,0.270489707593867,28.2608695652174,14.1995296824869,5.079876673709276
28,15,41.4252645210591,122.394117853702,0.767293484516129,41.7683658090263,2.09898601626382,0.0959822119974778,0.37857047477988,3.92009640971864,5.80450455555129,2.16993348096179,1.50118679489295,8.88453871772025,10.3980100251704,0.0104721048351113,3.08219030360145,4.19672464017812,10,0.21320043296857,3.5192062657597,-9.03732534302529,6.38210842523171,17.7856319288267,6.38210842523171,17.5208428320602,17.7773314712468,0.37723258562145,4356.28336666667,1,7.95673615067255,8.85366692665557,0,-64.3927721089624,2.58268471237625,-0.57469441160839,598.873022288507,0.285213870850789,32.7586206896552,14.2153059857467,5.634512015109101
31,13,30.7297110743541,115.383255058278,0.697954366060606,29.8865067090001,2.09964145368162,0.130249133270545,0.361985141263343,3.9204378717805,5.80532074146577,2.13628439574805,1.55696247010855,6.04925023429303,8.50258822359166,-0.0228413608105929,3.09612953335169,4.19680186351573,10,0.159713366299695,3.477976354131,-8.9363302238406,6.32925033821234,14.7580935261217,6.32925033821234,14.5884381133365,14.1296671934205,0.247300984085387,4003.66846666667,0,7.70787676817763,8.80460346425946,0,-80.299654995582,2.56595606887146,-0.710698084539975,563.414007025522,0.378725006332772,33.3333333333333,14.1305250777925,4.522878745280337
32,13,33.7572566556849,115.383255058278,0.699866145454545,35.3387240997859,2.09963830267315,0.130412421036889,0.457988222165116,3.92037583929875,5.80520061993716,2.18747228696499,1.86106589090478,8.84901700600648,7.80135293750855,-0.0228413608105929,3.14299016728367,4.19679339203842,11,0.268470528987461,3.48613230093219,-8.81752647485968,6.49417609521297,17.3519386165103,6.49417609521297,17.0856172523149,17.2998279109371,0.294288092813426,4093.66846666668,0,7.70776568109844,8.96277063942157,0,-78.3207625044076,2.56578982367522,-0.605540601926813,574.897845507201,0.326955668964939,33.3333333333333,14.1253913421836,4.672028376376989
18,9,17.1073042839757,110.910406475419,0.7521839904,16.915393007153,2.08635950387746,0.160380919819661,0.118007011238109,3.90700026330762,5.79884938551017,1.54687440356713,0.670808226395359,2.16831378707832,4.16071149353949,0.021138522219689,2.48265209085269,4.18456767792944,8,0.0364606052749279,3.30827630775328,-2.7399813720788,3.67142699205507,9.36216878353295,3.67142699205507,9.51083583811969,7.90724989533565,0.197279403805375,1164.761,0,4.43856307725542,5.11902267388292,0,-11.2241287513735,1.18271162808874,-0.384017797395764,233.238931354136,0.210372604194894,37.5,13.9638071213314,6.070581074285707
18,9,17.0604348137645,110.910406475419,0.7521839904,17.2891347320739,2.08646359850713,0.146777119096961,0.116429286193231,3.90800075443205,5.80041278783193,1.64066676710757,0.670478590736808,2.3005589188337,4.33209873170574,0.0195365503887606,2.59028731357905,4.18472902531285,8,0.0390667834016745,3.31456479369265,-2.74081276055174,4.43901142022849,9.95894210740069,4.43901142022849,10.1601125119346,8.70727595897592,0.272648016679868,1443.21686666667,0,5.06412157451002,5.79815756513171,0,-12.5561871768197,1.26965181965503,-0.496428267782636,273.614838964402,0.216167415949094,32.5,14.0855930997732,5.139063379299906
18,9,17.0381499057187,110.910406475419,0.7521839904,17.6237355769322,2.08645048357548,0.14938087488123,0.11715081974346,3.90778671494238,5.79999717021308,1.76974365320093,0.695649360055718,2.29670448173302,4.42620459952364,0.0195365503887606,2.7168928583341,4.18471358647395,8,0.0365053620366297,3.31422971602805,-2.74154156412825,4.96257486685741,10.4280375920944,4.96257486685741,10.5869479801858,9.32573612090379,0.151083466729025,1443.21686666667,0,5.06385633461498,5.79557366745339,0,-26.7264062186,1.18280768840508,-0.528965133914328,273.44995415053,0.223759786270717,32.5,14.0536244579638,6.337242168318426
