F06[C-C],F03[C-N],L1v,P_VSA_p_2,L1p,HOMA,SpMin1_Bh(p),H6v,RNCG,Tv,H6p,L1e,SpMax_B(v),RDF115v,Tp,SpDiam_B(v),SpMax_B(p),Eig07_EA,SM15_AEA(bo),HOMT,H4s,SpDiam_B(p),TPSA(Tot),H6i,RDF060p,Eig07_AEA(ri),TPSA(NO),SpMin1_Bh(e),SpMax5_Bh(i),VE3sign_RG,F05[C-C],F05[C-N],DP15,MATS1p,SpMax1_Bh(e),Eig07_EA(ed),H7v,RDF145s,SM02_AEA(ri),DP18,H7u,L1u,SP18,DP16,F06[C-N],DP20,DP19,CATS3D_14_AP,Mor19p,GGI2,Eig12_EA,SM5_RG,RDF115m,T(N..Cl),SM3_Dz(p),ALOGP2,MATS4m,J_D/Dt,alvo
15,11,23.1714010109862,128.921157158449,23.555285053707,0.850856193043478,2.08506564352015,0.141964595531544,0.146303706524086,26.5580984239565,0.15880194206667,23.6844635741049,3.90638582015433,3.34171270280855,27.1547243363671,5.7978889352845,3.87186479961633,1.65056858795789,1.65056858795789,19.56969244,4.8127855081038,5.81119089889248,97.34,0.788637323596249,6.08128424431615,2.61366209016839,97.34,1.94701175215642,3.35627898226896,-2.87835690274128,16,10,12.1464007320029,0.0284157833057165,4.13476947844667,4.54804515296877,0.0878469336277225,6.49500945206258,4.54804515296877,11.5809895042002,0.324153730278952,23.5692185106018,11.6489991462307,12.0105750431638,11,10.9581006899694,11.2925485747106,0,-0.164833499149156,2.66666666666667,0.730304323173698,6.51476304632542,4.32774191717036,61,15.111513714727,8.65183395999999,0.0022722208729902,13.0031212464328,5.300162274132754
15,11,23.224999464125,128.921157158449,23.5995943753316,0.850856193043478,2.08490830692647,0.150671603467981,0.143091485721548,26.7842586735816,0.171695238080505,23.6522769185321,3.90682234904245,3.04933271434724,27.3705223012329,5.79839133612776,3.87254010311743,1.6541474936615,1.6541474936615,19.56969244,5.23464085869018,5.81190257626986,97.34,0.786733808017493,5.91553921196361,2.61412583515198,97.34,1.94687157595382,3.35627827341651,-2.87876394815035,16,10,12.1727949648262,0.0381293583886995,4.13483276261313,4.64917308397103,0.0870153145802214,8.66883721531779,4.64917308397103,11.6181335429787,0.318496381162543,23.5279845771527,11.7050866714065,12.0401710140387,11,11.0039909753229,11.3339364150382,0,-0.261588233695711,3.55555555555555,0.73039512755186,6.47908318732587,3.28486148366411,116,15.2600001342999,13.00179364,-0.116490779083007,13.3525044213898,5.896196279044043
18,9,20.4662462782889,110.910406475419,19.2315483185911,0.7521839904,2.08691350922283,0.114285496880584,0.134307147447364,24.6441829697795,0.132501738843513,22.1942821615042,3.90773327459922,5.11088072850646,23.4685356640181,5.79975855390872,3.87355301843376,1.70767979137926,1.70767979137926,18.80459976,10.5172750657341,5.81317139359221,85.31,0.654286438406357,4.00511244583995,2.65445815835136,85.31,1.95693910680322,3.37042248713361,-2.95073678139564,20,7,11.830111652135,0.0150029018508288,4.13611027358504,4.91811089292111,0.0473263235132863,14.1338281500659,4.91811089292111,11.1881161202582,0.248988962168937,21.1136574238499,11.2382001101357,11.6675392551939,9,10.520335364182,10.8766096054054,0,-0.0695452054176433,4.22222222222222,1.0,6.54037421245782,9.68555446491067,0,15.5317324388593,10.96338321,-0.200191752825826,13.0619887441139,5.152427340857888
20,9,20.6782578714763,110.910406475419,19.5591124169791,0.7521839904,2.08794321269317,0.242146236483971,0.115396358000517,25.2700951566376,0.175585200422905,22.2753781538599,3.90947376821854,4.36715160679809,24.0302588886244,5.80231649066716,3.87582010879288,1.8643994809495,1.8643994809495,18.80459976,11.7521165834648,5.81591053382654,85.31,1.32457810375269,6.59591062064236,2.7950907312222,85.31,1.96087958196653,3.45224192124438,-3.16493362955846,19,9,12.271580551433,0.0107387352149461,4.13715317494677,5.51054217360109,0.0613154364859349,3.90717279649051,5.51054217360109,11.7556157500785,0.328382050177513,21.3613562064341,11.8324372108817,12.1512615496731,8,11.1692000624167,11.4851743374703,0,-0.0092184532185718,4.88888888888888,1.04221561928157,6.60419642975461,7.6058624980956,0,16.2058373493389,18.09141156,-0.198943144091271,14.3129883673366,5.079876673709276
28,15,41.7683658090263,122.394117853702,41.4252645210591,0.767293484516129,2.09898601626382,0.367001064359396,0.0959822119974778,46.5502738906591,0.37857047477988,42.3843035043506,3.92009640971864,8.88453871772025,46.0971909996826,5.80450455555129,3.88980456299471,2.16993348096179,2.16993348096179,23.78609802,17.5899411596486,5.81414767986047,87.53,1.50118679489295,10.3980100251704,3.08219030360145,87.53,1.96618249118858,3.5192062657597,-9.03732534302529,28,12,17.3275405001416,0.0104721048351113,4.15258409381371,6.38210842523171,0.21320043296857,79.137815023977,6.38210842523171,17.7471200364215,0.579526958931565,41.3797550936991,17.8907702348565,17.5208428320602,14,17.7773314712468,17.785532451705,0,-0.0309213675279126,4.66666666666666,1.23775935357785,6.88495237068742,12.5032495365218,52,17.3514020270588,36.31870225,0.0650911089863601,14.2020356796956,5.634512015109101
31,13,29.8865067090001,115.383255058278,30.7297110743541,0.697954366060606,2.09964145368162,0.363053586660236,0.130249133270545,35.6719857877494,0.361985141263343,30.8513981944677,3.9204378717805,6.04925023429303,36.2762210093564,5.80532074146577,3.89016177419709,2.13628439574805,2.13628439574805,23.03249408,11.3078691581436,5.814826737443,84.73,1.55696247010855,8.50258822359166,3.09612953335169,84.73,1.96921978562015,3.477976354131,-8.9363302238406,32,9,14.5750918760814,-0.0228413608105929,4.15293818944346,6.32925033821234,0.159713366299695,24.7997013784712,6.32925033821234,14.4563282232166,0.586961458189117,31.3910777082407,14.6815683511649,14.5884381133365,11,14.1296671934205,14.3161559857691,0,0.0345930268586582,4.0,1.23331159900517,6.90372197282873,6.81225530395404,0,17.2926789627915,43.97679225,0.0020089180132378,14.2087024718916,4.522878745280337
32,13,35.3387240997859,115.383255058278,33.7572566556849,0.699866145454545,2.09963830267315,0.460210790544213,0.130412421036889,39.9410141605182,0.457988222165116,37.9109168852261,3.92037583929875,8.84901700600648,38.6137705418998,5.80520061993716,3.89009636705327,2.18747228696499,2.18747228696499,23.0955828,11.5072881870278,5.81470678117088,84.73,1.86106589090478,7.80135293750855,3.14299016728367,84.73,1.96924880068132,3.48613230093219,-8.81752647485968,31,9,16.9014278910576,-0.0228413608105929,4.15291842123682,6.49417609521297,0.268470528987461,15.979599105044,6.49417609521297,17.2921011561346,0.824673029975919,36.418148763379,17.4404154347628,17.0856172523149,10,17.2998279109371,17.3196415337177,0,0.0759543439022484,4.22222222222222,1.16008945968776,6.90036275261725,11.6281789311533,0,17.3420044116507,43.97679225,-0.033617717555558,13.7850266805515,4.672028376376989
18,9,16.915393007153,110.910406475419,17.1073042839757,0.7521839904,2.08635950387746,0.095276482753478,0.160380919819661,20.6346846679517,0.118007011238109,18.1957709970769,3.90700026330762,2.16831378707832,21.0445826639632,5.79884938551017,3.87266572847961,1.54687440356713,1.54687440356713,18.80459976,4.32809757838478,5.8121775097366,85.31,0.670808226395359,4.16071149353949,2.48265209085269,85.31,1.95456125147942,3.30827630775328,-2.7399813720788,19,7,9.78729049292271,0.021138522219689,4.13537406950618,3.67142699205507,0.0364606052749279,0.588299865331115,3.67142699205507,8.80372164679005,0.238332163160042,18.2283464971521,9.00158065891688,9.51083583811969,8,7.90724989533565,8.37806007549741,0,-0.038270542936663,2.88888888888889,0.729753547836367,6.49373071612094,2.33446897876309,0,14.3668913147902,5.61121344,-0.100124543226359,12.9507483275915,6.070581074285707
18,9,17.2891347320739,110.910406475419,17.0604348137645,0.7521839904,2.08646359850713,0.0973330979808659,0.146777119096961,21.0868522344094,0.116429286193231,18.5076180809982,3.90800075443205,2.3005589188337,21.0118152603815,5.80041278783193,3.87384900224309,1.64066676710757,1.64066676710757,18.80459976,8.69496014814417,5.81373161063582,85.31,0.670478590736808,4.33209873170574,2.59028731357905,85.31,1.95261233321547,3.31456479369265,-2.74081276055174,19,7,10.3988642054279,0.0195365503887606,4.13567972215277,4.43901142022849,0.0390667834016745,9.0473085894016,4.43901142022849,9.52831979825415,0.233284027903281,18.249133037548,9.64137966066694,10.1601125119346,8,8.70727595897592,9.14034465268985,0,-0.102379206825641,3.55555555555555,0.730064939559504,6.44396424688697,2.55577509879153,0,14.9943652090922,7.72728804,-0.0686963855332927,13.328340420867,5.139063379299906
18,9,17.6237355769322,110.910406475419,17.0381499057187,0.7521839904,2.08645048357548,0.102234324113711,0.14938087488123,21.4501850711874,0.11715081974346,18.8486149217829,3.90778671494238,2.29670448173302,20.9867591094951,5.79999717021308,3.87359985686202,1.76974365320093,1.76974365320093,18.80459976,9.26518578522327,5.81334172719985,85.31,0.695649360055718,4.42620459952364,2.7168928583341,85.31,1.95275635981431,3.31422971602805,-2.74154156412825,19,7,10.7820708944303,0.0195365503887606,4.13564826919976,4.96257486685741,0.0365053620366297,11.0852634761887,4.96257486685741,10.0479959333218,0.237844444126045,18.305509186485,10.1611236005454,10.5869479801858,8,9.32573612090379,9.70877596116544,0,-0.151108286257499,3.11111111111111,0.729822584195492,6.44764512332468,4.08300440067518,0,14.9931503946902,7.72728804,-0.0077218851789241,13.3324932133349,6.337242168318426
