F03[C-N],SpMin1_Bh(p),F06[C-C],F05[C-N],F06[O-S],alvo
10,2.06619545627947,25,7,1,6.431798275933005
9,2.0860263639504,18,7,0,6.468521082957745
9,2.08573258080707,18,7,0,5.388276691992658
9,2.0863418790973,18,7,0,5.6439741428068775
9,2.08594024176855,18,7,0,6.1249387366083
9,2.0870028368817,19,8,0,5.681936665037238
12,2.09330762417941,29,13,0,5.882728704344236
12,2.09496805780448,30,15,0,6.7447274948966935
11,2.08521245223812,15,10,0,5.943095148663527
11,2.08525417543728,15,10,0,6.036212172654444
11,2.08506564352015,15,10,0,5.300162274132754
11,2.08490830692647,15,10,0,5.896196279044043
9,2.08691350922283,18,7,0,5.152427340857888
9,2.08794321269317,20,9,0,5.079876673709276
15,2.09898601626382,28,12,0,5.634512015109101
13,2.09964145368162,31,9,0,4.522878745280337
13,2.09963830267315,32,9,0,4.672028376376989
9,2.08635950387746,18,7,0,6.070581074285707
9,2.08646359850713,18,7,0,5.139063379299906
9,2.08645048357548,18,7,0,6.337242168318426
9,2.08559786896648,18,7,0,6.1938200260161125
9,2.08575397895544,18,7,0,5.91721462968355
9,2.08571046051047,18,7,0,5.531652669587842
13,2.100315590279,34,10,0,4.522878745280337
13,2.1001994768437,33,11,0,4.522878745280337
13,2.09968011700452,32,9,0,5.023650020996727
15,2.09889675568643,28,12,0,5.133122185662502
15,2.09881867871683,28,12,0,4.799149501908922
15,2.09885133000887,28,12,0,5.350665141287858
15,2.0990711683359,28,12,0,5.367542707815276
15,2.09906885319117,29,13,0,5.521433504406157
15,2.09921921010724,28,12,0,5.681936665037238
11,2.08507729453642,15,10,0,5.36251027048749
11,2.08504544582534,15,10,0,5.333482019445119
11,2.08546367246724,15,10,0,5.281498311132726
11,2.08545128357926,16,11,0,5.958607314841775
11,2.08584475145002,15,10,0,5.042871802323187
11,2.08526639805938,15,10,0,4.9503943874050265
11,2.0854202267248,16,11,0,5.568636235841013
11,2.08524944045023,15,10,0,5.522878745280337
14,2.09228447187331,24,15,0,5.701146923590294
14,2.09242824118356,24,15,0,5.235077015350112
14,2.09103003531457,24,15,0,6.769551078621726
14,2.0913009199319,24,15,0,5.723538195826756
14,2.09122472469306,24,15,0,7.221848749616356
14,2.0917472751288,24,15,0,5.809668301829708
14,2.09126142626994,24,15,0,6.4089353929735005
14,2.09224919650276,24,15,0,5.703334809738469
9,2.08706497115682,19,8,0,5.671620396561262
9,2.08728002724137,20,7,0,4.997402019280091
9,2.08647931227245,18,7,0,4.861697301833718
9,2.08651415006922,19,8,0,5.85078088734462
9,2.08769753705472,20,9,0,6.086186147616283
9,2.08647003622582,19,7,0,6.366531544420414
9,2.08656870304183,19,7,0,5.4156687756324695
12,2.09305075387095,28,13,0,5.966576244513051
12,2.09301384624112,27,12,0,5.823908740944319
14,2.09161171450811,24,15,0,5.425968732272281
14,2.09324728909685,25,16,0,6.356547323513813
9,2.08668915621692,20,7,0,5.812479279163537
12,2.093654664768,27,12,0,6.251811972993799
12,2.09502005934863,29,14,0,5.935542010773082
12,2.09385106569626,28,13,0,5.943095148663527
14,2.09246748562478,24,15,0,6.022276394711152
12,2.09299346952684,28,12,0,6.356547323513813
14,2.09244823997926,25,15,0,5.421360790031928
14,2.09422151040059,26,17,0,6.920818753952375
14,2.09229262573043,24,15,0,5.85078088734462
14,2.09243623032813,24,15,0,5.7121982700697735
14,2.09123414170093,24,15,0,7.522878745280337
12,2.09470000639501,29,14,0,5.785156151952302
13,2.09920015290761,31,9,0,4.522878745280337
13,2.0994241493746,31,9,0,5.094743951251549
13,2.09927559450978,31,9,0,5.13430394008393
9,2.08794145987161,21,8,0,5.563837352959244
12,2.09283659612082,27,12,0,5.935542010773082
12,2.09297577905092,27,12,0,6.346787486224656
12,2.09162207236245,27,12,0,4.633017024022149
