F06[C-C],F03[C-N],TPSA(Tot),RNCG,L1v,HOMA,F05[C-N],P_VSA_p_2,SM15_AEA(bo),SpMax_B(v),H6p,Tv,H4s,Eig07_EA,SpMax_B(p),SpDiam_B(v),SpDiam_B(p),RDF115v,L1e,H6i,Eig07_AEA(ri),RDF060p,SpMin1_Bh(e),TPSA(NO),CATS3D_02_AL,VE3sign_RG,SpMax1_Bh(i),SM02_AEA(ri),SpMax5_Bh(i),RDF145s,F06[C-N],DP18,SpMax1_Bh(e),H7u,H7v,DP20,Eig12_EA(ri),DP19,SP07,B05[N-O],DISPe,RDF025p,ATSC1e,B04[N-F],Mor20v,VE1sign_B(m),SpMax_EA(ed),J_RG,SpMin1_Bh(s),R8p+,HyWi_X,alvo
25,10,100.3,0.150586894151745,7.31397812032684,0.777438276923076,7,119.433935643089,2.04175179551789,3.96559315824151,0.0963908390735381,15.321535096307,16.6410466054512,2.04175179551789,3.95496578428625,5.87591823825168,5.88740643086387,0.262611783405263,7.28979730989835,0.696593077904272,2.97861760223671,22.0702502034002,1.98635321747897,91.92,5,-4.17522430973857,4.17947390944095,6.06520454741165,3.46639436599873,0.0,9,4.66274064050154,4.1515181027797,0.139915815933435,0.0328660076724958,3.3528975433896,1.0,4.02441907857274,8.16602455998164,1,0.251301111165298,20.9575124737321,0.193463836401385,0,1.47052386326863,0.0678837867516793,11.6756338375373,144.961614525484,1.27310638525443,0.0117327050420475,2.5191630567601,6.431798275933005
18,9,85.31,0.153070870033617,18.9492209314067,0.7521839904,7,110.910406475419,1.54755973755737,3.90790530332113,0.131162838760754,22.656809117069,5.97112074593844,1.54755973755737,3.87394118668875,5.80003843451148,5.81360215202647,2.49638729108369,19.2647252421217,0.671057120493831,2.48375978133153,4.02813649783267,1.95307888375824,85.31,4,-2.74115419292797,4.18462279930907,3.67563296206769,3.314174691162,7.42023348909804,8,10.6045556309853,4.13557734323005,0.237653187417651,0.0404797458838575,9.92573017139542,0.679503139922546,10.2872707254012,10.0768033741531,0,0.303474110341737,18.5666082396984,0.132497114368751,0,1.25843247780182,0.160346790847805,11.2013783960257,108.007732803765,1.15208298654351,0.0132543805138671,2.34460047801663,6.468521082957745
18,9,85.31,0.150630953418243,19.0328634219781,0.7521839904,7,110.910406475419,1.78229778538887,3.90902373291,0.139840402456291,23.1010011262075,6.80479008158369,1.78229778538887,3.87594617072494,5.80154557549116,5.8157631103903,3.04776354353789,19.253656128923,0.674238014629608,2.70683956370264,4.02025970796527,1.95258147595368,85.31,4,-2.74268029692436,4.1846125907593,5.22488835159337,3.31379490517628,8.40586969078612,8,10.5756802184287,4.1356640447088,0.238733230071688,0.0407787359887795,9.89465536984442,0.679515658687581,10.2571865829769,10.0846588957815,0,0.423213220361645,18.4992528663436,0.171506086400001,0,1.31717479710244,0.141755169160436,11.201383054149,109.829972265725,1.15209556936322,0.0147069290618325,2.37319911413999,5.388276691992658
18,9,85.31,0.159800840019806,20.1442680959814,0.7521839904,7,110.910406475419,1.54755973755737,3.90799891767132,0.145548899779305,24.0966731317824,5.88730114211353,1.54755973755737,3.87420408920662,5.80009732348639,5.81383171869221,2.61057977698656,21.2777202210934,0.662008624910751,2.48383255587962,4.03743669080994,1.95747220831746,85.31,4,-2.95585926589957,4.18495225322104,3.67563296206769,3.35359310978206,6.78264405708544,9,10.6313707798835,4.13596277149691,0.253419025244891,0.0485405129441552,9.95268370739051,0.679517274752758,10.3142224127877,10.0952126273154,0,0.0567746201532894,20.5389966434788,0.0647197031909148,0,1.2982093606094,0.165011296927125,11.2013783960257,119.270997643257,1.15993432409082,0.010731769271948,2.34460047801663,5.6439741428068775
18,9,85.31,0.163573424861437,18.5234552832771,0.7521839904,7,110.910406475419,1.54755346745117,3.90737605429951,0.124495187771319,22.4940767426887,4.62598664061148,1.54755346745117,3.87337050789927,5.79929033303554,5.81291036290411,3.48794566217624,18.604781762698,0.661822441775028,2.48362658442028,4.05301436860767,1.95408266064458,85.31,4,-2.74127406481273,4.18454361700854,3.67452144824141,3.305992187273,1.69926760753675,8,9.92987583549807,4.13542073287751,0.239261414497417,0.0458679651156349,9.16697303247559,0.679464539049028,9.57078444965445,9.88167816109283,0,0.0389608289279698,18.436951229423,0.0666189369250012,0,1.08941408096986,0.161376802352776,11.2013754460321,107.473382052763,1.15285009951576,0.0179653577281751,2.3151598201551,6.1249387366083
19,9,85.31,0.134243550335054,21.1613743533249,0.7521839904,8,110.910406475419,1.69651910641302,3.90785843774006,0.132123587278673,24.7066277533379,9.35848355501896,1.69651910641302,3.87370951016758,5.79995619025425,5.81337402654049,3.52656049759849,23.0520678675773,0.828063464276495,2.65271307273733,4.7733647723058,1.95712618473005,85.31,4,-2.950406947182,4.18513320157173,4.83133959414419,3.36976264907078,0.261130536745629,8,11.8697155400072,4.13616032971546,0.279161998156336,0.0489198733681286,11.285576218975,0.951805957551812,11.600683651314,10.6710455383813,0,0.561469476605332,20.7840028959633,0.211287318117902,0,1.33755054052322,0.16380455718362,11.698616831491,120.418925436644,1.15495211650521,0.0085660023934441,2.39627611243924,5.681936665037238
29,12,97.62,0.110475722938088,45.5405471390169,0.738783943030303,13,132.168784606408,2.35718527862919,3.91377484368388,0.415895156765159,49.8739500976107,20.1871468887152,2.35718527862919,3.88002156786439,5.81486937916492,5.82974957719216,9.62338466451644,48.4910813293805,1.9588830259971,3.29346031182826,9.86613975404913,1.95774810700654,97.62,8,-7.65122073383183,4.19186695281194,7.071334727584,3.49802046559818,74.4385390783607,14,19.7661809938392,4.14444666507868,0.708920908724766,0.239263668543801,20.0156906744951,1.3250293459989,19.914519115551,13.909191580605,1,0.242281228724311,28.276256912733,0.543460820591785,0,1.99747094436862,0.18262873220052,12.188955861591,185.971510026158,1.15656183238887,0.0104754075181615,2.74941406084914,5.882728704344236
30,12,88.39,0.096258603742711,41.4681164417656,0.740322333939394,15,121.168896718802,2.26834921038088,3.91481216108337,0.417686216989039,46.2898436980635,18.0837857633435,2.26834921038088,3.8815030518489,5.81701604853122,5.83191537005261,9.63645191590146,43.9978602163825,1.85949911487972,3.22120021489705,11.1923518674152,1.96219070540602,88.39,6,-5.93800291090434,4.19282890639965,6.60116699146359,3.48154758637916,32.2989394469648,14,17.6555473913302,4.14547681139231,0.769103067327394,0.222509637903099,17.6750657633503,1.29745983469001,17.6886576750092,13.016128908229,1,0.887253755213074,32.0545297124104,0.207110534565979,0,1.95138399814116,0.0814094006710847,12.188955861607,189.767584756175,1.19278791920843,0.0107150392239084,2.68902593685278,6.7447274948966935
15,11,97.34,0.145390832683488,22.0362947838956,0.850856193043478,10,128.921157158449,1.54702149620521,3.90619885937806,0.154478541941262,25.1676972378121,4.29237411166693,1.54702149620521,3.87161244427657,5.79768497476451,5.81092879741412,2.58543689283405,23.3127698431065,0.800332615472111,2.48281447872464,6.17871750899665,1.94714833430867,97.34,3,-2.87734253881981,4.18427839213182,3.67237046097541,3.35636632026297,6.67425153842937,11,11.1368923574344,4.13471956513554,0.322451379140471,0.0781112142611241,10.4906782022969,0.679718727310907,10.8365690526097,10.4613532920085,0,0.150503906077817,17.3818564781758,0.0664665500510217,0,1.46979986304107,0.170150049955389,11.2013060649246,114.942643212894,1.14902977722684,0.0089949112517729,2.32228743990208,5.943095148663527
15,11,97.34,0.133763223895318,22.8631813169876,0.850856193043478,10,128.921157158449,1.71104761281999,3.90661078942767,0.151271089185397,26.0510104374739,9.64276044548635,1.71104761281999,3.87205574203491,5.79819064465882,5.81144540858591,3.00930550608103,24.064987239305,0.837215633773858,2.66552241356662,6.20128835865412,1.94677418614307,97.34,3,-2.87763334426732,4.18439485707832,4.90686711179175,3.35758667251441,4.02256270927796,11,12.2831501067824,4.13491354437138,0.320566001149159,0.0857255302632834,11.7940769881592,0.679775301957316,12.0607759576813,10.692168855189,0,0.329430628263058,17.2973229986502,0.181178919642858,0,1.49367621594696,0.159536005825528,11.2013072871907,116.667723635635,1.14894234328245,0.0088989736732653,2.37785933943984,6.036212172654444
