F03[C-N],TPSA(Tot),HOMA,L1v,RNCG,Eig07_EA,P_VSA_p_2,H6p,SM15_AEA(bo),F06[C-N],SpMax_B(p),RDF115v,H6i,SpDiam_B(v),L1e,CATS2D_06_LL,Eig07_AEA(ri),RDF060p,MATS1p,HOMT,F05[C-N],F05[C-C],SpMin1_Bh(e),SpMax1_Bh(i),VE3sign_RG,SpMax5_Bh(i),RDF145s,Eig07_EA(ed),SpMax1_Bh(e),H7v,DP15,H7u,F01[C-N],Eig12_EA(ri),CATS3D_02_AL,DP18,H5s,HTe,SM11_AEA(ri),G2i,SM3_B(m),R1v+,HyWi_B(v),SM5_B(m),MATS7e,ATSC3i,IDE,SM14_EA(ri),Mor31e,RDF080p,F07[C-S],R5m+,CATS3D_16_PL,TDB02i,alvo
10,100.3,0.777438276923076,7.31397812032684,0.150586894151745,2.04175179551789,119.433935643089,0.0963908390735381,2.04175179551789,9,3.95496578428625,0.262611783405263,0.696593077904272,5.87591823825168,7.28979730989835,9,2.97861760223671,22.0702502034002,-0.0385384310153089,20.2133952,7,26,1.98635321747897,4.17947390944095,-4.17522430973857,3.46639436599873,0.0,6.06520454741165,4.1515181027797,0.0328660076724958,6.32586984103322,0.139915815933435,5,1.0,5,4.66274064050154,7.25195016895343,37.5913197501984,4.57598580398284,0.159572475390038,6.11910980646429,0.0662736387952957,4.36805490881662,8.74959147208963,0.145152659743963,1.78531394120338,3.73703493181645,16.9960416134296,0.291133326668477,8.52522168663144,2,0.0273866333407839,0,2.73010204568385,6.431798275933005
9,85.31,0.7521839904,18.9492209314067,0.153070870033617,1.54755973755737,110.910406475419,0.131162838760754,1.54755973755737,8,3.87394118668875,2.49638729108369,0.671057120493831,5.80003843451148,19.2647252421217,7,2.48375978133153,4.02813649783267,0.0267416993365248,18.80459976,7,19,1.95307888375824,4.18462279930907,-2.74115419292797,3.314174691162,7.42023348909804,3.67563296206769,4.13557734323005,0.0404797458838575,11.2688363968308,0.237653187417651,10,0.679503139922546,4,10.6045556309853,3.5980744808059,27.1620057647537,4.60938577841752,0.158179590939782,5.81774738529199,0.0652097703588921,4.17621027786381,8.29508608700045,-0.0246689666086206,1.26734606855,3.59047167672462,15.9863788205837,0.23592615385268,5.63767372429023,0,0.0617153377617265,0,2.74938757596309,6.468521082957745
9,85.31,0.7521839904,19.0328634219781,0.150630953418243,1.78229778538887,110.910406475419,0.139840402456291,1.78229778538887,8,3.87594617072494,3.04776354353789,0.674238014629608,5.80154557549116,19.253656128923,5,2.70683956370264,4.02025970796527,0.0336337887759437,18.80459976,7,19,1.95258147595368,4.1846125907593,-2.74268029692436,3.31379490517628,8.40586969078612,5.22488835159337,4.1356640447088,0.0407787359887795,11.2454507584093,0.238733230071688,10,0.679515658687581,4,10.5756802184287,3.611221198364,27.8031149368999,4.60938668565522,0.158179590939782,5.93036580994188,0.0647664941880257,4.21104698456293,8.43348331981007,-0.0233971202294694,1.22472539255,3.60932103503753,16.022649505834,0.166790130861954,5.30183758990754,0,0.0617770462469237,0,2.76453068037485,5.388276691992658
9,85.31,0.7521839904,20.1442680959814,0.159800840019806,1.54755973755737,110.910406475419,0.145548899779305,1.54755973755737,9,3.87420408920662,2.61057977698656,0.662008624910751,5.80009732348639,21.2777202210934,7,2.48383255587962,4.03743669080994,0.0222604784196788,18.80459976,7,20,1.95747220831746,4.18495225322104,-2.95585926589957,3.35359310978206,6.78264405708544,3.67563296206769,4.13596277149691,0.0485405129441552,11.2943048643727,0.253419025244891,10,0.679517274752758,4,10.6313707798835,3.76957491633552,27.7566717707802,4.60938577841753,0.167560109227301,5.80254676309351,0.0641601079156527,4.18336444113322,8.28141899159937,-0.152294618036355,1.21791371879935,3.59047167672462,16.0194570616541,0.340620229037575,5.93652901658873,0,0.0527294099288485,0,2.7049285158527,5.6439741428068775
9,85.31,0.7521839904,18.5234552832771,0.163573424861437,1.54755346745117,110.910406475419,0.124495187771319,1.54755346745117,8,3.87337050789927,3.48794566217624,0.661822441775028,5.79929033303554,18.604781762698,9,2.48362658442028,4.05301436860767,0.0266470284477692,18.80459976,7,19,1.95408266064458,4.18454361700854,-2.74127406481273,3.305992187273,1.69926760753675,3.67452144824141,4.13542073287751,0.0458679651156349,10.7162110551746,0.239261414497417,10,0.679464539049028,4,9.92987583549807,2.90530592533937,25.9917281968064,4.60938516014864,0.171240638681063,6.40528611027628,0.0797105713513688,4.15501144546287,9.83112352605376,-0.0147087273926928,1.1548866346875,3.5631852294703,15.9407822889824,0.183934455596281,4.5415826791062,0,0.0660712364734715,0,2.71458081870559,6.1249387366083
9,85.31,0.7521839904,21.1613743533249,0.134243550335054,1.69651910641302,110.910406475419,0.132123587278673,1.69651910641302,8,3.87370951016758,3.52656049759849,0.828063464276495,5.79995619025425,23.0520678675773,9,2.65271307273733,4.7733647723058,0.0150029018508288,18.80459976,8,19,1.95712618473005,4.18513320157173,-2.950406947182,3.36976264907078,0.261130536745629,4.83133959414419,4.13616032971546,0.0489198733681286,12.3768897258756,0.279161998156336,10,0.951805957551812,4,11.8697155400072,5.26748678611644,30.1853552872387,4.60938562953271,0.155611391402494,5.79861153543124,0.0593611237759827,4.22280475771018,8.23825195688077,-0.0441171351419569,1.55521647199567,3.6596272062237,16.2378587938572,0.20468709470574,4.9860351781567,0,0.0223718542913948,0,2.84175956347838,5.681936665037238
12,97.62,0.738783943030303,45.5405471390169,0.110475722938088,2.35718527862919,132.168784606408,0.415895156765159,2.35718527862919,14,3.88002156786439,9.62338466451644,1.9588830259971,5.81486937916492,48.4910813293805,9,3.29346031182826,9.86613975404913,-0.0391212572387991,24.37987012,13,28,1.95774810700654,4.19186695281194,-7.65122073383183,3.49802046559818,74.4385390783607,7.071334727584,4.14444666507868,0.239263668543801,19.0139147907933,0.708920908724766,11,1.3250293459989,8,19.7661809938392,12.8913022155308,45.3399003747584,4.61591205179798,0.168094042296078,6.24994382987581,0.0606131121730115,4.59483875112825,8.69889585202014,-0.0704689204505476,2.12430338817294,4.26490923444403,16.5082731117218,0.308087219116348,6.26995731998758,0,0.026741411888587,0,2.91800561055353,5.882728704344236
12,88.39,0.740322333939394,41.4681164417656,0.096258603742711,2.26834921038088,121.168896718802,0.417686216989039,2.26834921038088,14,3.8815030518489,9.63645191590146,1.85949911487972,5.81701604853122,43.9978602163825,9,3.22120021489705,11.1923518674152,-0.0117000875686904,24.43063702,15,27,1.96219070540602,4.19282890639965,-5.93800291090434,3.48154758637916,32.2989394469648,6.60116699146359,4.14547681139231,0.222509637903099,17.251358787584,0.769103067327394,11,1.29745983469001,6,17.6555473913302,8.75691216044549,43.1189029714114,4.61593968441776,0.169729146549653,6.16776315707019,0.0590442455784654,4.54909562960823,8.62788407343139,-0.0775320988884509,2.01246583438861,4.09764626926804,16.5705452163944,0.346207681816088,6.83551051672163,0,0.0236160029792645,0,2.77349642726804,6.7447274948966935
11,97.34,0.850856193043478,22.0362947838956,0.145390832683488,1.54702149620521,128.921157158449,0.154478541941262,1.54702149620521,11,3.87161244427657,2.58543689283405,0.800332615472111,5.79768497476451,23.3127698431065,4,2.48281447872464,6.17871750899665,0.0187824106329185,19.56969244,10,16,1.94714833430867,4.18427839213182,-2.87734253881981,3.35636632026297,6.67425153842937,3.67237046097541,4.13471956513554,0.0781112142611241,11.7411911201724,0.322451379140471,12,0.679718727310907,3,11.1368923574344,3.32956651986907,26.5586207017861,4.60937674161132,0.179995788838212,5.67462718657583,0.0724976952002005,4.13978676699822,8.1060342532246,-0.0418430905488199,1.23424928,3.59451233892965,15.750480634171,0.154980212540403,5.26157399522711,0,0.0178076603116024,0,2.73472769081493,5.943095148663527
11,97.34,0.850856193043478,22.8631813169876,0.133763223895318,1.71104761281999,128.921157158449,0.151271089185397,1.71104761281999,11,3.87205574203491,3.00930550608103,0.837215633773858,5.79819064465882,24.064987239305,2,2.66552241356662,6.20128835865412,0.0168009871723548,19.56969244,10,16,1.94677418614307,4.18439485707832,-2.87763334426732,3.35758667251441,4.02256270927796,4.90686711179175,4.13491354437138,0.0857255302632834,12.6622241205699,0.320566001149159,12,0.679775301957316,3,12.2831501067824,4.05201788346943,28.3128619862118,4.60937688083628,0.156437788342072,5.76229371298597,0.0724835371654493,4.19252754540169,8.20227309809299,0.171529877893791,1.52902884637188,3.68137798247332,15.8652747672447,0.140520040338148,5.32735747907099,0,0.0261587327520258,0,2.79455817148282,6.036212172654444
