B07[N-N],alvo
1,6.431798275933005
0,6.468521082957745
0,5.388276691992658
0,5.6439741428068775
0,6.1249387366083
0,5.681936665037238
0,5.882728704344236
0,6.7447274948966935
1,5.943095148663527
1,6.036212172654444
0,5.91721462968355
0,4.522878745280337
0,5.023650020996727
1,4.799149501908922
1,5.367542707815276
1,5.36251027048749
1,5.958607314841775
1,5.568636235841013
1,6.769551078621726
1,6.4089353929735005
0,4.997402019280091
0,5.85078088734462
0,5.4156687756324695
0,5.823908740944319
0,5.812479279163537
0,5.935542010773082
0,6.356547323513813
1,6.920818753952375
1,7.522878745280337
0,4.522878745280337
0,5.094743951251549
0,5.563837352959244
0,6.346787486224656
0,4.633017024022149
0,5.790484985457369
0,4.522878745280337
0,5.554395796726403
0,4.897223385116559
0,6.045757490560675
0,5.939302159646388
1,5.563837352959244
1,6.958607314841775
1,6.096910013008056
0,7.397940008672037
0,5.543633966870957
1,5.892790030352131
0,5.197226274708024
0,4.522878745280337
0,5.769551078621726
0,4.522878745280337
0,4.522878745280337
1,5.935542010773082
1,6.251811972993799
1,5.756961951313706
1,8.0
0,6.259637310505756
0,6.050609993355088
0,5.889410289700751
0,6.008773924307505
0,6.309803919971486
0,5.966576244513051
0,4.522878745280337
0,5.100179497572904
1,7.221848749616356
0,6.337242168318426
0,5.609064892896621
0,5.987162775294828
