F06[C-C],F03[C-N],L1p,H6v,HOMA,SpMin1_Bh(p),P_VSA_p_2,TPSA(NO),SpMax_B(v),H4s,Tv,F05[C-N],HOMT,SpMax_B(p),Tp,SpDiam_B(p),Eig07_AEA(ri),F06[C-N],RDF060p,SpMax1_Bh(i),F05[C-C],VE3sign_RG,MATS1p,SpMax1_Bh(e),SpMax5_Bh(i),SM02_AEA(ri),Eig07_EA(ed),RDF145s,F01[C-N],Eig06_AEA(bo),H7v,CATS3D_02_AL,H7u,Eig12_EA(ri),SP18,SP17,CATS2D_08_AL,SpMax6_Bh(e),SPAN,Mor32s,Eig13_EA(ed),F05[N-F],Eig08_AEA(bo),TDB10m,F03[C-Cl],Chi_D/Dt,R1u,HATS3v,Mor26s,RDF120s,SdO,SM09_EA(dm),VE2sign_G/D,HATS1e,Mor24i,RDF105i,alvo
25,10,7.31252837068396,0.100371940518328,0.777438276923076,2.06619545627947,119.433935643089,91.92,3.96559315824151,16.6410466054512,15.321535096307,7,20.2133952,3.95496578428625,15.3691927609509,5.88740643086387,2.97861760223671,9,22.0702502034002,4.17947390944095,26,-4.17522430973857,-0.0385384310153089,4.1515181027797,3.46639436599873,6.06520454741165,6.06520454741165,0.0,5,3.63347135608533,0.0328660076724958,5,0.139915815933435,1.0,4.90445820414445,5.4805295873151,6,3.37107315014747,6.35778839377342,-0.783142120972328,1.91749645639329,1,3.07370374786274,4.31614814640963,2,2.02137572149228,2.18432837047707,0.149705323433402,0.20373076155114,0.0,37.2506129308184,0.0,0.0024206632198623,0.180503274287333,-0.0626827126203166,0.467987490543013,6.431798275933005
18,9,18.6612174449171,0.107851910905194,0.7521839904,2.0860263639504,110.910406475419,85.31,3.90790530332113,5.97112074593844,22.656809117069,7,18.80459976,3.87394118668875,22.5068068511614,5.81360215202647,2.48375978133153,8,4.02813649783267,4.18462279930907,19,-2.74115419292797,0.0267416993365248,4.13557734323005,3.314174691162,3.67563296206769,3.67563296206769,7.42023348909804,10,3.17913040994756,0.0404797458838575,4,0.237653187417651,0.679503139922546,10.7342514147137,10.9774680049463,4,3.07053357367914,8.50326873443384,-2.9778071665895,0.240280888605793,0,2.82637881797467,6.736413571555,2,2.19797186739728,2.0977999898335,0.155035460518715,-0.0578866481709363,13.1843774238718,12.3978901873473,0.0,0.0027304912543371,0.233677875533346,-0.396183006659622,10.0278744920988,6.468521082957745
18,9,18.7414448344759,0.113729952831197,0.7521839904,2.08573258080707,110.910406475419,85.31,3.90902373291,6.80479008158369,23.1010011262075,7,18.80459976,3.87594617072494,22.9750260979419,5.8157631103903,2.70683956370264,8,4.02025970796527,4.1846125907593,19,-2.74268029692436,0.0336337887759437,4.1356640447088,3.31379490517628,5.22488835159337,5.22488835159337,8.40586969078612,10,3.23205080756888,0.0407787359887795,4,0.238733230071688,0.679515658687581,10.7352078563132,10.9784014692148,4,3.07054466895958,8.70514754039241,-2.8509704346383,0.859426173601578,0,3.04701741202936,8.06167622779152,4,2.16357817886467,2.05667254657718,0.175058866014543,-1.24787426210759,15.8571127174334,12.4914704342608,0.0,0.0021666508925212,0.234325259226198,-0.454470008346961,10.239420902068,5.388276691992658
18,9,20.5437499234767,0.120410204370051,0.7521839904,2.0863418790973,110.910406475419,85.31,3.90799891767132,5.88730114211353,24.0966731317824,7,18.80459976,3.87420408920662,24.6984759806506,5.81383171869221,2.48383255587962,9,4.03743669080994,4.18495225322104,20,-2.95585926589957,0.0222604784196788,4.13596277149691,3.35359310978206,3.67563296206769,3.67563296206769,6.78264405708544,10,3.17913040994757,0.0485405129441552,4,0.253419025244891,0.679517274752758,10.7640268299443,11.0072585333932,4,3.07193432442974,8.45277316979463,-2.39958713873848,0.240280888605797,0,2.82637881797468,5.22134627197621,3,2.19797186739728,2.13264301224499,0.134981884539616,-0.425592775755245,20.1836022823871,12.5203391669391,0.0,0.0028467848537229,0.215965278019453,-0.36365696492217,14.0896879157844,5.6439741428068775
18,9,19.1978828179858,0.101331075250972,0.7521839904,2.08594024176855,110.910406475419,85.31,3.90737605429951,4.62598664061148,22.4940767426887,7,18.80459976,3.87337050789927,23.3926706160892,5.81291036290411,2.48362658442028,8,4.05301436860767,4.18454361700854,19,-2.74127406481273,0.0266470284477692,4.13542073287751,3.305992187273,3.67452144824141,3.67452144824141,1.69926760753675,10,3.17643741301496,0.0458679651156349,4,0.239261414497417,0.679464539049028,10.0449616640063,10.33479108482,4,3.07046958089109,8.7590346619933,-2.66620726429861,-0.26038587250107,0,2.79862927610338,7.67785054143913,0,2.23641130075312,2.0990087950966,0.150815924433978,-0.220279976322889,5.54419424496207,12.4114527975765,0.0,0.002031259938141,0.228433052293078,-0.35451811460555,7.71406062842707,6.1249387366083
19,9,19.6646352389803,0.138321295667378,0.7521839904,2.0870028368817,110.910406475419,85.31,3.90785843774006,9.35848355501896,24.7066277533379,8,18.80459976,3.87370951016758,23.4828823818165,5.81337402654049,2.65271307273733,8,4.7733647723058,4.18513320157173,19,-2.950406947182,0.0150029018508288,4.13616032971546,3.36976264907078,4.83133959414419,4.83133959414419,0.261130536745629,10,3.25713202254654,0.0489198733681286,4,0.279161998156336,0.951805957551812,11.9180799360358,12.1168556286449,4,3.19140727997454,8.88527789829896,-6.93197369316002,1.77991101671386,0,3.04601483946542,6.05246203156182,0,2.11695891864759,2.08969443005779,0.131204733078773,-4.30185899372089,72.6945693889114,12.4272899101994,12.0742134417903,0.0019077557131086,0.218428543750193,-0.60746863229012,8.40538740138207,5.681936665037238
29,12,41.4421463014787,0.46434413537853,0.738783943030303,2.09330762417941,132.168784606408,97.62,3.91377484368388,20.1871468887152,49.8739500976107,13,24.37987012,3.88002156786439,46.0536833477091,5.82974957719216,3.29346031182826,14,9.86613975404913,4.19186695281194,28,-7.65122073383183,-0.0391212572387991,4.14444666507868,3.49802046559818,7.071334727584,7.071334727584,74.4385390783607,11,4.00640808033334,0.239263668543801,8,0.708920908724766,1.3250293459989,19.7453831363499,19.5323430847301,6,3.41761257643909,12.7265100844654,-9.44171296218075,3.35510430716915,0,3.57630767612131,7.60764212308616,3,1.89139919834839,2.06267713845339,0.121501422146121,-4.9741406459597,75.0970241534291,25.443220876497,13.0323468396355,0.0,0.166166873632026,-0.288678496072122,23.218716839672,5.882728704344236
30,12,40.5850816075545,0.422237271072755,0.740322333939394,2.09496805780448,121.168896718802,88.39,3.91481216108337,18.0837857633435,46.2898436980635,15,24.43063702,3.8815030518489,45.6749501474706,5.83191537005261,3.22120021489705,14,11.1923518674152,4.19282890639965,27,-5.93800291090434,-0.0117000875686904,4.14547681139231,3.48154758637916,6.60116699146359,6.60116699146359,32.2989394469648,11,3.75457580545017,0.222509637903099,6,0.769103067327394,1.29745983469001,17.6375575266547,17.5343691010607,12,3.39405896515706,12.5242333006855,-6.98345849157021,3.25190365584426,0,3.49985793658477,5.40913920654105,3,2.00986135769285,2.14649210672056,0.112556999000897,-2.32344370561015,45.5386253239426,25.6333467660039,12.0742134417903,0.0004748612927604,0.160220110192618,-0.370764113806275,23.4827043771391,6.7447274948966935
15,11,22.3927557189748,0.135958520656468,0.850856193043478,2.08521245223812,128.921157158449,97.34,3.90619885937806,4.29237411166693,25.1676972378121,10,19.56969244,3.87161244427657,25.7432622254248,5.81092879741412,2.48281447872464,11,6.17871750899665,4.18427839213182,16,-2.87734253881981,0.0187824106329185,4.13471956513554,3.35636632026297,3.67237046097541,3.67237046097541,6.67425153842937,12,3.1283259240489,0.0781112142611241,3,0.322451379140471,0.679718727310907,11.3002853834317,11.5360960393216,1,3.07080293366701,9.12338464222571,-2.33313719442521,0.0,0,2.85023524371991,4.69040840429275,0,2.21026434041491,2.14701060130575,0.125490191946958,-0.587824937021851,7.41835604603162,12.1721292903959,4.46440051400798,0.0006188416328685,0.223371930994389,-0.447420635101928,14.6621095306128,5.943095148663527
15,11,22.3050342332064,0.151047927270853,0.850856193043478,2.08525417543728,128.921157158449,97.34,3.90661078942767,9.64276044548635,26.0510104374739,10,19.56969244,3.87205574203491,25.6650059106412,5.81144540858591,2.66552241356662,11,6.20128835865412,4.18439485707832,16,-2.87763334426732,0.0168009871723548,4.13491354437138,3.35758667251441,4.90686711179175,4.90686711179175,4.02256270927796,12,3.35691395584222,0.0857255302632834,3,0.320566001149159,0.679775301957316,12.3381851854295,12.4889371145911,1,3.07090183047783,8.71007980503049,-3.7386346651932,0.802589391713454,2,3.045936352394,6.03039733043863,0,2.12841767857818,2.11368875643556,0.136925961828851,0.715212722058149,7.39171505159306,12.1488625670399,4.46440051400797,0.0004784359674947,0.229125142329192,-0.452787530405219,15.7079602638544,6.036212172654444
