HOMA,TPSA(Tot),L1p,SpDiam_B(p),SpMax_B(p),F06[C-N],Eig12_AEA(ri),RNCG,Tp,Eig12_EA(ri),CATS3D_02_AL,Eig07_AEA(ri),SM15_AEA(bo),Eig07_EA(ed),SM02_AEA(ri),TDB04v,CATS3D_14_DA,NssCH2,SAacc,RDF080e,RDF060p,B07[N-F],alvo
0.777438276923076,100.3,7.31252837068396,5.88740643086387,3.95496578428625,9,2.0,0.150586894151745,15.3691927609509,1.0,5,2.97861760223671,2.04175179551789,6.06520454741165,6.06520454741165,2.18921673665576,0,2,132.568632636984,21.4831436593399,22.0702502034002,1,6.431798275933005
0.7521839904,85.31,18.6612174449171,5.81360215202647,3.87394118668875,8,1.66270378483958,0.153070870033617,22.5068068511614,0.679503139922546,4,2.48375978133153,1.54755973755737,3.67563296206769,3.67563296206769,2.16564941578545,0,0,124.584037554787,10.8227744462004,4.02813649783267,0,6.468521082957745
0.7521839904,85.31,18.7414448344759,5.8157631103903,3.87594617072494,8,1.66271918084832,0.150630953418243,22.9750260979419,0.679515658687581,4,2.70683956370264,1.78229778538887,5.22488835159337,5.22488835159337,2.3175730557867,0,0,124.584037554787,9.97722789321712,4.02025970796527,0,5.388276691992658
0.7521839904,85.31,20.5437499234767,5.81383171869221,3.87420408920662,9,1.66271730176274,0.159800840019806,24.6984759806506,0.679517274752758,4,2.48383255587962,1.54755973755737,3.67563296206769,3.67563296206769,2.0342412760284,0,0,109.623924283774,11.0607903462261,4.03743669080994,0,5.6439741428068775
0.7521839904,85.31,19.1978828179858,5.81291036290411,3.87337050789927,8,1.66268778300674,0.163573424861437,23.3926706160892,0.679464539049028,4,2.48362658442028,1.54755346745117,3.67452144824141,3.67452144824141,2.11756515045773,0,0,109.623924283774,9.94421307003793,4.05301436860767,0,6.1249387366083
0.7521839904,85.31,19.6646352389803,5.81337402654049,3.87370951016758,8,1.954477310046,0.134243550335054,23.4828823818165,0.951805957551812,4,2.65271307273733,1.69651910641302,4.83133959414419,4.83133959414419,2.0717910287718,0,0,154.504264096811,13.2118906219872,4.7733647723058,0,5.681936665037238
0.738783943030303,97.62,41.4421463014787,5.82974957719216,3.88002156786439,14,2.35131747555734,0.110475722938088,46.0536833477091,1.3250293459989,8,3.29346031182826,2.35718527862919,7.071334727584,7.071334727584,2.22967959551507,0,0,220.642982040838,15.6309420616566,9.86613975404913,0,5.882728704344236
0.740322333939394,88.39,40.5850816075545,5.83191537005261,3.8815030518489,14,2.32641076412346,0.096258603742711,45.6749501474706,1.29745983469001,6,3.22120021489705,2.26834921038088,6.60116699146359,6.60116699146359,2.06636093043592,0,0,164.762754340194,15.7914920960394,11.1923518674152,0,6.7447274948966935
0.850856193043478,97.34,22.3927557189748,5.81092879741412,3.87161244427657,11,1.6628967328801,0.145390832683488,25.7432622254248,0.679718727310907,3,2.48281447872464,1.54702149620521,3.67237046097541,3.67237046097541,1.96525479406565,0,0,127.634674966804,8.57930511029151,6.17871750899665,0,5.943095148663527
0.850856193043478,97.34,22.3050342332064,5.81144540858591,3.87205574203491,11,1.66295108513472,0.133763223895318,25.6650059106412,0.679775301957316,3,2.66552241356662,1.71104761281999,4.90686711179175,4.90686711179175,2.0499255986488,0,0,157.554901508829,9.30088174490406,6.20128835865412,1,6.036212172654444
0.850856193043478,97.34,23.555285053707,5.81119089889248,3.87186479961633,11,1.66289850775565,0.146303706524086,27.1547243363671,0.679720523771481,3,2.61366209016839,1.65056858795789,4.54804515296877,4.54804515296877,2.05571139311174,0,0,127.634674966804,8.59476988539313,6.08128424431615,0,5.300162274132754
0.850856193043478,97.34,23.5995943753316,5.81190257626986,3.87254010311743,11,1.66293418616416,0.143091485721548,27.3705223012329,0.679748552911053,3,2.61412583515198,1.6541474936615,4.64917308397103,4.64917308397103,2.16860053664348,0,0,127.634674966804,8.74375260572324,5.91553921196361,0,5.896196279044043
0.7521839904,85.31,19.2315483185911,5.81317139359221,3.87355301843376,9,1.95459830585081,0.134307147447364,23.4685356640181,0.951944081670218,4,2.65445815835136,1.70767979137926,4.91811089292111,4.91811089292111,2.043399584062,0,0,154.504264096811,10.207965195554,4.00511244583995,1,5.152427340857888
0.7521839904,85.31,19.5591124169791,5.81591053382654,3.87582010879288,8,2.05373232670892,0.115396358000517,24.0302588886244,1.04238411404935,4,2.7950907312222,1.8643994809495,5.51054217360109,5.51054217360109,2.13065355848411,0,0,199.384603909849,11.2612409355902,6.59591062064236,0,5.079876673709276
0.767293484516129,87.53,41.4252645210591,5.81414767986047,3.88980456299471,14,2.22604600480004,0.0959822119974778,46.0971909996826,1.22094167088036,8,3.08219030360145,2.16993348096179,6.38210842523171,6.38210842523171,2.09819266137044,0,0,165.987975475094,15.5988605099751,10.3980100251704,1,5.634512015109101
0.697954366060606,84.73,30.7297110743541,5.814826737443,3.89016177419709,11,2.22318820334964,0.130249133270545,36.2762210093564,1.2181864050697,11,3.09612953335169,2.13628439574805,6.32925033821234,6.32925033821234,2.10516964133832,0,0,158.97711267967,18.7817529303038,8.50258822359166,1,4.522878745280337
0.699866145454545,84.73,33.7572566556849,5.81470678117088,3.89009636705327,10,2.16577716375628,0.130412421036889,38.6137705418998,1.15877804075697,11,3.14299016728367,2.18747228696499,6.49417609521297,6.49417609521297,2.09107882957863,0,0,158.97711267967,18.6775262802211,7.80135293750855,0,4.672028376376989
