F06[C-C],L1p,F03[C-N],HOMA,H6v,P_VSA_p_2,Eig07_EA,SpMax_B(v),SpDiam_B(v),SpMax_B(p),H6i,SpDiam_B(p),RDF115v,TPSA(NO),RDF060p,MATS1p,SpMax1_Bh(i),VE3sign_RG,Eig07_EA(ed),SM02_AEA(ri),H7v,SpMax1_Bh(e),H7u,F05[C-C],L1u,DP18,DP17,SP18,SP17,TDB05p,P_VSA_LogP_7,RDF125e,SPI,nBM,HATS5u,SpDiam_B(m),VE1_RG,F08[N-N],Mor03p,N-070,Ho_Dt,SpAD_EA(bo),H_G/D,SM2_RG,Mor21u,Mor26u,alvo
15,23.555285053707,11,0.850856193043478,0.141964595531544,128.921157158449,1.65056858795789,3.90638582015433,5.7978889352845,3.87186479961633,0.788637323596249,5.81119089889248,3.34171270280855,97.34,6.08128424431615,0.0284157833057165,4.18427118540634,-2.87835690274128,4.54804515296877,4.54804515296877,0.0878469336277225,4.13476947844667,0.324153730278952,16,23.5692185106018,11.5809895042002,11.8211682115522,11.6489991462307,11.8684316865371,2.51971205547329,94.1688159727225,6.63873748577848,11.7404447266646,23,0.45197950089648,5.80307621960338,2.06098947664133,3,-2.18615730059795,0,50.7454399552212,62.1448196237058,854.508124684063,3.91569435293352,-0.632894372441366,-0.0285111260450723,5.300162274132754
15,23.5995943753316,11,0.850856193043478,0.150671603467981,128.921157158449,1.6541474936615,3.90682234904245,5.79839133612776,3.87254010311743,0.786733808017493,5.81190257626986,3.04933271434724,97.34,5.91553921196361,0.0381293583886995,4.1842625894073,-2.87876394815035,4.64917308397103,4.64917308397103,0.0870153145802214,4.13483276261313,0.318496381162543,16,23.5279845771527,11.6181335429787,11.8543660352951,11.7050866714065,11.9177668873782,2.59616550988034,82.3977139761322,6.14715916863009,13.820952573017,23,0.448769148157094,5.84313950651622,2.06014597730003,3,-2.37572097907137,0,52.106200530329,64.2408212762931,852.973024935235,3.88795985889061,-0.643525759528055,-0.113926702017787,5.896196279044043
18,19.2315483185911,9,0.7521839904,0.114285496880584,110.910406475419,1.70767979137926,3.90773327459922,5.79975855390872,3.87355301843376,0.654286438406357,5.81317139359221,5.11088072850646,85.31,4.00511244583995,0.0150029018508288,4.1851027616627,-2.95073678139564,4.91811089292111,4.91811089292111,0.0473263235132863,4.13611027358504,0.248988962168937,20,21.1136574238499,11.1881161202582,11.4525986865008,11.2382001101357,11.4795878071585,2.40979751694172,94.1688159727225,8.38921935076548,16.0657158918106,23,0.444741554918344,5.80645009259855,2.05991520271018,2,-2.15398329492358,0,53.3038710674345,66.487863188965,911.426744614615,3.91035886175365,-0.781255236879491,-0.0774199585290651,5.152427340857888
20,19.5591124169791,9,0.7521839904,0.242146236483971,110.910406475419,1.8643994809495,3.90947376821854,5.80231649066716,3.87582010879288,1.32457810375269,5.81591053382654,4.36715160679809,85.31,6.59591062064236,0.0107387352149461,4.18580476863687,-3.16493362955846,5.51054217360109,5.51054217360109,0.0613154364859349,4.13715317494677,0.328382050177513,19,21.3613562064341,11.7556157500785,11.9784177596539,11.8324372108817,12.0327074329725,2.48151880100255,82.3977139761322,6.65543197025234,21.575820208144,23,0.403553171757605,5.81891486498451,2.06190622419338,2,-2.73585158225704,0,58.5676046014136,73.7266526213134,1051.72614217003,3.93856715920538,-0.844566964284363,-0.0721466626447943,5.079876673709276
28,41.4252645210591,15,0.767293484516129,0.367001064359396,122.394117853702,2.16993348096179,3.92009640971864,5.80450455555129,3.88980456299471,1.50118679489295,5.81414767986047,8.88453871772025,87.53,10.3980100251704,0.0104721048351113,4.19672464017812,-9.03732534302529,6.38210842523171,6.38210842523171,0.21320043296857,4.15258409381371,0.579526958931565,28,41.3797550936991,17.7471200364215,17.659750794099,17.8907702348565,17.7856319288267,2.52728626402078,164.795427952264,15.2677332960782,21.5329293604912,30,0.256079514687508,5.817337182764,4.73874588818613,2,-3.49260632232564,0,69.7827844708524,87.9994826436647,1641.58482306161,4.19604843531198,-1.15310785610259,-0.0659895106856245,5.634512015109101
31,30.7297110743541,13,0.697954366060606,0.363053586660236,115.383255058278,2.13628439574805,3.9204378717805,5.80532074146577,3.89016177419709,1.55696247010855,5.814826737443,6.04925023429303,84.73,8.50258822359166,-0.0228413608105929,4.19680186351573,-8.9363302238406,6.32925033821234,6.32925033821234,0.159713366299695,4.15293818944346,0.586961458189117,32,31.3910777082407,14.4563282232166,14.5479229383731,14.6815683511649,14.7580935261217,2.52701327564654,176.566529948855,14.0240693941189,19.3919898899786,30,0.277671563959393,5.81679336034834,4.81050866708013,1,-3.39742486540444,0,68.42912750603,85.9185961565042,1680.40025102867,4.18634527186648,-1.0215118332594,0.145757722499184,4.522878745280337
32,33.7572566556849,13,0.699866145454545,0.460210790544213,115.383255058278,2.18747228696499,3.92037583929875,5.80520061993716,3.89009636705327,1.86106589090478,5.81470678117088,8.84901700600648,84.73,7.80135293750855,-0.0228413608105929,4.19679339203842,-8.81752647485968,6.49417609521297,6.49417609521297,0.268470528987461,4.15291842123682,0.824673029975919,31,36.418148763379,17.2921011561346,17.214926006435,17.4404154347628,17.3519386165103,2.49535070731031,176.566529948855,19.5667490861058,19.5876959572847,30,0.274238806043677,5.81661571748147,4.8329030600824,1,-3.21632887354127,0,68.4278708405638,85.9048866518045,1643.70582172769,4.18741016357921,-0.539012790081685,0.0559199992046436,4.672028376376989
18,17.1073042839757,9,0.7521839904,0.095276482753478,110.910406475419,1.54687440356713,3.90700026330762,5.79884938551017,3.87266572847961,0.670808226395359,5.8121775097366,2.16831378707832,85.31,4.16071149353949,0.021138522219689,4.18456767792944,-2.7399813720788,3.67142699205507,3.67142699205507,0.0364606052749279,4.13537406950618,0.238332163160042,19,18.2283464971521,8.80372164679005,9.18210038601078,9.00158065891688,9.36216878353295,2.52163211207702,105.939917969313,2.7809800755545,8.88743653254277,23,0.46586546955079,5.80463381473144,2.05923959185078,2,-1.78511865808652,0,48.0353958130854,59.3739785756004,787.761412539816,3.88292377557475,-0.671144875127164,0.0642835418026704,6.070581074285707
18,17.0604348137645,9,0.7521839904,0.0973330979808659,110.910406475419,1.64066676710757,3.90800075443205,5.80041278783193,3.87384900224309,0.670478590736808,5.81373161063582,2.3005589188337,85.31,4.33209873170574,0.0195365503887606,4.18472902531285,-2.74081276055174,4.43901142022849,4.43901142022849,0.0390667834016745,4.13567972215277,0.233284027903281,19,18.249133037548,9.52831979825415,9.86904043332458,9.64137966066694,9.95894210740069,2.51375302126822,82.3977139761322,2.78931298155241,13.4588009891778,23,0.458342638102533,5.80825251794905,2.05934463463398,2,-1.90156455005568,0,50.7556431564825,62.8467730701237,786.463595140645,3.84511611266024,-0.358287354939928,0.14839548932928,5.139063379299906
18,17.0381499057187,9,0.7521839904,0.102234324113711,110.910406475419,1.76974365320093,3.90778671494238,5.79999717021308,3.87359985686202,0.695649360055718,5.81334172719985,2.29670448173302,85.31,4.42620459952364,0.0195365503887606,4.18471358647395,-2.74154156412825,4.96257486685741,4.96257486685741,0.0365053620366297,4.13564826919976,0.237844444126045,19,18.305509186485,10.0479959333218,10.3414439008319,10.1611236005454,10.4280375920944,2.51269903055322,82.3977139761322,3.44976779727387,13.4732630940556,23,0.463954716996441,5.80718631297151,2.05988864593669,2,-1.90941166006518,0,50.7555770953819,63.0477030092522,785.273194635162,3.84470002703661,-0.394997078962928,0.209816929995621,6.337242168318426
18,18.5924615047917,9,0.7521839904,0.111661288693662,110.910406475419,1.54750416536519,3.90858396930357,5.80094535626413,3.87532940866743,0.599931794382521,5.81507790454784,3.8164349346498,85.31,5.12700102901298,0.0347038991232358,4.18454556882735,-2.7425634179746,3.67548185366589,3.67548185366589,0.0415195670277218,4.13555446698148,0.202039497590274,19,18.1424237681099,9.92331176894221,10.2321698616336,10.0471259928794,10.3299120353803,2.70636230804357,82.3977139761322,4.41815383382072,13.3451222290995,23,0.383583485100131,5.85963776618775,2.05999606109514,2,-2.39935588811267,0,50.757615121116,62.9602752143753,780.632942057781,3.82003751608294,-0.743980432521504,0.0423739094584057,6.1938200260161125
18,19.8640555988824,9,0.7542146664,0.110537785829658,110.910406475419,1.54755973755737,3.90802894862945,5.80012048712802,3.87435198799505,0.663469189668382,5.81397275687355,3.55257540634476,85.31,5.178418320964,0.0347038991232357,4.18454917910097,-2.74177557947264,3.67563296206769,3.67563296206769,0.0449058213976635,4.13552282969214,0.238591580789496,19,18.5923084219065,10.6811479884157,10.9508997421167,10.818614634967,11.0614480330908,2.67597200704357,82.3977139761322,3.82847186122658,13.5434532844664,23,0.459214558045456,5.83805725701893,2.05936048782375,2,-2.49615809871879,0,50.7552202683893,62.9977565977894,781.434123578858,3.82368835836381,-0.612900100556908,-0.0253001836185264,5.91721462968355
18,18.7900840577715,9,0.7521839904,0.111410663493432,110.910406475419,1.76974365320093,3.90801363409912,5.80012553850698,3.8742849695196,0.672462382203232,5.81391888953644,3.15612269224074,85.31,4.14166144618413,0.0347038991232357,4.18454836773497,-2.74244520893679,4.96257486685741,4.96257486685741,0.0374603968370327,4.1355286662617,0.238208008864021,19,18.4225837788897,10.406244834094,10.6700929610307,10.5610313178968,10.7989543581133,2.70029913952191,82.3977139761322,2.50788473815326,13.4732630940556,23,0.460364990541248,5.81356962496643,2.05989048584561,2,-2.70960746658988,0,50.7555770953819,63.0477030092522,782.075543278207,3.82343300768469,-0.606342948699164,0.007286830227506,5.531652669587842
34,30.3290050523167,13,0.699155518181818,0.238504374057226,104.383367170671,1.9359537171361,3.92109234183281,5.80634791845735,3.89116449948565,1.15849118290789,5.81601962252365,7.69680587263125,75.5,9.61005386484823,0.006841912394991,4.1974808945453,-6.03452989257472,5.65005878132736,5.65005878132736,0.111931585567879,4.15365219207748,0.436825661245507,32,31.6051302759722,14.3853062057529,14.4652492420164,14.5734686671898,14.6389450025323,2.4769655301023,235.422039931806,13.6809875441502,16.1276331803182,30,0.243373595063654,5.81951079469915,3.18237388068058,1,-3.17226080021675,0,64.5481428305054,81.4906743533428,1805.54797465976,4.27833786050514,-1.57492456505716,0.182277934175269,4.522878745280337
33,34.2084990061107,13,0.697954366060606,0.310284342318601,104.383367170671,1.87938524157182,3.92080365542334,5.80583261413754,3.8907874966612,1.61620628320003,5.8154959316774,6.67547650283844,75.5,9.27800727333373,0.006841912394991,4.19741013761471,-5.06195679201671,5.62731081166063,5.62731081166063,0.154159181746656,4.15355302924226,0.58131182733428,30,35.7289595628366,15.4338295807095,15.4498793390157,15.6042304473243,15.601802097435,2.62635726256737,235.422039931806,14.8553189713708,16.2180134548623,30,0.245521055597174,5.81810644318165,2.82154014366154,1,-3.52343283424674,0,64.5478903618318,81.5522342691913,1751.66189759533,4.27832896950681,-1.58793779604405,0.200525541727115,4.522878745280337
