F06[C-C],SpMin1_Bh(p),F05[C-N],R3p,alvo
25,2.06619545627947,7,0.919412878828231,6.431798275933005
18,2.0860263639504,7,0.741742636129249,6.468521082957745
18,2.08573258080707,7,0.788957946017748,5.388276691992658
18,2.0863418790973,7,0.760610962117263,5.6439741428068775
18,2.08594024176855,7,0.790764203358679,6.1249387366083
19,2.0870028368817,8,0.692507541681206,5.681936665037238
29,2.09330762417941,13,0.805180399443803,5.882728704344236
30,2.09496805780448,15,0.833773513686453,6.7447274948966935
15,2.08521245223812,10,0.695123455244504,5.943095148663527
15,2.08525417543728,10,0.682460217585266,6.036212172654444
15,2.08506564352015,10,0.750055349617289,5.300162274132754
15,2.08490830692647,10,0.83277952206674,5.896196279044043
18,2.08691350922283,7,0.696797695363765,5.152427340857888
20,2.08794321269317,9,0.682927326792314,5.079876673709276
28,2.09898601626382,12,0.791689202345058,5.634512015109101
31,2.09964145368162,9,0.762982209159252,4.522878745280337
32,2.09963830267315,9,0.76371518665553,4.672028376376989
18,2.08635950387746,7,0.703449387847547,6.070581074285707
18,2.08646359850713,7,0.692004620389621,5.139063379299906
18,2.08645048357548,7,0.690069966540641,6.337242168318426
18,2.08559786896648,7,0.869890365729635,6.1938200260161125
18,2.08575397895544,7,0.835652134094318,5.91721462968355
18,2.08571046051047,7,0.801558679351863,5.531652669587842
34,2.100315590279,10,0.806208916543008,4.522878745280337
33,2.1001994768437,11,0.786470953486076,4.522878745280337
32,2.09968011700452,9,0.740378604861659,5.023650020996727
28,2.09889675568643,12,0.835815284038368,5.133122185662502
28,2.09881867871683,12,0.879155466034401,4.799149501908922
28,2.09885133000887,12,0.870719715577786,5.350665141287858
28,2.0990711683359,12,0.751754546891094,5.367542707815276
29,2.09906885319117,13,0.76076450014581,5.521433504406157
28,2.09921921010724,12,0.740500592190086,5.681936665037238
15,2.08507729453642,10,0.741674147419723,5.36251027048749
15,2.08504544582534,10,0.76875615985492,5.333482019445119
15,2.08546367246724,10,0.68339991188103,5.281498311132726
16,2.08545128357926,11,0.693225404768707,5.958607314841775
15,2.08584475145002,10,0.665285137934671,5.042871802323187
15,2.08526639805938,10,0.73062151181895,4.9503943874050265
16,2.0854202267248,11,0.70936651258605,5.568636235841013
15,2.08524944045023,10,0.678276556773097,5.522878745280337
24,2.09228447187331,15,0.740463543927312,5.701146923590294
24,2.09242824118356,15,0.724770535283773,5.235077015350112
24,2.09103003531457,15,0.864154757050007,6.769551078621726
24,2.0913009199319,15,0.867214806633031,5.723538195826756
24,2.09122472469306,15,0.847976929634509,7.221848749616356
24,2.0917472751288,15,0.778407660262195,5.809668301829708
24,2.09126142626994,15,0.836627840092996,6.4089353929735005
24,2.09224919650276,15,0.811699850701281,5.703334809738469
19,2.08706497115682,8,0.685550107990829,5.671620396561262
20,2.08728002724137,7,0.688791717211959,4.997402019280091
18,2.08647931227245,7,0.693566309973995,4.861697301833718
19,2.08651415006922,8,0.747945419732734,5.85078088734462
20,2.08769753705472,9,0.711067196667276,6.086186147616283
19,2.08647003622582,7,0.674261333503441,6.366531544420414
19,2.08656870304183,7,0.645413545398078,5.4156687756324695
28,2.09305075387095,13,0.851225870902326,5.966576244513051
27,2.09301384624112,12,0.756780269018467,5.823908740944319
24,2.09161171450811,15,0.81035597286494,5.425968732272281
25,2.09324728909685,16,0.731920836757219,6.356547323513813
20,2.08668915621692,7,0.62965463666561,5.812479279163537
27,2.093654664768,12,0.809100519611846,6.251811972993799
29,2.09502005934863,14,0.776089854648757,5.935542010773082
28,2.09385106569626,13,0.788160246949504,5.943095148663527
24,2.09246748562478,15,0.708891371627585,6.022276394711152
28,2.09299346952684,12,0.77983842953004,6.356547323513813
25,2.09244823997926,15,0.716978719937921,5.421360790031928
26,2.09422151040059,17,0.738018583251493,6.920818753952375
24,2.09229262573043,15,0.783132184409454,5.85078088734462
24,2.09243623032813,15,0.76773592688588,5.7121982700697735
24,2.09123414170093,15,0.863258324059874,7.522878745280337
29,2.09470000639501,14,0.806007713932509,5.785156151952302
31,2.09920015290761,9,0.911596430113693,4.522878745280337
31,2.0994241493746,9,0.812845863858922,5.094743951251549
31,2.09927559450978,9,0.857601169776169,5.13430394008393
21,2.08794145987161,8,0.723458500798376,5.563837352959244
27,2.09283659612082,12,0.794024548919408,5.935542010773082
27,2.09297577905092,12,0.790673102113757,6.346787486224656
27,2.09162207236245,12,0.934299759648335,4.633017024022149
28,2.09315556474637,13,0.804444027942543,5.739928612014925
28,2.09329160306068,13,0.824861062477513,5.790484985457369
28,2.0922263947321,13,0.936903932230821,6.180456064458132
28,2.09218740119937,13,0.929708148581471,4.522878745280337
28,2.09312502937637,13,0.865859440761787,5.554395796726403
28,2.09252115135988,13,0.886793806362274,5.7447274948966935
29,2.09405637219457,14,0.798746877094618,4.897223385116559
31,2.09956922025163,9,0.83058386011063,5.150580586203101
27,2.09188505279968,12,0.921524566076245,6.045757490560675
27,2.0918104571356,12,0.915108905642904,5.939302159646388
24,2.093128232789,15,0.74470775207312,5.563837352959244
26,2.0945533137629,17,0.71152197453958,6.958607314841775
25,2.09333860058524,16,0.724588169467966,6.3872161432802645
25,2.09250978605232,16,0.794742521379531,6.096910013008056
28,2.09215283495727,13,0.94014627549464,7.397940008672037
28,2.0926470541677,13,0.843285479282164,5.543633966870957
24,2.09175610488989,15,0.821023302938208,5.892790030352131
28,2.09395705442434,13,0.841807624412041,5.795880017344075
31,2.09938233441598,9,0.858881029614092,5.197226274708024
32,2.09988921613502,10,0.766856069079734,4.522878745280337
31,2.0998383859168,9,0.77913545185149,5.769551078621726
32,2.09991777308681,10,0.773567403682562,4.522878745280337
32,2.09965997635001,10,0.841083586646694,4.522878745280337
24,2.0922558099583,15,0.853165447378586,5.935542010773082
25,2.09325706699376,16,0.775299057319664,6.251811972993799
24,2.09313356134136,15,0.78663530774651,5.756961951313706
26,2.09456508418728,17,0.756813336943976,8.0
30,2.09528030953292,15,0.781236208118864,6.259637310505756
27,2.09231636091756,12,0.846856846306202,6.050609993355088
27,2.09184591237346,12,0.901495692593786,5.889410289700751
27,2.09280371723642,12,0.87787940104447,6.008773924307505
27,2.09218640060216,12,0.891913984537336,6.309803919971486
28,2.09376289501069,13,0.788480835244147,5.966576244513051
31,2.09958922659715,9,0.77508426368112,4.522878745280337
31,2.09963352848223,9,0.760976707429739,5.100179497572904
25,2.09334837401139,16,0.756116073457664,7.221848749616356
29,2.09414241529169,14,0.801709885367768,6.337242168318426
29,2.09336158898645,14,0.884898770948043,5.609064892896621
28,2.09332913109663,13,0.767233860501461,5.987162775294828
