nTA,nCsp2,ZM1Mad,ZM2Per,Wap,S3K,X1MulPer,TIC1,SIC5,BIC2,SpPosLog_A,VE2_A,SpAD_L,J_H2,EE_Dz(m),SM1_Dz(m),SM2_Dz(m),SpAD_B(m),SM5_B(m),SpPos_B(v),SpMax_B(v),SpDiam_B(v),SpMax_B(p),SpDiam_B(p),ChiA_B(i),ATS2v,ATS6p,ATSC7i,MATS1p,MATS3i,MATS2s,MATS7s,GATS4v,GATS6p,GATS8s,SpMax1_Bh(e),SpMax1_Bh(i),SpMax5_Bh(i),SpMin6_Bh(v),SpMin1_Bh(e),SpMin1_Bh(p),P_VSA_m_4,P_VSA_p_2,SpMax_EA,SpMaxA_EA(ri),SpDiam_AEA(bo),SpMaxA_AEA(dm),SpDiam_AEA(dm),Chi0_EA(bo),SM10_EA(bo),SM03_EA(ri),SM14_EA(ri),SM13_AEA(ed),SM15_AEA(bo),SM02_AEA(ri),Eig07_EA,Eig07_EA(ed),Eig08_EA(bo),Eig04_EA(ri),Eig12_EA(ri),Eig06_AEA(bo),Eig08_AEA(dm),Eig01_AEA(ri),Eig07_AEA(ri),HOMA,HOMT,SpPos_G,SpDiam_G,SM4_G,SpMaxA_RG,SM5_RG,VE3sign_RG,VE2_G/D,TDB02v,TDB06e,TDB09p,RDF115v,RDF015p,RDF060p,RDF075p,RDF125s,RDF145s,Mor20v,Mor10e,Mor06p,Mor10p,Mor32i,L1v,L1e,L1p,L1i,E3i,Tv,Tp,Au,H7u,HATS5u,H6v,H7v,H6p,H6i,H2s,H4s,R5u+,R7m+,R4e+,R5e+,R1i+,DP15,DP16,DP17,DP18,SP04,SP06,SP07,SP16,SP17,SP18,nCb-,nPyrroles,C-026,C-039,SddssS,NaaNH,CATS2D_09_DA,CATS2D_07_AA,F01[C-N],F02[C-O],F03[C-N],F03[C-F],F03[N-Cl],F05[C-N],F06[C-C],F06[C-N],F07[N-F],F07[N-Br],F08[C-F],F08[C-Cl],F10[C-O],G(N..F),Qneg,RNCG,TPSA(NO),TPSA(Tot),Depressant-80,CATS3D_02_AA,CATS3D_03_AA,CATS3D_06_AA,CATS3D_09_AL,CATS3D_14_PL,alvo
7,20,246.34950128293,899.94,38804,4.7287847821364,9.62186161062935,205.461398518759,0.935170078047872,0.814555265594379,4.35284041048602,0.14364382610717,48.7523933575704,62.9758781986817,146.42296411233,1.43487021661258,10.2388823538218,52.0800193685538,8.74959147208963,43.1435361442308,3.96559315824151,5.87591823825168,3.95496578428625,5.88740643086387,0.257071358476451,4.05242124028282,4.05881468537184,1.76984094078816,-0.0385384310153089,-0.093194552146006,0.104474137948667,0.1893458185439,0.9465773916441,0.943986681829499,1.18983400211896,4.1515181027797,4.17947390944095,3.46639436599873,1.59238849669405,1.98635321747897,2.06619545627947,44.9560805155015,119.433935643089,3.30936098196279,0.0904265036110722,5.57517760505363,0.123868621764448,6.45927038352015,18.6647612402575,16.1229851955969,4.35491234218231,16.9960416134296,26.1154408811235,2.04175179551789,6.06520454741165,2.04175179551789,6.06520454741165,2.30667579061288,2.70650823688438,1.0,3.63347135608533,1.9497258004885,4.28708328017916,2.97861760223671,0.777438276923076,20.2133952,271.439301013966,339.216263521301,22.4215500422461,0.0784785315679934,7.0974750267259,-4.17522430973857,0.12116618332474,1.49704782621604,6.23055194045159,3.51934755157225,0.262611783405263,12.3437629466862,22.0702502034002,15.0460000971666,0.0,0.0,1.47052386326863,0.493682577151586,0.375223282266176,0.400636875046215,-0.520285462533097,7.31397812032684,7.28979730989835,7.31252837068396,7.19932849545432,0.507761872951495,15.321535096307,15.3691927609509,82.3206766866462,0.139915815933435,0.331307542955203,0.100371940518328,0.0328660076724958,0.0963908390735381,0.696593077904272,17.7365795586698,16.6410466054512,0.0301151653931677,0.0391239627219773,0.0573406364459796,0.0277976028170317,0.148895454781296,6.32586984103322,5.81695758452435,5.26156647157604,4.66274064050154,7.30359056250465,8.00748973614952,8.16602455998164,6.01067956458138,5.4805295873151,4.90445820414445,6,1,4,1,-3.83965604262727,1,2,2,5,4,10,6,0,7,25,9,2,0,5,2,2,31.0950012207031,-2.29170000180602,0.150586894151745,91.92,100.3,0,1,0,0,1,0,6.431798275933005
4,19,176.945340442776,712.52,22486,3.37090744901595,7.72614964028238,149.251470890054,0.990604908764546,0.809609022005256,3.36427571014772,0.175799795962704,39.2935204243117,45.2644935741124,110.160404802581,1.09610915844999,9.70125714318641,43.4142600404519,8.29508608700045,35.5640627855909,3.90790530332113,5.80003843451148,3.87394118668875,5.81360215202647,0.256588293940298,3.81058141319342,3.69402270414854,0.960125460875,0.0267416993365248,0.019960711766588,0.0153116308595853,-0.0619575663288104,1.04721431088139,0.974051461747549,0.857818957397516,4.13557734323005,4.18462279930907,3.314174691162,1.25024174582503,1.95307888375824,2.0860263639504,39.148644061782,110.910406475419,3.2091635212851,0.101074147714481,5.48003638055347,0.119517736859805,5.58553210579416,15.3708295777892,15.6413513386434,3.93131569880855,15.9863788205837,25.4322660028509,1.54755973755737,3.67563296206769,1.54755973755737,3.67563296206769,1.95375353789066,2.3025540922629,0.679503139922546,3.17913040994756,1.83826863226092,4.15166735393974,2.48375978133153,0.7521839904,18.80459976,245.2316196713,352.304619387405,22.0453276672389,0.086327625494325,6.43707814274624,-2.74115419292797,0.125494084561566,1.54503326461647,6.1663074371556,4.56181562094537,2.49638729108369,8.14326439714582,4.02813649783267,5.75172411518358,22.0088002436712,7.42023348909804,1.25843247780182,0.31978551923253,-0.0380946244404464,0.357380860963739,-0.493559388812918,18.9492209314067,19.2647252421217,18.6612174449171,19.0309841108805,0.298754717336151,22.656809117069,22.5068068511614,88.4516698976027,0.237653187417651,0.46182167112507,0.107851910905194,0.0404797458838575,0.131162838760754,0.671057120493831,11.9177544201959,5.97112074593844,0.0423154925009686,0.0292927143243886,0.0494448153928232,0.0424191976107701,0.191477644062228,11.2688363968308,11.0977993790067,10.8755048850475,10.6045556309853,8.10606104211211,9.54189584965177,10.0768033741531,11.1703689547735,10.9774680049463,10.7342514147137,5,0,3,0,0.0,0,0,1,10,1,9,2,0,7,18,8,0,0,2,2,0,56.1999969482422,-2.22249998897314,0.153070870033617,85.31,85.31,0,2,1,0,5,1,6.468521082957745
5,19,198.464741774306,770.81,24859,3.57482166077679,7.82653989140176,154.083136276023,0.953024543822724,0.810221807998076,3.52052298813222,0.174850912813995,41.0878743658214,47.7132227166568,115.783456647171,1.29574035277904,9.80376931494742,45.4069647817222,8.43348331981007,36.923909761126,3.90902373291,5.80154557549116,3.87594617072494,5.8157631103903,0.256009914707611,3.84656027195123,3.72305772791519,0.947742670875002,0.0336337887759437,0.0093317894052802,0.0,-0.0467445547842982,0.976411609300984,0.970344816372317,0.919845515173162,4.1356640447088,4.1846125907593,3.31379490517628,1.25009558521188,1.95258147595368,2.08573258080707,78.297288123564,110.910406475419,3.20923875957223,0.0978183545096731,5.48190928844314,0.116625408764495,5.61538767169934,15.8180431732892,15.7150245485631,3.97732373601029,16.022649505834,25.5569470807301,1.78229778538887,5.22488835159337,1.78229778538887,5.22488835159337,2.31977500453787,2.35875588013205,0.679515658687581,3.23205080756888,1.84330988597469,4.15177510331065,2.70683956370264,0.7521839904,18.80459976,245.870914511935,352.527713602391,22.0548556499204,0.0859462015852545,6.40123265558301,-2.74268029692436,0.123616473725232,1.61512035579294,6.22237186434907,4.91469414962834,3.04776354353789,8.15304740281283,4.02025970796527,6.0894435345943,21.0887885548058,8.40586969078612,1.31717479710244,0.313050130979482,0.757554558929037,0.236021097421433,-0.469749345692707,19.0328634219781,19.253656128923,18.7414448344759,18.9940141063718,0.300357112956441,23.1010011262075,22.9750260979419,90.4733893594826,0.238733230071688,0.458990296594003,0.113729952831197,0.0407787359887795,0.139840402456291,0.674238014629608,12.3672241961598,6.80479008158369,0.0418009750076891,0.0323861906440305,0.049405752611722,0.0421823738065505,0.189997397681014,11.2454507584093,11.0722084530482,10.8481071925984,10.5756802184287,8.12110292555216,9.55201130333503,10.0846588957815,11.1713031548693,10.9784014692148,10.7352078563132,6,0,4,0,0.0,0,0,1,10,1,9,2,0,7,18,8,0,0,2,4,0,56.2459983825684,-2.25849999114871,0.150630953418243,85.31,85.31,0,2,1,0,6,1,5.388276691992658
4,19,173.114509072026,673.82,22486,3.39327931096673,7.97088066185223,164.948844044586,0.971049992190129,0.805591521960349,3.36427571014772,0.175799795962704,39.2935204243117,45.2644935741124,111.083265581316,0.964928503480047,9.71525989745419,43.4322465996104,8.28141899159937,35.8381906326029,3.90799891767132,5.80009732348639,3.87420408920662,5.81383171869221,0.257746010782253,3.84762604739005,3.7396762481781,0.973213593812872,0.0222604784196788,0.0207657458980667,0.0710336154244832,-0.207506763028361,1.11039560315295,1.04310942996191,1.0092366457143,4.13596277149691,4.18495225322104,3.35359310978206,1.28679447789174,1.95747220831746,2.0863418790973,39.148644061782,110.910406475419,3.20916352128511,0.101076884508877,5.48003638055348,0.1193896037598,5.58168811279401,15.3708295777892,15.6413513386434,3.96601864518915,16.0194570616541,25.4322660028508,1.54755973755737,3.67563296206769,1.54755973755737,3.67563296206769,1.95375353789067,2.39133559258998,0.679517274752758,3.17913040994757,1.83493156264509,4.15167397856477,2.48383255587962,0.7521839904,18.80459976,278.857459074274,404.267924714082,22.5637000702927,0.0815629151605802,6.58039683432478,-2.95585926589957,0.120071985419889,1.47401263081946,6.06812222399974,4.753919683732,2.61057977698656,9.11424000912203,4.03743669080994,5.72260815686839,16.6846455187197,6.78264405708544,1.2982093606094,0.0951191588040483,-0.0716261853072322,0.426955020337513,-0.557717607009905,20.1442680959814,21.2777202210934,20.5437499234767,21.5000179784136,0.283102273203641,24.0966731317824,24.6984759806506,108.231916974942,0.253419025244891,0.449854473729446,0.120410204370051,0.0485405129441552,0.145548899779305,0.662008624910751,9.30606839248466,5.88730114211353,0.0386404832979697,0.0245247478520899,0.0485947330940631,0.0418482419843859,0.186377059686689,11.2943048643727,11.1238854080973,10.9020357542915,10.6313707798835,8.1161839349005,9.55771550493822,10.0952126273154,11.200022927425,11.0072585333932,10.7640268299443,5,0,2,0,0.0,0,0,1,10,1,9,0,0,7,18,9,0,0,0,2,0,0.0,-2.1288999915123,0.159800840019806,85.31,85.31,1,2,1,0,6,2,5.6439741428068775
3,19,217.465871141243,654.57,20123,3.37119800993761,7.62538440753188,140.068488488321,0.953024543822724,0.770243701826059,3.20013352090187,0.173307799658599,37.6334579746578,42.8595693729822,103.113285758369,1.03428707811156,9.56837705164395,45.915519529675,9.83112352605376,34.6752164906935,3.90737605429951,5.79929033303554,3.87337050789927,5.81291036290411,0.258274528713785,3.80233084528512,3.70251195882269,0.90949944796875,0.0266470284477692,0.05427182292152,0.0485522456006332,-0.0884208255649043,1.06231821689134,0.957785526163626,0.970268743015576,4.13542073287751,4.18454361700854,3.305992187273,1.25019518555075,1.95408266064458,2.08594024176855,0.0,110.910406475419,3.20912893169158,0.104554381532277,5.47784106358798,0.123214431421829,5.57321851123305,14.9236159822893,15.5764511175924,3.83241686911013,15.9407822889824,25.3401963657866,1.54755346745117,3.67452144824141,1.54755346745117,3.67452144824141,1.87968163991318,2.21096402377586,0.679464539049028,3.17643741301496,1.5475951499321,4.15160934119796,2.48362658442028,0.7521839904,18.80459976,245.063504184444,351.998000322487,22.0425172419358,0.0864906702616398,6.45354197190404,-2.74127406481273,0.126309067965162,1.53809431261647,6.054671834872,4.88306895037426,3.48794566217624,8.10890405574094,4.05301436860767,5.49011347404307,12.8920547593613,1.69926760753675,1.08941408096986,0.144663402287009,-0.189637139697405,0.229341382827965,-0.503821936379264,18.5234552832771,18.604781762698,19.1978828179858,18.609436842006,0.302267335554802,22.4940767426887,23.3926706160892,89.1045628693932,0.239261414497417,0.461155892421281,0.101331075250972,0.0458679651156349,0.124495187771319,0.661822441775028,9.4909822164649,4.62598664061148,0.0420081292415753,0.0354143206289055,0.0494653063034825,0.0423455887591672,0.19328165868903,10.7162110551746,10.5051039480256,10.2421074065933,9.92987583549807,8.01801173260052,9.38536907468071,9.88167816109283,10.5742802936203,10.33479108482,10.0449616640063,4,0,2,0,0.0,0,0,1,10,1,9,0,0,7,18,8,0,0,0,0,0,0.0,-2.07979998737574,0.163573424861437,85.31,85.31,0,2,1,0,5,1,6.1249387366083
5,19,186.612140451927,790.19,27704,3.80011539028695,8.23132464031797,155.765861642853,0.971049992190129,0.780388316874496,3.67703280138494,0.17257268328472,43.1649216111554,50.6583120446962,128.030294022235,1.12073248975217,9.99733449890237,45.4109337144478,8.23825195688077,37.2395376478745,3.90785843774006,5.79995619025425,3.87370951016758,5.81337402654049,0.255393850979556,3.85910861313956,3.72178702693961,1.15755211830178,0.0150029018508288,-0.0713226844296858,0.3928560299801,-0.071686438669294,1.03506927058895,0.87413839637006,0.702346270468032,4.13616032971546,4.18513320157173,3.36976264907078,1.29635401552362,1.95712618473005,2.0870028368817,0.0,110.910406475419,3.3236633836839,0.0947915228366713,5.48504202303024,0.139391538192666,6.46052922216532,16.4865648111324,15.6473310266042,4.11499650195296,16.2378587938572,26.1195817875223,1.69651910641302,4.83133959414419,1.69651910641302,4.83133959414419,2.29599977025702,2.55985595487218,0.951805957551812,3.25713202254654,1.60625537099704,4.19081482132134,2.65271307273733,0.7521839904,18.80459976,279.062977295003,406.108651394046,22.5684196257493,0.0814174835728396,6.54238188065278,-2.950406947182,0.12077357160173,1.48096058056824,6.44889192191571,4.03734122175773,3.52656049759849,9.25792429791331,4.7733647723058,5.99326872659364,34.1127000371913,0.261130536745629,1.33755054052322,0.611141828047804,-0.463510475095262,0.48223926242264,-0.65742579201766,21.1613743533249,23.0520678675773,19.6646352389803,23.0552359289244,0.332454660798664,24.7066277533379,23.4828823818165,99.1880642629476,0.279161998156336,0.446322548506298,0.138321295667378,0.0489198733681286,0.132123587278673,0.828063464276495,23.1608056167167,9.35848355501896,0.0409096140170953,0.014101972857275,0.0567992694577829,0.0404985788759406,0.178406993318594,12.3768897258756,12.2604228292774,12.0904496841539,11.8697155400072,8.49072449591035,10.0685468648892,10.6710455383813,12.2639417463604,12.1168556286449,11.9180799360358,4,0,1,0,0.0,0,0,1,10,1,9,6,0,8,19,8,0,0,6,0,0,184.311996459961,-2.53420001268387,0.134243550335054,85.31,85.31,0,2,1,0,7,0,5.681936665037238
9,26,304.421854948797,1276.12,149088,6.9780050158062,11.6903853184371,223.454560692041,0.949550594003292,0.751532894975172,6.13682231424069,0.122451861576565,64.3867060148647,87.9192782149658,279.279068565523,1.67350132072349,11.5519023192146,66.6798884055656,8.69889585202014,54.5990662980712,3.91377484368388,5.81486937916492,3.88002156786439,5.82974957719216,0.254979824890916,4.20769624160998,4.14096844534894,1.85239430200804,-0.0391212572387991,-0.0737100939011551,0.457620868166462,-0.0566460900649625,1.11337345895673,0.848668627951648,0.476126251750008,4.14444666507868,4.19186695281194,3.49802046559818,1.45052963471373,1.95774810700654,2.09330762417941,39.148644061782,132.168784606408,3.38078948457541,0.0647993735084551,5.4998304931415,0.0952102469022785,6.47488160440709,24.3585345550413,15.8438514326731,4.50032065086859,16.5082731117218,26.457021684296,2.35718527862919,7.071334727584,2.35718527862919,7.071334727584,2.83988192974642,2.6972254657878,1.3250293459989,4.00640808033334,2.69117037451782,4.25279851402046,3.29346031182826,0.738783943030303,24.37987012,520.535512946229,775.544805358493,25.0761656882211,0.0613885980335338,6.83403443575887,-7.65122073383183,0.102676920029826,1.54009585809304,6.65481758167637,4.57523888958708,9.62338466451644,12.7271945351616,9.86613975404913,9.04247216633065,82.0175068274782,74.4385390783607,1.99747094436862,1.29920463066151,-0.204812988404784,0.717389164496949,-1.26858576928659,45.5405471390169,48.4910813293805,41.4421463014787,47.4819437491364,0.311637600463506,49.8739500976107,46.0536833477091,224.536098753962,0.708920908724766,0.27975875618187,0.46434413537853,0.239263668543801,0.415895156765159,1.9588830259971,36.8050851305968,20.1871468887152,0.0283962873641327,0.016925364518199,0.0698787520701327,0.036876847431772,0.124302147371906,19.0139147907933,19.3185533095114,19.5683718960981,19.7661809938392,10.4579499857913,12.882720247883,13.909191580605,19.2667887944812,19.5323430847301,19.7453831363499,7,0,3,0,0.0,0,0,1,11,4,12,9,0,13,29,14,0,0,6,2,4,347.105041503906,-3.67230000719428,0.110475722938088,97.62,97.62,0,3,1,1,6,0,5.882728704344236
8,26,265.372800628951,1066.2,113578,5.89130306599601,11.5171297796208,236.675542795811,0.921872256907667,0.743504549748177,5.60043095266993,0.132811911922804,59.8028779950658,77.1022348864077,237.243642646186,1.38070376280668,11.2214557113984,62.6685438102483,8.62788407343139,52.0118330871251,3.91481216108337,5.81701604853122,3.8815030518489,5.83191537005261,0.255869708666991,4.21361355152454,4.19648723727958,1.77007351992476,-0.0117000875686904,-0.12368031845726,0.350204413295905,-0.0676070557230224,0.952200679888916,0.720733269250889,0.601732237144098,4.14547681139231,4.19282890639965,3.48154758637916,1.55743201482959,1.96219070540602,2.09496805780448,39.148644061782,121.168896718802,3.38078948850144,0.0692524719664269,5.49611419443039,0.101701854645616,6.47488160440709,22.6264837474724,15.8624551244644,4.47883569060195,16.5705452163944,26.3512024476864,2.26834921038088,6.60116699146359,2.26834921038088,6.60116699146359,2.72568676509827,2.70284410672605,1.29745983469001,3.75457580545017,2.39174522284385,4.25279867892981,3.22120021489705,0.740322333939394,24.43063702,531.216625752605,791.015558257422,25.1569003810153,0.0606228406731278,6.99506661501143,-5.93800291090434,0.101146375369871,1.48005630489878,6.42697625299858,4.66301112205984,9.63645191590146,14.2892541896113,11.1923518674152,9.81324884127648,75.3187200648845,32.2989394469648,1.95138399814116,0.540638584359007,-0.0624329155519263,0.689769263482418,-1.04364690282996,41.4681164417656,43.9978602163825,40.5850816075545,43.9368694687671,0.362026482315111,46.2898436980635,45.6749501474706,244.688082808494,0.769103067327394,0.244041731821029,0.422237271072755,0.222509637903099,0.417686216989039,1.85949911487972,22.9161550121793,18.0837857633435,0.024413210999165,0.0172379855409476,0.0645947109669802,0.0270242957889614,0.123340470195507,17.251358787584,17.4396155870964,17.5733933757308,17.6555473913302,9.90676597170875,12.1023138773317,13.016128908229,17.378819973328,17.5343691010607,17.6375575266547,8,0,2,0,0.0,0,0,1,11,2,12,6,0,15,30,14,0,0,6,2,1,181.372993469238,-3.06570002064109,0.096258603742711,88.39,88.39,0,3,1,0,7,0,6.7447274948966935
2,19,151.81501746047,624.23,19527,3.45122035013811,7.77198871519862,138.928456735073,0.955845470615388,0.715128304102623,3.2050162529664,0.163810419661294,37.0416902909762,43.6740367837017,106.783109571021,0.74488537596434,9.63679514223869,41.2210654295154,8.1060342532246,34.2475483367263,3.90619885937806,5.79768497476451,3.87161244427657,5.81092879741412,0.260081214137849,3.77141474410612,3.64702376953056,0.931898150000001,0.0187824106329185,0.0786491544340709,0.107239877590834,-0.144365207384437,1.02597382019749,0.941430258788442,0.976204595068751,4.13471956513554,4.18427839213182,3.35636632026297,1.25144098257827,1.94714833430867,2.08521245223812,0.0,128.921157158449,3.20892753660524,0.104507049767376,5.51514264249289,0.122849931471059,5.5626480126607,15.092717961015,15.5161192602198,3.76412606348847,15.750480634171,25.2296332703692,1.54702149620521,3.67237046097541,1.54702149620521,3.67237046097541,1.98691029798755,2.27084548933973,0.679718727310907,3.1283259240489,1.518912744756,4.1512276231374,2.48281447872464,0.850856193043478,19.56969244,277.130011684122,408.005322811374,22.5470707961593,0.0829637126989923,6.54963670524683,-2.87734253881981,0.123497812077978,1.40544586180732,6.07519302109418,4.20471450827279,2.58543689283405,7.75189905691259,6.17871750899665,5.17378226154855,13.8785053074305,6.67425153842937,1.46979986304107,0.0404750667295078,-0.758277629027704,0.148087149658789,-0.274525297201672,22.0362947838956,23.3127698431065,22.3927557189748,23.7125913451346,0.275719307716226,25.1676972378121,25.7432622254248,94.1557772491904,0.322451379140471,0.455287336488283,0.135958520656468,0.0781112142611241,0.154478541941262,0.800332615472111,8.51892943462189,4.29237411166693,0.0439415782020947,0.0151743345168679,0.0429406146474288,0.0389756191707201,0.212397818459742,11.7411911201724,11.5917955393326,11.3894498543872,11.1368923574344,8.36184602756106,9.88957715065736,10.4613532920085,11.7206208988673,11.5360960393216,11.3002853834317,3,0,2,0,0.0,0,0,1,12,0,11,0,0,10,15,11,0,0,0,0,0,0.0,-2.33989998325706,0.145390832683488,97.34,97.34,1,2,1,0,2,2,5.943095148663527
4,19,171.476680201969,734.7,24583,3.72338832135551,7.96707269544195,153.606566353431,0.991169094123077,0.795267978444666,3.5205364371631,0.164208512703769,40.5882753849699,48.6933542581072,121.65041627116,1.0445080296749,9.90259701861403,43.5949841222434,8.20227309809299,36.3283642195657,3.90661078942767,5.79819064465882,3.87205574203491,5.81144540858591,0.256997563598901,3.80609966385797,3.64251450362249,1.07523090609977,0.0168009871723548,0.0319717520587255,0.0410630458950637,0.150102684439297,1.06776496683859,0.930827490849457,1.03431406727101,4.13491354437138,4.18439485707832,3.35758667251441,1.25132925950358,1.94677418614307,2.08525417543728,0.0,128.921157158449,3.2089435759204,0.0977656966143482,5.52104398007677,0.115344603950818,5.57568272247537,15.9625812873254,15.6145548133541,3.94208653464252,15.8652747672447,25.3668029288038,1.71104761281999,4.90686711179175,1.71104761281999,4.90686711179175,2.30977423299304,2.33045421336449,0.679775301957316,3.35691395584222,1.84072513767166,4.15124926096418,2.66552241356662,0.850856193043478,19.56969244,277.832485273247,408.555905135868,22.5565033174538,0.0825398711713332,6.50508273899623,-2.87763334426732,0.122921853692104,1.45974574042141,6.22653896985367,4.16556998768574,3.00930550608103,7.80111603267925,6.20128835865412,4.88528418603512,11.7792865924127,4.02256270927796,1.49367621594696,0.248236469086231,-0.431357008688059,0.232104724667417,-0.555789268426433,22.8631813169876,24.064987239305,22.3050342332064,24.1954322279729,0.265123365490793,26.0510104374739,25.6650059106412,95.1731003893994,0.320566001149159,0.453059307353537,0.151047927270853,0.0857255302632834,0.151271089185397,0.837215633773858,11.9731193239462,9.64276044548635,0.0437140079753299,0.017979151482513,0.0450748736784158,0.0387737672833759,0.212355125856645,12.6622241205699,12.5863375531251,12.4591119231368,12.2831501067824,8.4577038514906,10.0692173133497,10.692168855189,12.5899404046158,12.4889371145911,12.3381851854295,5,0,4,0,0.0,0,0,1,12,0,11,4,0,10,15,11,1,0,3,0,0,123.425994873047,-2.5432999972254,0.133763223895318,97.34,97.34,0,2,1,0,1,2,6.036212172654444
