SpMin1_Bh(p),SpMin2_Bh(p),SpMin4_Bh(s),P_VSA_LogP_3,P_VSA_e_1,F06[C-C],CATS3D_10_DA,CATS3D_03_DL,CATS3D_04_DL,CATS3D_11_AP,CATS3D_02_AL,alvo
2.093128232789,2.0192301219826,0.92398812632003,113.286142283947,164.795427952264,24,1,5,6,0,5,5.563837352959244
2.0945533137629,2.03042419370086,0.924481289050644,103.809894810516,153.024325955674,26,1,5,6,0,5,6.958607314841775
2.09333860058524,2.02008536828385,0.923290798073472,103.809894810516,153.024325955674,25,1,5,6,0,5,6.3872161432802645
2.09250978605232,2.01424646399879,0.923652167487331,103.809894810516,153.024325955674,25,1,5,6,0,5,6.096910013008056
2.09215283495727,2.01657365323512,0.921573512088237,103.809894810516,153.024325955674,28,1,4,3,0,6,7.397940008672037
2.0926470541677,2.01794793428375,0.920999613346676,103.809894810516,153.024325955674,28,1,4,4,0,6,5.543633966870957
2.09175610488989,2.01283187651538,0.921977353846175,103.809894810516,153.024325955674,24,1,5,6,0,5,5.892790030352131
2.09395705442434,2.02471384912752,0.923201923272279,113.286142283947,164.795427952264,28,1,4,5,0,6,5.795880017344075
2.09938233441598,2.011780516804,1.01564461007325,151.191132177667,200.108733942035,31,0,5,5,0,9,5.197226274708024
2.09988921613502,2.02875227988736,1.01693837991537,151.191132177667,200.108733942035,32,0,5,5,0,9,4.522878745280337
2.0998383859168,2.02832609034234,1.01701642839429,151.191132177667,200.108733942035,31,0,5,5,0,9,5.769551078621726
2.09991777308681,2.02964894469293,1.01633447842948,141.714884704237,188.337631945445,32,1,5,5,0,9,4.522878745280337
2.09965997635001,2.02130646480974,1.01681282225111,141.714884704237,188.337631945445,32,1,5,5,0,9,4.522878745280337
2.0922558099583,2.01528774117947,0.925560738836049,103.809894810516,188.337631945445,24,1,5,6,0,5,5.935542010773082
2.09325706699376,2.02036918470363,0.924053370555868,113.286142283947,164.795427952264,25,1,5,7,0,5,6.251811972993799
2.09313356134136,2.02031866689074,0.924201720847501,113.286142283947,164.795427952264,24,1,5,7,0,5,5.756961951313706
2.09456508418728,2.03070081599582,0.92469589126923,103.809894810516,153.024325955674,26,1,5,7,0,5,8.0
2.09528030953292,2.03392448346121,0.923690168799914,103.809894810516,153.024325955674,30,1,4,5,0,6,6.259637310505756
2.09231636091756,2.00875010826511,0.920227882757108,103.809894810516,153.024325955674,27,1,4,3,0,6,6.050609993355088
2.09184591237346,2.00656279272668,0.919920723109514,94.3336473370863,141.253223959084,27,1,4,2,0,6,5.889410289700751
2.09280371723642,2.01291285132394,0.923750596827762,103.809894810516,188.337631945445,27,1,4,3,0,6,6.008773924307505
2.09218640060216,2.00788086989369,0.921408311136148,113.286142283947,164.795427952264,27,1,4,4,0,6,6.309803919971486
2.09376289501069,2.02004430978569,0.922258790362865,113.286142283947,164.795427952264,28,1,4,4,0,6,5.966576244513051
2.09958922659715,2.01794805661542,1.01516018183196,160.667379651097,211.879835938626,31,0,5,5,0,9,4.522878745280337
2.09963352848223,2.01928444007223,1.01083281835968,141.714884704237,188.337631945445,31,0,5,3,0,9,5.100179497572904
2.09334837401139,2.02100403363017,0.923502318983274,103.809894810516,153.024325955674,25,1,5,7,0,5,7.221848749616356
2.09414241529169,2.02555686690139,0.922507109511098,103.809894810516,153.024325955674,29,1,4,5,0,6,6.337242168318426
2.09336158898645,2.02113111728449,0.922866157116698,103.809894810516,153.024325955674,29,1,4,5,0,6,5.609064892896621
2.09332913109663,2.0208183716343,0.921900041638532,113.286142283947,164.795427952264,28,1,4,4,0,8,5.987162775294828
