F03[C-N],L1v,RNCG,TPSA(NO),P_VSA_p_2,H6p,SM15_AEA(bo),Tp,HOMT,TPSA(Tot),SpMax_B(p),H4s,SpDiam_B(p),L1e,Eig07_AEA(ri),SpMax1_Bh(i),VE3sign_RG,Eig07_EA(ed),H7v,RDF145s,SM02_AEA(ri),SpMax1_Bh(e),SpMax5_Bh(i),F06[C-N],F01[C-N],DP15,Eig12_EA(ri),H7u,F07[C-N],L1u,DP17,SM1_Dz(m),nPyrazines,CATS3D_09_AL,SM1_Dz(e),RDF015m,J_H2,HTu,Eig15_EA,VE1sign_B(m),O-058,Mor16e,SM15_EA(ri),Qneg,MATS5e,R4e,R8e+,Wap,nS,GATS1e,SM12_AEA(dm),RDF125i,RDF150i,F07[C-S],S3K,TDB03s,alvo
11,23.1714010109862,0.146303706524086,97.34,128.921157158449,0.15880194206667,1.65056858795789,27.1547243363671,19.56969244,97.34,3.87186479961633,4.8127855081038,5.81119089889248,23.6844635741049,2.61366209016839,4.18427118540634,-2.87835690274128,4.54804515296877,0.0878469336277225,6.49500945206258,4.54804515296877,4.13476947844667,3.35627898226896,11,12,12.1464007320029,0.679720523771481,0.324153730278952,8,23.5692185106018,11.8211682115522,1.01790825125313,1,2,0.825840722285404,9.43853593561501,46.1754603941803,26.4527353306571,-0.317555049059636,0.17351646772482,1,0.605201708360892,16.827631085905,-2.32529998756945,-0.267310749961482,1.2392689094016,0.0224869625740267,22050,0,0.874862684955238,7.77257111047795,8.31237168406409,3.35575566250234,0,3.78046304470711,11.253412526641,5.300162274132754
11,23.224999464125,0.143091485721548,97.34,128.921157158449,0.171695238080505,1.6541474936615,27.3705223012329,19.56969244,97.34,3.87254010311743,5.23464085869018,5.81190257626986,23.6522769185321,2.61412583515198,4.1842625894073,-2.87876394815035,4.64917308397103,0.0870153145802214,8.66883721531779,4.64917308397103,4.13483276261313,3.35627827341651,11,12,12.1727949648262,0.679748552911053,0.318496381162543,8,23.5279845771527,11.8543660352951,1.23215201459126,1,2,0.913727449471014,9.44181741134052,48.5712974785008,26.4458127265546,-0.28470993929917,0.171708243202438,1,0.49719481690536,16.8726965503534,-2.37749999761581,-0.104304041389966,1.25887756681067,0.0222330578218377,24583,0,0.835378335431811,8.61690397940351,7.73112695587916,3.35924073238793,0,3.84260098382367,12.4964417606632,5.896196279044043
9,20.4662462782889,0.134307147447364,85.31,110.910406475419,0.132501738843513,1.70767979137926,23.4685356640181,18.80459976,85.31,3.87355301843376,10.5172750657341,5.81317139359221,22.1942821615042,2.65445815835136,4.1851027616627,-2.95073678139564,4.91811089292111,0.0473263235132863,14.1338281500659,4.91811089292111,4.13611027358504,3.37042248713361,9,10,11.830111652135,0.951944081670218,0.248988962168937,8,21.1136574238499,11.4525986865008,1.12073248975222,1,6,1.05556559912579,11.0035505343972,50.8521640922371,27.522070553053,-0.287662257279748,0.148268237092363,1,0.926097191292982,17.2718751293771,-2.53300001844764,-0.183588271181197,1.47001025934283,0.0200511522136793,27704,0,0.634343427170565,8.78191926768098,10.248258695507,2.24807516344359,0,3.80011539028695,13.5976550936292,5.152427340857888
9,20.6782578714763,0.115396358000517,85.31,110.910406475419,0.175585200422905,1.8643994809495,24.0302588886244,18.80459976,85.31,3.87582010879288,11.7521165834648,5.81591053382654,22.2753781538599,2.7950907312222,4.18580476863687,-3.16493362955846,5.51054217360109,0.0613154364859349,3.90717279649051,5.51054217360109,4.13715317494677,3.45224192124438,8,10,12.271580551433,1.04238411404935,0.328382050177513,8,21.3613562064341,11.9784177596539,1.42810786393327,1,6,1.33791786137951,12.7764799516123,61.8716376974939,29.5263531282097,-0.19568274410202,0.166386572449678,1,0.857697583475216,17.6070044110399,-2.9481000341475,-0.0938604588157451,1.57796241825087,0.018078134407131,37846,0,0.62367768177423,11.2013676770388,7.96220901236866,1.56766361219576,0,4.64323025160873,15.908356305071,5.079876673709276
15,41.7683658090263,0.0959822119974778,87.53,122.394117853702,0.37857047477988,2.16993348096179,46.0971909996826,23.78609802,87.53,3.88980456299471,17.5899411596486,5.81414767986047,42.3843035043506,3.08219030360145,4.19672464017812,-9.03732534302529,6.38210842523171,0.21320043296857,79.137815023977,6.38210842523171,4.15258409381371,3.5192062657597,14,11,17.3275405001416,1.22094167088036,0.579526958931565,10,41.3797550936991,17.659750794099,1.38070376280667,0,4,1.20297230399234,15.0041239912513,75.3080943669349,37.3979996236032,1.0,0.152118889239787,2,0.973972160859201,17.4598752078153,-3.1036999989301,-0.0363535949819352,1.4755800450954,0.0158361671859304,99031,0,0.617633640874251,9.03862326460289,18.5706493707238,14.7429212721227,0,5.96621532998809,12.4858187516243,5.634512015109101
13,29.8865067090001,0.130249133270545,84.73,115.383255058278,0.361985141263343,2.13628439574805,36.2762210093564,23.03249408,84.73,3.89016177419709,11.3078691581436,5.814826737443,30.8513981944677,3.09612953335169,4.19680186351573,-8.9363302238406,6.32925033821234,0.159713366299695,24.7997013784712,6.32925033821234,4.15293818944346,3.477976354131,11,9,14.5750918760814,1.2181864050697,0.586961458189117,10,31.3910777082407,14.5479229383731,1.23054657326098,0,8,1.17214152195623,14.4894696635175,72.4208773552724,37.9164299975687,1.0,0.131763894768004,2,1.11839232769018,17.3381805339679,-3.1147999833338,-0.0984589315319923,1.35406363152459,0.0150846734673343,93919,0,0.628231175420123,9.06070319658923,17.0456491378256,7.92298140540164,0,5.94347652209451,11.4893306117012,4.522878745280337
13,35.3387240997859,0.130412421036889,84.73,115.383255058278,0.457988222165116,2.18747228696499,38.6137705418998,23.0955828,84.73,3.89009636705327,11.5072881870278,5.81470678117088,37.9109168852261,3.14299016728367,4.19679339203842,-8.81752647485968,6.49417609521297,0.268470528987461,15.979599105044,6.49417609521297,4.15291842123682,3.48613230093219,10,9,16.9014278910576,1.15877804075697,0.824673029975919,11,36.418148763379,17.214926006435,1.230546573261,0,6,1.17214152195622,14.4974471381875,72.6523973963421,37.6886036060113,1.0,0.157706388994849,2,1.02633825493755,17.3223114927089,-3.11089998111129,-0.156344586537849,1.3780298363607,0.0147265628491115,93919,0,0.628231175420123,9.05438511645932,22.6012169134569,15.4027844873517,0,5.94347652209451,11.5257738046584,4.672028376376989
9,16.915393007153,0.160380919819661,85.31,110.910406475419,0.118007011238109,1.54687440356713,21.0445826639632,18.80459976,85.31,3.87266572847961,4.32809757838478,5.8121775097366,18.1957709970769,2.48265209085269,4.18456767792944,-2.7399813720788,3.67142699205507,0.0364606052749279,0.588299865331115,3.67142699205507,4.13537406950618,3.30827630775328,8,10,9.78729049292271,0.679372395777045,0.238332163160042,8,18.2283464971521,9.18210038601078,0.674677664276273,1,6,0.660675640413014,9.23062111602528,40.3844095951115,25.5985347844815,-0.6337045591258,0.15789421967093,1,0.537976186689638,17.0018677743605,-2.1211999990046,-0.189095905928319,1.23778751016817,0.0220732708464756,17770,0,0.871841150064168,8.4897002072119,3.53588358655484,1.33285998647911,0,2.97485666173699,10.9139270304872,6.070581074285707
9,17.2891347320739,0.146777119096961,85.31,110.910406475419,0.116429286193231,1.64066676710757,21.0118152603815,18.80459976,85.31,3.87384900224309,8.69496014814417,5.81373161063582,18.5076180809982,2.59028731357905,4.18472902531285,-2.74081276055174,4.43901142022849,0.0390667834016745,9.0473085894016,4.43901142022849,4.13567972215277,3.31456479369265,8,10,10.3988642054279,0.679555464206985,0.233284027903281,8,18.249133037548,9.86904043332458,0.992955432809564,1,3,0.940436853702229,9.47134994430407,45.2005321829688,25.6208870504718,-0.306581523663058,0.205335316519209,1,0.499070992233763,17.1807358332977,-2.31780000217259,-0.142775607262186,1.29364029624848,0.0217991015469694,22486,0,0.663476836317069,8.59915882484452,3.48386478226313,1.45306592752047,0,3.25125184922589,13.9183305392442,5.139063379299906
9,17.6237355769322,0.14938087488123,85.31,110.910406475419,0.11715081974346,1.76974365320093,20.9867591094951,18.80459976,85.31,3.87359985686202,9.26518578522327,5.81334172719985,18.8486149217829,2.7168928583341,4.18471358647395,-2.74154156412825,4.96257486685741,0.0365053620366297,11.0852634761887,4.96257486685741,4.13564826919976,3.31422971602805,8,10,10.7820708944303,0.679403724797583,0.237844444126045,8,18.305509186485,10.3414439008319,0.992955432809577,1,6,0.940436853702213,9.46748657694785,45.2408580425664,25.5915185271299,-0.347296355333861,0.112736189723331,1,0.516790868833147,17.0847420770365,-2.27740001678467,0.198541717101492,1.28702426211518,0.0219381189181405,22486,0,0.663476836317069,8.569609290622,3.96549828372833,1.06556938224557,0,3.37346578296946,13.6408433812308,6.337242168318426
