F06[C-C],SpMin1_Bh(p),SpDiam_B(p),nArCONHR,CATS3D_08_DP,RDF070i,alvo
24,2.09243623032813,5.82933762965224,1,0,23.1819796653527,5.7121982700697735
24,2.09123414170093,5.82946989391334,1,0,24.2509184194767,7.522878745280337
29,2.09470000639501,5.8305123076314,2,0,23.3562564564868,5.785156151952302
31,2.09920015290761,5.81665556337621,2,0,28.284150624801,4.522878745280337
31,2.0994241493746,5.81544467303677,2,0,22.3071884631932,5.094743951251549
31,2.09927559450978,5.81726102049671,2,0,23.2491328411894,5.13430394008393
21,2.08794145987161,5.81425414211818,1,1,21.4897021656526,5.563837352959244
27,2.09283659612082,5.8268535756994,2,0,19.2343759824749,5.935542010773082
27,2.09297577905092,5.83065055133837,2,0,20.291864862871,6.346787486224656
27,2.09162207236245,5.83369244955341,2,0,20.9084188330983,4.633017024022149
28,2.09315556474637,5.8282348162782,2,0,21.6659863535258,5.739928612014925
28,2.09329160306068,5.83204439775843,2,0,19.5382584652506,5.790484985457369
28,2.0922263947321,5.83212639571965,2,0,20.9336340999012,6.180456064458132
28,2.09218740119937,5.83635419783927,2,0,20.5129664343637,4.522878745280337
28,2.09312502937637,5.83195946688001,2,0,24.6620895139559,5.554395796726403
28,2.09252115135988,5.82971130676389,2,0,22.1956509465403,5.7447274948966935
29,2.09405637219457,5.83146279325384,2,0,21.295159210217,4.897223385116559
31,2.09956922025163,5.81560889687341,2,0,26.0989922710415,5.150580586203101
27,2.09188505279968,5.8307172211483,2,0,18.1395666200544,6.045757490560675
27,2.0918104571356,5.83076636967653,2,0,21.2911744303646,5.939302159646388
24,2.093128232789,5.82717703850442,1,0,24.9202584200218,5.563837352959244
26,2.0945533137629,5.83459495870091,1,0,26.7663883840148,6.958607314841775
25,2.09333860058524,5.8314054280578,1,0,21.6545514178712,6.3872161432802645
25,2.09250978605232,5.83139452674303,1,0,21.867416140563,6.096910013008056
28,2.09215283495727,5.83217286640536,2,0,20.5581427257039,7.397940008672037
28,2.0926470541677,5.83185604724767,2,0,20.4528684093195,5.543633966870957
24,2.09175610488989,5.82914722918461,1,0,23.6254119886647,5.892790030352131
28,2.09395705442434,5.83070504824928,2,0,25.4935019546015,5.795880017344075
31,2.09938233441598,5.81478518164102,2,0,24.887506415243,5.197226274708024
32,2.09988921613502,5.81529091974169,2,0,23.1676090866164,4.522878745280337
31,2.0998383859168,5.81509181625419,2,0,28.24336771295,5.769551078621726
32,2.09991777308681,5.81644960402097,2,0,25.6626768196349,4.522878745280337
32,2.09965997635001,5.81670529961344,2,0,24.972135666148,4.522878745280337
24,2.0922558099583,5.82925215501419,1,0,27.8284375212365,5.935542010773082
25,2.09325706699376,5.82873771910147,1,0,24.4702982274434,6.251811972993799
24,2.09313356134136,5.8279669438133,1,0,29.1521200973813,5.756961951313706
26,2.09456508418728,5.83545301757578,1,0,31.0050708405153,8.0
30,2.09528030953292,5.83810293085623,2,0,27.8127574983213,6.259637310505756
27,2.09231636091756,5.83045418302584,2,0,17.5351068080791,6.050609993355088
27,2.09184591237346,5.83494540279823,2,0,18.0725904264364,5.889410289700751
27,2.09280371723642,5.83055234917572,2,0,24.926828465644,6.008773924307505
27,2.09218640060216,5.82831313241548,2,0,19.3040162568004,6.309803919971486
28,2.09376289501069,5.83005644148214,2,0,18.8413922512278,5.966576244513051
31,2.09958922659715,5.81412414361775,2,0,24.4408586010088,4.522878745280337
31,2.09963352848223,5.81527845363471,2,0,21.9687745794386,5.100179497572904
25,2.09334837401139,5.83222651096667,1,0,29.9341560386398,7.221848749616356
29,2.09414241529169,5.83491011155214,2,0,23.2668680657998,6.337242168318426
29,2.09336158898645,5.83490956565357,2,0,22.4389633117706,5.609064892896621
28,2.09332913109663,5.8302434555544,2,0,26.8712804983378,5.987162775294828
