F06[C-C],F03[C-N],HOMA,SpMin1_Bh(p),H6v,TPSA(Tot),L1v,RNCG,H6p,HOMT,L1e,SpMax_B(v),SpDiam_B(v),SpMax_B(p),H4s,SpDiam_B(p),RDF115v,H6i,F05[C-N],Tp,MATS1p,SpMax1_Bh(i),RDF060p,VE3sign_RG,SpMax1_Bh(e),RDF145s,SpMax5_Bh(i),H7v,F07[C-N],H7u,L1u,TPSA(NO),SM02_AEA(ri),Eig12_EA(ri),Eig07_EA(ed),VE2sign_RG,F06[C-N],nCsp2,SP16,Mor09s,Ke,B06[C-Cl],C-002,Mor22u,GATS5e,nBO,E3i,T(N..Br),alvo
25,10,0.777438276923076,2.06619545627947,0.100371940518328,100.3,7.31397812032684,0.150586894151745,0.0963908390735381,20.2133952,7.28979730989835,3.96559315824151,5.87591823825168,3.95496578428625,16.6410466054512,5.88740643086387,0.262611783405263,0.696593077904272,7,15.3691927609509,-0.0385384310153089,4.17947390944095,22.0702502034002,-4.17522430973857,4.1515181027797,0.0,3.46639436599873,0.0328660076724958,7,0.139915815933435,7.14451063921502,91.92,6.06520454741165,1.0,6.06520454741165,0.0029768598636693,9,20,6.01067956458138,-11.6836904231492,0.210993171868099,1,1,0.0301668782331905,1.08134797819386,36,0.507761872951495,0,6.431798275933005
18,9,0.7521839904,2.0860263639504,0.107851910905194,85.31,18.9492209314067,0.153070870033617,0.131162838760754,18.80459976,19.2647252421217,3.90790530332113,5.80003843451148,3.87394118668875,5.97112074593844,5.81360215202647,2.49638729108369,0.671057120493831,7,22.5068068511614,0.0267416993365248,4.18462279930907,4.02813649783267,-2.74115419292797,4.13557734323005,7.42023348909804,3.314174691162,0.0404797458838575,8,0.237653187417651,18.5162863797223,85.31,3.67563296206769,0.679503139922546,3.67563296206769,0.0051600208970939,8,19,11.1703689547735,-11.9599008451963,0.713149008894962,1,0,0.113414736413476,0.791941236789504,30,0.298754717336151,0,6.468521082957745
18,9,0.7521839904,2.08573258080707,0.113729952831197,85.31,19.0328634219781,0.150630953418243,0.139840402456291,18.80459976,19.253656128923,3.90902373291,5.80154557549116,3.87594617072494,6.80479008158369,5.8157631103903,3.04776354353789,0.674238014629608,7,22.9750260979419,0.0336337887759437,4.1846125907593,4.02025970796527,-2.74268029692436,4.1356640447088,8.40586969078612,3.31379490517628,0.0407787359887795,8,0.238733230071688,18.4827582185188,85.31,5.22488835159337,0.679515658687581,5.22488835159337,0.0051554898295268,8,19,11.1713031548693,-14.5214308283888,0.703393324894318,1,0,0.054685921958203,0.696279728799162,31,0.300357112956441,0,5.388276691992658
18,9,0.7521839904,2.0863418790973,0.120410204370051,85.31,20.1442680959814,0.159800840019806,0.145548899779305,18.80459976,21.2777202210934,3.90799891767132,5.80009732348639,3.87420408920662,5.88730114211353,5.81383171869221,2.61057977698656,0.662008624910751,7,24.6984759806506,0.0222604784196788,4.18495225322104,4.03743669080994,-2.95585926589957,4.13596277149691,6.78264405708544,3.35359310978206,0.0485405129441552,8,0.253419025244891,21.1351593228299,85.31,3.67563296206769,0.679517274752758,3.67563296206769,0.0047766389185937,9,19,11.200022927425,-8.47720131113155,0.7203800404982,1,0,-0.0137762775416335,1.01790483887111,30,0.283102273203641,0,5.6439741428068775
18,9,0.7521839904,2.08594024176855,0.101331075250972,85.31,18.5234552832771,0.163573424861437,0.124495187771319,18.80459976,18.604781762698,3.90737605429951,5.79929033303554,3.87337050789927,4.62598664061148,5.81291036290411,3.48794566217624,0.661822441775028,7,23.3926706160892,0.0266470284477692,4.18454361700854,4.05301436860767,-2.74127406481273,4.13542073287751,1.69926760753675,3.305992187273,0.0458679651156349,8,0.239261414497417,18.4292869867181,85.31,3.67452144824141,0.679464539049028,3.67452144824141,0.0051596648483092,8,19,10.5742802936203,-9.15633175417371,0.701631980913071,0,0,0.131278496673056,1.28639674764051,29,0.302267335554802,57,6.1249387366083
19,9,0.7521839904,2.0870028368817,0.138321295667378,85.31,21.1613743533249,0.134243550335054,0.132123587278673,18.80459976,23.0520678675773,3.90785843774006,5.79995619025425,3.87370951016758,9.35848355501896,5.81337402654049,3.52656049759849,0.828063464276495,8,23.4828823818165,0.0150029018508288,4.18513320157173,4.7733647723058,-2.950406947182,4.13616032971546,0.261130536745629,3.36976264907078,0.0489198733681286,8,0.279161998156336,21.7584635904281,85.31,4.83133959414419,0.951805957551812,4.83133959414419,0.0047906053362604,8,19,12.2639417463604,-23.4088824664561,0.765628427926768,0,0,0.229740150995246,0.981340682352955,32,0.332454660798664,0,5.681936665037238
29,12,0.738783943030303,2.09330762417941,0.46434413537853,97.62,45.5405471390169,0.110475722938088,0.415895156765159,24.37987012,48.4910813293805,3.91377484368388,5.81486937916492,3.88002156786439,20.1871468887152,5.82974957719216,9.62338466451644,1.9588830259971,13,46.0536833477091,-0.0391212572387991,4.19186695281194,9.86613975404913,-7.65122073383183,4.14444666507868,74.4385390783607,3.49802046559818,0.239263668543801,14,0.708920908724766,44.7260637401834,97.62,7.071334727584,1.3250293459989,7.071334727584,0.0008557184874119,14,26,19.2667887944812,-41.0203750577038,0.864149622527146,0,0,0.354680238446865,1.02138360660901,47,0.311637600463506,0,5.882728704344236
30,12,0.740322333939394,2.09496805780448,0.422237271072755,88.39,41.4681164417656,0.096258603742711,0.417686216989039,24.43063702,43.9978602163825,3.91481216108337,5.81701604853122,3.8815030518489,18.0837857633435,5.83191537005261,9.63645191590146,1.85949911487972,15,45.6749501474706,-0.0117000875686904,4.19282890639965,11.1923518674152,-5.93800291090434,4.14547681139231,32.2989394469648,3.48154758637916,0.222509637903099,15,0.769103067327394,42.6886575082687,88.39,6.60116699146359,1.29745983469001,6.60116699146359,0.0017427177910451,14,26,17.378819973328,-27.2792201838623,0.833077334217067,0,0,0.288001368874768,0.923313945054827,44,0.362026482315111,0,6.7447274948966935
15,11,0.850856193043478,2.08521245223812,0.135958520656468,97.34,22.0362947838956,0.145390832683488,0.154478541941262,19.56969244,23.3127698431065,3.90619885937806,5.79768497476451,3.87161244427657,4.29237411166693,5.81092879741412,2.58543689283405,0.800332615472111,10,25.7432622254248,0.0187824106329185,4.18427839213182,6.17871750899665,-2.87734253881981,4.13471956513554,6.67425153842937,3.35636632026297,0.0781112142611241,8,0.322451379140471,23.4645849459802,97.34,3.67237046097541,0.679718727310907,3.67237046097541,0.0049166484075073,11,19,11.7206208988673,-12.8750020781482,0.788887154409068,0,0,-0.0225146320448514,1.49086876770912,29,0.275719307716226,0,5.943095148663527
15,11,0.850856193043478,2.08525417543728,0.151047927270853,97.34,22.8631813169876,0.133763223895318,0.151271089185397,19.56969244,24.064987239305,3.90661078942767,5.79819064465882,3.87205574203491,9.64276044548635,5.81144540858591,3.00930550608103,0.837215633773858,10,25.6650059106412,0.0168009871723548,4.18439485707832,6.20128835865412,-2.87763334426732,4.13491354437138,4.02256270927796,3.35758667251441,0.0857255302632834,8,0.320566001149159,23.53971743604,97.34,4.90686711179175,0.679775301957316,4.90686711179175,0.0049158646107372,11,19,12.5899404046158,-13.9330752460289,0.791912009432649,0,0,-0.177069072909089,0.759959278353016,31,0.265123365490793,0,6.036212172654444
15,11,0.850856193043478,2.08506564352015,0.141964595531544,97.34,23.1714010109862,0.146303706524086,0.15880194206667,19.56969244,23.6844635741049,3.90638582015433,5.7978889352845,3.87186479961633,4.8127855081038,5.81119089889248,3.34171270280855,0.788637323596249,10,27.1547243363671,0.0284157833057165,4.18427118540634,6.08128424431615,-2.87835690274128,4.13476947844667,6.49500945206258,3.35627898226896,0.0878469336277225,8,0.324153730278952,23.5692185106018,97.34,4.54804515296877,0.679720523771481,4.54804515296877,0.0049139149735016,11,19,12.0361990774227,-12.4277702597,0.785084676700148,0,0,-0.0966119105254916,1.42702267506983,30,0.272802705756107,0,5.300162274132754
15,11,0.850856193043478,2.08490830692647,0.150671603467981,97.34,23.224999464125,0.143091485721548,0.171695238080505,19.56969244,23.6522769185321,3.90682234904245,5.79839133612776,3.87254010311743,5.23464085869018,5.81190257626986,3.04933271434724,0.786733808017493,10,27.3705223012329,0.0381293583886995,4.1842625894073,5.91553921196361,-2.87876394815035,4.13483276261313,8.66883721531779,3.35627827341651,0.0870153145802214,8,0.318496381162543,23.5279845771527,97.34,4.64917308397103,0.679748552911053,4.64917308397103,0.0049128185244916,11,19,12.0787816877842,-11.6958192099833,0.780234905323157,1,0,-0.144575858016119,1.20342453553882,31,0.270820268575507,0,5.896196279044043
18,9,0.7521839904,2.08691350922283,0.114285496880584,85.31,20.4662462782889,0.134307147447364,0.132501738843513,18.80459976,22.1942821615042,3.90773327459922,5.79975855390872,3.87355301843376,10.5172750657341,5.81317139359221,5.11088072850646,0.654286438406357,7,23.4685356640181,0.0150029018508288,4.1851027616627,4.00511244583995,-2.95073678139564,4.13611027358504,14.1338281500659,3.37042248713361,0.0473263235132863,8,0.248988962168937,21.1136574238499,85.31,4.91811089292111,0.951944081670218,4.91811089292111,0.00478975928831,9,19,11.670645707709,-21.7710567396761,0.723536762475319,0,0,0.170599972966809,1.04220673526006,32,0.289512562745298,0,5.152427340857888
20,9,0.7521839904,2.08794321269317,0.242146236483971,85.31,20.6782578714763,0.115396358000517,0.175585200422905,18.80459976,22.2753781538599,3.90947376821854,5.80231649066716,3.87582010879288,11.7521165834648,5.81591053382654,4.36715160679809,1.32457810375269,9,24.0302588886244,0.0107387352149461,4.18580476863687,6.59591062064236,-3.16493362955846,4.13715317494677,3.90717279649051,3.45224192124438,0.0613154364859349,8,0.328382050177513,21.3613562064341,85.31,5.51054217360109,1.04238411404935,5.51054217360109,0.0044587499596315,8,19,12.1819485641467,-38.8308431890789,0.703697252226111,0,0,0.0618518721968059,0.886982813911249,36,0.359210837325895,0,5.079876673709276
28,15,0.767293484516129,2.09898601626382,0.367001064359396,87.53,41.7683658090263,0.0959822119974778,0.37857047477988,23.78609802,42.3843035043506,3.92009640971864,5.80450455555129,3.88980456299471,17.5899411596486,5.81414767986047,8.88453871772025,1.50118679489295,12,46.0971909996826,0.0104721048351113,4.19672464017812,10.3980100251704,-9.03732534302529,4.15258409381371,79.137815023977,3.5192062657597,0.21320043296857,10,0.579526958931565,41.3797550936991,87.53,6.38210842523171,1.22094167088036,6.38210842523171,0.0004768836847795,14,27,17.6279652455688,-28.2109883223716,0.823329441407452,1,0,0.240275517393285,0.966899720942413,43,0.203944048186972,0,5.634512015109101
