RCI,C-006,SssNH,CATS2D_08_DP,B04[O-O],B06[C-Br],B06[O-Cl],B08[N-Cl],F06[C-Br],CATS3D_08_DD,CATS3D_03_DL,CATS3D_14_AP,CATS3D_10_AL,CATS3D_13_PL,alvo
1.07407407407407,0,5.43079441027701,0,0,0,0,1,0,1,4,0,5,0,6.050609993355088
1.07407407407407,0,5.39312708912984,0,0,0,0,1,0,1,4,0,5,0,5.889410289700751
1.07407407407407,0,5.57991005653551,0,0,0,0,1,0,1,4,0,5,0,6.008773924307505
1.07407407407407,0,5.59893792190038,0,0,0,0,0,0,1,4,0,6,0,6.309803919971486
1.07407407407407,0,5.2405286002493,0,0,0,0,0,0,1,4,0,4,0,5.966576244513051
1.07407407407407,0,5.88104464843934,0,0,0,0,0,0,1,5,0,5,0,4.522878745280337
1.07407407407407,0,5.5499780837464,0,0,0,0,0,0,1,5,0,3,0,5.100179497572904
1.07407407407407,0,7.20252133025027,0,0,0,0,0,0,1,5,0,1,0,7.221848749616356
1.07407407407407,0,4.89545301445943,0,0,0,1,0,0,0,4,0,5,0,6.337242168318426
1.07407407407407,0,4.99210204444179,0,0,0,1,1,0,1,4,0,6,0,5.609064892896621
1.07407407407407,0,5.06607098734302,0,0,0,1,0,0,1,4,0,11,0,5.987162775294828
