RCI,C-006,SssNH,CATS2D_08_DP,B04[O-O],B06[C-Br],B06[O-Cl],B08[N-Cl],F06[C-Br],CATS3D_08_DD,CATS3D_03_DL,CATS3D_14_AP,CATS3D_10_AL,CATS3D_13_PL,alvo
1.0952380952381,1,2.07495899272942,0,0,0,0,0,0,0,3,0,1,0,6.431798275933005
1.0952380952381,0,2.77994708994709,1,0,0,0,0,0,1,3,0,3,0,6.468521082957745
1.0952380952381,0,2.74852733686067,1,0,0,0,0,0,1,3,0,2,0,5.388276691992658
1.0952380952381,0,2.90239606953893,1,0,0,0,0,0,1,3,0,3,0,5.6439741428068775
1.0952380952381,0,2.91850970017637,1,0,0,0,0,0,1,3,0,4,1,6.1249387366083
1.0952380952381,0,2.62567334341144,1,0,0,0,0,0,1,3,0,3,1,5.681936665037238
1.07407407407407,0,5.12456921639121,0,0,0,1,0,0,1,4,0,5,0,5.882728704344236
1.07407407407407,0,5.43833620981515,0,0,0,1,0,0,1,4,0,5,0,6.7447274948966935
1.0952380952381,0,5.62476269905473,1,0,0,0,0,0,1,4,0,0,1,5.943095148663527
1.0952380952381,0,4.96002606829131,1,0,0,0,0,0,1,4,0,0,1,6.036212172654444
1.0952380952381,0,5.55753102860877,1,0,0,1,0,0,1,3,0,0,1,5.300162274132754
1.0952380952381,0,5.46245386811494,1,0,0,1,0,0,1,4,0,2,1,5.896196279044043
1.0952380952381,0,2.69130944507433,1,0,0,0,0,0,1,3,0,4,1,5.152427340857888
1.0952380952381,0,2.33699420508944,1,0,0,0,0,0,1,3,0,4,1,5.079876673709276
1.07407407407407,0,7.88209271026229,0,0,0,0,0,0,1,6,0,1,0,5.634512015109101
1.07407407407407,0,5.57227068440353,0,0,0,0,0,0,1,5,0,4,0,4.522878745280337
1.07407407407407,0,5.63076891345171,0,0,0,0,0,0,1,5,0,6,0,4.672028376376989
1.0952380952381,0,2.91435248173343,1,0,0,0,0,0,1,3,0,4,1,6.070581074285707
1.0952380952381,0,2.61220017636684,1,0,0,0,0,0,1,3,0,4,1,5.139063379299906
1.0952380952381,0,2.63546359284455,1,0,0,0,0,0,1,3,0,1,0,6.337242168318426
1.0952380952381,0,2.8393216175359,1,0,0,0,0,0,1,2,0,3,0,6.1938200260161125
1.0952380952381,0,2.85931216931217,1,0,0,1,0,0,1,3,0,3,0,5.91721462968355
1.0952380952381,0,2.85151297556059,1,0,0,0,0,0,1,3,0,2,0,5.531652669587842
1.07407407407407,0,5.9588970056873,0,0,0,0,0,0,1,7,0,8,0,4.522878745280337
1.07407407407407,0,5.94453590687565,0,0,0,0,0,0,1,5,0,6,0,4.522878745280337
1.07407407407407,0,5.87176981044283,0,0,0,0,0,0,1,5,0,6,0,5.023650020996727
1.07407407407407,0,8.53174371649812,0,0,0,1,0,0,1,5,0,6,0,5.133122185662502
