nO,N%,Psi_i_t,SpMax7_Bh(m),SpMax1_Bh(i),P_VSA_m_2,P_VSA_i_2,RDF140u,RDF140e,RDF140i,Mor24p,Mor20s,HATS4p,H8s,SP17,SP19,nCbH,nRNR2,nPyrrolidines,C-001,F-084,SaaCH,CATS2D_08_DA,B10[C-N],F02[C-O],CATS3D_12_LL,alvo
4,4.34782608695652,0.0,3.07861814160581,4.04160169356223,108.910140761405,87.7750761843791,0.0,0.0,0.0,0.430628901619268,4.80176153213136,0.140508941740831,0.494708290973585,7.12278772895807,6.05100680934287,4,0,0,0,0,6.74556275411035,0,0,6,0,5.8474059220725305
4,4.16666666666667,0.0002572030159025,2.8385278865173,4.0338955371811,93.5285013118251,57.5069999457645,0.0,0.0,0.0,0.0887814194660257,3.87425765900009,0.0913434449381937,0.854645340182175,5.93370816307682,4.69135118462364,0,0,0,0,0,0.0,0,0,5,0,6.504455662453552
3,3.77358490566038,0.0002551859635729,2.86601227090565,4.05168383655565,93.4462270013125,72.3111624242872,0.0,0.0,0.0,0.15903278817128,2.19717523182635,0.11690906232471,1.22309554210463,5.09058605752206,3.83387760476964,0,0,0,4,0,0.0,0,0,5,0,7.397940008672037
3,3.63636363636364,0.0001768049509039,2.87196069686319,4.08330179094406,123.400689376787,87.3791880107265,0.0,0.0,0.0,0.22347435488551,2.81961417018869,0.129022873589019,1.23489265521734,5.5014557422815,4.24993464632639,0,0,0,5,0,0.0,0,0,3,0,8.229147988357855
3,4.54545454545455,0.0,3.18069407518358,4.05825412674462,123.865839443456,87.8443380773958,0.0121552105842833,0.0107815166877722,0.0177259163673886,0.316139252360082,6.61829482813093,0.11486631051439,1.07780583184696,8.14259342238854,7.18920006744436,4,0,0,0,0,6.86267492209509,0,0,3,0,6.863279432843593
4,3.92156862745098,0.0,3.22120189721076,4.05922368682523,137.250103110293,101.228601744232,0.0,0.0,0.0,0.251109204212295,0.134551175447187,0.0956821897563554,2.14528796767736,8.29223771934091,7.34110025086783,4,0,0,0,0,4.70054805014949,1,0,5,0,7.200659450546419
4,4.34782608695652,0.0,3.18129069917459,4.04156302527324,108.910140761405,87.7750761843791,0.0,0.0,0.0,0.414430710837262,6.44958204413266,0.132873284378577,1.1150004838126,6.86971611746342,5.74838153713741,4,0,0,0,0,6.86395964431731,0,0,6,0,6.6439741428068775
4,4.08163265306122,0.0,3.18205031248835,4.05193140311569,115.999395809557,94.8643312325315,0.0,0.0,0.0,0.339982196504491,5.16945992877467,0.123113093469757,1.47967357174281,6.93109236412376,5.80232478700293,3,0,0,0,1,2.32521515057552,0,0,6,0,7.022276394711152
5,4.0,0.0,3.06171300002525,4.04326799775262,121.536019730064,100.400955153038,0.0,0.0,0.0,0.331656147263391,7.24323518908456,0.117097251605592,0.813117005575908,6.72821044442755,5.62428077560138,4,0,0,0,0,7.03269421221854,0,0,8,0,5.0
3,4.44444444444444,0.0,3.17916258098441,4.0611340611847,108.993928374464,87.8588637974385,0.0,0.0,0.0,0.276879684460951,6.66894310082634,0.107651406102504,1.63744098956292,6.89558147639952,5.77976122939376,4,0,0,0,0,4.28583549935021,0,0,4,0,8.602059991327963
