F03[C-N],SpMin1_Bh(p),RNCG,SpDiam_B(p),F05[C-C],F06[C-N],CATS3D_07_LL,F10[N-Cl],nCb-,CATS2D_05_AL,P_VSA_m_3,MATS7s,F06[N-Cl],alvo
12,2.0922263947321,0.097673187554068,5.83212639571965,27,14,5,0,8,10,95.1701938778729,-0.0857388337739429,2,6.180456064458132
12,2.09218740119937,0.0934393015442376,5.83635419783927,27,14,5,0,9,11,110.130307148885,-0.0733421476387055,1,4.522878745280337
12,2.09312502937637,0.0974377606960562,5.83195946688001,28,15,5,0,8,11,95.1701938778729,-0.137544949595058,1,5.554395796726403
12,2.09252115135988,0.0990434644840064,5.82971130676389,27,14,5,0,7,9,95.1701938778729,-0.093936001978654,1,5.7447274948966935
12,2.09405637219457,0.0859372726038141,5.83146279325384,27,14,5,0,7,10,140.05053369091,-0.0819579362942489,1,4.897223385116559
13,2.09956922025163,0.120744160442093,5.81560889687341,31,11,12,1,6,10,50.2898540648355,-0.153753104256248,0,5.150580586203101
12,2.09188505279968,0.10936921037421,5.8307172211483,27,14,5,1,8,11,65.249967335848,-0.0819180405108228,1,6.045757490560675
12,2.0918104571356,0.110553330231632,5.83076636967653,27,14,4,1,8,13,65.249967335848,-0.056509723063297,0,5.939302159646388
14,2.093128232789,0.0860249536033771,5.82717703850442,25,18,2,0,7,12,125.090420419898,0.242149969876409,0,5.563837352959244
14,2.0945533137629,0.0767390456172651,5.83459495870091,24,17,2,0,8,12,169.970760232935,-0.0228603751595347,0,6.958607314841775
14,2.09333860058524,0.0832369621693857,5.8314054280578,24,17,2,0,8,11,140.05053369091,-0.0105250129562267,0,6.3872161432802645
14,2.09250978605232,0.0857101370105555,5.83139452674303,24,17,2,0,8,11,125.090420419898,-0.0030858043754059,1,6.096910013008056
12,2.09215283495727,0.098616495920139,5.83217286640536,27,14,5,0,8,12,95.1701938778729,-0.0694269004873263,1,7.397940008672037
12,2.0926470541677,0.0945166876968622,5.83185604724767,27,14,5,0,8,10,110.130307148885,-0.0813893260696852,1,5.543633966870957
14,2.09175610488989,0.0883004198000314,5.82914722918461,25,18,3,0,8,12,110.130307148885,0.203120400337406,0,5.892790030352131
12,2.09395705442434,0.0859673143291468,5.83070504824928,28,15,5,0,7,10,140.05053369091,0.11556758236338,1,5.795880017344075
13,2.09938233441598,0.123195894785218,5.81478518164102,30,10,10,0,5,8,50.2898540648355,-0.086063334359542,0,5.197226274708024
13,2.09988921613502,0.103707568408682,5.81529091974169,30,10,12,0,5,9,95.1701938778729,-0.0615898313255158,0,4.522878745280337
13,2.0998383859168,0.103750910617322,5.81509181625419,31,11,11,0,5,9,95.1701938778729,0.251421676126796,0,5.769551078621726
13,2.09991777308681,0.0997588878773194,5.81644960402097,30,10,9,0,6,8,110.130307148885,-0.0623171253222533,0,4.522878745280337
13,2.09965997635001,0.103297614591051,5.81670529961344,30,10,9,0,6,8,95.1701938778729,-0.0663518843697397,1,4.522878745280337
14,2.0922558099583,0.0908447243955066,5.82925215501419,26,19,3,0,8,13,95.1701938778729,0.204457907823465,0,5.935542010773082
14,2.09325706699376,0.0807674415250543,5.82873771910147,25,18,3,0,7,12,140.05053369091,0.13005032236915,0,6.251811972993799
14,2.09313356134136,0.080793976901747,5.8279669438133,26,19,3,0,7,12,140.05053369091,0.333697428601064,0,5.756961951313706
14,2.09456508418728,0.0725489231451442,5.83545301757578,25,18,3,0,8,12,184.930873503948,0.0692121685691644,0,8.0
12,2.09528030953292,0.076693175081904,5.83810293085623,27,14,5,0,8,10,184.930873503948,-0.0782011557401265,1,6.259637310505756
12,2.09231636091756,0.105426745819386,5.83045418302584,27,14,5,1,8,11,80.2100806068604,-0.0763913666321784,0,6.050609993355088
12,2.09184591237346,0.104088040628961,5.83494540279823,27,14,5,1,9,12,80.2100806068604,-0.0651909109458775,0,5.889410289700751
12,2.09280371723642,0.109074109765944,5.83055234917572,28,15,4,1,8,12,65.249967335848,-0.150172112731791,0,6.008773924307505
12,2.09218640060216,0.111090198931021,5.82831313241548,27,14,5,1,7,10,65.249967335848,-0.0947153326318293,0,6.309803919971486
12,2.09376289501069,0.0948630583449304,5.83005644148214,27,14,5,1,7,11,110.130307148885,-0.0796673916107813,0,5.966576244513051
13,2.09958922659715,0.121122175946141,5.81412414361775,30,10,12,0,4,9,50.2898540648355,-0.0760694285525502,0,4.522878745280337
13,2.09963352848223,0.113889203535103,5.81527845363471,30,10,9,0,6,9,80.2100806068604,-0.0062025929240698,0,5.100179497572904
14,2.09334837401139,0.0783298831318575,5.83222651096667,25,18,3,0,8,11,155.010646961923,0.101985073402591,0,7.221848749616356
12,2.09414241529169,0.0831829972560538,5.83491011155214,27,14,5,0,8,9,155.010646961923,-0.0836059397376216,1,6.337242168318426
12,2.09336158898645,0.0856529186970186,5.83490956565357,27,14,5,0,8,9,140.05053369091,-0.0866318789974123,2,5.609064892896621
12,2.09332913109663,0.110358521598692,5.8302434555544,29,15,5,0,7,10,151.050421578517,0.0762296133336372,1,5.987162775294828
