nO,MATS5i,SpMax1_Bh(i),Eta_beta_A,SM09_AEA(dm),Eig15_EA(ri),VE2_RG,RDF130v,RDF100i,Mor20e,Mor23p,P2m,HATS4i,SP20,nROR,SaaCH,T(N..S),B06[N-Cl],B08[S-Cl],B09[C-S],F04[C-O],F06[N-Cl],F09[C-S],G(O..O),CATS3D_03_AA,CATS3D_12_AL,alvo
3,0.20021584151645,4.06266338691242,1.10483870967742,-0.0931838076321915,-0.0817811024291496,0.0749490394426244,0.0070957244175418,6.44984301746849,2.42832690773879,-0.387412827478174,0.276806416309451,0.458526435492118,5.14535078855066,1,2.11138329721132,6,0,0,0,9,0,0,18.5970001220703,0,0,8.187086643357144
2,-0.199821530697546,4.0930858342639,1.12037037037037,-0.426890344070849,-0.412191531749886,0.0641881132891357,0.0619417543984362,13.031822952819,1.57966565599662,-0.704304177905057,0.300930491837134,0.538410324067017,4.82580943829393,0,6.95100918526727,6,0,0,0,6,0,0,6.22100019454956,0,0,9.259637310505756
2,-0.0698211088189058,4.0691304141956,0.944444444444445,-0.342386508738238,-0.334463182715685,0.0749674068029087,0.0019748286218391,18.6166973829843,1.71833192596958,-0.29180659545691,0.292104971492435,0.523231519054046,4.87563119962304,0,0.0,11,0,0,0,6,0,0,6.20499992370605,1,0,7.251811972993799
4,-0.0305421499973896,4.05490813177212,1.11206896551724,-0.203346263723971,-0.187584422928306,0.0627024583263266,0.0055372185042722,19.1316875119279,2.54855018532961,-0.608448592143762,0.285587210608784,0.405916227397904,5.07615098706762,2,7.63093495295928,6,0,0,0,11,0,0,39.0890007019043,0,0,7.455931955649724
4,-0.126076375298532,4.05669885953369,1.12903225806452,0.0,0.0,0.0733595984467103,0.00360093056439,6.93885604150751,2.16500785569757,-0.407300938225894,0.274384565649605,0.360929919509164,5.01379101191276,1,4.76994689390804,6,0,0,0,9,0,0,36.2099990844727,1,0,8.327902142064282
2,0.0495447553963024,4.06697318468157,0.93,-0.874146816181282,-0.780758577137396,0.0699825656464512,0.0,14.1512581332341,1.42438145514852,-0.513289832035776,0.386797530555173,0.628062199965052,3.96376489602721,0,0.0,6,0,0,0,7,0,0,6.2020001411438,0,0,8.267606240177031
3,0.28312754318537,4.05737907789401,1.08870967741935,-0.0908132442881449,-0.0796373086850359,0.0767694732552438,0.0062782564240801,11.2721093667692,2.05422931799087,-0.527336749604509,0.317987063464102,0.532367656647464,5.12908709324544,1,2.36482724787992,6,0,0,0,10,0,0,18.5149993896484,0,0,7.853871964321762
4,0.0859974249144605,4.02060267873412,1.25,-0.872427372230817,-0.841480216930666,0.0979500933149233,0.0100491974808739,7.11369617860036,1.80854751381843,-0.364593827785571,0.171335496181964,0.5361229468152,5.27989689479989,1,6.63071646752518,2,0,0,0,9,0,0,32.4839973449707,0,0,5.0
4,-0.150344878001097,4.04548616495565,1.11206896551724,-0.780227374082327,-0.7,0.0774648681989348,0.00360093056439,10.9740063583194,1.92737774987663,-0.408992401348404,0.223882086432487,0.532169615436922,5.06378898826204,1,5.07881513060152,2,0,0,0,8,0,0,35.5589981079102,1,0,6.027334407733889
5,-0.0763777514744424,4.04363558310891,1.14166666666667,-0.0068248817363677,-0.005906908606205,0.0790169684642076,0.0032512523372513,6.69101200323409,2.44567565830874,-0.584310575838529,0.294718859557751,0.399922104243055,5.02293166800236,2,5.75464810488672,6,0,0,0,11,0,0,61.5989952087402,0,0,6.311580177997289
4,0.162742123644604,4.04713751853381,1.15740740740741,-0.347590504192036,-0.343844949179165,0.051638907856572,0.0070957236493793,8.42387102915434,2.82767756777504,-0.521695514845328,0.311893496946113,0.458555774248633,5.02823935411885,2,7.44686087888521,6,0,0,0,11,0,0,39.1319999694824,0,0,6.189767482004916
3,0.0982126488911289,4.05748996630536,1.078125,-0.0877373263954623,-0.0785428302932401,0.0821238657105338,0.0077616304955168,15.5446769046795,2.21660751332995,-0.444230436657145,0.362483956547059,0.551085285083872,5.39509281761521,1,4.36553320555953,6,0,0,0,10,0,0,18.3839988708496,0,0,8.853871964321762
4,0.187479264029532,4.05918389555207,1.11666666666667,0.0,0.0,0.0512641279619626,0.0077616304955168,9.1995213458939,3.01824664669132,-0.347925987923966,0.278348897435359,0.447437808539635,5.1596155666417,2,4.57778642219712,6,0,0,0,10,0,0,38.7129974365234,0,0,7.823908740944319
4,0.245972583867859,4.048976750044,1.0625,-0.313900514555527,-0.28295876300619,0.0502692017425938,0.0070957244175418,18.3839317490647,3.31879430476331,-0.530532088619381,0.345413495085817,0.538471837052829,5.08343274483337,2,2.28906667082855,6,0,0,0,12,0,0,37.1109962463379,1,0,7.130768280269024
5,-0.138672811297246,4.0401965163449,1.0859375,-0.221002117050002,-0.199851718686657,0.0497071121968012,0.0042660668896428,14.7099354008319,3.29009889722415,-0.513931806632723,0.298346700759484,0.42343916199118,5.03473468418494,2,5.02100820727631,6,0,0,0,12,0,0,59.3919944763184,2,0,6.995678626217358
2,-0.0848894298186676,4.06881765267141,0.961538461538462,-0.476865654469339,-0.470226386445059,0.0708315975056239,0.172587201487928,16.1645919494701,1.68793222527665,-0.0475877399780525,0.321986298345095,0.465163372101438,5.26083712209042,0,0.0,11,0,0,0,6,0,0,6.20499992370605,0,0,6.404503778174426
3,0.18729027765062,4.06500388493725,0.93,-0.843666836900793,-0.787357827455391,0.0519098639777323,0.0,19.5897708454975,1.65301370346329,-0.489525602054987,0.376107551640758,0.579242107780538,4.02380584413389,1,0.0,6,0,0,0,8,0,0,18.7889995574951,1,0,7.327902142064283
3,0.070957032944245,4.05458119864146,0.956521739130435,-0.841611749114661,-0.777698021567651,0.0534654689993304,0.0,15.6375156427973,0.908607726455295,-0.247581788850244,0.330237024018393,0.442549343474535,3.9953610791565,1,0.0,6,0,0,0,6,0,0,16.7679996490479,0,0,6.696803942579511
4,0.127311206652003,4.04137967928147,1.15178571428571,-0.347296355333862,-0.228883725337683,0.0857475671742673,0.0050288548774567,4.55549437333707,2.03907242308516,-0.54164695592441,0.298208820415383,0.484067884954712,5.01768488878472,2,4.88975990366194,6,0,0,0,10,0,0,39.1319999694824,0,0,6.158015195409886
3,0.270003067747851,4.05550013112659,1.1,-0.322401801813069,-0.295147630737427,0.0624269580193289,0.0070957244175418,14.6569233022354,2.39822401455246,-0.317459659788242,0.348728728664977,0.492132477898714,5.19727552808697,1,2.33542790510063,6,0,0,0,9,0,0,18.5279998779297,0,0,7.958607314841775
3,0.193360462613852,4.05922658368516,1.06818181818182,-0.0546676846613607,-0.0477521073877457,0.080942714788879,0.0070957244175418,15.3806521654621,2.21883365032573,-0.433378236728027,0.364134871922029,0.555400563253485,5.39108159542658,1,2.16654243592753,6,0,0,0,10,0,0,18.3839988708496,0,0,8.443697499232712
5,-0.1339726726621,4.03394788057757,1.125,-0.236899327592576,-0.214608128255587,0.0495824874147509,0.0042660668896428,11.6381300596356,2.34900540427812,-0.445366144441151,0.238587400901411,0.351710632131112,5.10289436845446,2,5.01085567182075,6,0,0,0,10,0,0,59.7079963684082,2,0,7.017728766960432
2,-0.120885096671196,4.0905150043154,0.9,-1.0,-1.0,0.0747076841058296,0.0,16.6855151001722,1.41843911156766,-0.665565415393526,0.343406616859419,0.715687464772829,3.68243895153791,0,0.0,6,0,0,0,7,0,0,6.23099994659424,0,0,8.193820026016112
4,-0.0238207669807123,4.07037200375041,0.965517241379311,-0.217189972727266,-0.20029271992154,0.043984455176637,0.0,25.5908899183931,2.24566671929557,-0.197482175488901,0.281301072090944,0.335445372169896,4.55923812341502,1,0.0,11,0,0,0,11,0,0,36.8929977416992,0,0,6.46344155742847
3,-0.0478348790099967,4.05752018379409,1.11607142857143,-0.325964011065332,-0.260022239191981,0.0508603628705523,0.0016731237390633,9.85996748934753,1.83122557943711,-0.40572767919264,0.224169481390187,0.470379929246316,6.77015296857858,1,6.49145208769043,6,0,0,0,7,0,0,16.7810001373291,0,0,7.337242168318426
4,0.0425649528139891,4.07040201889549,1.2578125,0.940528764988759,0.881506907061187,0.0706667730830595,0.0032449252019251,6.69820693502261,3.29942166511399,-0.94154269657879,0.285679930451302,0.335591984310792,4.85731616924875,2,17.3744150470598,6,0,0,1,11,0,1,39.1319999694824,0,0,5.102812923419847
4,0.135900580033805,4.04161306973385,1.16666666666667,-0.343945553581703,-0.279448094822329,0.0865327972792677,0.122350033017389,5.63607707627852,2.19710406371153,-0.541143763425662,0.250445508757603,0.514228899748068,7.38707280026331,2,6.66927175538106,6,1,1,0,10,1,0,39.1319999694824,0,1,5.0
4,0.179150869123908,4.0233813914466,0.9375,-0.87511192716122,-0.83044158473546,0.0716951408064675,0.0,14.1853688403323,2.00117694729856,-0.467352946062973,0.304645048556679,0.69284151958394,3.94083084893756,2,0.0,6,0,0,0,10,0,0,38.1119995117188,0,0,6.31069114087638
3,0.136728082853477,4.04643978221982,0.916666666666667,-0.875111927161222,-0.868542279864293,0.0686262809160499,0.0,18.8850132166994,1.81297847384703,-0.491906587263876,0.313710824987004,0.683221651536994,4.0886966544781,1,0.0,6,0,0,0,8,0,0,16.7829990386963,0,0,7.638272163982407
4,0.291708723673703,4.06081674267915,1.10483870967742,0.0,0.0,0.0513203870231361,0.0070957244175418,9.11038377187085,2.87043827343768,-0.334064448751903,0.269057469620518,0.456407246217181,5.15461804445023,2,2.31739069388743,6,0,0,0,10,0,0,38.7119979858398,0,0,7.619788758288394
4,0.132363687969374,4.04676276986515,1.07258064516129,-0.409387616675084,-0.380797073809737,0.0501876451219905,0.0077616304955168,18.2685377052807,3.40156776311654,-0.546497977894037,0.355018134158679,0.531293739672894,5.0892744244471,2,4.53689681271849,6,0,0,0,12,0,0,37.1109962463379,1,0,7.387216143280264
4,0.276070091169608,4.04364976854254,1.1,-0.325326773110219,-0.292000476457083,0.0499190996822076,0.0070957244175418,12.3551015484252,2.6296904996148,-0.38022615227603,0.303078768210602,0.492659841610342,5.14373184782721,2,2.28200055512607,6,0,0,0,10,0,0,38.1059989929199,0,0,7.619788758288394
2,0.053601267896705,4.06818792707025,1.17,-0.427524292745985,-0.420013378855579,0.0687755695144883,0.0479466217971836,12.1496970620726,1.58200752383294,-0.403108487602937,0.23719585650829,0.42487673125036,6.11906062084724,0,6.9384300957611,6,0,0,0,6,0,0,5.31300020217896,0,0,6.97469413473523
2,-0.0585169609848236,4.06536793442871,0.913793103448276,-0.127948743155101,-0.118685907932852,0.0744498866675619,0.0005045470471269,21.2576696523936,1.79781834785622,-0.319751948244575,0.330559378581834,0.547851824997954,4.75832524687661,0,0.0,11,0,0,0,7,0,0,5.8270001411438,1,0,7.585026652029182
2,0.0493555075722354,4.06287825842624,0.898148148148148,-0.843710567740975,-0.699999999999999,0.0649773866536729,0.0,17.3034969760748,1.48707799089405,-0.539019675179987,0.39530827392273,0.644329246066003,4.01016195931868,0,0.0,6,0,0,0,8,0,0,5.84999990463257,0,0,8.327902142064282
2,-0.0621661566708984,4.07521517385794,1.12068965517241,-0.26495979505612,-0.217797595039708,0.0808677354603788,0.0064753834852658,5.6078826470564,1.64693895130655,-0.454604472529352,0.275727458156433,0.445564830222104,6.70483367640584,0,6.25054330977772,6,0,0,0,6,0,0,6.19199991226196,0,0,7.309803919971486
3,0.0583949511866609,4.05876075378452,0.95,-1.0,-0.720107860508872,0.0603225334392425,0.0,17.2671325751955,1.54596793704284,-0.208186047162664,0.344819789400161,0.569606772453574,3.3540547167556,1,0.0,6,0,0,0,9,0,0,15.3110008239746,1,0,8.221848749616356
3,-0.049303649687922,4.04916512056991,0.932692307692308,-0.429232337295091,-0.405074427865458,0.0503015224753429,0.886111499244542,28.9657565448113,2.13008764045334,-0.238595762026329,0.287528710979186,0.47562931658448,6.72543435799876,1,0.0,11,0,0,0,7,0,0,16.7819995880127,0,0,6.818156412055227
3,0.080124779821992,4.06009289277421,1.14814814814815,-0.347590504192035,-0.281378039484745,0.0769677732863075,0.0067580013131952,10.097904093604,2.15443539951143,-0.447446359598983,0.301135475525912,0.481113115703093,5.14968614542626,1,6.94517992796183,6,0,0,0,8,0,0,18.9860000610352,0,0,8.0
