Mi,PW4,VE2sign_D,VE2_H2,SpMAD_D/Dt,MATS8i,GGI10,SpMax6_Bh(e),SpMax6_Bh(i),SpMin1_Bh(s),SM14_EA,CMBL,TDB10p,Mor10i,P2v,G1e,E3e,G2i,HATS7u,HATS5p,HATS6p,HATS2i,R6p,R8p+,B04[N-N],B06[C-N],B06[N-Cl],B10[O-Cl],BLTF96,alvo
1.142117,0.167052,0.001914,0.144943,1.521449,-0.2013,0.070197,3.234494,3.301,1.327841,18.221605,1.73,2.763816,-0.729763,0.331997,0.161605,0.467321,0.15412,0.267732,0.072855,0.083366,0.358407,0.382001,0.0091,1,1,0,0,-4.689987,6.88941
1.13287,0.189505,0.006482,0.128829,1.421096,-0.144594,0.085199,3.199801,3.27358,1.406442,16.901139,1.712,3.046136,-0.753767,0.225117,0.159488,0.452731,0.1469,0.304899,0.099925,0.098585,0.349316,0.371349,0.011027,1,1,0,0,-2.988796,6.659556
1.168223,0.172212,0.003823,0.103955,1.528162,-0.203282,0.334456,3.262133,3.282573,1.33017,18.042668,1.712,2.893451,0.043515,0.216102,0.151861,0.417904,0.157424,0.312131,0.091469,0.108198,0.481403,0.374252,0.010207,1,1,0,0,-4.537818,7.744727
1.144277,0.186836,0.001754,0.143372,1.504144,-0.256653,0.147234,3.292556,3.335291,1.212556,17.596178,1.715,2.593767,-0.106704,0.277012,0.162306,0.3358,0.151861,0.253131,0.089276,0.087329,0.455733,0.314133,0.010588,1,1,0,0,-3.328647,7.769551
1.154229,0.176708,0.001728,0.14489,1.465527,-0.178079,0.265377,3.296374,3.326022,1.326353,17.610885,1.715,2.87053,0.409287,0.294611,0.149244,0.441701,0.15872,0.295231,0.096862,0.109752,0.421903,0.410831,0.008287,1,1,0,0,-3.881655,8.481486
1.162662,0.190894,0.000328,0.110581,1.485184,-0.208921,0.262732,3.228541,3.240946,1.244812,18.10313,1.715,2.637487,-0.173797,0.238714,0.16534,0.443894,0.154039,0.294041,0.09007,0.102983,0.497944,0.359269,0.011175,1,1,0,0,-4.265088,8.187087
1.144144,0.185553,0.007921,0.121764,1.419777,-0.156956,0.105912,3.111052,3.206102,1.406434,17.533836,1.713,3.056075,-0.049743,0.21193,0.149244,0.432882,0.1673,0.333439,0.103318,0.107805,0.382563,0.387928,0.009808,1,1,0,0,-3.64496,7.251812
1.122484,0.20115,0.003241,0.155718,1.382209,-0.113395,0.110705,3.245527,3.259111,1.265017,17.043322,1.715,3.368473,-0.862408,0.250094,0.164315,0.386619,0.16033,0.305001,0.112042,0.119656,0.36528,0.447289,0.008414,1,1,0,0,-3.381125,7.455932
1.156293,0.18134,0.002809,0.108429,1.486446,-0.175754,0.286089,3.228617,3.241322,1.244786,17.806748,1.715,2.838247,-0.141533,0.230742,0.15329,0.431119,0.164292,0.340997,0.103107,0.122937,0.487576,0.390896,0.010252,1,1,0,0,-3.516373,8.327902
1.1428,0.172836,0.004706,0.131802,1.484771,-0.204397,0.136211,3.083337,3.153543,1.396008,17.710366,1.712,2.494007,0.308142,0.289366,0.151178,0.477089,0.151178,0.355113,0.071074,0.100946,0.419059,0.360667,0.00947,1,1,0,0,-4.121098,8.267606
1.146486,0.198608,0.000571,0.141399,1.423532,-0.174012,0.180394,3.277003,3.307285,1.395804,17.74996,1.715,2.815706,0.366009,0.328816,0.149871,0.4137,0.149871,0.299069,0.091496,0.103108,0.402452,0.390728,0.008816,1,1,0,0,-4.447704,7.853872
1.108562,0.200497,0.005786,0.184384,1.329069,-0.306867,0.004691,2.922093,2.945467,1.209074,16.757864,1.715,3.104315,-0.119234,0.132284,0.164272,0.315715,0.164272,0.363497,0.126119,0.127574,0.393119,0.29251,0.022252,0,0,0,0,-3.435128,5
1.139637,0.173364,0.005072,0.148318,1.499715,-0.051792,0.269662,3.193616,3.213571,1.245518,17.766179,1.715,2.81544,0.521721,0.218546,0.161364,0.396192,0.165996,0.390394,0.106688,0.136172,0.415023,0.460747,0.009603,0,0,0,0,-3.827437,6.027334
1.1359,0.196945,0.004335,0.14852,1.404652,-0.143741,0.116821,3.245516,3.259073,1.229103,16.979308,1.715,3.05084,-0.87267,0.277179,0.160453,0.379676,0.188047,0.332299,0.101803,0.118241,0.412675,0.425783,0.008726,1,1,0,0,-2.777692,6.31158
